Hs-TNFAIP6,2000,1000,T113289-TNFAIP6,"p1@TNFAIP6"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T042273,2011,0.9995,p4@NIPA1,123606,17043,Q7RTP0,NIPA1,"non imprinted in Prader-Willi/Angelman syndrome 1","gene with protein product"
2,T044913,2013,0.9990,p8@AQP9,366,643,,AQP9,"aquaporin 9","gene with protein product"
3,T009798,2007,0.9990,p6@IL18,3606,5986,"Q14116,Q6WWJ7",IL18,"interleukin 18","gene with protein product"
4,T098864,2006,0.9990,p35@RIN2,54453,18750,,RIN2,"Ras and Rab interactor 2","gene with protein product"
5,T173657,2003,0.9990,p13@ITGB8,3696,6163,P26012,ITGB8,"integrin subunit beta 8","gene with protein product"
6,T037872,2001,0.9990,p1@PSMA6,5687,9535,"G3V2S7,G3V5Z7,G3V3U4,G3V3I1,B4DQR4",PSMA6,"proteasome subunit alpha 6","gene with protein product"
7,T173658,2009,0.9985,p25@ITGB8,3696,6163,P26012,ITGB8,"integrin subunit beta 8","gene with protein product"
8,T162394,2008,0.9985,p3@RNF144B,255488,21578,,RNF144B,"ring finger protein 144B","gene with protein product"
9,T077482,2007,0.9985,p4@FPR2,2358,3827,P25090,FPR2,"formyl peptide receptor 2","gene with protein product"
10,T060054,2006,0.9985,p7@UBE2Z,65264,25847,,UBE2Z,"ubiquitin conjugating enzyme E2 Z","gene with protein product"
11,T034348,2003,0.9985,p1@IRG1,730249,33904,A6NK06,ACOD1,"aconitate decarboxylase 1","gene with protein product"
12,T138431,2011,0.9980,p1@SLC39A8,64116,20862,Q9C0K1,SLC39A8,"solute carrier family 39 member 8","gene with protein product"
13,T143796,2007,0.9980,p14@RHOH,399,686,,RHOH,"ras homolog family member H","gene with protein product"
14,T138429,2001,0.9980,p6@SLC39A8,64116,20862,B4E2H3,SLC39A8,"solute carrier family 39 member 8","gene with protein product"
15,T161442,2003,0.9975,p4@SOD2,6648,11180,,SOD2,"superoxide dismutase 2","gene with protein product"
16,T189186,2005,0.9965,p17@GSN,2934,4620,,GSN,gelsolin,"gene with protein product"
17,T124933,2003,0.9965,p12@NAGK,55577,17174,,NAGK,"N-acetylglucosamine kinase","gene with protein product"
18,T033207,1996,0.9960,p57@TSC22D1,8848,16826,,TSC22D1,"TSC22 domain family member 1","gene with protein product"
19,T014958,1996,0.9955,p3@TRIM34,53840,10063,,TRIM34,"tripartite motif containing 34","gene with protein product"
20,T178221,1994,0.9955,p1@SAMD9,54809,1348,C9JKF1,SAMD9,"sterile alpha motif domain containing 9","gene with protein product"
21,T094111,1996,0.9950,p3@MTF1,4520,7428,,MTF1,"metal regulatory transcription factor 1","gene with protein product"
22,T084591,1997,0.9940,p3@SLAMF7,57823,21394,"A8K3U1,Q9NQ25",SLAMF7,"SLAM family member 7","gene with protein product"
23,T161444,1992,0.9930,p28@SOD2,6648,11180,,SOD2,"superoxide dismutase 2","gene with protein product"
24,T029795,1993,0.9925,p4@CLEC4E,26253,14555,F8WFA1,CLEC4E,"C-type lectin domain family 4 member E","gene with protein product"
25,T194990,1993,0.9925,p5@NINJ1,4814,7824,,NINJ1,"ninjurin 1","gene with protein product"
26,T009799,1991,0.9925,p5@IL18,3606,5986,"Q14116,Q6WWJ7",IL18,"interleukin 18","gene with protein product"
27,T139399,1991,0.9920,p1@TNIP3,79931,19315,,TNIP3,"TNFAIP3 interacting protein 3","gene with protein product"
28,T199018,1991,0.9920,p8@APOO,79135,28727,,APOO,"apolipoprotein O","gene with protein product"
29,T159704,1992,0.9906,p3@TNFAIP3,7128,11896,"F5H7A9,F5GYN2,F5H1G3",TNFAIP3,"TNF alpha induced protein 3","gene with protein product"
30,T147969,1990,0.9900,p15@TNFAIP8,25816,17260,O95379,TNFAIP8,"TNF alpha induced protein 8","gene with protein product"
