Hs-ZNF280C,2000,1000,T197083-ZNF280C,"p1@ZNF280C"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T047003,2008,1.0000,p5@ZFAND6,54469,30164,,ZFAND6,"zinc finger AN1-type containing 6","gene with protein product"
2,T133627,2010,1.0000,p3@FYTTD1,84248,25407,,FYTTD1,"forty-two-three domain containing 1","gene with protein product"
3,T083102,2011,1.0000,p4@ADAR,103,225,,ADAR,"adenosine deaminase, RNA specific","gene with protein product"
4,T025860,2010,1.0000,p5@CCDC77,84318,28203,B4DDE8,CCDC77,"coiled-coil domain containing 77","gene with protein product"
5,T197082,2007,1.0000,p2@ZNF280C,55609,25955,Q9UJJ2,ZNF280C,"zinc finger protein 280C","gene with protein product"
6,T002218,2011,0.9995,p2@C10orf137,26098,24640,,EDRF1,"erythroid differentiation regulatory factor 1","gene with protein product"
7,T080623,2008,0.9995,p1@DDX20,11218,2743,B4DWV7,DDX20,"DEAD-box helicase 20","gene with protein product"
8,T197084,2005,0.9995,p4@ZNF280C,55609,25955,Q8ND82,ZNF280C,"zinc finger protein 280C","gene with protein product"
9,T197296,2007,0.9990,p3@PHF6,84295,18145,,PHF6,"PHD finger protein 6","gene with protein product"
10,T051291,2007,0.9990,p2@ZNF720,124411,26987,"E9PMU6,E9PLE2",ZNF720,"zinc finger protein 720","gene with protein product"
11,T008515,2006,0.9990,p1@CCNJ,54619,23434,,CCNJ,"cyclin J","gene with protein product"
12,T144478,2004,0.9990,p1@PPAT,5471,9238,Q06203,PPAT,"phosphoribosyl pyrophosphate amidotransferase","gene with protein product"
13,T032101,2004,0.9990,p1@CENPJ,55835,17272,"Q9HC77,E9PER4,Q5JPD5",CENPJ,"centromere protein J","gene with protein product"
14,T032899,2012,0.9985,p6@PROSER1,80209,20291,Q5JS36,PROSER1,"proline and serine rich 1","gene with protein product"
15,T113544,2003,0.9985,p2@PRPF40A,55660,16463,"F5H578,Q05C41",PRPF40A,"pre-mRNA processing factor 40 homolog A","gene with protein product"
16,T177931,2008,0.9975,p1@DBF4,10926,17364,F8WF77,DBF4,"DBF4 zinc finger","gene with protein product"
17,T197081,2006,0.9970,p3@ZNF280C,55609,25955,Q9UJJ2,ZNF280C,"zinc finger protein 280C","gene with protein product"
18,T108002,2000,0.9965,p16@FBXO7,25793,13586,F8WDR9,FBXO7,"F-box protein 7","gene with protein product"
19,T187912,1997,0.9960,p2@TEX10,54881,25988,"E7ERG2,B7Z9D5",TEX10,"testis expressed 10","gene with protein product"
20,T200602,1999,0.9955,p11@SPIN4,139886,27040,Q56A73,SPIN4,"spindlin family member 4","gene with protein product"
21,T095929,1998,0.9950,p5@USP1,7398,12607,O94782,USP1,"ubiquitin specific peptidase 1","gene with protein product"
22,T032617,2002,0.9945,p1@BRCA2,675,1101,"P51587,E9PIQ1",BRCA2,"BRCA2, DNA repair associated","gene with protein product"
23,T061174,2002,0.9940,p7@RNF43,54894,18505,Q68DV7,RNF43,"ring finger protein 43","gene with protein product"
24,T117805,1998,0.9940,p2@CCNYL1,151195,26868,Q8N7R7,CCNYL1,"cyclin Y like 1","gene with protein product"
25,T045582,1992,0.9920,p6@CLPX,10845,2088,O76031,CLPX,"caseinolytic mitochondrial matrix peptidase chaperone subunit","gene with protein product"
26,T171150,2000,0.9916,p2@CHCHD3,54927,21906,C9JRZ6,CHCHD3,"coiled-coil-helix-coiled-coil-helix domain containing 3","gene with protein product"
27,T197562,1992,0.9910,p6@ZIC3,7547,12874,Q5JY75,ZIC3,"Zic family member 3","gene with protein product"
28,T186840,1990,0.9900,p2@E2F5,1875,3119,,E2F5,"E2F transcription factor 5","gene with protein product"
29,T199637,1992,0.9896,p2@CASK,8573,1497,"Q5JS74,O14936",CASK,"calcium/calmodulin dependent serine protein kinase","gene with protein product"
