Hs-MYH11,2000,1000,T049122-MYH11,"p25@MYH11"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T049124,2009,1.0000,p9@MYH11,4629,7569,Q66K75,MYH11,"myosin heavy chain 11","gene with protein product"
2,T049165,2006,1.0000,p11@MYH11,4629,7569,,MYH11,"myosin heavy chain 11","gene with protein product"
3,T049179,2006,1.0000,p4@MYH11,4629,7569,"P35749,Q7Z7R0",MYH11,"myosin heavy chain 11","gene with protein product"
4,T049130,2007,1.0000,p6@MYH11,4629,7569,Q68D89,MYH11,"myosin heavy chain 11","gene with protein product"
5,T049133,2010,1.0000,p15@MYH11,4629,7569,Q68D89,MYH11,"myosin heavy chain 11","gene with protein product"
6,T049134,2008,1.0000,p16@MYH11,4629,7569,Q68D89,MYH11,"myosin heavy chain 11","gene with protein product"
7,T049135,2012,1.0000,p20@MYH11,4629,7569,Q68D89,MYH11,"myosin heavy chain 11","gene with protein product"
8,T049136,2011,1.0000,p27@MYH11,4629,7569,Q68D89,MYH11,"myosin heavy chain 11","gene with protein product"
9,T049137,2008,1.0000,p48@MYH11,4629,7569,Q68D89,MYH11,"myosin heavy chain 11","gene with protein product"
10,T049156,2005,1.0000,p7@MYH11,4629,7569,P35749,MYH11,"myosin heavy chain 11","gene with protein product"
11,T128308,2006,0.9995,p32@MYLK,4638,7590,,MYLK,"myosin light chain kinase","gene with protein product"
12,T049173,2009,0.9990,p8@MYH11,4629,7569,"P35749,Q7Z7R0",MYH11,"myosin heavy chain 11","gene with protein product"
13,T049131,2004,0.9985,p37@MYH11,4629,7569,Q68D89,MYH11,"myosin heavy chain 11","gene with protein product"
14,T049129,1998,0.9980,p32@MYH11,4629,7569,Q66K75,MYH11,"myosin heavy chain 11","gene with protein product"
15,T090088,2002,0.9975,p11@HSPG2,3339,5273,,HSPG2,"heparan sulfate proteoglycan 2","gene with protein product"
16,T101237,2001,0.9975,p13@DBNDD2,55861,15881,,DBNDD2,"dysbindin domain containing 2","gene with protein product"
17,T128312,1999,0.9975,p17@MYLK,4638,7590,Q15746,MYLK,"myosin light chain kinase","gene with protein product"
18,T049175,1999,0.9965,p10@MYH11,4629,7569,"P35749,Q7Z7R0",MYH11,"myosin heavy chain 11","gene with protein product"
19,T150475,1991,0.9920,p1@MIR143,406935,31530,,MIR143,"microRNA 143","RNA, micro"
20,T012105,1989,0.9886,p2@MOB2,81532,24904,Q70IA6,MOB2,"MOB kinase activator 2","gene with protein product"
21,T049138,1978,0.9860,p24@MYH11,4629,7569,"O14729,O14794",MYH11,"myosin heavy chain 11","gene with protein product"
22,T132856,1975,0.9845,p24@LPP,4026,6679,Q93052,LPP,"LIM domain containing preferred translocation partner in lipoma","gene with protein product"
23,T146539,1971,0.9796,p19@MAPK10,5602,6872,D6RFX8,MAPK10,"mitogen-activated protein kinase 10","gene with protein product"
24,T143100,1969,0.9791,p4@SOD3,6649,11181,P08294,SOD3,"superoxide dismutase 3","gene with protein product"
25,T049176,1968,0.9791,p3@MYH11,4629,7569,"P35749,Q7Z7R0",MYH11,"myosin heavy chain 11","gene with protein product"
26,T163019,1958,0.9780,p3@BTN2A1,11120,1136,E9PGR4,BTN2A1,"butyrophilin subfamily 2 member A1","gene with protein product"
27,T125127,1957,0.9770,p3@ACTG2,72,145,P63267,ACTG2,"actin, gamma 2, smooth muscle, enteric","gene with protein product"
28,T169930,1959,0.9737,p9@TES,26136,14620,,TES,"testin LIM domain protein","gene with protein product"
29,T125124,1958,0.9722,p2@ACTG2,72,145,,ACTG2,"actin, gamma 2, smooth muscle, enteric","gene with protein product"
30,T088228,1954,0.9712,p7@PLA2G5,5322,9038,,PLA2G5,"phospholipase A2 group V","gene with protein product"
31,T049123,1941,0.9681,p23@MYH11,4629,7569,Q66K75,MYH11,"myosin heavy chain 11","gene with protein product"
32,T139298,1939,0.9680,p16@SYNPO2,171024,17732,Q9UMS6,SYNPO2,"synaptopodin 2","gene with protein product"
33,T049170,1945,0.9677,p34@MYH11,4629,7569,,MYH11,"myosin heavy chain 11","gene with protein product"
34,T169929,1943,0.9676,p17@TES,26136,14620,,TES,"testin LIM domain protein","gene with protein product"
35,T125125,1942,0.9671,p4@ACTG2,72,145,P63267,ACTG2,"actin, gamma 2, smooth muscle, enteric","gene with protein product"
36,T049167,1948,0.9667,p13@MYH11,4629,7569,,MYH11,"myosin heavy chain 11","gene with protein product"
37,T169928,1938,0.9656,p8@TES,26136,14620,Q9UGI8,TES,"testin LIM domain protein","gene with protein product"
38,T049126,1936,0.9656,p14@MYH11,4629,7569,Q66K75,MYH11,"myosin heavy chain 11","gene with protein product"
39,T049235,1937,0.9651,p1@MYH11,4629,7569,"P35749,Q3MIV8,B1PS43,Q3MNF1,Q3MNF0,D2JYH7",MYH11,"myosin heavy chain 11","gene with protein product"
40,T069860,1935,0.9651,p2@CNN1,1264,2155,P51911,CNN1,"calponin 1","gene with protein product"
41,T125126,1934,0.9622,p5@ACTG2,72,145,P63267,ACTG2,"actin, gamma 2, smooth muscle, enteric","gene with protein product"
42,T142571,1930,0.9612,p1@SORBS2,8470,24098,,SORBS2,"sorbin and SH3 domain containing 2","gene with protein product"
43,T146472,1931,0.9597,p4@CPZ,8532,2333,,CPZ,"carboxypeptidase Z","gene with protein product"
44,T049128,1927,0.9592,p38@MYH11,4629,7569,Q66K75,MYH11,"myosin heavy chain 11","gene with protein product"
45,T049169,1921,0.9581,p5@MYH11,4629,7569,,MYH11,"myosin heavy chain 11","gene with protein product"
46,T119176,1928,0.9578,p10@DES,1674,2770,,DES,desmin,"gene with protein product"
47,T023053,1922,0.9567,p3@GPR133,283383,19893,"Q6QNK2,B2CKK9,Q9NSM3",ADGRD1,"adhesion G protein-coupled receptor D1","gene with protein product"
48,T142573,1920,0.9562,p12@SORBS2,8470,24098,,SORBS2,"sorbin and SH3 domain containing 2","gene with protein product"
49,T049182,1912,0.9531,p19@MYH11,4629,7569,"P35749,Q7Z7R0",MYH11,"myosin heavy chain 11","gene with protein product"
50,T130405,1910,0.9493,p1@CLRN1-AS1,116933,30895,,CLRN1-AS1,"CLRN1 antisense RNA 1","RNA, long non-coding"
51,T088009,1905,0.9487,p3@PLA2G2A,5320,9031,,PLA2G2A,"phospholipase A2 group IIA","gene with protein product"
52,T049112,1903,0.9482,p17@MYH11,4629,7569,"Q16085,Q16086",MYH11,"myosin heavy chain 11","gene with protein product"
53,T008906,1902,0.9482,p20@MUC6,4588,7517,,MUC6,"mucin 6, oligomeric mucus/gel-forming","gene with protein product"
54,T008814,1899,0.9481,p24@MUC6,4588,7517,,MUC6,"mucin 6, oligomeric mucus/gel-forming","gene with protein product"
55,T049127,1898,0.9466,p28@MYH11,4629,7569,Q66K75,MYH11,"myosin heavy chain 11","gene with protein product"
56,T130795,1904,0.9459,p10@KCNAB1,7881,6228,B7Z8E5,KCNAB1,"potassium voltage-gated channel subfamily A member regulatory beta subunit 1","gene with protein product"
57,T150476,1900,0.9453,p1@MIR145,406937,31532,,MIR145,"microRNA 145","RNA, micro"
58,T049125,1896,0.9447,p26@MYH11,4629,7569,Q66K75,MYH11,"myosin heavy chain 11","gene with protein product"
59,T197029,1900,0.9443,p7@XPNPEP2,7512,12823,,XPNPEP2,"X-prolyl aminopeptidase 2","gene with protein product"
60,T168564,1892,0.9427,p12@C6orf168,84553,20742,,FAXC,"failed axon connections homolog","gene with protein product"
61,T142572,1898,0.9424,p80@SORBS2,8470,24098,,SORBS2,"sorbin and SH3 domain containing 2","gene with protein product"
62,T049171,1885,0.9401,p31@MYH11,4629,7569,,MYH11,"myosin heavy chain 11","gene with protein product"
63,T139299,1882,0.9401,p13@SYNPO2,171024,17732,Q9UMS6,SYNPO2,"synaptopodin 2","gene with protein product"
64,T024943,1892,0.9399,p3@PDZRN4,29951,30552,"Q6ZMN7,B4DGD1",PDZRN4,"PDZ domain containing ring finger 4","gene with protein product"
65,T049139,1885,0.9392,p12@MYH11,4629,7569,"O14729,O14794",MYH11,"myosin heavy chain 11","gene with protein product"
66,T100293,1884,0.9368,p9@MYL9,10398,15754,Q6IBG1,MYL9,"myosin light chain 9","gene with protein product"
67,T021468,1881,0.9368,p12@TBX3,6926,11602,"C9JIZ8,O15119",TBX3,"T-box 3","gene with protein product"
68,T093092,1880,0.9353,p21@PTAFR,5724,9582,"A8K7N8,P25105",PTAFR,"platelet activating factor receptor","gene with protein product"
69,T008810,1875,0.9352,p29@MUC6,4588,7517,,MUC6,"mucin 6, oligomeric mucus/gel-forming","gene with protein product"
70,T122776,1876,0.9338,p10@SLC8A1,6546,11068,"P32418,E9PCL8,F5H188",SLC8A1,"solute carrier family 8 member A1","gene with protein product"
71,T008447,1871,0.9327,p15@SORBS1,10580,14565,,SORBS1,"sorbin and SH3 domain containing 1","gene with protein product"
72,T198379,1867,0.9312,p8@FLNA,2316,3754,,FLNA,"filamin A","gene with protein product"
73,T004505,1868,0.9303,p4@ZNF25,219749,13043,P17030,ZNF25,"zinc finger protein 25","gene with protein product"
74,T184178,1865,0.9297,p6@RBPMS,11030,19097,"F5H357,Q93062",RBPMS,"RNA binding protein with multiple splicing","gene with protein product"
75,T058411,1874,0.9296,p9@KRT13,3860,6415,,KRT13,"keratin 13","gene with protein product"
76,T008812,1863,0.9283,p30@MUC6,4588,7517,,MUC6,"mucin 6, oligomeric mucus/gel-forming","gene with protein product"
77,T132839,1862,0.9278,p10@LPP,4026,6679,Q93052,LPP,"LIM domain containing preferred translocation partner in lipoma","gene with protein product"
78,T045285,1863,0.9264,p11@TPM1,7168,12010,,TPM1,"tropomyosin 1 (alpha)","gene with protein product"
79,T150464,1853,0.9247,p2@MIR143HG,728264,42872,,CARMN,"cardiac mesoderm enhancer-associated non-coding RNA","RNA, long non-coding"
80,T128294,1842,0.9173,p25@MYLK,4638,7590,,MYLK,"myosin light chain kinase","gene with protein product"
81,T041665,1836,0.9134,p5@ASB2,51676,16012,B4E166,ASB2,"ankyrin repeat and SOCS box containing 2","gene with protein product"
82,T139281,1824,0.9111,p1@SYNPO2,171024,17732,B4DLE4,SYNPO2,"synaptopodin 2","gene with protein product"
83,T013760,1822,0.9069,p16@EHF,26298,3246,,EHF,"ETS homologous factor","gene with protein product"
84,T132874,1828,0.9067,p6@LPP,4026,6679,,LPP,"LIM domain containing preferred translocation partner in lipoma","gene with protein product"
85,T136592,1809,0.9004,p2@SLMAP,7871,16643,Q14BN4,SLMAP,"sarcolemma associated protein","gene with protein product"
86,T152071,1806,0.8994,p4@KCNMB1,3779,6285,Q16558,KCNMB1,"potassium calcium-activated channel subfamily M regulatory beta subunit 1","gene with protein product"
87,T191775,1804,0.8989,p10@NFIB,4781,7785,O00712,NFIB,"nuclear factor I B","gene with protein product"
88,T069857,1803,0.8984,p1@CNN1,1264,2155,B7Z7E1,CNN1,"calponin 1","gene with protein product"
89,T119177,1798,0.8963,p2@DES,1674,2770,,DES,desmin,"gene with protein product"
90,T142123,1797,0.8963,p4@ASB5,140458,17180,D6R9Q2,ASB5,"ankyrin repeat and SOCS box containing 5","gene with protein product"
