Hs-GPR161,2000,1000,T085324-GPR161,"p2@GPR161"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T139783,2010,1.0000,p4@NKX3-2,579,951,P78367,NKX3-2,"NK3 homeobox 2","gene with protein product"
2,T085327,2012,1.0000,p6@GPR161,23432,23694,"Q8N6U8,F5GXD6",GPR161,"G protein-coupled receptor 161","gene with protein product"
3,T001320,2008,1.0000,p2@AFAP1L2,84632,25901,F5GZE1,AFAP1L2,"actin filament associated protein 1 like 2","gene with protein product"
4,T077464,2006,0.9995,p1@HAS1,3036,4818,"E9PC78,E9PC77",HAS1,"hyaluronan synthase 1","gene with protein product"
5,T168416,2008,0.9990,p10@BACH2,60468,14078,"Q9BYV9,Q7Z6Q0",BACH2,"BTB domain and CNC homolog 2","gene with protein product"
6,T161573,2006,0.9990,p1@FOXC1,2296,3800,A3KPE3,FOXC1,"forkhead box C1","gene with protein product"
7,T085325,2005,0.9990,p1@GPR161,23432,23694,F5H6J7,GPR161,"G protein-coupled receptor 161","gene with protein product"
8,T094336,2005,0.9990,p20@COL9A2,1298,2218,,COL9A2,"collagen type IX alpha 2 chain","gene with protein product"
9,T085323,2004,0.9990,p4@GPR161,23432,23694,F5H6J7,GPR161,"G protein-coupled receptor 161","gene with protein product"
10,T103650,2004,0.9990,p1@BMP2,650,1069,P12643,BMP2,"bone morphogenetic protein 2","gene with protein product"
11,T069684,2002,0.9990,p14@CARM1,10498,23393,Q86X55,CARM1,"coactivator associated arginine methyltransferase 1","gene with protein product"
12,T093024,2008,0.9985,p11@C1orf38,9473,16839,,THEMIS2,"thymocyte selection associated family member 2","gene with protein product"
13,T102216,2006,0.9985,p1@KCNG1,3755,6248,"Q9UIX4,Q5JXL5,Q86Y85",KCNG1,"potassium voltage-gated channel modifier subfamily G member 1","gene with protein product"
14,T136795,2005,0.9985,p12@PTPRG,5793,9671,"P23470,Q49A02",PTPRG,"protein tyrosine phosphatase, receptor type G","gene with protein product"
15,T178210,2008,0.9980,p7@CDK6,1021,1777,"A4D1G0,Q00534",CDK6,"cyclin dependent kinase 6","gene with protein product"
16,T179877,2002,0.9980,p2@GATA4,2626,4173,E9PKS4,GATA4,"GATA binding protein 4","gene with protein product"
17,T006967,2001,0.9980,p2@ZNF503,84858,23589,Q96F45,ZNF503,"zinc finger protein 503","gene with protein product"
18,T020221,2005,0.9975,p6@ASCL1,429,738,P50553,ASCL1,"achaete-scute family bHLH transcription factor 1","gene with protein product"
19,T099555,2000,0.9975,p4@DUSP15,128853,16236,,DUSP15,"dual specificity phosphatase 15","gene with protein product"
20,T003178,2001,0.9970,p11@ST8SIA6,338596,23317,B0YJ96,ST8SIA6,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6","gene with protein product"
21,T032259,2000,0.9970,p3@PDX1,3651,6107,P52945,PDX1,"pancreatic and duodenal homeobox 1","gene with protein product"
22,T126300,2000,0.9965,"p1@TRIM43B,p1@TRIM43","129868,653192","19015,37146","A6NMD1,Q96BQ3",TRIM43,"tripartite motif containing 43","gene with protein product"
23,T129650,1999,0.9965,p1@SPSB4,92369,30630,Q96A44,SPSB4,"splA/ryanodine receptor domain and SOCS box containing 4","gene with protein product"
24,T050225,2006,0.9960,p8@IL21R,50615,6006,Q9HBE5,IL21R,"interleukin 21 receptor","gene with protein product"
25,T052516,1996,0.9960,p1@CCDC102A,92922,28097,Q96A19,CCDC102A,"coiled-coil domain containing 102A","gene with protein product"
26,T056589,2001,0.9955,p14@SARM1,23098,17074,"E9PFZ9,Q6SZW1",SARM1,"sterile alpha and TIR motif containing 1","gene with protein product"
27,T099411,2002,0.9950,p1@EBF4,57593,29278,C9J6M4,EBF4,"early B-cell factor 4","gene with protein product"
