Hs-MXD3,2000,1000,T152709-MXD3,"p2@MXD3"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T008662,2014,0.9990,p1@FRAT2,23401,16048,O75474,FRAT2,"FRAT2, WNT signaling pathway regulator","gene with protein product"
2,T070938,2009,0.9990,p5@CYP4F3,4051,2646,F5H469,CYP4F3,"cytochrome P450 family 4 subfamily F member 3","gene with protein product"
3,T069597,2005,0.9985,p1@CDKN2D,1032,1790,P55273,CDKN2D,"cyclin dependent kinase inhibitor 2D","gene with protein product"
4,T127496,2005,0.9980,p4@CD200R1,131450,24235,,CD200R1,"CD200 receptor 1","gene with protein product"
5,T064419,2002,0.9980,p4@LSMD1,84316,28212,,NAA38,"N(alpha)-acetyltransferase 38, NatC auxiliary subunit","gene with protein product"
6,T069595,2000,0.9970,p4@CDKN2D,1032,1790,P55273,CDKN2D,"cyclin dependent kinase inhibitor 2D","gene with protein product"
7,T176147,2003,0.9965,p1@IKZF1,10320,13176,C9JTB0,IKZF1,"IKAROS family zinc finger 1","gene with protein product"
8,T109574,1997,0.9935,p1@PARVG,64098,14654,,PARVG,"parvin gamma","gene with protein product"
9,T085971,1992,0.9930,p1@PADI4,23569,18368,"E7EVX4,Q9UM07,B1AQ67,B2RBW0",PADI4,"peptidyl arginine deiminase 4","gene with protein product"
10,T013087,1992,0.9930,p1@C11orf21,29125,13231,"E9PAM5,Q9P2W6",C11orf21,"chromosome 11 open reading frame 21","gene with protein product"
11,T038499,1998,0.9925,p1@PYGL,5836,9725,E9PMM6,PYGL,"glycogen phosphorylase L","gene with protein product"
12,T005427,1998,0.9925,p2@IPMK,253430,20739,Q8NFU5,IPMK,"inositol polyphosphate multikinase","gene with protein product"
13,T190648,1992,0.9920,p1@NTNG2,84628,14288,"A6NMX7,Q5JUJ3,Q96CW9,O95898",NTNG2,"netrin G2","gene with protein product"
14,T017624,1988,0.9910,p1@PITPNM1,9600,9003,"O00562,B2R787",PITPNM1,"phosphatidylinositol transfer protein membrane associated 1","gene with protein product"
15,T065167,1990,0.9905,p3@SLC16A3,9123,10924,O15427,SLC16A3,"solute carrier family 16 member 3","gene with protein product"
16,T103598,1984,0.9905,p1@RGS19,10287,13735,P49795,RGS19,"regulator of G-protein signaling 19","gene with protein product"
17,T049486,1990,0.9886,p3@SEPX1,51734,14133,Q9NZV6,MSRB1,"methionine sulfoxide reductase B1","gene with protein product"
18,T030837,1982,0.9885,p1@APAF1,317,576,"C9JLV4,O14727",APAF1,"apoptotic peptidase activating factor 1","gene with protein product"
19,T089382,1988,0.9876,p1@PPP2R5A,5525,9309,,PPP2R5A,"protein phosphatase 2 regulatory subunit B'alpha","gene with protein product"
20,T160840,1981,0.9866,p3@SYNE1,23345,17089,F5GXQ8,SYNE1,"spectrin repeat containing nuclear envelope protein 1","gene with protein product"
21,T089019,1982,0.9861,p2@CDA,978,1712,P32320,CDA,"cytidine deaminase","gene with protein product"
22,T080906,1985,0.9856,p1@TSPAN2,10100,20659,"B1AKP1,O60636",TSPAN2,"tetraspanin 2","gene with protein product"
23,T038429,1977,0.9855,p19@SOS2,6655,11188,Q07890,SOS2,"SOS Ras/Rho guanine nucleotide exchange factor 2","gene with protein product"
24,T022923,1982,0.9851,p1@GLT1D1,144423,26483,Q96MS3,GLT1D1,"glycosyltransferase 1 domain containing 1","gene with protein product"
25,T070939,1974,0.9845,p4@CYP4F3,4051,2646,"Q08477,F5H469,B7Z8Z3",CYP4F3,"cytochrome P450 family 4 subfamily F member 3","gene with protein product"
26,T084683,1975,0.9836,p2@ARHGAP30,257106,27414,E9PLT5,ARHGAP30,"Rho GTPase activating protein 30","gene with protein product"
27,T038935,1973,0.9831,p3@PELI2,57161,8828,"Q9HAT8,Q9H716",PELI2,"pellino E3 ubiquitin protein ligase family member 2","gene with protein product"
28,T045436,1978,0.9826,p1@DAPK2,23604,2675,,DAPK2,"death associated protein kinase 2","gene with protein product"
29,T165171,1973,0.9816,p1@MAPK14,1432,6876,,MAPK14,"mitogen-activated protein kinase 14","gene with protein product"
30,T019610,1971,0.9816,p5@TMEM41B,440026,28948,,TMEM41B,"transmembrane protein 41B","gene with protein product"
31,T093874,1961,0.9805,p1@EIF2C4,192670,18424,Q9HCK5,AGO4,"argonaute 4, RISC catalytic component","gene with protein product"
32,T097148,1964,0.9800,p13@RERE,473,9965,Q9P2R6,RERE,"arginine-glutamic acid dipeptide repeats","gene with protein product"
33,T160934,1962,0.9771,p9@IPCEF1,26034,21204,E5RK08,IPCEF1,"interaction protein for cytohesin exchange factors 1","gene with protein product"
34,T081152,1956,0.9765,p2@GDAP2,54834,18010,,GDAP2,"ganglioside induced differentiation associated protein 2","gene with protein product"
35,T183296,1958,0.9741,p1@BIN3,55909,1054,"Q9NQY0,E5RHU4,E5RJI6",BIN3,"bridging integrator 3","gene with protein product"
36,T037430,1955,0.9736,p2@LTB4R,1241,6713,Q15722,LTB4R,"leukotriene B4 receptor","gene with protein product"
37,T162310,1951,0.9731,p1@KDM1B,221656,21577,,KDM1B,"lysine demethylase 1B","gene with protein product"
38,T175023,1957,0.9727,p10@HERPUD2,64224,21915,C9JV48,HERPUD2,"HERPUD family member 2","gene with protein product"
39,T028166,1953,0.9726,p1@IRAK3,11213,17020,"Q9Y616,F5GYN6",IRAK3,"interleukin 1 receptor associated kinase 3","gene with protein product"
40,T131483,1953,0.9721,p2@PLCL2,23228,9064,Q9UPR0,PLCL2,"phospholipase C like 2","gene with protein product"
41,T038426,1952,0.9711,p3@SOS2,6655,11188,Q07890,SOS2,"SOS Ras/Rho guanine nucleotide exchange factor 2","gene with protein product"
42,T140958,1949,0.9711,p8@FBXL5,26234,13602,,FBXL5,"F-box and leucine rich repeat protein 5","gene with protein product"
43,T008661,1949,0.9706,p2@FRAT2,23401,16048,Q53XP8,FRAT2,"FRAT2, WNT signaling pathway regulator","gene with protein product"
44,T101977,1951,0.9702,p4@SLC9A8,23315,20728,Q9Y2E8,SLC9A8,"solute carrier family 9 member A8","gene with protein product"
45,T004023,1950,0.9697,p5@SVIL,6840,11480,,SVIL,supervillin,"gene with protein product"
46,T191725,1949,0.9697,p2@ARRDC1,92714,28633,"Q8N5I2,Q59FD7",ARRDC1,"arrestin domain containing 1","gene with protein product"
47,T031541,1946,0.9677,p17@ATP11A,23250,13552,,ATP11A,"ATPase phospholipid transporting 11A","gene with protein product"
48,T107014,1941,0.9657,p1@RGL4,266747,31911,,RGL4,"ral guanine nucleotide dissociation stimulator like 4","gene with protein product"
49,T122204,1937,0.9656,p2@NLRC4,58484,16412,Q9NPP4,NLRC4,"NLR family CARD domain containing 4","gene with protein product"
50,T017507,1933,0.9641,p3@ADRBK1,156,289,,GRK2,"G protein-coupled receptor kinase 2","gene with protein product"
51,T029247,1927,0.9601,p5@ZDHHC17,23390,18412,Q8IUH5,ZDHHC17,"zinc finger DHHC-type containing 17","gene with protein product"
52,T155722,1930,0.9592,p4@COL4A3BP,10087,2205,Q9Y5P4,COL4A3BP,"collagen type IV alpha 3 binding protein","gene with protein product"
53,T160841,1927,0.9578,p6@SYNE1,23345,17089,F5GXQ8,SYNE1,"spectrin repeat containing nuclear envelope protein 1","gene with protein product"
54,T006498,1923,0.9572,p1@C10orf54,64115,30085,Q9H7M9,VSIR,"V-set immunoregulatory receptor","gene with protein product"
