Hs-SAGE1,2000,1000,T197389-SAGE1,"p2@SAGE1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T034131,2010,1.0000,p5@DIS3,22894,20604,,DIS3,"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease","gene with protein product"
2,T071139,2007,1.0000,p10@F2RL3,9002,3540,Q96RI0,F2RL3,"F2R like thrombin/trypsin receptor 3","gene with protein product"
3,T135865,2011,1.0000,p10@IFRD2,7866,5457,Q12894,IFRD2,"interferon related developmental regulator 2","gene with protein product"
4,T129034,2006,1.0000,p1@COL6A5,256076,26674,"E9PAL5,A8TX70,F8W8G8",COL6A5,"collagen type VI alpha 5 chain","gene with protein product"
5,T086040,2009,1.0000,p12@RCC2,55920,30297,Q9P258,RCC2,"regulator of chromosome condensation 2","gene with protein product"
6,T099856,2009,1.0000,p4@SNTA1,6640,11167,Q13424,SNTA1,"syntrophin alpha 1","gene with protein product"
7,T197390,2008,1.0000,p1@SAGE1,55511,30369,,SAGE1,"sarcoma antigen 1","gene with protein product"
8,T133486,2008,1.0000,p9@RNF168,165918,26661,F8WD60,RNF168,"ring finger protein 168","gene with protein product"
9,T182369,2011,1.0000,p6@EXOSC4,54512,18189,Q9NPD3,EXOSC4,"exosome component 4","gene with protein product"
10,T170236,2010,1.0000,p14@C7orf58,79974,26159,,CPED1,"cadherin like and PC-esterase domain containing 1","gene with protein product"
11,T040074,2013,1.0000,p40@SRSF5,6430,10787,,SRSF5,"serine and arginine rich splicing factor 5","gene with protein product"
12,T190348,2006,1.0000,p6@C9orf78,51759,24932,,C9orf78,"chromosome 9 open reading frame 78","gene with protein product"
13,T016911,2013,1.0000,p11@MALAT1,,29665,,MALAT1,"metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)","RNA, long non-coding"
14,T127238,2003,1.0000,p2@DPPA2,151871,19197,Q7Z7J5,DPPA2,"developmental pluripotency associated 2","gene with protein product"
15,T017090,2009,1.0000,p10@MUS81,80198,29814,,MUS81,"MUS81 structure-specific endonuclease subunit","gene with protein product"
16,T086155,2006,1.0000,p6@AXDND1,126859,26564,"D6RB87,A6H900,D6RDY4",AXDND1,"axonemal dynein light chain domain containing 1","gene with protein product"
17,T104929,2009,1.0000,p9@SETD4,54093,1258,A8MTS1,SETD4,"SET domain containing 4","gene with protein product"
18,T100580,2003,1.0000,p15@TGM2,7052,11778,P21980,TGM2,"transglutaminase 2","gene with protein product"
19,T143196,2002,1.0000,p6@RBPJ,3516,5724,Q06330,RBPJ,"recombination signal binding protein for immunoglobulin kappa J region","gene with protein product"
20,T161516,2012,0.9995,p6@MRPL18,29074,14477,,MRPL18,"mitochondrial ribosomal protein L18","gene with protein product"
21,T131558,2008,0.9995,p5@PRKCI,5584,9404,P41743,PRKCI,"protein kinase C iota","gene with protein product"
22,T198079,2004,0.9995,p2@MAGEA4,4103,6802,C9JZJ5,MAGEA4,"MAGE family member A4","gene with protein product"
23,T125506,2003,0.9995,p4@LRRTM1,347730,19408,C9JPM9,LRRTM1,"leucine rich repeat transmembrane neuronal 1","gene with protein product"
24,T028689,2011,0.9990,p21@ATN1,1822,3033,"P54259,Q86V38",ATN1,"atrophin 1","gene with protein product"
25,T100587,2011,0.9990,p9@TRIB3,57761,16228,Q96RU7,TRIB3,"tribbles pseudokinase 3","gene with protein product"
