Hs-TRIML2,2000,1000,T142752-TRIML2,"p2@TRIML2"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T095880,2008,0.9995,p14@RPL22,6146,10315,,RPL22,"ribosomal protein L22","gene with protein product"
2,T095879,2008,0.9990,p6@RPL22,6146,10315,,RPL22,"ribosomal protein L22","gene with protein product"
3,T135664,2007,0.9990,p15@DAG1,1605,2666,,DAG1,"dystroglycan 1","gene with protein product"
4,T093171,2007,0.9990,p19@YTHDF2,51441,31675,,YTHDF2,"YTH N6-methyladenosine RNA binding protein 2","gene with protein product"
5,T029480,2004,0.9990,p31@PPP1R12A,4659,7618,,PPP1R12A,"protein phosphatase 1 regulatory subunit 12A","gene with protein product"
6,T025338,2006,0.9985,p8@FAM113B,91523,28255,F8VYL8,PCED1B,"PC-esterase domain containing 1B","gene with protein product"
7,T104413,2005,0.9985,p3@LINC00189,193629,18461,,LINC00189,"long intergenic non-protein coding RNA 189","RNA, long non-coding"
8,T030114,2005,0.9985,p6@PHC1,1911,3182,F5H6F5,PHC1,"polyhomeotic homolog 1","gene with protein product"
9,T021685,2004,0.9985,p1@VSIG10,54621,26078,Q8N0Z9,VSIG10,"V-set and immunoglobulin domain containing 10","gene with protein product"
10,T056757,2001,0.9980,p8@PIPOX,51268,17804,Q9P0Z9,PIPOX,"pipecolic acid and sarcosine oxidase","gene with protein product"
11,T045504,2007,0.9975,p4@RBPMS2,348093,19098,Q6ZRY4,RBPMS2,"RNA binding protein with multiple splicing 2","gene with protein product"
12,T142753,2006,0.9975,p1@TRIML2,205860,26378,,TRIML2,"tripartite motif family like 2","gene with protein product"
13,T184475,2005,0.9965,p2@ASH2L,9070,744,,ASH2L,"ASH2 like histone lysine methyltransferase complex subunit","gene with protein product"
14,T104046,1997,0.9955,p3@CHODL,140578,17807,,CHODL,chondrolectin,"gene with protein product"
15,T033117,1996,0.9950,p2@DNAJC15,29103,20325,Q9Y5T4,DNAJC15,"DnaJ heat shock protein family (Hsp40) member C15","gene with protein product"
16,T006154,1996,0.9950,p1@TET1,80312,29484,Q8NFU7,TET1,"tet methylcytosine dioxygenase 1","gene with protein product"
17,T181151,1997,0.9945,p6@LRRC6,23639,16725,,LRRC6,"leucine rich repeat containing 6","gene with protein product"
18,T072019,1992,0.9945,p2@ZNF626,199777,30461,Q68DY1,ZNF626,"zinc finger protein 626","gene with protein product"
19,T171596,1992,0.9925,p1@KLRG2,346689,24778,,KLRG2,"killer cell lectin like receptor G2","gene with protein product"
20,T010491,1987,0.9920,p17@BCL9L,283149,23688,,BCL9L,"B-cell CLL/lymphoma 9-like","gene with protein product"
21,T072252,1994,0.9906,p1@ZNF675,171392,30768,Q8TD23,ZNF675,"zinc finger protein 675","gene with protein product"
22,T181908,1987,0.9905,p19@PTK2,5747,9611,,PTK2,"protein tyrosine kinase 2","gene with protein product"
23,T006155,1991,0.9901,p3@TET1,80312,29484,Q8NFU7,TET1,"tet methylcytosine dioxygenase 1","gene with protein product"
24,T078048,1990,0.9900,p2@NLRP7,199713,22947,Q8WX94,NLRP7,"NLR family pyrin domain containing 7","gene with protein product"
25,T029859,1987,0.9900,p7@RIMKLB,57494,29228,,RIMKLB,"ribosomal modification protein rimK like family member B","gene with protein product"
26,T078050,1981,0.9890,p1@NLRP7,199713,22947,"Q8WX94,E7EX89",NLRP7,"NLR family pyrin domain containing 7","gene with protein product"
27,T038832,1982,0.9880,p7@SOCS4,122809,19392,Q8WXH5,SOCS4,"suppressor of cytokine signaling 4","gene with protein product"
