Hs-TSC22D1,2000,1000,T033224-TSC22D1,"p2@TSC22D1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T033225,2007,1.0000,p5@TSC22D1,8848,16826,C9IZ15,TSC22D1,"TSC22 domain family member 1","gene with protein product"
2,T033222,2010,1.0000,p8@TSC22D1,8848,16826,B3KRL7,TSC22D1,"TSC22 domain family member 1","gene with protein product"
3,T039439,2006,0.9995,p1@PPP2R5E,5529,9313,Q16537,PPP2R5E,"protein phosphatase 2 regulatory subunit B'epsilon","gene with protein product"
4,T130309,2013,0.9990,p12@PFN2,5217,8882,C9J712,PFN2,"profilin 2","gene with protein product"
5,T047163,2009,0.9990,p1@MEX3B,84206,25297,Q6ZN04,MEX3B,"mex-3 RNA binding family member B","gene with protein product"
6,T111024,2005,0.9990,p1@FBLN7,129804,26740,"Q53RD9,B8ZZC1",FBLN7,"fibulin 7","gene with protein product"
7,T136801,2005,0.9985,p13@PTPRG,5793,9671,,PTPRG,"protein tyrosine phosphatase, receptor type G","gene with protein product"
8,T046878,2005,0.9980,p2@ADAMTS7,11173,223,"Q9UKP4,Q9UFZ4,Q59FG3",ADAMTS7,"ADAM metallopeptidase with thrombospondin type 1 motif 7","gene with protein product"
9,T020501,2002,0.9980,p3@NUAK1,9891,14311,O60285,NUAK1,"NUAK family kinase 1","gene with protein product"
10,T119274,2000,0.9980,p2@OBSL1,23363,29092,"O75147,A4KVA4,Q9H8B3",OBSL1,"obscurin like 1","gene with protein product"
11,T120908,2004,0.9975,p2@GPC1,2817,4449,P35052,GPC1,"glypican 1","gene with protein product"
12,T041172,2003,0.9975,p2@PTPN21,11099,9651,Q16825,PTPN21,"protein tyrosine phosphatase, non-receptor type 21","gene with protein product"
13,T051721,2002,0.9975,p1@RAB11FIP3,9727,17224,O75154,RAB11FIP3,"RAB11 family interacting protein 3","gene with protein product"
14,T177156,1999,0.9970,p1@GTF2I,2969,4659,"B4DH52,P78347,Q499G6,Q86U51",GTF2I,"general transcription factor IIi","gene with protein product"
15,T162257,2001,0.9965,p1@CAP2,10486,20039,"B7Z1C4,F8WDB9,B7Z214",CAP2,"CAP, adenylate cyclase-associated protein, 2 (yeast)","gene with protein product"
16,T091023,2003,0.9960,p1@KIAA1383,54627,29265,Q9P2G4,MAP10,"microtubule associated protein 10","gene with protein product"
17,T064813,2002,0.9960,p17@ACTG1,71,144,Q96DE1,ACTG1,"actin gamma 1","gene with protein product"
18,T107409,2001,0.9960,p15@MN1,4330,7180,Q10571,MN1,"MN1 proto-oncogene, transcriptional regulator","gene with protein product"
19,T152747,2001,0.9960,p8@PRR7,80758,28130,,PRR7,"proline rich 7, synaptic","gene with protein product"
20,T025792,2001,0.9955,p1@SMARCD1,6602,11106,Q96GM5,SMARCD1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1","gene with protein product"
21,T068536,1997,0.9955,p1@DOK6,220164,28301,Q6PKX4,DOK6,"docking protein 6","gene with protein product"
22,T000371,1995,0.9955,p12@LDB1,8861,6532,,LDB1,"LIM domain binding 1","gene with protein product"
23,T176660,1996,0.9950,p3@DAGLB,221955,28923,"B4DVJ1,E7EVQ4,F8WBN0",DAGLB,"diacylglycerol lipase beta","gene with protein product"
24,T107411,1998,0.9940,p2@MN1,4330,7180,Q10571,MN1,"MN1 proto-oncogene, transcriptional regulator","gene with protein product"
25,T053015,1997,0.9930,p1@KIAA0895L,653319,34408,Q68EN5,KIAA0895L,"KIAA0895 like","gene with protein product"
26,T028204,1996,0.9930,p11@CHD4,1108,1919,F5H596,CHD4,"chromodomain helicase DNA binding protein 4","gene with protein product"
27,T078640,1994,0.9930,p1@ZSCAN18,65982,21037,"Q8TBC5,E9PBI0",ZSCAN18,"zinc finger and SCAN domain containing 18","gene with protein product"
28,T045812,1991,0.9925,p7@MAP2K5,5607,6845,Q13163,MAP2K5,"mitogen-activated protein kinase kinase 5","gene with protein product"
29,T141660,1989,0.9915,p8@PALLD,23022,17068,,PALLD,"palladin, cytoskeletal associated protein","gene with protein product"
30,T102831,1988,0.9905,p69@GNAS,2778,4392,,GNAS,"GNAS complex locus","gene with protein product"
