Hs-TMEM178,2000,1000,T122723-TMEM178,"p32@TMEM178"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T122706,2000,0.9990,p5@TMEM178,130733,28517,,TMEM178A,"transmembrane protein 178A","gene with protein product"
2,T122705,2011,0.9985,p6@TMEM178,130733,28517,,TMEM178A,"transmembrane protein 178A","gene with protein product"
3,T122701,2001,0.9975,p10@TMEM178,130733,28517,,TMEM178A,"transmembrane protein 178A","gene with protein product"
4,T021275,1995,0.9925,p3@TPCN1,53373,18182,F8W1L6,TPCN1,"two pore segment channel 1","gene with protein product"
5,T009412,1994,0.9915,p6@EXPH5,23086,30578,E9PIT1,EXPH5,"exophilin 5","gene with protein product"
6,T095862,1993,0.9906,p2@INADL,10207,28881,,PATJ,"PATJ, crumbs cell polarity complex component","gene with protein product"
7,T141511,1991,0.9905,p10@TLL1,7092,11843,D6RAK5,TLL1,"tolloid like 1","gene with protein product"
8,T057640,1972,0.9850,p18@SRCIN1,80725,29506,Q9C0H9,SRCIN1,"SRC kinase signaling inhibitor 1","gene with protein product"
9,T174606,1976,0.9846,p20@CHN2,1124,1944,P52757,CHN2,"chimerin 2","gene with protein product"
10,T010993,1972,0.9801,p4@CRTAM,56253,24313,,CRTAM,"cytotoxic and regulatory T-cell molecule","gene with protein product"
11,T198974,1962,0.9761,p5@PTCHD1,139411,26392,Q96NR3,PTCHD1,"patched domain containing 1","gene with protein product"
12,T139057,1964,0.9732,p35@ANK2,287,493,,ANK2,"ankyrin 2","gene with protein product"
13,T095859,1951,0.9721,p7@INADL,10207,28881,,PATJ,"PATJ, crumbs cell polarity complex component","gene with protein product"
14,T101529,1941,0.9676,p3@ELMO2,63916,17233,F5GZP8,ELMO2,"engulfment and cell motility 2","gene with protein product"
15,T095858,1940,0.9671,p10@INADL,10207,28881,,PATJ,"PATJ, crumbs cell polarity complex component","gene with protein product"
16,T037707,1934,0.9617,p20@AKAP6,9472,376,,AKAP6,"A-kinase anchoring protein 6","gene with protein product"
17,T156495,1926,0.9611,p19@LINC00461,,42810,,LINC00461,"long intergenic non-protein coding RNA 461","RNA, long non-coding"
18,T141508,1928,0.9606,p6@TLL1,7092,11843,D6RAK5,TLL1,"tolloid like 1","gene with protein product"
19,T146958,1927,0.9601,p11@GRID2,2895,4576,O43424,GRID2,"glutamate ionotropic receptor delta type subunit 2","gene with protein product"
20,T103943,1929,0.9597,p11@LINC00478,388815,1274,,MIR99AHG,"mir-99a-let-7c cluster host gene","RNA, long non-coding"
21,T141509,1922,0.9567,p15@TLL1,7092,11843,D6RAK5,TLL1,"tolloid like 1","gene with protein product"
22,T146838,1918,0.9566,p31@FAM13A,10144,19367,,FAM13A,"family with sequence similarity 13 member A","gene with protein product"
23,T122709,1912,0.9517,p24@TMEM178,130733,28517,Q8NBL3,TMEM178A,"transmembrane protein 178A","gene with protein product"
24,T151631,1910,0.9493,p10@GABRA6,2559,4080,Q16445,GABRA6,"gamma-aminobutyric acid type A receptor alpha6 subunit","gene with protein product"
25,T113603,1903,0.9482,p4@KCNJ3,3760,6264,,KCNJ3,"potassium voltage-gated channel subfamily J member 3","gene with protein product"
26,T151630,1903,0.9468,p2@GABRA6,2559,4080,Q16445,GABRA6,"gamma-aminobutyric acid type A receptor alpha6 subunit","gene with protein product"
27,T174605,1899,0.9452,p26@CHN2,1124,1944,P52757,CHN2,"chimerin 2","gene with protein product"
28,T100061,1893,0.9413,p10@EDEM2,55741,15877,G3V1Q0,EDEM2,"ER degradation enhancing alpha-mannosidase like protein 2","gene with protein product"
29,T047491,1883,0.9382,p3@MRPS11,64963,14050,,MRPS11,"mitochondrial ribosomal protein S11","gene with protein product"
30,T142971,1881,0.9382,p6@MXD4,10608,13906,,MXD4,"MAX dimerization protein 4","gene with protein product"
31,T021276,1881,0.9363,p4@TPCN1,53373,18182,F8W1L6,TPCN1,"two pore segment channel 1","gene with protein product"
32,T021277,1880,0.9363,p20@TPCN1,53373,18182,,TPCN1,"two pore segment channel 1","gene with protein product"
33,T151638,1876,0.9352,p8@GABRA6,2559,4080,,GABRA6,"gamma-aminobutyric acid type A receptor alpha6 subunit","gene with protein product"
34,T030948,1873,0.9323,p8@ZIC5,85416,20322,Q96T25,ZIC5,"Zic family member 5","gene with protein product"
35,T016467,1869,0.9312,p7@CCDC88B,283234,26757,A6NC98,CCDC88B,"coiled-coil domain containing 88B","gene with protein product"
36,T153315,1866,0.9293,p6@CDH18,1016,1757,,CDH18,"cadherin 18","gene with protein product"
37,T062949,1864,0.9292,p11@RAB37,326624,30268,A8MUU7,RAB37,"RAB37, member RAS oncogene family","gene with protein product"
38,T153317,1854,0.9251,p2@CDH18,1016,1757,,CDH18,"cadherin 18","gene with protein product"
39,T151550,1854,0.9238,p8@CCNJL,79616,25876,,CCNJL,"cyclin J like","gene with protein product"
40,T046491,1854,0.9238,p2@LMAN1L,79748,6632,B4DGW5,LMAN1L,"lectin, mannose binding 1 like","gene with protein product"
41,T167520,1854,0.9228,p19@RIMS1,22999,17282,E9PHF5,RIMS1,"regulating synaptic membrane exocytosis 1","gene with protein product"
42,T171722,1850,0.9204,p12@ETV1,2115,3490,,ETV1,"ETS variant 1","gene with protein product"
