Hs-ARHGEF11,2000,1000,T083844-ARHGEF11,"p3@ARHGEF11"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T025948,2008,1.0000,p5@BIN2,51411,1053,,BIN2,"bridging integrator 2","gene with protein product"
2,T043675,2007,1.0000,p4@STARD9,57519,19162,Q9P2P6,STARD9,"StAR related lipid transfer domain containing 9","gene with protein product"
3,T083843,2009,1.0000,p2@ARHGEF11,9826,14580,O15085,ARHGEF11,"Rho guanine nucleotide exchange factor 11","gene with protein product"
4,T060586,2009,1.0000,p3@ANKRD40,91369,28233,"A8IK34,Q6AI12",ANKRD40,"ankyrin repeat domain 40","gene with protein product"
5,T082065,2011,1.0000,p1@PLEKHO1,51177,24310,,PLEKHO1,"pleckstrin homology domain containing O1","gene with protein product"
6,T056938,2010,1.0000,p5@ADAP2,55803,16487,Q9NPF8,ADAP2,"ArfGAP with dual PH domains 2","gene with protein product"
7,T130352,2006,0.9995,p5@TSC22D2,9819,29095,O75157,TSC22D2,"TSC22 domain family member 2","gene with protein product"
8,T123742,2011,0.9990,p4@CCDC88A,55704,25523,"Q3V6T2,Q6DCA5,Q86YH1",CCDC88A,"coiled-coil domain containing 88A","gene with protein product"
9,T024244,2009,0.9990,p6@BHLHE41,79365,16617,"Q8TAT1,Q9C0J9",BHLHE41,"basic helix-loop-helix family member e41","gene with protein product"
10,T013629,2009,0.9990,p6@HIPK3,10114,4915,Q9H422,HIPK3,"homeodomain interacting protein kinase 3","gene with protein product"
11,T190638,2009,0.9990,p1@RAPGEF1,2889,4568,Q68DL3,RAPGEF1,"Rap guanine nucleotide exchange factor 1","gene with protein product"
12,T010620,2008,0.9990,p11@USP2,9099,12618,,USP2,"ubiquitin specific peptidase 2","gene with protein product"
13,T056184,2008,0.9990,p4@ALDH3A2,224,403,,ALDH3A2,"aldehyde dehydrogenase 3 family member A2","gene with protein product"
14,T183232,2008,0.9990,p32@SORBS3,10174,30907,E7EQH0,SORBS3,"sorbin and SH3 domain containing 3","gene with protein product"
15,T025173,2006,0.9990,p3@SCAF11,9169,10784,"F8W028,Q05BS8",SCAF11,"SR-related CTD associated factor 11","gene with protein product"
16,T101480,2006,0.9990,p15@MMP9,4318,7176,F2YBS6,MMP9,"matrix metallopeptidase 9","gene with protein product"
17,T074996,2006,0.9990,p1@MPND,84954,25934,Q8N594,MPND,"MPN domain containing","gene with protein product"
18,T082261,2006,0.9990,p4@CERS2,29956,14076,Q5SZE6,CERS2,"ceramide synthase 2","gene with protein product"
19,T028267,2005,0.9990,p2@DYRK2,8445,3093,Q92630,DYRK2,"dual specificity tyrosine phosphorylation regulated kinase 2","gene with protein product"
20,T016027,2004,0.9990,p2@HNRNPUL2,221092,25451,Q1KMD3,HNRNPUL2,"heterogeneous nuclear ribonucleoprotein U like 2","gene with protein product"
21,T184026,2004,0.9990,p3@KIF13B,23303,14405,F2Z2F9,KIF13B,"kinesin family member 13B","gene with protein product"
22,T137170,2003,0.9990,p1@FRMD4B,23150,24886,C9JA15,FRMD4B,"FERM domain containing 4B","gene with protein product"
23,T051107,2003,0.9990,p1@STX4,6810,11439,Q12846,STX4,"syntaxin 4","gene with protein product"
24,T165893,2002,0.9990,p4@KIAA0240,23506,21111,"F5H616,Q6AI39",GLTSCR1L,"GLTSCR1 like","gene with protein product"
25,T197248,2002,0.9990,p1@GPC4,2239,4452,O75487,GPC4,"glypican 4","gene with protein product"
26,T198892,2009,0.9985,p2@RPS6KA3,6197,10432,,RPS6KA3,"ribosomal protein S6 kinase A3","gene with protein product"
27,T100231,2009,0.9985,p5@EPB41L1,2036,3378,Q4VXN6,EPB41L1,"erythrocyte membrane protein band 4.1 like 1","gene with protein product"
28,T008624,2006,0.9985,p7@PIK3AP1,118788,30034,"Q6ZUJ8,Q86YV3",PIK3AP1,"phosphoinositide-3-kinase adaptor protein 1","gene with protein product"
29,T168355,2005,0.9985,p4@RRAGD,58528,19903,,RRAGD,"Ras related GTP binding D","gene with protein product"
30,T125649,2005,0.9985,p1@TGOLN2,10618,15450,,TGOLN2,"trans-golgi network protein 2","gene with protein product"
31,T184474,2004,0.9985,p1@ASH2L,9070,744,"E5RHM1,F5H8F7",ASH2L,"ASH2 like histone lysine methyltransferase complex subunit","gene with protein product"
32,T025909,2004,0.9985,p1@TFCP2,7024,11748,"F8VX55,Q12800",TFCP2,"transcription factor CP2","gene with protein product"
33,T015508,2004,0.9985,p9@SLC15A3,51296,18068,Q8IY34,SLC15A3,"solute carrier family 15 member 3","gene with protein product"
34,T165179,2003,0.9985,p3@MAPK13,5603,6875,"O15264,Q5R3E4",MAPK13,"mitogen-activated protein kinase 13","gene with protein product"
