Hs-BANF2,2000,1000,T098681-BANF2,"p3@BANF2"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T034888,1886,0.9374,p1@RNF113B,140432,17267,Q8IZP6,RNF113B,"ring finger protein 113B","gene with protein product"
2,T147577,1860,0.9272,p6@SLC25A46,91137,25198,,SLC25A46,"solute carrier family 25 member 46","gene with protein product"
3,T126386,1856,0.9234,p6@ITPRIPL1,150771,29371,F5H1L8,ITPRIPL1,"inositol 1,4,5-trisphosphate receptor interacting protein-like 1","gene with protein product"
4,T039727,1846,0.9198,p1@FAM71D,161142,20101,"E9PM27,Q8N9W8",FAM71D,"family with sequence similarity 71 member D","gene with protein product"
5,T015863,1788,0.8900,p1@C11orf42,160298,28541,Q8N5U0,C11orf42,"chromosome 11 open reading frame 42","gene with protein product"
6,T116525,1776,0.8845,p6@C2orf88,84281,28191,Q9BSF0,C2orf88,"chromosome 2 open reading frame 88","gene with protein product"
7,T004415,1768,0.8800,p14@CREM,1390,2352,"C9J785,C9J2J0,C9J5A7,Q03060",CREM,"cAMP responsive element modulator","gene with protein product"
8,T095018,1766,0.8790,p2@ATPAF1-AS1,,29589,,TEX38,"testis expressed 38","gene with protein product"
9,T100886,1760,0.8743,p2@GTSF1L,149699,16198,"Q9H1H1,Q5JWH5",GTSF1L,"gametocyte specific factor 1 like","gene with protein product"
10,T148379,1741,0.8675,p14@FBN2,2201,3604,D6REJ2,FBN2,"fibrillin 2","gene with protein product"
11,T092745,1732,0.8634,p3@ZNF683,257101,28495,,ZNF683,"zinc finger protein 683","gene with protein product"
12,T156838,1710,0.8520,p1@SPATA9,83890,22988,Q9BWV2,SPATA9,"spermatogenesis associated 9","gene with protein product"
13,T022333,1710,0.8516,p8@CCDC62,84660,30723,F5H0F1,CCDC62,"coiled-coil domain containing 62","gene with protein product"
14,T106889,1705,0.8504,p3@ZNF280B,140883,23022,Q86YH2,ZNF280B,"zinc finger protein 280B","gene with protein product"
15,T122642,1689,0.8416,p6@DHX57,90957,20086,F8WAZ3,DHX57,"DExH-box helicase 57","gene with protein product"
16,T073625,1682,0.8368,p5@THEG,51298,13706,,THEG,"theg spermatid protein","gene with protein product"
17,T074722,1673,0.8348,p3@LYPD4,147719,28659,Q6UWN0,LYPD4,"LY6/PLAUR domain containing 4","gene with protein product"
