Hs-EMX2,2000,1000,T001598-EMX2,"p3@EMX2"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T136840,2006,1.0000,p3@FEZF2,55079,13506,Q8TBJ5,FEZF2,"FEZ family zinc finger 2","gene with protein product"
2,T001597,2002,1.0000,p5@EMX2,2018,3341,Q04743,EMX2,"empty spiracles homeobox 2","gene with protein product"
3,T001578,2009,1.0000,p7@EMX2OS,,18511,,EMX2OS,"EMX2 opposite strand/antisense RNA","RNA, long non-coding"
4,T001600,2011,1.0000,p2@EMX2,2018,3341,,EMX2,"empty spiracles homeobox 2","gene with protein product"
5,T001585,2007,0.9990,p3@EMX2OS,196047,18511,,EMX2OS,"EMX2 opposite strand/antisense RNA","RNA, long non-coding"
6,T031501,2006,0.9990,p1@SOX1,6656,11189,O00570,SOX1,"SRY-box 1","gene with protein product"
7,T001599,2008,0.9980,p25@EMX2,2018,3341,,EMX2,"empty spiracles homeobox 2","gene with protein product"
8,T001595,2002,0.9980,p9@EMX2,2018,3341,"G3V305,Q04743",EMX2,"empty spiracles homeobox 2","gene with protein product"
9,T006968,2004,0.9975,p4@ZNF503,84858,23589,Q96F45,ZNF503,"zinc finger protein 503","gene with protein product"
10,T001583,2006,0.9960,p11@EMX2OS,,18511,,EMX2OS,"EMX2 opposite strand/antisense RNA","RNA, long non-coding"
11,T052025,2002,0.9960,p2@TOX3,27324,11972,"O15405,B4DRD0",TOX3,"TOX high mobility group box family member 3","gene with protein product"
12,T152791,1997,0.9955,p6@PDLIM7,9260,22958,,PDLIM7,"PDZ and LIM domain 7","gene with protein product"
13,T096071,1997,0.9950,p1@CACHD1,57685,29314,Q5VU97,CACHD1,"cache domain containing 1","gene with protein product"
14,T001593,1995,0.9940,p1@EMX2,2018,3341,"G3V305,Q04743",EMX2,"empty spiracles homeobox 2","gene with protein product"
15,T058590,1999,0.9930,p6@FKBP10,60681,18169,,FKBP10,"FK506 binding protein 10","gene with protein product"
16,T127518,1993,0.9920,p15@BOC,91653,17173,Q96DN7,BOC,"BOC cell adhesion associated, oncogene regulated","gene with protein product"
17,T048281,1991,0.9920,p43@NR2F2,7026,7976,B4DQJ2,NR2F2,"nuclear receptor subfamily 2 group F member 2","gene with protein product"
18,T175493,1991,0.9915,p2@GLI3,2737,4319,F8WEV4,GLI3,"GLI family zinc finger 3","gene with protein product"
19,T001586,1991,0.9915,p5@EMX2OS,196047,18511,,EMX2OS,"EMX2 opposite strand/antisense RNA","RNA, long non-coding"
20,T152784,1987,0.9905,p35@PDLIM7,9260,22958,,PDLIM7,"PDZ and LIM domain 7","gene with protein product"
21,T031502,1986,0.9895,p2@SOX1,6656,11189,O00570,SOX1,"SRY-box 1","gene with protein product"
22,T162196,1991,0.9891,p4@DLL1,28514,2908,O00548,DLL1,"delta like canonical Notch ligand 1","gene with protein product"
23,T016291,1989,0.9891,p1@DRD4,1815,3025,P21917,DRD4,"dopamine receptor D4","gene with protein product"
24,T146546,1983,0.9875,p2@PTPN13,5783,9646,D6R9M4,PTPN13,"protein tyrosine phosphatase, non-receptor type 13","gene with protein product"
25,T031506,1981,0.9875,p6@SOX1,6656,11189,O00570,SOX1,"SRY-box 1","gene with protein product"
26,T021321,1982,0.9871,p2@LHX5,64211,14216,Q9H2C1,LHX5,"LIM homeobox 5","gene with protein product"
27,T001580,1981,0.9861,p9@EMX2OS,,18511,,EMX2OS,"EMX2 opposite strand/antisense RNA","RNA, long non-coding"
28,T001588,1978,0.9856,p8@EMX2OS,196047,18511,,EMX2OS,"EMX2 opposite strand/antisense RNA","RNA, long non-coding"
29,T199077,1979,0.9851,p1@ARX,170302,18060,Q96QS3,ARX,"aristaless related homeobox","gene with protein product"
30,T173748,1976,0.9850,p4@SP8,221833,19196,Q7Z615,SP8,"Sp8 transcription factor","gene with protein product"
31,T097905,1978,0.9812,p9@HES4,57801,24149,,HES4,"hes family bHLH transcription factor 4","gene with protein product"
32,T175492,1967,0.9801,p1@GLI3,2737,4319,F8WEV4,GLI3,"GLI family zinc finger 3","gene with protein product"
33,T006966,1968,0.9791,p1@ZNF503,84858,23589,Q96F45,ZNF503,"zinc finger protein 503","gene with protein product"
34,T120389,1966,0.9786,p1@TRPM8,79054,17961,"Q7Z2W7,Q3YFM7",TRPM8,"transient receptor potential cation channel subfamily M member 8","gene with protein product"
35,T031503,1964,0.9781,p3@SOX1,6656,11189,O00570,SOX1,"SRY-box 1","gene with protein product"
36,T048266,1961,0.9771,p10@NR2F2,7026,7976,"F1D8R0,P24468",NR2F2,"nuclear receptor subfamily 2 group F member 2","gene with protein product"
37,T190684,1962,0.9766,p1@BARHL1,56751,953,"Q5T6V2,Q9BZE3",BARHL1,"BarH like homeobox 1","gene with protein product"
38,T198245,1961,0.9766,p3@SLC6A8,6535,11055,"P48029,Q59EV7",SLC6A8,"solute carrier family 6 member 8","gene with protein product"
39,T168034,1958,0.9761,p23@TPBG,7162,12004,"A8K555,Q13641",TPBG,"trophoblast glycoprotein","gene with protein product"
40,T097517,1963,0.9752,p3@CCBL2,56267,33238,,KYAT3,"kynurenine aminotransferase 3","gene with protein product"
41,T001594,1955,0.9751,p4@EMX2,2018,3341,"G3V305,Q04743",EMX2,"empty spiracles homeobox 2","gene with protein product"
42,T200716,1955,0.9751,p2@HEPH,9843,4866,E7ES21,HEPH,hephaestin,"gene with protein product"
43,T174918,1954,0.9736,p2@RP9P,441212,33969,,RP9P,"retinitis pigmentosa 9 pseudogene",pseudogene
44,T021322,1952,0.9726,p1@LHX5,64211,14216,Q9H2C1,LHX5,"LIM homeobox 5","gene with protein product"
45,T132748,1958,0.9712,p3@MASP1,5648,6901,,MASP1,"mannan binding lectin serine peptidase 1","gene with protein product"
46,T001587,1954,0.9712,p4@EMX2OS,196047,18511,,EMX2OS,"EMX2 opposite strand/antisense RNA","RNA, long non-coding"
47,T050632,1951,0.9711,p3@PRRT2,112476,30500,,PRRT2,"proline rich transmembrane protein 2","gene with protein product"
48,T190685,1951,0.9706,p6@BARHL1,56751,953,Q5T6V2,BARHL1,"BarH like homeobox 1","gene with protein product"
49,T001590,1949,0.9706,p13@EMX2OS,196047,18511,,EMX2OS,"EMX2 opposite strand/antisense RNA","RNA, long non-coding"
50,T184329,1948,0.9696,p2@TTI2,80185,26262,E5RH83,TTI2,"TELO2 interacting protein 2","gene with protein product"
51,T135541,1943,0.9681,p3@DALRD3,55152,25536,,DALRD3,"DALR anticodon binding domain containing 3","gene with protein product"
52,T031504,1939,0.9661,p4@SOX1,6656,11189,O00570,SOX1,"SRY-box 1","gene with protein product"
53,T048265,1942,0.9657,p40@NR2F2,7026,7976,"F1D8R0,P24468",NR2F2,"nuclear receptor subfamily 2 group F member 2","gene with protein product"
54,T001582,1933,0.9636,p2@EMX2OS,,18511,,EMX2OS,"EMX2 opposite strand/antisense RNA","RNA, long non-coding"
55,T001581,1931,0.9626,p1@EMX2OS,,18511,,EMX2OS,"EMX2 opposite strand/antisense RNA","RNA, long non-coding"
56,T048150,1934,0.9622,p8@RGMA,56963,30308,Q96B86,RGMA,"repulsive guidance molecule family member a","gene with protein product"
57,T164076,1931,0.9617,p11@BAG6,7917,13919,,BAG6,"BCL2 associated athanogene 6","gene with protein product"
58,T075106,1928,0.9611,p4@ZNF428,126299,20804,Q96B54,ZNF428,"zinc finger protein 428","gene with protein product"
59,T098424,1930,0.9607,p4@JAG1,182,6188,P78504,JAG1,"jagged 1","gene with protein product"
60,T190683,1924,0.9577,p8@BARHL1,56751,953,"Q5T6V2,Q9BZE3",BARHL1,"BarH like homeobox 1","gene with protein product"
61,T192315,1926,0.9573,p5@DMRTA1,63951,13826,Q5VZB9,DMRTA1,"DMRT like family A1","gene with protein product"
62,T016296,1917,0.9556,p3@DRD4,1815,3025,"P21917,Q16303",DRD4,"dopamine receptor D4","gene with protein product"
