Hs-PRMT7,2000,1000,T053289-PRMT7,"p3@PRMT7"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T063856,2008,1.0000,p7@TP53,7157,11998,,TP53,"tumor protein p53","gene with protein product"
2,T048426,2007,1.0000,p29@IGF1R,3480,5465,,IGF1R,"insulin like growth factor 1 receptor","gene with protein product"
3,T170336,2009,0.9995,p7@FEZF1,389549,22788,C9J0C5,FEZF1,"FEZ family zinc finger 1","gene with protein product"
4,T060075,2005,0.9995,p3@IGF2BP1,10642,28866,"Q9NZI8,C9JT33",IGF2BP1,"insulin like growth factor 2 mRNA binding protein 1","gene with protein product"
5,T043736,2010,0.9990,p2@TUBGCP4,27229,16691,Q9UGJ1,TUBGCP4,"tubulin gamma complex associated protein 4","gene with protein product"
6,T201747,2010,0.9990,p1@SRY,6736,11311,Q05066,SRY,"sex determining region Y","gene with protein product"
7,T128248,2008,0.9990,p1@SEMA5B,54437,10737,"C9JKR3,Q9P283",SEMA5B,"semaphorin 5B","gene with protein product"
8,T111694,2008,0.9990,p2@TMEM177,80775,28143,Q53S58,TMEM177,"transmembrane protein 177","gene with protein product"
9,T063145,2008,0.9990,p5@FGF11,2256,3667,,FGF11,"fibroblast growth factor 11","gene with protein product"
10,T055778,2007,0.9990,p1@CENPV,201161,29920,Q7Z7K6,CENPV,"centromere protein V","gene with protein product"
11,T121628,2006,0.9990,p5@CAD,790,1424,P27708,CAD,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase","gene with protein product"
12,T024668,2005,0.9990,p8@BICD1,636,1049,,BICD1,"BICD cargo adaptor 1","gene with protein product"
13,T073243,2005,0.9990,p4@TMEM147,10430,30414,E9PM02,TMEM147,"transmembrane protein 147","gene with protein product"
14,T071135,2004,0.9990,p8@F2RL3,9002,3540,Q96RI0,F2RL3,"F2R like thrombin/trypsin receptor 3","gene with protein product"
15,T085697,2003,0.9990,p2@CROCC,9696,21299,Q5TZA2,CROCC,"ciliary rootlet coiled-coil, rootletin","gene with protein product"
16,T168514,2003,0.9990,p3@GPR63,81491,13302,"Q9BZJ6,A8K1C4",GPR63,"G protein-coupled receptor 63","gene with protein product"
17,T026928,2002,0.9990,p2@GDF11,10220,4216,O95390,GDF11,"growth differentiation factor 11","gene with protein product"
18,T191243,2001,0.9990,p4@C9orf69,,31009,,C9orf69,"chromosome 9 open reading frame 69","gene with protein product"
19,T126342,2015,0.9985,p4@STARD7,56910,18063,Q9NQZ5,STARD7,"StAR related lipid transfer domain containing 7","gene with protein product"
20,T170320,2006,0.9985,p5@FEZF1,389549,22788,A0PJY2,FEZF1,"FEZ family zinc finger 1","gene with protein product"
21,T164261,2005,0.9985,p1@ZBTB12,221527,19066,Q9Y330,ZBTB12,"zinc finger and BTB domain containing 12","gene with protein product"
22,T072001,2003,0.9985,p2@ZNF826P,664701,33875,,ZNF826P,"zinc finger protein 826, pseudogene",pseudogene
23,T080099,2002,0.9985,p15@PRPF38B,55119,25512,,PRPF38B,"pre-mRNA processing factor 38B","gene with protein product"
24,T012184,2004,0.9980,p30@SOX6,55553,16421,,SOX6,"SRY-box 6","gene with protein product"
25,T094532,2004,0.9980,p3@YBX1,4904,8014,,YBX1,"Y-box binding protein 1","gene with protein product"
26,T112154,2002,0.9980,p5@MZT2B,80097,25886,,MZT2B,"mitotic spindle organizing protein 2B","gene with protein product"
27,T094252,2000,0.9980,p11@PABPC4,8761,8557,"Q4VC03,Q13310",PABPC4,"poly(A) binding protein cytoplasmic 4","gene with protein product"
28,T109149,2006,0.9975,p2@XPNPEP3,63929,28052,F2Z316,XPNPEP3,"X-prolyl aminopeptidase 3","gene with protein product"
29,T176346,2006,0.9975,p24@LANCL2,55915,6509,"Q9NS86,B3KTN5",LANCL2,"LanC like 2","gene with protein product"
30,T025794,2001,0.9975,p2@SMARCD1,6602,11106,"F5GY02,F8VUB0",SMARCD1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1","gene with protein product"
31,T168195,2002,0.9960,p5@SNX14,57231,14977,,SNX14,"sorting nexin 14","gene with protein product"
32,T162554,2001,0.9955,p7@LINC00340,401237,28245,,CASC15,"cancer susceptibility candidate 15 (non-protein coding)","RNA, long non-coding"
33,T201771,1998,0.9955,p1@TBL1Y,90665,18502,"Q9BQ87,F5H6C0",TBL1Y,"transducin beta like 1, Y-linked","gene with protein product"
34,T059625,1997,0.9950,p3@SMTNL2,342527,24764,Q2TAL5,SMTNL2,"smoothelin like 2","gene with protein product"
35,T193248,1999,0.9930,p3@FBXO10,26267,13589,F5GXN9,FBXO10,"F-box protein 10","gene with protein product"
36,T197663,1994,0.9930,p3@ATP11C,286410,13554,,ATP11C,"ATPase phospholipid transporting 11C","gene with protein product"
37,T104296,1991,0.9920,p6@CYYR1,116159,16274,A8MTU9,CYYR1,"cysteine and tyrosine rich 1","gene with protein product"
38,T111062,1988,0.9920,p2@SLC20A1,6574,10946,,SLC20A1,"solute carrier family 20 member 1","gene with protein product"
39,T085076,1997,0.9916,p12@PBX1,5087,8632,P40424,PBX1,"PBX homeobox 1","gene with protein product"
40,T122878,1993,0.9915,p9@MTA3,57504,23784,,MTA3,"metastasis associated 1 family member 3","gene with protein product"
41,T020521,1996,0.9911,p33@CKAP4,10970,16991,Q07065,CKAP4,"cytoskeleton associated protein 4","gene with protein product"
42,T024539,1991,0.9910,p4@TSPAN11,441631,30795,F5H195,TSPAN11,"tetraspanin 11","gene with protein product"
43,T113696,1988,0.9905,p6@DDX1,1653,2734,Q92499,DDX1,"DEAD-box helicase 1","gene with protein product"
44,T155061,1988,0.9895,p4@SREK1IP1,285672,26716,,SREK1IP1,"SREK1 interacting protein 1","gene with protein product"
45,T149625,1990,0.9891,p3@PCDHB2,56133,8687,Q9Y5E7,PCDHB2,"protocadherin beta 2",protocadherin
46,T001871,1984,0.9890,p2@NSMCE4A,54780,25935,Q9NXX6,NSMCE4A,"NSE4 homolog A, SMC5-SMC6 complex component","gene with protein product"
47,T136065,1984,0.9885,p7@PCBP4,57060,8652,"C9JZY3,C9J5V4",PCBP4,"poly(rC) binding protein 4","gene with protein product"
48,T058895,1982,0.9885,p5@AARSD1,80755,28417,Q9BTE6,AARSD1,"alanyl-tRNA synthetase domain containing 1","gene with protein product"
49,T078611,1983,0.9880,p1@ZNF814,730051,33258,B7Z6K7,ZNF814,"zinc finger protein 814","gene with protein product"
50,T050602,1980,0.9875,p17@MAZ,4150,6914,,MAZ,"MYC associated zinc finger protein","gene with protein product"
51,T116033,1982,0.9866,p9@UBE2E3,10477,12479,C9IYU3,UBE2E3,"ubiquitin conjugating enzyme E2 E3","gene with protein product"
52,T076486,1984,0.9856,p4@BCAT2,587,977,,BCAT2,"branched chain amino acid transaminase 2","gene with protein product"
53,T185927,1982,0.9856,p1@XKR5,389610,20782,,XKR5,"XK related 5","gene with protein product"
54,T058646,1979,0.9856,p2@DNAJC7,7266,12392,Q7Z784,DNAJC7,"DnaJ heat shock protein family (Hsp40) member C7","gene with protein product"
55,T024540,1978,0.9856,p2@TSPAN11,441631,30795,F5H195,TSPAN11,"tetraspanin 11","gene with protein product"
56,T087028,1983,0.9851,p10@PAX7,5081,8621,"P23759,E9PFV9,Q2PJS5",PAX7,"paired box 7","gene with protein product"
57,T170335,1976,0.9846,p6@FEZF1,389549,22788,C9J0C5,FEZF1,"FEZ family zinc finger 1","gene with protein product"
58,T145936,1976,0.9826,p1@FRAS1,80144,19185,"E9PHH6,E7EWM9,A2RRR8,Q86XX4",FRAS1,"Fraser extracellular matrix complex subunit 1","gene with protein product"
59,T128247,1971,0.9816,p2@SEMA5B,54437,10737,D3YTI7,SEMA5B,"semaphorin 5B","gene with protein product"
60,T170319,1969,0.9816,p2@FEZF1,389549,22788,A0PJY2,FEZF1,"FEZ family zinc finger 1","gene with protein product"
61,T182148,1979,0.9812,p1@ZNF696,79943,25872,"Q9H7X3,E5RFI7,E5RH99,E5RH76",ZNF696,"zinc finger protein 696","gene with protein product"
62,T188200,1970,0.9811,p17@ZNF462,58499,21684,"Q96JM2,Q63HJ5",ZNF462,"zinc finger protein 462","gene with protein product"
63,T177163,1969,0.9806,p10@GTF2I,2969,4659,Q86U51,GTF2I,"general transcription factor IIi","gene with protein product"
64,T126791,1968,0.9806,p3@FANCD2,2177,3585,,FANCD2,"Fanconi anemia complementation group D2","gene with protein product"
65,T196102,1970,0.9801,p4@TMSB15B,,28612,,TMSB15B,"thymosin beta 15B","gene with protein product"
66,T060076,1969,0.9801,p1@IGF2BP1,10642,28866,,IGF2BP1,"insulin like growth factor 2 mRNA binding protein 1","gene with protein product"
67,T069606,1965,0.9800,p7@HMHA1,23526,17102,F5H1R4,ARHGAP45,"Rho GTPase activating protein 45","gene with protein product"
68,T012797,1968,0.9791,p1@DBX1,120237,33185,,DBX1,"developing brain homeobox 1","gene with protein product"
69,T087029,1966,0.9791,p3@PAX7,5081,8621,"P23759,E9PFV9,Q2PJS5",PAX7,"paired box 7","gene with protein product"
70,T162553,1967,0.9781,p9@LINC00340,401237,28245,,CASC15,"cancer susceptibility candidate 15 (non-protein coding)","RNA, long non-coding"
71,T031610,1969,0.9777,p2@CUL4A,8451,2554,Q13619,CUL4A,"cullin 4A","gene with protein product"
72,T185071,1962,0.9776,p2@MCM4,4173,6947,,MCM4,"minichromosome maintenance complex component 4","gene with protein product"
73,T094533,1961,0.9771,p6@YBX1,4904,8014,,YBX1,"Y-box binding protein 1","gene with protein product"
74,T082062,1960,0.9761,p8@PLEKHO1,51177,24310,,PLEKHO1,"pleckstrin homology domain containing O1","gene with protein product"
75,T152601,1956,0.9760,p3@RNF44,22838,19180,D6RAW5,RNF44,"ring finger protein 44","gene with protein product"
76,T191242,1956,0.9751,p6@C9orf69,,31009,,C9orf69,"chromosome 9 open reading frame 69","gene with protein product"
77,T016106,1953,0.9746,p18@SLC3A2,6520,11026,,SLC3A2,"solute carrier family 3 member 2","gene with protein product"
78,T200849,1957,0.9741,p4@MED12,9968,11957,,MED12,"mediator complex subunit 12","gene with protein product"
