Hs-SMARCA5,2000,1000,T140229-SMARCA5,"p3@SMARCA5"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T043668,2006,1.0000,p3@HAUS2,55142,25530,Q9NVX0,HAUS2,"HAUS augmin like complex subunit 2","gene with protein product"
2,T140228,2005,0.9990,p1@SMARCA5,8467,11101,F5GZI1,SMARCA5,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5","gene with protein product"
3,T043537,2005,0.9985,p2@RTF1,23168,28996,,RTF1,"RTF1 homolog, Paf1/RNA polymerase II complex component","gene with protein product"
4,T068239,2002,0.9985,p5@ZCCHC2,54877,22916,,ZCCHC2,"zinc finger CCHC-type containing 2","gene with protein product"
5,T091438,2000,0.9980,p16@EDARADD,128178,14341,Q8WWZ3,EDARADD,"EDAR associated death domain","gene with protein product"
6,T178113,2005,0.9975,p3@ANKIB1,54467,22215,Q9P2G1,ANKIB1,"ankyrin repeat and IBR domain containing 1","gene with protein product"
7,T168255,2003,0.9970,p6@AKIRIN2,55122,21407,Q53H80,AKIRIN2,"akirin 2","gene with protein product"
8,T050199,2001,0.9970,p2@IL4R,3566,6015,F8W7M1,IL4R,"interleukin 4 receptor","gene with protein product"
9,T058912,2004,0.9965,p5@IFI35,3430,5399,,IFI35,"interferon induced protein 35","gene with protein product"
10,T177419,2000,0.9965,p2@RSBN1L,222194,24765,Q6PCB5,RSBN1L,"round spermatid basic protein 1 like","gene with protein product"
11,T143274,2003,0.9960,p2@TNIP2,79155,19118,Q8NFZ5,TNIP2,"TNFAIP3 interacting protein 2","gene with protein product"
12,T051083,1998,0.9955,p7@HSD3B7,80270,18324,"Q96M28,Q9H2F3",HSD3B7,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7","gene with protein product"
13,T186958,1998,0.9950,p7@ERI1,90459,23994,E5RIV7,ERI1,"exoribonuclease 1","gene with protein product"
14,T161317,1996,0.9940,p3@RSPH3,83861,21054,,RSPH3,"radial spoke 3 homolog","gene with protein product"
15,T143123,1996,0.9930,p1@PI4K2B,55300,18215,"B3KY39,Q8TCG2",PI4K2B,"phosphatidylinositol 4-kinase type 2 beta","gene with protein product"
16,T168254,1995,0.9930,p2@AKIRIN2,55122,21407,Q53H80,AKIRIN2,"akirin 2","gene with protein product"
17,T138516,1991,0.9930,p49@UBE2D3,7323,12476,D6R9F6,UBE2D3,"ubiquitin conjugating enzyme E2 D3","gene with protein product"
18,T138954,1992,0.9925,p1@C4orf32,132720,26813,Q8N8J7,C4orf32,"chromosome 4 open reading frame 32","gene with protein product"
19,T088537,1991,0.9920,p6@RAB7L1,8934,9789,,RAB29,"RAB29, member RAS oncogene family","gene with protein product"
20,T166151,1988,0.9905,p4@TMEM63B,55362,17735,,TMEM63B,"transmembrane protein 63B","gene with protein product"
21,T145165,1987,0.9876,p5@RUFY3,22902,30285,Q7L099,RUFY3,"RUN and FYVE domain containing 3","gene with protein product"
22,T050218,1982,0.9875,p1@IL21R,50615,6006,Q9HBE5,IL21R,"interleukin 21 receptor","gene with protein product"
23,T163938,1979,0.9875,p12@LTA,4049,6709,,LTA,"lymphotoxin alpha","gene with protein product"
24,T138969,1982,0.9871,p10@TIFA,92610,19075,Q96CG3,TIFA,"TRAF interacting protein with forkhead associated domain","gene with protein product"
25,T105774,1988,0.9856,p1@AGPAT3,56894,326,Q9NRZ7,AGPAT3,"1-acylglycerol-3-phosphate O-acyltransferase 3","gene with protein product"
26,T101840,1978,0.9856,p4@STAU1,6780,11370,"Q5JW30,Q5JW29,O95793,Q5JW28,B3KRE0,Q6PJX3",STAU1,"staufen double-stranded RNA binding protein 1","gene with protein product"
27,T068693,1976,0.9841,p5@TIMM21,29090,25010,"Q9BVV7,A8K1K8",TIMM21,"translocase of inner mitochondrial membrane 21","gene with protein product"
28,T125115,1979,0.9831,p2@DUSP11,8446,3066,C9JGC8,DUSP11,"dual specificity phosphatase 11","gene with protein product"
29,T062635,1975,0.9831,p3@SSTR2,6752,11331,P30874,SSTR2,"somatostatin receptor 2","gene with protein product"
30,T047520,1975,0.9831,p1@ISG20,3669,6130,,ISG20,"interferon stimulated exonuclease gene 20","gene with protein product"
31,T124019,1975,0.9831,p2@PAPOLG,64895,14982,F8WAT4,PAPOLG,"poly(A) polymerase gamma","gene with protein product"
32,T180513,1980,0.9826,p6@SQLE,6713,11279,Q14534,SQLE,"squalene epoxidase","gene with protein product"
33,T093792,1973,0.9826,p9@ZMYM4,9202,13055,Q5VZL5,ZMYM4,"zinc finger MYM-type containing 4","gene with protein product"
34,T057663,1970,0.9825,p2@C17orf96,100170841,34493,A6NHQ4,EPOP,"elongin BC and polycomb repressive complex 2 associated protein","gene with protein product"
35,T032212,1972,0.9821,p5@RPL21,6144,10313,P46778,RPL21,"ribosomal protein L21","gene with protein product"
36,T106514,1974,0.9811,p3@USP18,11274,12616,"Q53Y90,Q9UMW8",USP18,"ubiquitin specific peptidase 18","gene with protein product"
37,T058715,1968,0.9806,p3@STAT5A,6776,11366,"Q59GY7,Q1KLZ6",STAT5A,"signal transducer and activator of transcription 5A","gene with protein product"
38,T040612,1974,0.9797,p2@BATF,10538,958,,BATF,"basic leucine zipper ATF-like transcription factor","gene with protein product"
39,T047521,1970,0.9796,p2@ISG20,3669,6130,,ISG20,"interferon stimulated exonuclease gene 20","gene with protein product"
40,T005570,1968,0.9786,p5@CCDC6,8030,18782,"Q05CP8,Q16204",CCDC6,"coiled-coil domain containing 6","gene with protein product"
41,T091443,1959,0.9785,p3@EDARADD,128178,14341,"A8K7B5,Q8WWZ3",EDARADD,"EDAR associated death domain","gene with protein product"
42,T037839,1963,0.9781,p6@FAM177A1,283635,19829,Q8N128,FAM177A1,"family with sequence similarity 177 member A1","gene with protein product"
43,T050225,1968,0.9776,p8@IL21R,50615,6006,Q9HBE5,IL21R,"interleukin 21 receptor","gene with protein product"
44,T097213,1963,0.9776,p1@MCOLN2,255231,13357,"G5EA24,Q8IZK6",MCOLN2,"mucolipin 2","gene with protein product"
45,T072966,1958,0.9761,p21@GRAMD1A,57655,29305,Q96CP6,GRAMD1A,"GRAM domain containing 1A","gene with protein product"
46,T013625,1960,0.9756,p3@CSTF3,1479,2485,E9PLP8,CSTF3,"cleavage stimulation factor subunit 3","gene with protein product"
47,T136107,1956,0.9746,p1@ALAS1,211,396,P13196,ALAS1,"5'-aminolevulinate synthase 1","gene with protein product"
48,T088421,1955,0.9741,p2@DSTYK,25778,29043,Q6XUX3,DSTYK,"dual serine/threonine and tyrosine protein kinase","gene with protein product"
49,T005905,1956,0.9727,p2@EGR2,1959,3239,P11161,EGR2,"early growth response 2","gene with protein product"
50,T138953,1959,0.9717,p2@C4orf32,132720,26813,Q8N8J7,C4orf32,"chromosome 4 open reading frame 32","gene with protein product"
51,T124309,1951,0.9702,p7@AFTPH,54812,25951,,AFTPH,aftiphilin,"gene with protein product"
52,T140286,1945,0.9701,p3@OTUD4,54726,24949,G3V0I6,OTUD4,"OTU deubiquitinase 4","gene with protein product"
53,T068237,1949,0.9697,p2@ZCCHC2,54877,22916,"Q9C0B9,Q9BRD4",ZCCHC2,"zinc finger CCHC-type containing 2","gene with protein product"
54,T131256,1948,0.9696,p8@OXNAD1,92106,25128,F8WB50,OXNAD1,"oxidoreductase NAD binding domain containing 1","gene with protein product"
55,T054223,1944,0.9691,p1@CDYL2,124359,23030,Q8N8U2,CDYL2,"chromodomain Y-like 2","gene with protein product"
56,T058716,1953,0.9678,p4@STAT5A,6776,11366,,STAT5A,"signal transducer and activator of transcription 5A","gene with protein product"
57,T086554,1943,0.9676,p1@SMG7,9887,16792,"Q92540,B1ALB4,E9PBK2,E9PEH2,D6RAD0,E9PCI0",SMG7,"SMG7, nonsense mediated mRNA decay factor","gene with protein product"
58,T179292,1942,0.9676,p5@RRM2B,50484,17296,B4E2N4,RRM2B,"ribonucleotide reductase regulatory TP53 inducible subunit M2B","gene with protein product"
59,T178114,1943,0.9671,p4@ANKIB1,54467,22215,Q9P2G1,ANKIB1,"ankyrin repeat and IBR domain containing 1","gene with protein product"
60,T040611,1949,0.9663,p1@BATF,10538,958,Q16520,BATF,"basic leucine zipper ATF-like transcription factor","gene with protein product"
61,T054221,1940,0.9657,p5@CDYL2,124359,23030,Q8N8U2,CDYL2,"chromodomain Y-like 2","gene with protein product"
62,T008637,1936,0.9651,p5@LCOR,84458,29503,,LCOR,"ligand dependent nuclear receptor corepressor","gene with protein product"
63,T005907,1929,0.9631,p7@EGR2,1959,3239,P11161,EGR2,"early growth response 2","gene with protein product"
64,T164548,1936,0.9627,p3@TAP1,6890,43,F5H648,TAP1,"transporter 1, ATP binding cassette subfamily B member","gene with protein product"
65,T103323,1927,0.9621,p2@HAR1B,,33118,,HAR1B,"highly accelerated region 1B (non-protein coding)","RNA, long non-coding"
66,T037838,1928,0.9616,p1@FAM177A1,283635,19829,Q8N128,FAM177A1,"family with sequence similarity 177 member A1","gene with protein product"
67,T124308,1930,0.9602,p3@AFTPH,54812,25951,,AFTPH,aftiphilin,"gene with protein product"
68,T057664,1932,0.9598,p1@C17orf96,100170841,34493,A6NHQ4,EPOP,"elongin BC and polycomb repressive complex 2 associated protein","gene with protein product"
69,T136255,1932,0.9588,p13@GNL3,26354,29931,Q9BVP2,GNL3,"G protein nucleolar 3","gene with protein product"
70,T146781,1925,0.9587,p2@PPM1K,152926,25415,Q8N3J5,PPM1K,"protein phosphatase, Mg2+/Mn2+ dependent 1K","gene with protein product"
71,T197075,1924,0.9577,p3@RAB33A,9363,9773,Q14088,RAB33A,"RAB33A, member RAS oncogene family","gene with protein product"
72,T130656,1920,0.9576,p2@SH3BP5,9467,10827,B3KQW6,SH3BP5,"SH3 domain binding protein 5","gene with protein product"
73,T036261,1921,0.9571,p5@APEX1,328,587,,APEX1,"apurinic/apyrimidinic endodeoxyribonuclease 1","gene with protein product"
74,T058751,1920,0.9547,p2@STAT3,6774,11364,P40763,STAT3,"signal transducer and activator of transcription 3","gene with protein product"
75,T128682,1914,0.9546,p1@MGLL,11343,17038,Q99685,MGLL,"monoglyceride lipase","gene with protein product"
76,T171494,1914,0.9546,p6@TRIM24,8805,11812,,TRIM24,"tripartite motif containing 24","gene with protein product"
77,T106515,1916,0.9542,p1@USP18,11274,12616,"Q53Y90,Q9UMW8",USP18,"ubiquitin specific peptidase 18","gene with protein product"
78,T091439,1910,0.9531,p12@EDARADD,128178,14341,Q8WWZ3,EDARADD,"EDAR associated death domain","gene with protein product"
79,T052990,1912,0.9527,p2@FBXL8,55336,17875,Q96CD0,FBXL8,"F-box and leucine rich repeat protein 8","gene with protein product"
80,T062634,1910,0.9521,p1@SSTR2,6752,11331,P30874,SSTR2,"somatostatin receptor 2","gene with protein product"
81,T091422,1909,0.9521,p2@GPR137B,7107,11862,O60478,GPR137B,"G protein-coupled receptor 137B","gene with protein product"
82,T105031,1906,0.9492,p4@DYRK1A,1859,3091,,DYRK1A,"dual specificity tyrosine phosphorylation regulated kinase 1A","gene with protein product"
83,T186915,1905,0.9487,p2@MFHAS1,9258,16982,Q9Y4C4,MFHAS1,"malignant fibrous histiocytoma amplified sequence 1","gene with protein product"
84,T101320,1907,0.9483,p4@WFDC3,140686,15957,,WFDC3,"WAP four-disulfide core domain 3","gene with protein product"
85,T047519,1906,0.9483,p5@ISG20,3669,6130,,ISG20,"interferon stimulated exonuclease gene 20","gene with protein product"
86,T092911,1903,0.9472,p3@WASF2,10163,12733,Q9Y6W5,WASF2,"WAS protein family member 2","gene with protein product"
87,T138530,1901,0.9467,p12@UBE2D3,7323,12476,P61077,UBE2D3,"ubiquitin conjugating enzyme E2 D3","gene with protein product"
88,T097212,1897,0.9457,p3@MCOLN2,255231,13357,,MCOLN2,"mucolipin 2","gene with protein product"
89,T100739,1895,0.9433,p1@TOP1,7150,11986,P11387,TOP1,"topoisomerase (DNA) I","gene with protein product"
90,T002502,1894,0.9414,p2@OPTN,10133,17142,Q96CV9,OPTN,optineurin,"gene with protein product"
91,T025684,1890,0.9412,p3@FMNL3,91010,23698,,FMNL3,"formin like 3","gene with protein product"
92,T079069,1887,0.9411,p1@TRIP10,9322,12304,Q15642,TRIP10,"thyroid hormone receptor interactor 10","gene with protein product"
93,T088338,1895,0.9409,p10@PIK3C2B,5287,8972,Q5SW98,PIK3C2B,"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta","gene with protein product"
94,T148884,1889,0.9403,p1@SEC24A,10802,10703,O95486,SEC24A,"SEC24 homolog A, COPII coat complex component","gene with protein product"
95,T164549,1886,0.9402,p5@TAP1,6890,43,F5H648,TAP1,"transporter 1, ATP binding cassette subfamily B member","gene with protein product"
96,T067354,1889,0.9393,p10@C18orf25,147339,28172,Q96B23,C18orf25,"chromosome 18 open reading frame 25","gene with protein product"
97,T160155,1883,0.9392,p11@STX11,8676,11429,O75558,STX11,"syntaxin 11","gene with protein product"
98,T053445,1886,0.9388,p4@NFAT5,10725,7774,,NFAT5,"nuclear factor of activated T-cells 5","gene with protein product"
99,T105417,1888,0.9384,p1@MX1,4599,7532,C9JZS6,MX1,"MX dynamin like GTPase 1","gene with protein product"
100,T092795,1885,0.9378,p4@ARID1A,8289,11110,O14497,ARID1A,"AT-rich interaction domain 1A","gene with protein product"
101,T005538,1879,0.9376,p1@RBM17,84991,16944,"Q5W010,Q5W012",RBM17,"RNA binding motif protein 17","gene with protein product"
102,T007603,1884,0.9368,p1@FAM190B,54462,29197,Q9H7U1,CCSER2,"coiled-coil serine rich protein 2","gene with protein product"
103,T089477,1880,0.9367,p4@BATF3,55509,28915,,BATF3,"basic leucine zipper ATF-like transcription factor 3","gene with protein product"
104,T073581,1882,0.9359,p6@ZNF529,57711,29328,,ZNF529,"zinc finger protein 529","gene with protein product"
105,T037383,1879,0.9358,p7@TINF2,26277,11824,,TINF2,"TERF1 interacting nuclear factor 2","gene with protein product"
106,T101841,1876,0.9357,p1@STAU1,6780,11370,"Q5JW30,Q5JW29,O95793,Q5JW28,B3KRE0,Q6PJX3",STAU1,"staufen double-stranded RNA binding protein 1","gene with protein product"
107,T169892,1876,0.9347,p13@MDFIC,29969,28870,C9J104,MDFIC,"MyoD family inhibitor domain containing","gene with protein product"
108,T014755,1879,0.9325,p2@CELF1,10658,2549,,CELF1,"CUGBP Elav-like family member 1","gene with protein product"
109,T125042,1865,0.9311,p6@EMX1,2016,3340,,EMX1,"empty spiracles homeobox 1","gene with protein product"
110,T024805,1866,0.9307,p5@CPNE8,144402,23498,Q86YQ8,CPNE8,"copine 8","gene with protein product"
111,T024314,1875,0.9305,p1@ARNTL2,56938,18984,"Q8WYA1,F5H402",ARNTL2,"aryl hydrocarbon receptor nuclear translocator like 2","gene with protein product"
112,T003785,1865,0.9302,p1@YME1L1,10730,12843,"B4DNM1,Q5T8D2,Q6PJ89",YME1L1,"YME1 like 1 ATPase","gene with protein product"
113,T167341,1871,0.9285,p3@EXOC2,55770,24968,,EXOC2,"exocyst complex component 2","gene with protein product"
