Hs-SERPINA10,2000,1000,T041696-SERPINA10,"p4@SERPINA10"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T118091,2008,0.9995,p84@APOB,338,603,Q13789,APOB,"apolipoprotein B","gene with protein product"
2,T133246,2002,0.9950,p1@CPN2,1370,2313,P22792,CPN2,"carboxypeptidase N subunit 2","gene with protein product"
3,T118134,1996,0.9940,p54@APOB,338,603,P04114,APOB,"apolipoprotein B","gene with protein product"
4,T118101,1989,0.9891,p7@APOB,338,603,Q13789,APOB,"apolipoprotein B","gene with protein product"
5,T010048,1973,0.9826,p2@APOA5,116519,17288,Q6Q788,APOA5,"apolipoprotein A5","gene with protein product"
6,T121230,1963,0.9756,p5@NEU4,129807,21328,Q8WWR8,NEU4,"neuraminidase 4","gene with protein product"
7,T053725,1961,0.9756,"p1@HPR,p4@HP","3240,3250","5141,5156","P00738,Q6PEJ8",HP,haptoglobin,"gene with protein product"
8,T006364,1955,0.9736,p2@LRRC20,55222,23421,,LRRC20,"leucine rich repeat containing 20","gene with protein product"
9,T118116,1951,0.9736,p22@APOB,338,603,P04114,APOB,"apolipoprotein B","gene with protein product"
10,T118129,1948,0.9706,p43@APOB,338,603,P04114,APOB,"apolipoprotein B","gene with protein product"
11,T134804,1929,0.9597,p9@CCBP2,1238,1565,,ACKR2,"atypical chemokine receptor 2","gene with protein product"
12,T118100,1918,0.9542,p5@APOB,338,603,Q13789,APOB,"apolipoprotein B","gene with protein product"
13,T019957,1900,0.9448,p4@NR1H4,9971,7967,F8W1M1,NR1H4,"nuclear receptor subfamily 1 group H member 4","gene with protein product"
14,T121231,1883,0.9387,p2@NEU4,129807,21328,"Q8WWR8,F8WE58,F5GWG2",NEU4,"neuraminidase 4","gene with protein product"
15,T118120,1882,0.9354,p58@APOB,338,603,P04114,APOB,"apolipoprotein B","gene with protein product"
16,T118097,1871,0.9336,p34@APOB,338,603,Q13789,APOB,"apolipoprotein B","gene with protein product"
17,T019958,1877,0.9334,p5@NR1H4,9971,7967,F8W1M1,NR1H4,"nuclear receptor subfamily 1 group H member 4","gene with protein product"
18,T044599,1869,0.9312,p6@ONECUT1,3175,8138,Q9UBC0,ONECUT1,"one cut homeobox 1","gene with protein product"
19,T118085,1865,0.9288,p59@APOB,338,603,P04114,APOB,"apolipoprotein B","gene with protein product"
20,T060806,1862,0.9282,p2@HLF,3131,4977,,HLF,"HLF, PAR bZIP transcription factor","gene with protein product"
21,T140912,1852,0.9228,p12@FGG,2266,3694,,FGG,"fibrinogen gamma chain","gene with protein product"
22,T185776,1843,0.9169,p4@GGH,8836,4248,Q92820,GGH,"gamma-glutamyl hydrolase","gene with protein product"
23,T153992,1841,0.9164,p2@C9,735,1358,,C9,"complement C9","gene with protein product"
24,T123011,1838,0.9153,p4@ABCG5,64240,13886,E5RFY8,ABCG5,"ATP binding cassette subfamily G member 5","gene with protein product"
25,T118090,1838,0.9140,p67@APOB,338,603,Q13789,APOB,"apolipoprotein B","gene with protein product"
26,T034840,1828,0.9126,p13@MBNL2,10150,16746,,MBNL2,"muscleblind like splicing regulator 2","gene with protein product"
27,T020214,1830,0.9114,p3@PAH,5053,8582,P00439,PAH,"phenylalanine hydroxylase","gene with protein product"
28,T118072,1818,0.9054,p66@APOB,338,603,P04114,APOB,"apolipoprotein B","gene with protein product"
29,T118098,1814,0.9047,p20@APOB,338,603,Q13789,APOB,"apolipoprotein B","gene with protein product"
30,T007461,1812,0.9042,p4@MAT1A,4143,6903,Q00266,MAT1A,"methionine adenosyltransferase 1A","gene with protein product"
31,T088824,1812,0.9024,p3@C4BPA,722,1325,F2Z2V7,C4BPA,"complement component 4 binding protein alpha","gene with protein product"
32,T088825,1809,0.9013,p2@C4BPA,722,1325,F2Z2V7,C4BPA,"complement component 4 binding protein alpha","gene with protein product"
33,T118089,1795,0.8944,p14@APOB,338,603,Q59HB3,APOB,"apolipoprotein B","gene with protein product"
34,T019956,1783,0.8893,p6@NR1H4,9971,7967,"Q96RI1,F8VYG8",NR1H4,"nuclear receptor subfamily 1 group H member 4","gene with protein product"
35,T062479,1787,0.8891,p3@SLC16A13,201232,31037,Q7RTY0,SLC16A13,"solute carrier family 16 member 13","gene with protein product"
36,T056760,1780,0.8873,p4@PIPOX,51268,17804,Q9P0Z9,PIPOX,"pipecolic acid and sarcosine oxidase","gene with protein product"
37,T076245,1772,0.8812,p3@SULT2A1,6822,11458,"Q06520,A8K015",SULT2A1,"sulfotransferase family 2A member 1","gene with protein product"
38,T010047,1760,0.8778,p3@APOA5,116519,17288,C9JZZ0,APOA5,"apolipoprotein A5","gene with protein product"
39,T118093,1756,0.8745,p32@APOB,338,603,Q13789,APOB,"apolipoprotein B","gene with protein product"
40,T007460,1753,0.8734,p2@MAT1A,4143,6903,,MAT1A,"methionine adenosyltransferase 1A","gene with protein product"
41,T088008,1746,0.8708,p5@PLA2G2A,5320,9031,,PLA2G2A,"phospholipase A2 group IIA","gene with protein product"
42,T019954,1743,0.8672,p1@NR1H4,9971,7967,Q96RI1,NR1H4,"nuclear receptor subfamily 1 group H member 4","gene with protein product"
43,T134817,1739,0.8669,p5@CYP8B1,1582,2653,C9JFR9,CYP8B1,"cytochrome P450 family 8 subfamily B member 1","gene with protein product"
44,T053728,1725,0.8595,p2@HP,3240,5141,,HP,haptoglobin,"gene with protein product"
45,T069379,1727,0.8583,p5@C19orf66,55337,25649,,C19orf66,"chromosome 19 open reading frame 66","gene with protein product"
46,T111968,1728,0.8576,p1@PROC,5624,9451,"P04070,F2Z2A0,E7EVH6,E7ENR9,B4DPQ7,F5H880",PROC,"protein C, inactivator of coagulation factors Va and VIIIa","gene with protein product"
47,T007465,1719,0.8569,p6@MAT1A,4143,6903,Q00266,MAT1A,"methionine adenosyltransferase 1A","gene with protein product"
48,T123012,1720,0.8561,p6@ABCG5,64240,13886,E5RFY8,ABCG5,"ATP binding cassette subfamily G member 5","gene with protein product"
