Hs-RABGAP1L,2000,1000,T085877-RABGAP1L,"p56@RABGAP1L"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T052314,2005,0.9995,p1@MT4,84560,18705,P47944,MT4,"metallothionein 4","gene with protein product"
2,T038093,2010,0.9985,p7@MIPOL1,145282,21460,,MIPOL1,"mirror-image polydactyly 1","gene with protein product"
3,T180060,2005,0.9985,p31@RAD21,5885,9811,O60216,RAD21,"RAD21 cohesin complex component","gene with protein product"
4,T012841,1999,0.9950,p4@SLC6A5,9152,11051,,SLC6A5,"solute carrier family 6 member 5","gene with protein product"
5,T005594,1994,0.9925,p64@ANK3,288,494,,ANK3,"ankyrin 3","gene with protein product"
6,T049905,1987,0.9910,p2@SCNN1G,6340,10602,"P51170,A5X2V1",SCNN1G,"sodium channel epithelial 1 gamma subunit","gene with protein product"
7,T177371,1991,0.9901,p6@CCDC146,57639,29296,,CCDC146,"coiled-coil domain containing 146","gene with protein product"
8,T012603,1984,0.9895,p22@LSP1,4046,6707,"E9PBV6,P33241",LSP1,"lymphocyte-specific protein 1","gene with protein product"
9,T125939,1991,0.9886,p16@RMND5A,64795,25850,,RMND5A,"required for meiotic nuclear division 5 homolog A","gene with protein product"
10,T114791,1981,0.9885,p15@ITGA6,3655,6142,C9JXX7,ITGA6,"integrin subunit alpha 6","gene with protein product"
11,T008769,1986,0.9861,p9@PGR,5241,8910,A7LQ08,PGR,"progesterone receptor","gene with protein product"
12,T012602,1982,0.9861,p10@LSP1,4046,6707,E9PBD8,LSP1,"lymphocyte-specific protein 1","gene with protein product"
13,T018685,1978,0.9856,p8@CYB5R2,51700,24376,Q6BCY4,CYB5R2,"cytochrome b5 reductase 2","gene with protein product"
14,T166807,1976,0.9850,p8@LRRC1,55227,14307,Q5T0G3,LRRC1,"leucine rich repeat containing 1","gene with protein product"
15,T070090,1975,0.9850,p15@TNPO2,30000,19998,,TNPO2,"transportin 2","gene with protein product"
16,T037009,1975,0.9841,p38@SLC7A8,23428,11066,Q9UHI5,SLC7A8,"solute carrier family 7 member 8","gene with protein product"
17,T042112,1974,0.9840,p7@CERS3,204219,23752,,CERS3,"ceramide synthase 3","gene with protein product"
