Hs-HOXC5,2000,1000,T026627-HOXC5,"p5@HOXC5"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T176946,2006,1.0000,p3@C1GALT1,56913,24337,,C1GALT1,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1","gene with protein product"
2,T043654,2009,1.0000,p38@ZFP106,64397,23240,,NA,NA,NA
3,T026625,2008,1.0000,p4@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
4,T100295,2014,1.0000,p10@MYL9,10398,15754,Q6IBG1,MYL9,"myosin light chain 9","gene with protein product"
5,T026633,2009,0.9995,p3@HOXC10,3226,5122,,HOXC10,"homeobox C10","gene with protein product"
6,T174411,2005,0.9995,p5@HOXA7,3204,5108,P31268,HOXA7,"homeobox A7","gene with protein product"
7,T026631,2007,0.9990,p4@HOXC10,3226,5122,,HOXC10,"homeobox C10","gene with protein product"
8,T026619,2006,0.9990,p6@HOXC10,3226,5122,D6RAG4,HOXC10,"homeobox C10","gene with protein product"
9,T193084,2005,0.9990,p2@HRCT1,646962,33872,Q6UXD1,HRCT1,"histidine rich carboxyl terminus 1","gene with protein product"
10,T026628,2004,0.9990,p9@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
11,T026630,2003,0.9990,p8@HOXC10,3226,5122,,HOXC10,"homeobox C10","gene with protein product"
12,T043655,2002,0.9990,p39@ZFP106,64397,23240,,NA,NA,NA
13,T059949,2001,0.9990,p2@HOXB7,3217,5118,P09629,HOXB7,"homeobox B7","gene with protein product"
14,T174963,2006,0.9985,p16@BMPER,168667,24154,"Q8N8U9,G5E9K4",BMPER,"BMP binding endothelial regulator","gene with protein product"
15,T034300,2003,0.9985,p22@LMO7,4008,6646,E9PLU6,LMO7,"LIM domain 7","gene with protein product"
16,T091364,2000,0.9985,p14@LYST,1130,1968,F5H074,LYST,"lysosomal trafficking regulator","gene with protein product"
17,T170016,2008,0.9980,p6@MET,4233,7029,C9JKM5,MET,"MET proto-oncogene, receptor tyrosine kinase","gene with protein product"
18,T065631,2004,0.9980,p4@GLP2R,9340,4325,,GLP2R,"glucagon like peptide 2 receptor","gene with protein product"
19,T122413,2002,0.9980,p3@CCDC75,253635,26768,,GPATCH11,"G-patch domain containing 11","gene with protein product"
20,T026620,2001,0.9980,p1@HOXC10,3226,5122,"Q53XI4,Q9NYD6",HOXC10,"homeobox C10","gene with protein product"
21,T086190,2003,0.9970,p5@TOR1AIP2,163590,24055,,TOR1AIP2,"torsin 1A interacting protein 2","gene with protein product"
22,T128636,2003,0.9970,p3@ABTB1,80325,18275,,ABTB1,"ankyrin repeat and BTB domain containing 1","gene with protein product"
23,T103991,2002,0.9970,p13@LINC00478,,1274,,MIR99AHG,"mir-99a-let-7c cluster host gene","RNA, long non-coding"
24,T158705,2002,0.9970,p12@NCOA7,135112,21081,Q5TF98,NCOA7,"nuclear receptor coactivator 7","gene with protein product"
25,T026642,2000,0.9965,p2@HOXC9,3225,5130,Q8N561,HOXC9,"homeobox C9","gene with protein product"
26,T052431,2003,0.9960,p12@FAM192A,80011,29856,Q9GZU8,FAM192A,"family with sequence similarity 192 member A","gene with protein product"
27,T013707,2001,0.9960,p2@CAPRIN1,4076,6743,,CAPRIN1,"cell cycle associated protein 1","gene with protein product"
