Hs-PLTP,2000,1000,T101389-PLTP,"p5@PLTP"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T199858,2009,1.0000,p7@NDUFB11,54539,20372,Q9NX14,NDUFB11,"NADH:ubiquinone oxidoreductase subunit B11","gene with protein product"
2,T015718,2010,1.0000,p10@FADS2,9415,3575,B3KNI9,FADS2,"fatty acid desaturase 2","gene with protein product"
3,T172932,2006,1.0000,p3@ATP5F1P3,,39744,,ATP5F1P3,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1 pseudogene 3",pseudogene
4,T100589,2007,0.9995,p4@BPI,671,1095,,BPI,"bactericidal/permeability-increasing protein","gene with protein product"
5,T056149,2003,0.9995,p2@MFAP4,4239,7035,,MFAP4,"microfibrillar associated protein 4","gene with protein product"
6,T101390,2013,0.9990,p10@PLTP,5360,9093,"B4DDD5,P55058",PLTP,"phospholipid transfer protein","gene with protein product"
7,T016703,2007,0.9990,p3@FAU,2197,3597,,FAU,"FAU, ubiquitin like and ribosomal protein S30 fusion","gene with protein product"
8,T198177,2007,0.9990,p22@BGN,633,1044,,BGN,biglycan,"gene with protein product"
9,T101393,2007,0.9990,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
10,T177589,2007,0.9990,p35@CD36,948,1663,,CD36,"CD36 molecule","gene with protein product"
11,T055847,2006,0.9990,p5@SERPINF1,5176,8824,P36955,SERPINF1,"serpin family F member 1","gene with protein product"
12,T016366,2004,0.9990,p3@VEGFB,7423,12681,,VEGFB,"vascular endothelial growth factor B","gene with protein product"
13,T020669,2009,0.9985,p13@CSDA,8531,2428,,YBX3,"Y-box binding protein 3","gene with protein product"
14,T063768,2007,0.9985,p36@SEPT9,10801,7323,Q9UHD8,SEPT9,"septin 9","gene with protein product"
15,T031326,2007,0.9985,p17@COL4A1,1282,2202,P02462,COL4A1,"collagen type IV alpha 1 chain","gene with protein product"
16,T047559,2003,0.9985,p7@MFGE8,4240,7036,,MFGE8,"milk fat globule-EGF factor 8 protein","gene with protein product"
17,T097445,2002,0.9985,p7@LMO4,8543,6644,,LMO4,"LIM domain only 4","gene with protein product"
18,T152332,2009,0.9980,p6@ERGIC1,57222,29205,,ERGIC1,"endoplasmic reticulum-golgi intermediate compartment 1","gene with protein product"
19,T011776,2003,0.9980,p1@ADAMTS15,170689,16305,Q8TE58,ADAMTS15,"ADAM metallopeptidase with thrombospondin type 1 motif 15","gene with protein product"
20,T198270,2005,0.9975,p4@SSR4,6748,11326,,SSR4,"signal sequence receptor subunit 4","gene with protein product"
21,T182375,2004,0.9975,p2@GPAA1,8733,4446,,GPAA1,"glycosylphosphatidylinositol anchor attachment 1","gene with protein product"
22,T071532,2004,0.9975,p2@GDF15,9518,30142,Q99988,GDF15,"growth differentiation factor 15","gene with protein product"
23,T182336,2002,0.9975,p5@GRINA,2907,4589,,GRINA,"glutamate ionotropic receptor NMDA type subunit associated protein 1","gene with protein product"
24,T055848,2005,0.9970,p6@SERPINF1,5176,8824,P36955,SERPINF1,"serpin family F member 1","gene with protein product"
25,T094246,2001,0.9970,p4@PABPC4,8761,8557,Q4VC03,PABPC4,"poly(A) binding protein cytoplasmic 4","gene with protein product"
26,T109691,1998,0.9970,p6@FBLN1,2192,3600,,FBLN1,"fibulin 1","gene with protein product"
27,T064170,2003,0.9965,p7@TIMP2,7077,11821,,TIMP2,"TIMP metallopeptidase inhibitor 2","gene with protein product"
28,T027307,2000,0.9965,p10@STAT6,6778,11368,,STAT6,"signal transducer and activator of transcription 6","gene with protein product"
29,T016356,2004,0.9955,p9@DNAJC4,3338,5271,Q86VG4,DNAJC4,"DnaJ heat shock protein family (Hsp40) member C4","gene with protein product"
30,T070829,1998,0.9955,p1@ILVBL,10994,6041,"C9JNI8,E9PL44",ILVBL,"ilvB acetolactate synthase like","gene with protein product"
31,T166053,1996,0.9955,p8@YIPF3,25844,21023,,YIPF3,"Yip1 domain family member 3","gene with protein product"
32,T023583,1998,0.9950,p7@MGST1,4257,7061,,MGST1,"microsomal glutathione S-transferase 1","gene with protein product"
33,T065463,1995,0.9945,p2@RANGRF,29098,17679,Q9HD47,RANGRF,"RAN guanine nucleotide release factor","gene with protein product"
34,T168695,1999,0.9940,p10@PCOLCE,5118,8738,,PCOLCE,"procollagen C-endopeptidase enhancer","gene with protein product"
35,T049858,1998,0.9940,p2@MLST8,64223,24825,Q9BVC4,MLST8,"MTOR associated protein, LST8 homolog","gene with protein product"
36,T099423,1996,0.9940,p2@CPXM1,56265,15771,Q96SM3,CPXM1,"carboxypeptidase X, M14 family member 1","gene with protein product"
37,T013432,1999,0.9935,p4@IFITM2,10581,5413,Q01629,IFITM2,"interferon induced transmembrane protein 2","gene with protein product"
38,T065098,1992,0.9935,p5@RFNG,5986,9974,,RFNG,"RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase","gene with protein product"
39,T136342,1995,0.9930,p3@TKT,7086,11834,,TKT,transketolase,"gene with protein product"
40,T170719,1995,0.9925,p3@SMO,6608,11119,"Q99835,A4D1K5",SMO,"smoothened, frizzled class receptor","gene with protein product"
41,T016362,1994,0.9925,p5@VEGFB,7423,12681,P49765,VEGFB,"vascular endothelial growth factor B","gene with protein product"
42,T107738,1989,0.9925,p6@TCN2,6948,11653,B5MBX2,TCN2,"transcobalamin 2","gene with protein product"
43,T071265,1990,0.9920,p2@PGLS,25796,8903,,PGLS,6-phosphogluconolactonase,"gene with protein product"
44,T040358,1988,0.9900,p12@ZNF410,57862,20144,"B4DDV5,Q86VK4,B4DR78,Q53FM1",ZNF410,"zinc finger protein 410","gene with protein product"
45,T160106,1984,0.9895,p3@FUCA2,2519,4008,,FUCA2,"fucosidase, alpha-L- 2, plasma","gene with protein product"
46,T073263,1984,0.9895,p1@ETV2,2116,3491,O00321,ETV2,"ETS variant 2","gene with protein product"
47,T063791,1989,0.9886,p73@SEPT9,10801,7323,Q9UHD8,SEPT9,"septin 9","gene with protein product"
48,T100590,1986,0.9886,p3@BPI,671,1095,,BPI,"bactericidal/permeability-increasing protein","gene with protein product"
49,T043652,1985,0.9885,p15@ZFP106,64397,23240,,NA,NA,NA
50,T188732,1989,0.9881,p21@RGS3,5998,9999,,RGS3,"regulator of G-protein signaling 3","gene with protein product"
51,T073243,1984,0.9880,p4@TMEM147,10430,30414,E9PM02,TMEM147,"transmembrane protein 147","gene with protein product"
52,T107739,1980,0.9870,p1@TCN2,6948,11653,"P20062,Q96FD4",TCN2,"transcobalamin 2","gene with protein product"
53,T071595,1978,0.9851,p10@FKBP8,23770,3724,,FKBP8,"FK506 binding protein 8","gene with protein product"
54,T087557,1977,0.9851,p4@NBL1,4681,7650,P41271,NBL1,"neuroblastoma 1, DAN family BMP antagonist","gene with protein product"
55,T108514,1977,0.9846,p4@C1QTNF6,114904,14343,,C1QTNF6,"C1q and tumor necrosis factor related protein 6","gene with protein product"
56,T076778,1978,0.9841,p2@SNORD35B,84546,17365,,SNORD35B,"small nucleolar RNA, C/D box 35B","RNA, small nucleolar"
57,T176257,1975,0.9841,p8@TNRC18,84629,11962,F8W885,TNRC18,"trinucleotide repeat containing 18","gene with protein product"
58,T018973,1974,0.9840,p5@PNPLA2,57104,30802,,PNPLA2,"patatin like phospholipase domain containing 2","gene with protein product"
59,T168681,1983,0.9836,p19@PCOLCE,5118,8738,,PCOLCE,"procollagen C-endopeptidase enhancer","gene with protein product"
60,T021805,1974,0.9836,p5@PRKAB1,5564,9378,F5H610,PRKAB1,"protein kinase AMP-activated non-catalytic subunit beta 1","gene with protein product"
61,T055960,1974,0.9836,p20@PEMT,10400,8830,A8MZ66,PEMT,"phosphatidylethanolamine N-methyltransferase","gene with protein product"
62,T063503,1972,0.9831,p5@CYGB,114757,16505,Q8WWM9,CYGB,cytoglobin,"gene with protein product"
63,T012879,1973,0.9811,p21@IGF2,3481,5466,,IGF2,"insulin like growth factor 2","gene with protein product"
64,T078479,1974,0.9806,p1@BSG,682,1116,"P35613,Q54A51",BSG,"basigin (Ok blood group)","gene with protein product"
65,T177584,1963,0.9800,p47@CD36,948,1663,P16671,CD36,"CD36 molecule","gene with protein product"
66,T014634,1969,0.9791,p3@NR1H3,10062,7966,"F8WEY6,C9JCS0",NR1H3,"nuclear receptor subfamily 1 group H member 3","gene with protein product"
67,T128514,1968,0.9791,p6@ALDH1L1,10840,3978,"O75891,C9JYZ6",ALDH1L1,"aldehyde dehydrogenase 1 family member L1","gene with protein product"
68,T028296,1966,0.9791,p3@COPS7A,50813,16758,"A8K9A6,F5GYF7,F5H7C6,F5H3D9,F5GXT7,Q9UBW8",COPS7A,"COP9 signalosome subunit 7A","gene with protein product"
69,T072539,1965,0.9791,p2@C19orf12,83636,25443,,C19orf12,"chromosome 19 open reading frame 12","gene with protein product"
70,T082236,1962,0.9790,p1@CTSK,1513,2536,P43235,CTSK,"cathepsin K","gene with protein product"
71,T141782,1966,0.9786,p4@TMEM129,92305,25137,A0AVI4,TMEM129,"transmembrane protein 129","gene with protein product"
72,T073242,1964,0.9781,p2@TMEM147,10430,30414,A8MU21,TMEM147,"transmembrane protein 147","gene with protein product"
73,T074330,1961,0.9776,p29@PLD3,23646,17158,,PLD3,"phospholipase D family member 3","gene with protein product"
74,T078472,1960,0.9776,p6@LONP1,9361,9479,,LONP1,"lon peptidase 1, mitochondrial","gene with protein product"
75,T026469,1962,0.9771,p4@C12orf10,60314,17590,F8VQQ3,C12orf10,"chromosome 12 open reading frame 10","gene with protein product"
76,T177583,1962,0.9771,p27@CD36,948,1663,P16671,CD36,"CD36 molecule","gene with protein product"
77,T006661,1963,0.9756,p12@DDIT4,54541,24944,,DDIT4,"DNA damage inducible transcript 4","gene with protein product"
78,T077008,1958,0.9751,p1@TPGS1,91978,25058,Q6ZTW0,TPGS1,"tubulin polyglutamylase complex subunit 1","gene with protein product"
79,T070170,1958,0.9746,p5@PRDX2,7001,9353,,PRDX2,"peroxiredoxin 2","gene with protein product"
80,T117810,1958,0.9736,p12@FZD5,7855,4043,,FZD5,"frizzled class receptor 5","gene with protein product"
81,T107740,1955,0.9736,p3@TCN2,6948,11653,Q96FD4,TCN2,"transcobalamin 2","gene with protein product"
82,T143693,1956,0.9731,p4@RPL9,6133,10369,"P32969,Q53Z07",RPL9,"ribosomal protein L9","gene with protein product"
83,T027216,1952,0.9726,p4@NACA,4666,7629,,NACA,"nascent polypeptide-associated complex alpha subunit","gene with protein product"
84,T191491,1955,0.9722,p14@PTGDS,5730,9592,,PTGDS,"prostaglandin D2 synthase","gene with protein product"
85,T055707,1951,0.9721,p5@RILP,83547,30266,Q96NA2,RILP,"Rab interacting lysosomal protein","gene with protein product"
86,T047552,1953,0.9716,p9@MFGE8,4240,7036,,MFGE8,"milk fat globule-EGF factor 8 protein","gene with protein product"
87,T182189,1949,0.9701,p6@C8orf73,642475,27814,E9PJR4,MROH6,"maestro heat like repeat family member 6","gene with protein product"
88,T158320,1949,0.9697,p8@CEP85L,387119,21638,,CEP85L,"centrosomal protein 85 like","gene with protein product"
89,T063774,1949,0.9697,p22@SEPT9,10801,7323,,SEPT9,"septin 9","gene with protein product"
90,T074361,1948,0.9696,p12@SHKBP1,92799,19214,,SHKBP1,"SH3KBP1 binding protein 1","gene with protein product"
91,T055846,1947,0.9682,p4@SERPINF1,5176,8824,P36955,SERPINF1,"serpin family F member 1","gene with protein product"
92,T046342,1941,0.9676,p2@STOML1,9399,14560,Q9UBI4,STOML1,"stomatin like 1","gene with protein product"
93,T155857,1946,0.9672,p4@ZBED3,84327,20711,D6RIC4,ZBED3,"zinc finger BED-type containing 3","gene with protein product"
94,T018968,1940,0.9661,p9@PNPLA2,57104,30802,,PNPLA2,"patatin like phospholipase domain containing 2","gene with protein product"
95,T107737,1939,0.9652,p10@TCN2,6948,11653,B5MBX2,TCN2,"transcobalamin 2","gene with protein product"
96,T114997,1938,0.9651,p5@CHRNA1,1134,1955,"P02708,Q53SH4",CHRNA1,"cholinergic receptor nicotinic alpha 1 subunit","gene with protein product"
97,T155588,1936,0.9646,p5@FOXD1,2297,3802,Q16676,FOXD1,"forkhead box D1","gene with protein product"
98,T063770,1936,0.9646,p23@SEPT9,10801,7323,Q9UHD8,SEPT9,"septin 9","gene with protein product"
99,T149531,1935,0.9636,p3@EIF4EBP3,8637,3290,O60516,EIF4EBP3,"eukaryotic translation initiation factor 4E binding protein 3","gene with protein product"
100,T192259,1939,0.9632,p4@CDKN2A,1029,1787,P42771,CDKN2A,"cyclin dependent kinase inhibitor 2A","gene with protein product"
101,T084478,1933,0.9631,p4@PEX19,5824,9713,E9PS71,PEX19,"peroxisomal biogenesis factor 19","gene with protein product"
102,T035322,1931,0.9626,p1@DIO3,,2885,G3XAM0,DIO3,"iodothyronine deiodinase 3","gene with protein product"
103,T168683,1931,0.9626,p8@PCOLCE,5118,8738,,PCOLCE,"procollagen C-endopeptidase enhancer","gene with protein product"
104,T050670,1929,0.9626,p5@CDIPT,10423,1769,C9J7H0,CDIPT,"CDP-diacylglycerol--inositol 3-phosphatidyltransferase","gene with protein product"
105,T063767,1933,0.9622,p35@SEPT9,10801,7323,Q9UHD8,SEPT9,"septin 9","gene with protein product"
106,T189200,1936,0.9617,p14@GSN,2934,4620,B7Z9A0,GSN,gelsolin,"gene with protein product"
107,T063769,1927,0.9611,p49@SEPT9,10801,7323,Q9UHD8,SEPT9,"septin 9","gene with protein product"
108,T012925,1931,0.9607,p37@IGF2,3481,5466,P01344,IGF2,"insulin like growth factor 2","gene with protein product"
109,T146409,1927,0.9606,p6@METTL19,152992,26653,,TRMT44,"tRNA methyltransferase 44 homolog (S. cerevisiae)","gene with protein product"
110,T192655,1926,0.9606,p3@AQP7,"100509620,364",640,B7Z7F6,AQP7,"aquaporin 7","gene with protein product"
111,T020642,1930,0.9602,p39@CSDA,8531,2428,,YBX3,"Y-box binding protein 3","gene with protein product"
112,T110137,1923,0.9601,p10@LMF2,91289,25096,,LMF2,"lipase maturation factor 2","gene with protein product"
113,T159786,1925,0.9591,p3@HEBP2,23593,15716,Q5THN1,HEBP2,"heme binding protein 2","gene with protein product"
114,T063771,1931,0.9583,p9@SEPT9,10801,7323,Q9UHD8,SEPT9,"septin 9","gene with protein product"
115,T036298,1926,0.9577,p7@RNASE4,6038,10047,"P34096,Q53XB4",RNASE4,"ribonuclease A family member 4","gene with protein product"
116,T138989,1921,0.9576,p1@MIR302C,442895,31764,,MIR302C,"microRNA 302c","RNA, micro"
117,T012976,1921,0.9571,p50@IGF2,3481,5466,P01344,IGF2,"insulin like growth factor 2","gene with protein product"
118,T027538,1919,0.9566,p4@OS9,10956,16994,,OS9,"OS9, endoplasmic reticulum lectin","gene with protein product"
119,T062714,1920,0.9547,p6@CTDNEP1,23399,19085,O95476,CTDNEP1,"CTD nuclear envelope phosphatase 1","gene with protein product"
120,T090316,1917,0.9542,p12@DEGS1,8560,13709,O15121,DEGS1,"delta 4-desaturase, sphingolipid 1","gene with protein product"
121,T107736,1919,0.9538,p8@TCN2,6948,11653,B5MBX2,TCN2,"transcobalamin 2","gene with protein product"
122,T056150,1919,0.9538,p1@MFAP4,4239,7035,,MFAP4,"microfibrillar associated protein 4","gene with protein product"
123,T036922,1919,0.9533,p12@LRP10,26020,14553,,LRP10,"LDL receptor related protein 10","gene with protein product"
124,T101559,1911,0.9522,p1@TP53RK,112858,16197,Q5JZ02,TP53RK,"TP53 regulating kinase","gene with protein product"
125,T150572,1908,0.9521,p3@PDGFRB,5159,8804,"E5RH16,P09619,Q59F04",PDGFRB,"platelet derived growth factor receptor beta","gene with protein product"
126,T095616,1907,0.9492,p15@PPAP2B,8613,9229,O14495,PLPP3,"phospholipid phosphatase 3","gene with protein product"
127,T006969,1904,0.9487,p5@ZNF503,84858,23589,Q96F45,ZNF503,"zinc finger protein 503","gene with protein product"
128,T037436,1907,0.9483,p3@NYNRIN,57523,20165,Q9P2P1,NYNRIN,"NYN domain and retroviral integrase containing","gene with protein product"
129,T018757,1904,0.9482,p2@PDDC1,347862,26616,,PDDC1,"Parkinson disease 7 domain containing 1","gene with protein product"
130,T012927,1903,0.9482,p3@IGF2,3481,5466,P01344,IGF2,"insulin like growth factor 2","gene with protein product"
131,T058838,1902,0.9482,p7@RAMP2,10266,9844,O60895,RAMP2,"receptor activity modifying protein 2","gene with protein product"
132,T177588,1902,0.9477,p48@CD36,948,1663,,CD36,"CD36 molecule","gene with protein product"
133,T055841,1899,0.9462,p1@SERPINF1,5176,8824,"F1T092,P36955",SERPINF1,"serpin family F member 1","gene with protein product"
134,T147960,1899,0.9457,p14@TNFAIP8,25816,17260,O95379,TNFAIP8,"TNF alpha induced protein 8","gene with protein product"
135,T087399,1901,0.9444,p9@CAPZB,832,1491,,CAPZB,"capping actin protein of muscle Z-line beta subunit","gene with protein product"
136,T013579,1896,0.9438,p3@EIF3M,10480,24460,,EIF3M,"eukaryotic translation initiation factor 3 subunit M","gene with protein product"
137,T121356,1891,0.9436,p3@ADCY3,109,234,"O60266,C9JLX3",ADCY3,"adenylate cyclase 3","gene with protein product"
138,T197355,1896,0.9428,p3@FAM127A,8933,2569,O15255,FAM127A,"family with sequence similarity 127 member A","gene with protein product"
139,T016129,1889,0.9417,p3@SLC22A6,9356,10970,F5H0T7,SLC22A6,"solute carrier family 22 member 6","gene with protein product"
140,T107668,1894,0.9414,p2@GATSL3,652968,34423,F2Z2C1,GATSL3,"GATS protein like 3","gene with protein product"
141,T100786,1888,0.9402,p4@FTLP3,,4000,,FTLP3,"ferritin light chain pseudogene 3",pseudogene
142,T112963,1881,0.9372,p8@ZEB2,9839,14881,,ZEB2,"zinc finger E-box binding homeobox 2","gene with protein product"
143,T198210,1877,0.9357,p2@BGN,633,1044,P21810,BGN,biglycan,"gene with protein product"
144,T083482,1876,0.9357,p5@SSR2,6746,11324,,SSR2,"signal sequence receptor subunit 2","gene with protein product"
145,T189456,1879,0.9344,p22@NEK6,10783,7749,Q5TBH2,NEK6,"NIMA related kinase 6","gene with protein product"
146,T129458,1876,0.9343,p5@FBLN2,2199,3601,,FBLN2,"fibulin 2","gene with protein product"
147,T063772,1872,0.9332,p12@SEPT9,10801,7323,,SEPT9,"septin 9","gene with protein product"
148,T107743,1874,0.9323,p2@TCN2,6948,11653,Q96FD4,TCN2,"transcobalamin 2","gene with protein product"
149,T064173,1866,0.9297,p2@TIMP2,7077,11821,,TIMP2,"TIMP metallopeptidase inhibitor 2","gene with protein product"
150,T189856,1867,0.9293,p8@FPGS,2356,3824,,FPGS,"folylpolyglutamate synthase","gene with protein product"
151,T051297,1865,0.9288,p7@ZNF213,7760,13005,O14771,ZNF213,"zinc finger protein 213","gene with protein product"
152,T150574,1861,0.9286,p1@PDGFRB,5159,8804,"E5RH16,P09619,Q59F04",PDGFRB,"platelet derived growth factor receptor beta","gene with protein product"
153,T191487,1861,0.9282,p1@PTGDS,5730,9592,"F8W7I2,P41222,Q5SQ11",PTGDS,"prostaglandin D2 synthase","gene with protein product"
154,T095527,1865,0.9274,p4@DHCR24,1718,2859,F5H0H1,DHCR24,"24-dehydrocholesterol reductase","gene with protein product"
155,T023587,1859,0.9272,p6@MGST1,4257,7061,,MGST1,"microsomal glutathione S-transferase 1","gene with protein product"
156,T049254,1859,0.9272,p21@ABCC1,4363,51,F5GXL7,ABCC1,"ATP binding cassette subfamily C member 1","gene with protein product"
157,T078921,1865,0.9269,p5@RNF126,55658,21151,,RNF126,"ring finger protein 126","gene with protein product"
158,T093399,1858,0.9258,p4@COL16A1,1307,2193,,COL16A1,"collagen type XVI alpha 1 chain","gene with protein product"
159,T085743,1862,0.9254,p6@MFAP2,4237,7033,,MFAP2,"microfibrillar associated protein 2","gene with protein product"
160,T019178,1860,0.9254,p6@TSPAN4,7106,11859,E9PPX8,TSPAN4,"tetraspanin 4","gene with protein product"
161,T084860,1859,0.9249,p18@FCRLB,127943,26431,,FCRLB,"Fc receptor like B","gene with protein product"
162,T177582,1859,0.9249,p46@CD36,948,1663,P16671,CD36,"CD36 molecule","gene with protein product"
163,T107741,1854,0.9242,p9@TCN2,6948,11653,Q96FD4,TCN2,"transcobalamin 2","gene with protein product"
164,T075694,1851,0.9232,p8@PPM1N,147699,26845,,PPM1N,"protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)","gene with protein product"
165,T082238,1854,0.9224,p3@CTSK,1513,2536,P43235,CTSK,"cathepsin K","gene with protein product"
166,T146473,1847,0.9212,p1@CPZ,8532,2333,,CPZ,"carboxypeptidase Z","gene with protein product"
167,T026746,1848,0.9208,p3@ZNF385A,25946,17521,,ZNF385A,"zinc finger protein 385A","gene with protein product"
168,T046370,1849,0.9204,p6@ISLR,3671,6133,O14498,ISLR,"immunoglobulin superfamily containing leucine rich repeat","gene with protein product"
169,T071529,1847,0.9203,p9@GDF15,9518,30142,Q99988,GDF15,"growth differentiation factor 15","gene with protein product"
170,T087556,1845,0.9197,p1@NBL1,"100532736,4681",7650,P41271,NBL1,"neuroblastoma 1, DAN family BMP antagonist","gene with protein product"
171,T000534,1846,0.9193,p20@C10orf26,54838,23510,Q9NX94,WBP1L,"WW domain binding protein 1-like","gene with protein product"
172,T046384,1846,0.9193,p2@STRA6,64220,30650,Q9BX79,STRA6,"stimulated by retinoic acid 6","gene with protein product"
173,T007894,1844,0.9188,p14@ACTA2,59,130,F6UVQ4,ACTA2,"actin, alpha 2, smooth muscle, aorta","gene with protein product"
174,T076409,1847,0.9184,p5@RPL18,6141,10310,,RPL18,"ribosomal protein L18","gene with protein product"
175,T016130,1846,0.9184,p7@SLC22A6,9356,10970,F5H0T7,SLC22A6,"solute carrier family 22 member 6","gene with protein product"
176,T159785,1840,0.9159,p4@HEBP2,23593,15716,Q5THN1,HEBP2,"heme binding protein 2","gene with protein product"
177,T090678,1835,0.9143,p4@RNF187,149603,27146,,RNF187,"ring finger protein 187","gene with protein product"
178,T177578,1839,0.9140,p21@CD36,948,1663,,CD36,"CD36 molecule","gene with protein product"
179,T070608,1836,0.9134,p3@PRKACA,5566,9380,B7Z708,PRKACA,"protein kinase cAMP-activated catalytic subunit alpha","gene with protein product"
180,T168688,1835,0.9134,p7@PCOLCE,5118,8738,,PCOLCE,"procollagen C-endopeptidase enhancer","gene with protein product"
181,T189519,1832,0.9133,p4@OLFML2A,169611,27270,"Q5JTM7,Q68BL7",OLFML2A,"olfactomedin like 2A","gene with protein product"
182,T012608,1830,0.9127,p18@LSP1,4046,6707,E9PBD8,LSP1,"lymphocyte-specific protein 1","gene with protein product"
183,T161890,1830,0.9127,p5@BRP44L,51660,21606,Q9Y5U8,MPC1,"mitochondrial pyruvate carrier 1","gene with protein product"
184,T020793,1830,0.9127,p7@UNG,7374,12572,Q6FHS8,UNG,"uracil DNA glycosylase","gene with protein product"
185,T182248,1831,0.9123,p19@SCRIB,23513,30377,,SCRIB,"scribbled planar cell polarity protein","gene with protein product"
186,T069763,1829,0.9118,p13@KANK2,25959,29300,Q63ZY3,KANK2,"KN motif and ankyrin repeat domains 2","gene with protein product"
187,T109683,1828,0.9117,p1@FBLN1,2192,3600,"P23142,B1AHL2",FBLN1,"fibulin 1","gene with protein product"
188,T050115,1832,0.9114,p2@AMDHD2,51005,24262,Q9Y303,AMDHD2,"amidohydrolase domain containing 2","gene with protein product"
