Hs-SORBS1,2000,1000,T008455-SORBS1,"p5@SORBS1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T008454,2005,1.0000,p17@SORBS1,10580,14565,,SORBS1,"sorbin and SH3 domain containing 1","gene with protein product"
2,T047118,2010,0.9990,p13@IL16,3603,5980,,IL16,"interleukin 16","gene with protein product"
3,T008452,2008,0.9990,p11@SORBS1,10580,14565,,SORBS1,"sorbin and SH3 domain containing 1","gene with protein product"
4,T008453,2005,0.9990,p8@SORBS1,10580,14565,,SORBS1,"sorbin and SH3 domain containing 1","gene with protein product"
5,T164331,2001,0.9990,p4@EGFL8,80864,13944,Q99944,EGFL8,"EGF like domain multiple 8","gene with protein product"
6,T200980,2000,0.9990,p5@CITED1,4435,1986,C9J1P6,CITED1,"Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1","gene with protein product"
7,T200982,2005,0.9970,p2@CITED1,4435,1986,,CITED1,"Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1","gene with protein product"
8,T111549,2004,0.9970,p2@GREB1,9687,24885,,GREB1,"growth regulation by estrogen in breast cancer 1","gene with protein product"
9,T170747,2004,0.9965,p20@AHCYL2,23382,22204,,AHCYL2,"adenosylhomocysteinase like 2","gene with protein product"
10,T027009,1999,0.9960,p7@CDK2,1017,1771,,CDK2,"cyclin dependent kinase 2","gene with protein product"
11,T044666,1998,0.9950,p17@RAB27A,5873,9766,,RAB27A,"RAB27A, member RAS oncogene family","gene with protein product"
12,T068466,1993,0.9945,p2@CDH19,28513,1758,Q9H159,CDH19,"cadherin 19","gene with protein product"
13,T111548,1998,0.9940,p5@GREB1,9687,24885,Q4ZG55,GREB1,"growth regulation by estrogen in breast cancer 1","gene with protein product"
14,T070781,1998,0.9940,p4@OR7A5,26659,8368,Q15622,OR7A5,"olfactory receptor family 7 subfamily A member 5","gene with protein product"
15,T047119,1997,0.9930,p9@IL16,3603,5980,,IL16,"interleukin 16","gene with protein product"
16,T033001,1996,0.9930,p21@ELF1,1997,3316,Q5T9E7,ELF1,"E74 like ETS transcription factor 1","gene with protein product"
17,T111547,1993,0.9925,p3@GREB1,9687,24885,Q4ZG55,GREB1,"growth regulation by estrogen in breast cancer 1","gene with protein product"
18,T052536,1992,0.9915,p1@GPR56,9289,4512,"Q9Y653,B3KQV4,B4DR54",ADGRG1,"adhesion G protein-coupled receptor G1","gene with protein product"
19,T044663,1987,0.9910,p13@RAB27A,5873,9766,"A2RU94,P51159",RAB27A,"RAB27A, member RAS oncogene family","gene with protein product"
20,T027000,1993,0.9906,p1@PMEL,6490,10880,,PMEL,"premelanosome protein","gene with protein product"
21,T121153,1989,0.9905,p8@FARP2,9855,16460,,FARP2,"FERM, ARH/RhoGEF and pleckstrin domain protein 2","gene with protein product"
22,T157216,1988,0.9900,p21@TFAP2A,7020,11742,,TFAP2A,"transcription factor AP-2 alpha","gene with protein product"
23,T082101,1990,0.9896,p8@CA14,23632,1372,Q9ULX7,CA14,"carbonic anhydrase 14","gene with protein product"
24,T044661,1983,0.9895,p15@RAB27A,5873,9766,,RAB27A,"RAB27A, member RAS oncogene family","gene with protein product"
25,T018311,1986,0.9876,p13@PLEKHB1,58473,19079,,PLEKHB1,"pleckstrin homology domain containing B1","gene with protein product"
26,T119020,1983,0.9875,p9@TTLL4,9654,28976,,TTLL4,"tubulin tyrosine ligase like 4","gene with protein product"
27,T200979,1978,0.9860,p3@CITED1,4435,1986,C9J1P6,CITED1,"Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1","gene with protein product"
28,T070782,1976,0.9860,p2@OR7A5,26659,8368,Q15622,OR7A5,"olfactory receptor family 7 subfamily A member 5","gene with protein product"
29,T072539,1976,0.9855,p2@C19orf12,83636,25443,,C19orf12,"chromosome 19 open reading frame 12","gene with protein product"
30,T070783,1974,0.9850,p1@OR7A5,26659,8368,Q15622,OR7A5,"olfactory receptor family 7 subfamily A member 5","gene with protein product"
31,T157588,1976,0.9836,p11@FOXO3,2309,3821,"B4DVZ6,Q68DV3",FOXO3,"forkhead box O3","gene with protein product"
32,T199538,1978,0.9831,p19@BCOR,54880,20893,C9JHP3,BCOR,"BCL6 corepressor","gene with protein product"
33,T007803,1974,0.9826,p10@RNLS,55328,25641,,RNLS,"renalase, FAD dependent amine oxidase","gene with protein product"
34,T106783,1974,0.9816,p2@SLC7A4,6545,11062,C9JM63,SLC7A4,"solute carrier family 7 member 4","gene with protein product"
35,T119017,1965,0.9815,p8@TTLL4,9654,28976,,TTLL4,"tubulin tyrosine ligase like 4","gene with protein product"
36,T196799,1972,0.9811,p1@FAM70A,55026,26086,Q5JRV8,TMEM255A,"transmembrane protein 255A","gene with protein product"
37,T198587,1973,0.9806,p2@PIR,8544,30048,O00625,PIR,pirin,"gene with protein product"
38,T058009,1969,0.9806,p9@MSL1,339287,27905,Q68DK7,MSL1,"male specific lethal 1 homolog","gene with protein product"
39,T044660,1966,0.9805,p9@RAB27A,5873,9766,,RAB27A,"RAB27A, member RAS oncogene family","gene with protein product"
40,T007804,1967,0.9786,p11@RNLS,55328,25641,,RNLS,"renalase, FAD dependent amine oxidase","gene with protein product"
41,T147890,1962,0.9776,p3@SEMA6A,57556,10738,Q9H2E6,SEMA6A,"semaphorin 6A","gene with protein product"
42,T012149,1965,0.9762,p19@SOX6,55553,16421,,SOX6,"SRY-box 6","gene with protein product"
43,T068464,1957,0.9761,p1@CDH19,28513,1758,F5H1K0,CDH19,"cadherin 19","gene with protein product"
44,T179917,1959,0.9756,p2@FDFT1,2222,3629,,FDFT1,"farnesyl-diphosphate farnesyltransferase 1","gene with protein product"
45,T025057,1953,0.9746,p2@TMEM117,84216,25308,,TMEM117,"transmembrane protein 117","gene with protein product"
46,T052538,1956,0.9741,p2@GPR56,9289,4512,"Q9Y653,B3KQV4,B4DR54",ADGRG1,"adhesion G protein-coupled receptor G1","gene with protein product"
47,T193501,1956,0.9736,p6@MLANA,2315,7124,,MLANA,melan-A,"gene with protein product"
48,T174326,1953,0.9731,p4@TTYH3,80727,22222,Q69YH1,TTYH3,"tweety family member 3","gene with protein product"
49,T069346,1955,0.9726,p1@OLFM2,93145,17189,O95897,OLFM2,"olfactomedin 2","gene with protein product"
50,T148939,1954,0.9726,p11@MTND4P12,,42199,,MTND4P12,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 12",pseudogene
51,T193497,1950,0.9726,p1@MLANA,2315,7124,Q16655,MLANA,melan-A,"gene with protein product"
