Hs-MAMDC4,2000,1000,T191438-MAMDC4,"p6@MAMDC4"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T191437,2011,0.9990,p5@MAMDC4,158056,24083,Q6UXC1,MAMDC4,"MAM domain containing 4","gene with protein product"
2,T076244,2006,0.9990,p4@SULT2A1,6822,11458,,SULT2A1,"sulfotransferase family 2A member 1","gene with protein product"
3,T190204,2000,0.9970,p22@MPDZ,8777,7208,,MPDZ,"multiple PDZ domain crumbs cell polarity complex component","gene with protein product"
4,T089928,2006,0.9965,p1@SLC30A10,55532,25355,Q6XR72,SLC30A10,"solute carrier family 30 member 10","gene with protein product"
5,T108468,2001,0.9955,p3@MPST,4357,7223,E7ENL2,MPST,"mercaptopyruvate sulfurtransferase","gene with protein product"
6,T112795,1997,0.9935,p12@ARHGAP15,55843,21030,,ARHGAP15,"Rho GTPase activating protein 15","gene with protein product"
7,T008368,1992,0.9901,p3@CYP2C18,1562,2620,"Q4VAT5,P33260,Q7Z348",CYP2C18,"cytochrome P450 family 2 subfamily C member 18","gene with protein product"
8,T083924,1987,0.9895,p10@CD5L,922,1690,,CD5L,"CD5 molecule like","gene with protein product"
9,T108467,1977,0.9855,p8@MPST,4357,7223,,MPST,"mercaptopyruvate sulfurtransferase","gene with protein product"
10,T169082,1972,0.9855,p1@CYP2W1,54905,20243,"Q8TAV3,A6NJ10",CYP2W1,"cytochrome P450 family 2 subfamily W member 1","gene with protein product"
11,T085292,1980,0.9821,p2@ADCY10,55811,21285,Q96PN6,ADCY10,"adenylate cyclase 10, soluble","gene with protein product"
12,T096082,1955,0.9722,p23@ESPN,83715,13281,,ESPN,espin,"gene with protein product"
13,T112797,1947,0.9716,p9@ARHGAP15,55843,21030,,ARHGAP15,"Rho GTPase activating protein 15","gene with protein product"
14,T122986,1951,0.9711,p4@THADA,63892,19217,,THADA,"THADA, armadillo repeat containing","gene with protein product"
15,T126727,1950,0.9711,p2@GPR128,84873,19241,E9PHI0,ADGRG7,"adhesion G protein-coupled receptor G7","gene with protein product"
16,T100952,1944,0.9686,p6@HNF4A,3172,5024,F8WBS7,HNF4A,"hepatocyte nuclear factor 4 alpha","gene with protein product"
17,T087320,1946,0.9667,p4@CFHR5,81494,24668,Q9BXR6,CFHR5,"complement factor H related 5","gene with protein product"
18,T063741,1927,0.9592,p1@SHBG,6462,10839,"P04278,F5H5Z8,E9PH59,E9PGW1,E9PGQ3,B0FWH2,B0FWH4",SHBG,"sex hormone binding globulin","gene with protein product"
19,T192061,1927,0.9592,p2@PLIN2,123,248,,PLIN2,"perilipin 2","gene with protein product"
20,T183527,1933,0.9584,p9@ADAM28,10863,206,,ADAM28,"ADAM metallopeptidase domain 28","gene with protein product"
21,T014585,1925,0.9577,p2@F2,2147,3535,,F2,"coagulation factor II, thrombin","gene with protein product"
22,T191439,1923,0.9577,p11@MAMDC4,158056,24083,Q6UXC1,MAMDC4,"MAM domain containing 4","gene with protein product"
23,T191390,1920,0.9576,p1@LCN15,389812,33777,Q6UWW0,LCN15,"lipocalin 15","gene with protein product"
24,T149391,1918,0.9566,p4@SLC23A1,9963,10974,"C9IZC8,Q9UHI7",SLC23A1,"solute carrier family 23 member 1","gene with protein product"
25,T016638,1918,0.9566,p10@HPX,3263,5171,,HPX,hemopexin,"gene with protein product"
26,T190942,1915,0.9532,p4@DBH,1621,2689,P09172,DBH,"dopamine beta-hydroxylase","gene with protein product"
27,T055833,1908,0.9521,p4@SERPINF2,5345,9075,P08697,SERPINF2,"serpin family F member 2","gene with protein product"
28,T059064,1899,0.9448,p1@PYY,5697,9748,P10082,PYY,"peptide YY","gene with protein product"
29,T087309,1891,0.9427,p2@CFHR3,10878,16980,Q02985,CFHR3,"complement factor H related 3","gene with protein product"
30,T198240,1894,0.9409,p3@PNCK,139728,13415,,PNCK,"pregnancy up-regulated nonubiquitous CaM kinase","gene with protein product"
31,T045576,1886,0.9402,p9@PDCD7,10081,8767,B4E031,PDCD7,"programmed cell death 7","gene with protein product"
32,T068037,1886,0.9392,p36@ALPK2,115701,20565,Q86TB3,ALPK2,"alpha kinase 2","gene with protein product"
33,T177953,1883,0.9373,p3@SRI,6717,11292,A8MTH6,SRI,sorcin,"gene with protein product"
34,T074444,1876,0.9343,p1@CYP2A6,1548,2610,P11509,CYP2A6,"cytochrome P450 family 2 subfamily A member 6","gene with protein product"
35,T053104,1872,0.9332,p7@ATP6V0D1,9114,13724,,ATP6V0D1,"ATPase H+ transporting V0 subunit d1","gene with protein product"
36,T190907,1882,0.9331,p1@ADAMTS13,11093,1366,"E9PBZ1,E7EV88",ADAMTS13,"ADAM metallopeptidase with thrombospondin type 1 motif 13","gene with protein product"
37,T088827,1871,0.9327,p6@C4BPA,722,1325,P04003,C4BPA,"complement component 4 binding protein alpha","gene with protein product"
38,T010092,1859,0.9272,p4@APOA1,335,600,P02647,APOA1,"apolipoprotein A1","gene with protein product"
39,T052239,1848,0.9217,p3@CES1,"100653057,1066",1863,"P23141,E9PAU8",CES1,"carboxylesterase 1","gene with protein product"
40,T191640,1851,0.9204,p1@RNF208,727800,25420,Q9H0X6,RNF208,"ring finger protein 208","gene with protein product"
41,T068770,1832,0.9124,p4@TSHZ1,10194,10669,Q6ZSZ6,TSHZ1,"teashirt zinc finger homeobox 1","gene with protein product"
42,T151590,1824,0.9102,p7@ATP10B,23120,13543,,ATP10B,"ATPase phospholipid transporting 10B (putative)","gene with protein product"
43,T027251,1823,0.9079,p1@RDH16,8608,29674,O75452,RDH16,"retinol dehydrogenase 16 (all-trans)","gene with protein product"
44,T019959,1821,0.9060,p3@NR1H4,9971,7967,Q96RI1,NR1H4,"nuclear receptor subfamily 1 group H member 4","gene with protein product"
45,T132637,1807,0.8995,p5@FETUB,26998,3658,,FETUB,"fetuin B","gene with protein product"
46,T040374,1800,0.8978,p2@ENTPD5,957,3367,G3V450,ENTPD5,"ectonucleoside triphosphate diphosphohydrolase 5","gene with protein product"
47,T162879,1806,0.8976,p2@SLC17A2,10246,10930,,SLC17A2,"solute carrier family 17 member 2","gene with protein product"
48,T087573,1797,0.8949,p3@NR5A2,2494,7984,B4E2P3,NR5A2,"nuclear receptor subfamily 5 group A member 2","gene with protein product"
49,T167952,1801,0.8947,p7@SH3BGRL2,83699,15567,Q9UJC5,SH3BGRL2,"SH3 domain binding glutamate rich protein like 2","gene with protein product"
50,T068242,1792,0.8938,p17@ZCCHC2,54877,22916,B2RPG6,ZCCHC2,"zinc finger CCHC-type containing 2","gene with protein product"
51,T190943,1794,0.8925,p2@DBH,1621,2689,P09172,DBH,"dopamine beta-hydroxylase","gene with protein product"
52,T088828,1788,0.8913,p9@C4BPA,722,1325,P04003,C4BPA,"complement component 4 binding protein alpha","gene with protein product"
53,T183526,1782,0.8883,p8@ADAM28,10863,206,,ADAM28,"ADAM metallopeptidase domain 28","gene with protein product"
54,T062317,1781,0.8878,p7@ABCA5,23461,35,,ABCA5,"ATP binding cassette subfamily A member 5","gene with protein product"
55,T008379,1779,0.8873,p1@CYP2C19,1557,2621,,CYP2C19,"cytochrome P450 family 2 subfamily C member 19","gene with protein product"
56,T069378,1782,0.8870,p8@C19orf66,55337,25649,,C19orf66,"chromosome 19 open reading frame 66","gene with protein product"
57,T167951,1778,0.8863,p8@SH3BGRL2,83699,15567,Q9UJC5,SH3BGRL2,"SH3 domain binding glutamate rich protein like 2","gene with protein product"
58,T074450,1774,0.8839,p1@CYP2B6,1555,2615,P20813,CYP2B6,"cytochrome P450 family 2 subfamily B member 6","gene with protein product"
59,T112796,1769,0.8823,p10@ARHGAP15,55843,21030,,ARHGAP15,"Rho GTPase activating protein 15","gene with protein product"
60,T100605,1775,0.8818,p2@LBP,3929,6517,P18428,LBP,"lipopolysaccharide binding protein","gene with protein product"
61,T144751,1761,0.8792,p17@MYL5,4636,7586,,MYL5,"myosin light chain 5","gene with protein product"
62,T178233,1759,0.8769,p7@HEPACAM2,253012,27364,A8MVW5,HEPACAM2,"HEPACAM family member 2","gene with protein product"
63,T023927,1759,0.8751,p9@LDHB,3945,6541,F5H793,LDHB,"lactate dehydrogenase B","gene with protein product"
64,T074678,1756,0.8749,p2@CEACAM7,1087,1819,"Q14002,P40199",CEACAM7,"carcinoembryonic antigen related cell adhesion molecule 7","gene with protein product"
65,T016708,1751,0.8724,p19@SYVN1,84447,20738,,SYVN1,"synoviolin 1","gene with protein product"
66,T087319,1746,0.8691,p6@CFHR5,81494,24668,Q9BXR6,CFHR5,"complement factor H related 5","gene with protein product"
