Hs-SMEK2,2000,1000,T123755-SMEK2,"p7@SMEK2"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T133527,2007,0.9995,p3@CEP19,84984,28209,Q96LK0,CEP19,"centrosomal protein 19","gene with protein product"
2,T145199,2007,0.9990,p6@MOB1B,92597,29801,,MOB1B,"MOB kinase activator 1B","gene with protein product"
3,T123754,2004,0.9990,p4@SMEK2,57223,29267,,PPP4R3B,"protein phosphatase 4 regulatory subunit 3B","gene with protein product"
4,T152666,2003,0.9990,p5@UIMC1,51720,30298,D6R9M3,UIMC1,"ubiquitin interaction motif containing 1","gene with protein product"
5,T117970,2007,0.9985,p2@C2orf67,151050,26310,A0AUZ9,KANSL1L,"KAT8 regulatory NSL complex subunit 1 like","gene with protein product"
6,T001911,2008,0.9975,p11@CAMK1D,57118,19341,,CAMK1D,"calcium/calmodulin dependent protein kinase ID","gene with protein product"
7,T038487,2006,0.9975,p4@NIN,51199,14906,,NIN,ninein,"gene with protein product"
8,T017876,2005,0.9975,p3@TMEM80,283232,27453,Q96HE8,TMEM80,"transmembrane protein 80","gene with protein product"
9,T099861,2000,0.9960,p2@CBFA2T2,9139,1536,Q5TGE8,CBFA2T2,"CBFA2/RUNX1 translocation partner 2","gene with protein product"
10,T140967,1995,0.9960,p13@GUCY1A3,2982,4685,Q02108,GUCY1A3,"guanylate cyclase 1 soluble subunit alpha","gene with protein product"
11,T029569,2001,0.9955,p6@ACSS3,79611,24723,F8VZB4,ACSS3,"acyl-CoA synthetase short-chain family member 3","gene with protein product"
12,T124122,1998,0.9950,p3@CCT4,10575,1617,B7Z2F4,CCT4,"chaperonin containing TCP1 subunit 4","gene with protein product"
13,T024427,1998,0.9945,p10@FKBP4,2288,3720,,FKBP4,"FK506 binding protein 4","gene with protein product"
14,T157804,2001,0.9926,p3@KIAA1919,91749,21053,Q5TF39,MFSD4B,"major facilitator superfamily domain containing 4B","gene with protein product"
15,T120956,1991,0.9920,p4@UBXN2A,165324,27265,P68543,UBXN2A,"UBX domain protein 2A","gene with protein product"
16,T113546,1989,0.9905,p3@PRPF40A,55660,16463,"O75400,E9PHJ7,E9PFS0,Q05C41",PRPF40A,"pre-mRNA processing factor 40 homolog A","gene with protein product"
17,T018851,1989,0.9886,p4@NARS2,79731,26274,Q96I59,NARS2,"asparaginyl-tRNA synthetase 2, mitochondrial (putative)","gene with protein product"
18,T142084,1980,0.9885,p23@GPM6A,2823,4460,P51674,GPM6A,"glycoprotein M6A","gene with protein product"
19,T075096,1984,0.9880,p3@IRGQ,126298,24868,Q8WZA9,IRGQ,"immunity related GTPase Q","gene with protein product"
20,T157716,1977,0.9841,p5@CDC40,51362,17350,"O60508,Q5SRN1",CDC40,"cell division cycle 40","gene with protein product"
21,T100018,1976,0.9841,p2@NCOA6,23054,15936,"F8WCI1,F6M2K2,Q14686",NCOA6,"nuclear receptor coactivator 6","gene with protein product"
22,T184511,1968,0.9840,p5@WHSC1L1,54904,12767,Q9BZ95,NSD3,"nuclear receptor binding SET domain protein 3","gene with protein product"
23,T097743,1975,0.9836,p4@ZNF644,84146,29222,,ZNF644,"zinc finger protein 644","gene with protein product"
24,T184917,1979,0.9826,p3@THAP1,55145,20856,Q9NVV9,THAP1,"THAP domain containing 1","gene with protein product"
25,T022511,1970,0.9825,p3@GTF2H3,2967,4657,F5H3G1,GTF2H3,"general transcription factor IIH subunit 3","gene with protein product"
26,T046956,1977,0.9816,p1@KIAA1024,23251,29172,Q9UPX6,KIAA1024,KIAA1024,"gene with protein product"
27,T124803,1965,0.9805,p18@PCBP1-AS1,,42948,,PCBP1-AS1,"PCBP1 antisense RNA 1","RNA, long non-coding"
28,T132319,1967,0.9801,p2@EIF2B5,8893,3261,Q13144,EIF2B5,"eukaryotic translation initiation factor 2B subunit epsilon","gene with protein product"
29,T134853,1965,0.9800,p1@ABHD5,51099,21396,F8W7B5,ABHD5,"abhydrolase domain containing 5","gene with protein product"
30,T096383,1959,0.9751,p5@WDR78,79819,26252,"Q5VTH9,A0AVI9",WDR78,"WD repeat domain 78","gene with protein product"
31,T095926,1955,0.9746,p4@USP1,7398,12607,O94782,USP1,"ubiquitin specific peptidase 1","gene with protein product"
32,T042666,1954,0.9746,"p1@CHRFAM7A,p1@CHRNA7","1139,89832","15781,1960","F5H8K5,B1N7F6,B1N7G3",CHRFAM7A,"CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion","gene with protein product"
33,T125917,1953,0.9746,"p6@CHMP3,p6@RNF103-CHMP3","100526767,51652","29865,38847",,CHMP3,"charged multivesicular body protein 3","gene with protein product"
34,T079300,1954,0.9741,p2@EVI5L,115704,30464,Q96CN4,EVI5L,"ecotropic viral integration site 5 like","gene with protein product"
35,T099160,1950,0.9731,p4@GZF1,64412,15808,Q5JXG1,GZF1,"GDNF inducible zinc finger protein 1","gene with protein product"
36,T199705,1949,0.9726,p2@KDM6A,7403,12637,"E7EWN2,O15550,Q59HG3",KDM6A,"lysine demethylase 6A","gene with protein product"
37,T071099,1952,0.9721,p5@CHERP,10523,16930,,CHERP,"calcium homeostasis endoplasmic reticulum protein","gene with protein product"
38,T028658,1953,0.9716,p4@RAB3IP,117177,16508,Q96QF0,RAB3IP,"RAB3A interacting protein","gene with protein product"
39,T182625,1953,0.9707,p2@FGF20,26281,3677,Q9NP95,FGF20,"fibroblast growth factor 20","gene with protein product"
40,T051798,1950,0.9706,p12@UBN1,29855,12506,Q9NPG3,UBN1,"ubinuclein 1","gene with protein product"
41,T070001,1949,0.9701,p4@ZNF563,147837,30498,Q8TA94,ZNF563,"zinc finger protein 563","gene with protein product"
42,T099557,1941,0.9681,p2@TTLL9,164395,16118,Q3SXZ7,TTLL9,"tubulin tyrosine ligase like 9","gene with protein product"
43,T030485,1941,0.9681,p15@CCDC41,51134,17966,"Q3B787,Q9Y592",CEP83,"centrosomal protein 83","gene with protein product"
44,T080506,1944,0.9676,p1@LRIF1,55791,30299,Q5T3J3,LRIF1,"ligand dependent nuclear receptor interacting factor 1","gene with protein product"
45,T022512,1936,0.9670,p2@GTF2H3,2967,4657,F5H3G1,GTF2H3,"general transcription factor IIH subunit 3","gene with protein product"
46,T119895,1937,0.9656,p16@TRIP12,9320,12306,Q14669,TRIP12,"thyroid hormone receptor interactor 12","gene with protein product"
47,T003921,1936,0.9651,p10@WAC,51322,17327,Q9BTA9,WAC,"WW domain containing adaptor with coiled-coil","gene with protein product"
48,T085922,1935,0.9636,p13@CACYBP,27101,30423,Q5R370,CACYBP,"calcyclin binding protein","gene with protein product"
49,T153569,1933,0.9636,p6@SUB1,10923,19985,,SUB1,"SUB1 homolog, transcriptional regulator","gene with protein product"
