Hs-ZFP106,2000,1000,T043658-ZFP106,"p8@ZFP106"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T015290,2006,1.0000,p6@MPEG1,219972,29619,,MPEG1,"macrophage expressed 1","gene with protein product"
2,T174200,2009,0.9995,p38@HNRNPA2B1,3181,5033,,HNRNPA2B1,"heterogeneous nuclear ribonucleoprotein A2/B1","gene with protein product"
3,T100154,2012,0.9990,p5@RBM12,10137,9898,,RBM12,"RNA binding motif protein 12","gene with protein product"
4,T084984,2010,0.9990,p4@RGS5,8490,10001,Q9H3F2,RGS5,"regulator of G-protein signaling 5","gene with protein product"
5,T155905,2008,0.9990,p19@ADCY2,108,233,Q08462,ADCY2,"adenylate cyclase 2","gene with protein product"
6,T146609,2007,0.9990,p15@AFF1,4299,7135,,AFF1,"AF4/FMR2 family member 1","gene with protein product"
7,T108007,2007,0.9990,p6@FBXO7,25793,13586,Q9Y3I1,FBXO7,"F-box protein 7","gene with protein product"
8,T095259,2006,0.9990,p2@NRD1,4898,7995,"G3V1R5,O43847,Q6UUU9",NRDC,"nardilysin convertase","gene with protein product"
9,T151556,2003,0.9990,p4@SLU7,10569,16939,,SLU7,"SLU7 homolog, splicing factor","gene with protein product"
10,T043652,2012,0.9985,p15@ZFP106,64397,23240,,NA,NA,NA
11,T140986,2008,0.9985,p3@GUCY1B3,2983,4687,,GUCY1B3,"guanylate cyclase 1 soluble subunit beta","gene with protein product"
12,T046746,2006,0.9985,p21@LINGO1,84894,21205,Q96FE5,LINGO1,"leucine rich repeat and Ig domain containing 1","gene with protein product"
13,T198767,2006,0.9985,p5@CDKL5,6792,11411,,CDKL5,"cyclin dependent kinase like 5","gene with protein product"
14,T120053,2004,0.9985,p19@NCL,4691,7667,,NCL,nucleolin,"gene with protein product"
15,T164689,2000,0.9985,p2@HSD17B8,7923,3554,Q92506,HSD17B8,"hydroxysteroid 17-beta dehydrogenase 8","gene with protein product"
16,T178461,2006,0.9980,p30@PEG10,23089,14005,,PEG10,"paternally expressed 10","gene with protein product"
17,T027494,2002,0.9980,p13@KIF5A,3798,6323,,KIF5A,"kinesin family member 5A","gene with protein product"
18,T121481,2002,0.9980,p4@RAB10,10890,9759,,RAB10,"RAB10, member RAS oncogene family","gene with protein product"
19,T198462,2002,0.9980,p16@GDI1,2664,4226,,GDI1,"GDP dissociation inhibitor 1","gene with protein product"
20,T177764,2001,0.9980,p7@SEMA3E,9723,10727,F8WCZ5,SEMA3E,"semaphorin 3E","gene with protein product"
21,T119750,2008,0.9975,p2@AGFG1,3267,5175,B4DHC5,AGFG1,"ArfGAP with FG repeats 1","gene with protein product"
22,T152687,2007,0.9975,p5@NSD1,64324,14234,,NSD1,"nuclear receptor binding SET domain protein 1","gene with protein product"
23,T200629,2005,0.9970,p6@ARHGEF9,23229,14561,B1AMR4,ARHGEF9,"Cdc42 guanine nucleotide exchange factor 9","gene with protein product"
24,T155925,2004,0.9970,p1@SCAMP1,,10563,O15126,SCAMP1,"secretory carrier membrane protein 1","gene with protein product"
25,T144480,2003,0.9970,p9@PAICS,10606,8587,P22234,PAICS,"phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase","gene with protein product"
26,T038249,2001,0.9970,p3@PRPF39,55015,20314,,PRPF39,"pre-mRNA processing factor 39","gene with protein product"
27,T091766,2001,0.9970,p1@CHML,1122,1941,P26374,CHML,"CHM like, Rab escort protein 2","gene with protein product"
28,T096771,1997,0.9970,p18@AK5,26289,365,,AK5,"adenylate kinase 5","gene with protein product"
29,T122431,2001,0.9965,p4@CEBPZ,10153,24218,C9J9W7,CEBPZ,"CCAAT/enhancer binding protein zeta","gene with protein product"
30,T113725,1998,0.9965,p2@DDX1,1653,2734,,DDX1,"DEAD-box helicase 1","gene with protein product"
31,T050049,1999,0.9960,p3@ARHGAP17,55114,18239,Q68EM7,ARHGAP17,"Rho GTPase activating protein 17","gene with protein product"
32,T019623,1999,0.9955,p2@C11orf54,28970,30204,,C11orf54,"chromosome 11 open reading frame 54","gene with protein product"
33,T177680,1995,0.9945,p18@CACNA2D1,781,1399,,CACNA2D1,"calcium voltage-gated channel auxiliary subunit alpha2delta 1","gene with protein product"
34,T041537,1994,0.9940,p7@LGMN,5641,9472,Q96CY7,LGMN,legumain,"gene with protein product"
35,T192095,1995,0.9935,p5@SLC24A2,25769,10976,,SLC24A2,"solute carrier family 24 member 2","gene with protein product"
36,T197973,1988,0.9920,p42@IDS,3423,5389,,IDS,"iduronate 2-sulfatase","gene with protein product"
37,T199628,1994,0.9911,p3@GPR34,2857,4490,,GPR34,"G protein-coupled receptor 34","gene with protein product"
38,T170302,1988,0.9910,p7@PTPRZ1,5803,9685,,PTPRZ1,"protein tyrosine phosphatase, receptor type Z1","gene with protein product"
39,T100007,1988,0.9910,p9@TP53INP2,58476,16104,,TP53INP2,"tumor protein p53 inducible nuclear protein 2","gene with protein product"
40,T038926,1988,0.9905,p9@KTN1,3895,6467,,KTN1,"kinectin 1","gene with protein product"
41,T116183,1987,0.9905,p4@NCKAP1,10787,7666,Q9Y2A7,NCKAP1,"NCK associated protein 1","gene with protein product"
