Hs-KCP,2000,1000,T170685-KCP,"p9@KCP"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T013482,2013,0.9995,p30@PAX6,5080,8620,G3V567,PAX6,"paired box 6","gene with protein product"
2,T151635,2011,0.9995,p13@GABRA6,2559,4080,E7EV53,GABRA6,"gamma-aminobutyric acid type A receptor alpha6 subunit","gene with protein product"
3,T122717,2007,0.9995,p28@TMEM178,130733,28517,,TMEM178A,"transmembrane protein 178A","gene with protein product"
4,T051805,2015,0.9990,p2@CBLN1,869,1543,,CBLN1,"cerebellin 1 precursor","gene with protein product"
5,T070807,2007,0.9990,p6@SLC1A6,6511,10944,Q8N753,SLC1A6,"solute carrier family 1 member 6","gene with protein product"
6,T107910,2001,0.9985,p13@SFI1,9814,29064,,SFI1,"SFI1 centrin binding protein","gene with protein product"
7,T187399,2000,0.9965,p3@MIR124-1,406907,31502,,MIR124-1,"microRNA 124-1","RNA, micro"
8,T045214,2003,0.9955,p7@RORA,6095,10258,,RORA,"RAR related orphan receptor A","gene with protein product"
9,T012057,2000,0.9950,p22@BRSK2,9024,11405,,BRSK2,"BR serine/threonine kinase 2","gene with protein product"
10,T056322,1999,0.9950,"p5@KCNJ12,p5@KCNJ18","100134444,100653095,3768","39080,6258","B7U540,Q14500",KCNJ18,"potassium voltage-gated channel subfamily J member 18","gene with protein product"
11,T045676,1998,0.9950,p3@MEGF11,84465,29635,A6BM72,MEGF11,"multiple EGF like domains 11","gene with protein product"
12,T132438,1994,0.9935,p3@CHRD,8646,1949,,CHRD,chordin,"gene with protein product"
13,T049728,1994,0.9925,p2@ZP2,7783,13188,Q05996,ZP2,"zona pellucida glycoprotein 2","gene with protein product"
14,T087255,1993,0.9920,p2@GABRD,2563,4084,O14764,GABRD,"gamma-aminobutyric acid type A receptor delta subunit","gene with protein product"
15,T065654,1996,0.9916,p32@GAS7,8522,4169,B7Z1Q2,GAS7,"growth arrest specific 7","gene with protein product"
16,T063094,1988,0.9900,p6@GGA3,23163,17079,,GGA3,"golgi associated, gamma adaptin ear containing, ARF binding protein 3","gene with protein product"
17,T083111,1984,0.9890,p4@C1orf126,,26301,,TMEM51-AS1,"TMEM51 antisense RNA 1","RNA, long non-coding"
18,T164892,1981,0.9880,p2@GRM4,2914,4596,A1L4F9,GRM4,"glutamate metabotropic receptor 4","gene with protein product"
19,T058379,1983,0.9875,p3@KRT31,3881,6448,Q15323,KRT31,"keratin 31","gene with protein product"
20,T022074,1983,0.9875,p5@CAMKK2,10645,1470,,CAMKK2,"calcium/calmodulin dependent protein kinase kinase 2","gene with protein product"
21,T116085,1990,0.9866,p5@NEUROD1,4760,7762,Q13562,NEUROD1,"neuronal differentiation 1","gene with protein product"
22,T067714,1979,0.9856,p3@C18orf42,642597,28285,P0CW23,AKAIN1,"A-kinase anchor inhibitor 1","gene with protein product"
