Hs-OAS1,2000,1000,T021214-OAS1,"p9@OAS1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T145742,2008,0.9990,p10@STBD1,8987,24854,,STBD1,"starch binding domain 1","gene with protein product"
2,T015503,2004,0.9990,p15@SLC15A3,51296,18068,"Q05CH4,F5H1C8",SLC15A3,"solute carrier family 15 member 3","gene with protein product"
3,T014891,2001,0.9990,p2@HBB,3043,4827,,HBB,"hemoglobin subunit beta","gene with protein product"
4,T068236,2008,0.9985,p11@ZCCHC2,54877,22916,"Q9C0B9,Q9BRD4",ZCCHC2,"zinc finger CCHC-type containing 2","gene with protein product"
5,T192825,2004,0.9980,p1@CCL19,6363,10617,"Q99731,Q6IBD6",CCL19,"C-C motif chemokine ligand 19","gene with protein product"
6,T024149,2003,0.9980,p26@LRMP,4033,6690,Q12912,LRMP,"lymphoid restricted membrane protein","gene with protein product"
7,T176400,2001,0.9980,p22@ACTB,60,132,,ACTB,"actin beta","gene with protein product"
8,T161659,2003,0.9970,p3@GMPR,2766,4376,P36959,GMPR,"guanosine monophosphate reductase","gene with protein product"
9,T026820,2005,0.9950,p5@MUCL1,118430,30588,,MUCL1,"mucin like 1","gene with protein product"
10,T093140,1997,0.9950,p3@SNORA61,677838,32655,,SNORA61,"small nucleolar RNA, H/ACA box 61","RNA, small nucleolar"
11,T176424,1996,0.9930,p40@ACTB,60,132,C9JUM1,ACTB,"actin beta","gene with protein product"
12,T171938,1991,0.9920,p3@TRBV7-3,,12237,,TRBV7-3,"T cell receptor beta variable 7-3","T cell receptor gene"
13,T053104,1983,0.9900,p7@ATP6V0D1,9114,13724,,ATP6V0D1,"ATPase H+ transporting V0 subunit d1","gene with protein product"
14,T143274,1988,0.9891,p2@TNIP2,79155,19118,Q8NFZ5,TNIP2,"TNFAIP3 interacting protein 2","gene with protein product"
15,T138539,1985,0.9890,p47@UBE2D3,7323,12476,P61077,UBE2D3,"ubiquitin conjugating enzyme E2 D3","gene with protein product"
16,T045071,1984,0.9890,p7@MYO1E,4643,7599,,MYO1E,"myosin IE","gene with protein product"
17,T192175,1984,0.9885,p3@PTPLAD2,401494,20920,,HACD4,"3-hydroxyacyl-CoA dehydratase 4","gene with protein product"
18,T020401,1979,0.9870,p9@CHST11,50515,17422,,CHST11,"carbohydrate sulfotransferase 11","gene with protein product"
19,T026819,1978,0.9870,p3@MUCL1,118430,30588,,MUCL1,"mucin like 1","gene with protein product"
20,T017588,1984,0.9861,p7@PTPRCAP,5790,9667,Q14761,PTPRCAP,"protein tyrosine phosphatase, receptor type C associated protein","gene with protein product"
21,T146478,1979,0.9856,p10@GAK,2580,4113,,GAK,"cyclin G associated kinase","gene with protein product"
22,T194079,1978,0.9856,p10@C9orf40,55071,23433,Q8IXQ3,C9orf40,"chromosome 9 open reading frame 40","gene with protein product"
23,T017759,1977,0.9851,p8@GAL,51083,4114,,GAL,"galanin and GMAP prepropeptide","gene with protein product"
24,T133833,1975,0.9831,p7@CHL1,10752,1939,C9JW79,CHL1,"cell adhesion molecule L1 like","gene with protein product"
25,T171846,1971,0.9816,p7@TRBV1,,12176,,TRBV1,"T cell receptor beta variable 1 (pseudogene)","T cell receptor pseudogene"
26,T014883,1973,0.9811,p3@HBB,3043,4827,P68871,HBB,"hemoglobin subunit beta","gene with protein product"
27,T014894,1970,0.9811,p5@HBB,3043,4827,,HBB,"hemoglobin subunit beta","gene with protein product"
28,T108873,1962,0.9790,p23@SUN2,25777,14210,,SUN2,"Sad1 and UNC84 domain containing 2","gene with protein product"
29,T066534,1964,0.9776,p9@DSC2,1824,3036,,DSC2,"desmocollin 2","gene with protein product"
30,T017886,1960,0.9776,p4@FGF3,2248,3681,P11487,FGF3,"fibroblast growth factor 3","gene with protein product"
31,T015067,1955,0.9746,p21@SLC43A3,29015,17466,,SLC43A3,"solute carrier family 43 member 3","gene with protein product"
32,T184904,1954,0.9741,p3@CHRNA6,8973,15963,,CHRNA6,"cholinergic receptor nicotinic alpha 6 subunit","gene with protein product"
33,T124564,1952,0.9731,p17@ARHGAP25,9938,28951,,ARHGAP25,"Rho GTPase activating protein 25","gene with protein product"
34,T048188,1951,0.9731,p16@MCTP2,55784,25636,,MCTP2,"multiple C2 and transmembrane domain containing 2","gene with protein product"
35,T113694,1948,0.9721,p11@GPD2,2820,4456,,GPD2,"glycerol-3-phosphate dehydrogenase 2","gene with protein product"
36,T014879,1949,0.9716,p4@HBB,3043,4827,P68871,HBB,"hemoglobin subunit beta","gene with protein product"
37,T026818,1953,0.9712,p2@MUCL1,118430,30588,,MUCL1,"mucin like 1","gene with protein product"
38,T020402,1949,0.9711,p15@CHST11,50515,17422,,CHST11,"carbohydrate sulfotransferase 11","gene with protein product"
39,T183678,1950,0.9706,p10@BNIP3L,665,1085,,BNIP3L,"BCL2 interacting protein 3 like","gene with protein product"
