Hs-PDE4DIP,2000,1000,T081684-PDE4DIP,"p2@PDE4DIP"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T085215,2010,1.0000,p1@DUSP27,e:92235,h:25034,Q5VZP5,DUSP27,"dual specificity phosphatase 27 (putative)","gene with protein product"
2,T073527,2009,1.0000,p1@COX7A1,e:1346,h:2287,,COX7A1,"cytochrome c oxidase subunit 7A1","gene with protein product"
3,T165676,2006,1.0000,p2@APOBEC2,e:10930,h:605,B4DUL0,APOBEC2,"apolipoprotein B mRNA editing enzyme catalytic subunit 2","gene with protein product"
4,T081683,2005,0.9995,p12@PDE4DIP,e:9659,h:15580,,PDE4DIP,"phosphodiesterase 4D interacting protein","gene with protein product"
5,T142526,2003,0.9990,p1@SLC25A4,e:291,h:10990,P12235,SLC25A4,"solute carrier family 25 member 4","gene with protein product"
6,T156193,2005,0.9985,p1@CKMT2,e:1160,h:1996,"P17540,D6RHV3,D6R998",CKMT2,"creatine kinase, mitochondrial 2","gene with protein product"
7,T190554,2004,0.9985,p2@PPAPDC3,e:84814,h:28174,,PLPP7,"phospholipid phosphatase 7 (inactive)","gene with protein product"
8,T007659,2003,0.9985,p1@LDB3,e:11155,h:15710,,LDB3,"LIM domain binding 3","gene with protein product"
9,T165674,2008,0.9980,p3@APOBEC2,e:10930,h:605,Q9Y235,APOBEC2,"apolipoprotein B mRNA editing enzyme catalytic subunit 2","gene with protein product"
10,T158589,2004,0.9980,p1@TRDN,e:10345,h:12261,E9PDT2,TRDN,triadin,"gene with protein product"
11,T151749,2003,0.9980,p3@FAM134B,e:54463,h:25964,,FAM134B,"family with sequence similarity 134 member B","gene with protein product"
12,T047802,2003,0.9980,p1@IDH2,e:3418,h:5383,"P48735,B4DSZ6",IDH2,"isocitrate dehydrogenase (NADP(+)) 2, mitochondrial","gene with protein product"
13,T110582,2002,0.9975,p2@TMEM182,e:130827,h:26391,Q6ZP80,TMEM182,"transmembrane protein 182","gene with protein product"
14,T159871,2001,0.9950,p1@TXLNB,e:167838,h:21617,Q8N3L3,TXLNB,"taxilin beta","gene with protein product"
15,T097754,1997,0.9950,p2@C1orf170,,h:28208,Q5SV97,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1","gene with protein product"
16,T189193,1989,0.9930,p3@GSN,e:2934,h:4620,,GSN,gelsolin,"gene with protein product"
17,T159872,1991,0.9925,p3@TXLNB,e:167838,h:21617,Q8N3L3,TXLNB,"taxilin beta","gene with protein product"
18,T175599,1988,0.9920,p3@PGAM2,e:5224,h:8889,,PGAM2,"phosphoglycerate mutase 2","gene with protein product"
19,T179624,1989,0.9915,p2@ABRA,e:137735,h:30655,Q8N0Z2,ABRA,"actin binding Rho activating protein","gene with protein product"
20,T143906,1986,0.9915,p6@LIMCH1,e:22998,h:29191,,LIMCH1,"LIM and calponin homology domains 1","gene with protein product"
21,T097753,1990,0.9900,p1@C1orf170,e:84808,h:28208,,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1","gene with protein product"
22,T091473,1982,0.9871,p1@ACTN2,e:88,h:164,P35609,ACTN2,"actinin alpha 2","gene with protein product"
23,T001878,1978,0.9870,p9@TACC2,e:10579,h:11523,,TACC2,"transforming acidic coiled-coil containing protein 2","gene with protein product"
24,T014610,1974,0.9855,p2@PACSIN3,e:29763,h:8572,E9PJ33,PACSIN3,"protein kinase C and casein kinase substrate in neurons 3","gene with protein product"
25,T172745,1978,0.9841,p1@ASB10,e:136371,h:17185,F8WB38,ASB10,"ankyrin repeat and SOCS box containing 10","gene with protein product"
26,T006817,1973,0.9826,p1@SYNPO2L,e:79933,h:23532,"A6NCR3,Q9H987",SYNPO2L,"synaptopodin 2 like","gene with protein product"
27,T052709,1974,0.9821,p2@GOT2,e:2806,h:4433,P00505,GOT2,"glutamic-oxaloacetic transaminase 2","gene with protein product"
28,T198923,1970,0.9811,p3@SMPX,e:23676,h:11122,,SMPX,"small muscle protein, X-linked","gene with protein product"
29,T037313,1968,0.9806,p1@FITM1,e:161247,h:33714,,FITM1,"fat storage inducing transmembrane protein 1","gene with protein product"
30,T066733,1969,0.9796,p1@MYOM1,e:8736,h:7613,"P52179,A8MX12",MYOM1,"myomesin 1","gene with protein product"
31,T137134,1970,0.9786,p1@LMOD3,e:56203,h:6649,Q0VAK6,LMOD3,"leiomodin 3","gene with protein product"
32,T128694,1958,0.9775,p2@KBTBD12,e:166348,h:25731,B5MCZ4,KBTBD12,"kelch repeat and BTB domain containing 12","gene with protein product"
33,T158588,1958,0.9756,p4@TRDN,e:10345,h:12261,F5H2W7,TRDN,triadin,"gene with protein product"
34,T007661,1956,0.9751,p4@LDB3,e:11155,h:15710,O75112,LDB3,"LIM domain binding 3","gene with protein product"
35,T038805,1955,0.9731,p4@SAMD4A,e:23034,h:23023,,SAMD4A,"sterile alpha motif domain containing 4A","gene with protein product"
36,T090547,1954,0.9731,p1@ADCK3,e:56997,h:16812,"Q5T7A2,Q5T7A4,Q8NI60",COQ8A,"coenzyme Q8A","gene with protein product"
37,T051240,1952,0.9711,p1@COX6A2,e:1339,h:2279,Q02221,COX6A2,"cytochrome c oxidase subunit 6A2","gene with protein product"
38,T158590,1948,0.9711,p2@TRDN,e:10345,h:12261,F5H6E3,TRDN,triadin,"gene with protein product"
39,T138190,1940,0.9671,p4@C3orf26,e:84319,h:28666,"E9PHS3,B4DUM1",CMSS1,"cms1 ribosomal small subunit homolog (yeast)","gene with protein product"
40,T182298,1938,0.9651,p14@PLEC,e:5339,h:9069,Q15149,PLEC,plectin,"gene with protein product"
41,T092687,1936,0.9646,p4@CEP85,e:64793,h:25309,,CEP85,"centrosomal protein 85","gene with protein product"
42,T031611,1938,0.9637,p1@CUL4A,e:8451,h:2554,Q13619,CUL4A,"cullin 4A","gene with protein product"
43,T057840,1932,0.9631,p1@TCAP,e:8557,h:11610,"A2TDC0,O15273",TCAP,titin-cap,"gene with protein product"
44,T014611,1929,0.9621,p4@PACSIN3,e:29763,h:8572,E9PJ33,PACSIN3,"protein kinase C and casein kinase substrate in neurons 3","gene with protein product"
45,T059103,1930,0.9612,p1@ASB16,e:92591,h:19768,Q96NS5,ASB16,"ankyrin repeat and SOCS box containing 16","gene with protein product"
46,T051241,1926,0.9596,p2@COX6A2,e:1339,h:2279,Q02221,COX6A2,"cytochrome c oxidase subunit 6A2","gene with protein product"
47,T006104,1926,0.9592,p6@MYPN,e:84665,h:23246,,MYPN,myopalladin,"gene with protein product"
48,T006819,1924,0.9586,p3@SYNPO2L,e:79933,h:23532,"A6NCR3,Q9H987",SYNPO2L,"synaptopodin 2 like","gene with protein product"
49,T011548,1922,0.9586,p23@TEAD1,e:7003,h:11714,P28347,TEAD1,"TEA domain transcription factor 1","gene with protein product"
50,T154310,1928,0.9583,p1@NNT,e:23530,h:7863,E9PCX7,NNT,"nicotinamide nucleotide transhydrogenase","gene with protein product"
51,T032596,1926,0.9582,p21@FRY,e:10129,h:20367,B1ALA1,FRY,"FRY microtubule binding protein","gene with protein product"
52,T070813,1920,0.9562,p4@ADAMTSL5,e:339366,h:27912,"Q6ZMM2,Q0VD77",ADAMTSL5,"ADAMTS like 5","gene with protein product"
53,T035739,1919,0.9562,p2@ADSSL1,e:122622,h:20093,Q8N142,ADSSL1,"adenylosuccinate synthase like 1","gene with protein product"
