Hs-FBLN5,2000,1000,T041419-FBLN5,"p17@FBLN5"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T139174,2007,1.0000,p5@SPON2,e:10417,h:11253,,SPON2,"spondin 2","gene with protein product"
2,T023425,2014,1.0000,p1@MGP,e:4256,h:7060,P08493,MGP,"matrix Gla protein","gene with protein product"
3,T095619,2007,1.0000,p13@PPAP2B,e:8613,h:9229,O14495,PLPP3,"phospholipid phosphatase 3","gene with protein product"
4,T139180,2009,1.0000,p17@SPON2,e:10417,h:11253,Q9H7I1,SPON2,"spondin 2","gene with protein product"
5,T191163,2008,1.0000,p4@C9orf116,e:138162,h:28435,Q5BN46,C9orf116,"chromosome 9 open reading frame 116","gene with protein product"
6,T020709,2006,1.0000,p2@TMEM119,e:338773,h:27884,F8W0W9,TMEM119,"transmembrane protein 119","gene with protein product"
7,T029848,2004,1.0000,p19@MFAP5,e:8076,h:29673,Q7Z490,MFAP5,"microfibrillar associated protein 5","gene with protein product"
8,T041442,2006,1.0000,p1@FBLN5,e:10516,h:3602,G3XA98,FBLN5,"fibulin 5","gene with protein product"
9,T073758,2011,1.0000,p1@PPP1R14A,e:94274,h:14871,Q96A00,PPP1R14A,"protein phosphatase 1 regulatory inhibitor subunit 14A","gene with protein product"
10,T041417,2008,1.0000,p18@FBLN5,e:10516,h:3602,,FBLN5,"fibulin 5","gene with protein product"
11,T041418,2004,1.0000,p22@FBLN5,e:10516,h:3602,,FBLN5,"fibulin 5","gene with protein product"
12,T176414,2004,1.0000,p34@ACTB,e:60,h:132,A4UCT3,ACTB,"actin beta","gene with protein product"
13,T187599,2008,1.0000,p2@KCNS2,e:3788,h:6301,Q9ULS6,KCNS2,"potassium voltage-gated channel modifier subfamily S member 2","gene with protein product"
14,T086112,2009,1.0000,p4@ANGPTL1,e:9068,h:489,E7EW04,ANGPTL1,"angiopoietin like 1","gene with protein product"
15,T151080,2006,1.0000,p4@SPARC,e:6678,h:11219,,SPARC,"secreted protein acidic and cysteine rich","gene with protein product"
16,T047559,2010,0.9995,p7@MFGE8,e:4240,h:7036,,MFGE8,"milk fat globule-EGF factor 8 protein","gene with protein product"
17,T144126,2008,0.9995,p1@CORIN,e:10699,h:19012,Q9Y5Q5,CORIN,"corin, serine peptidase","gene with protein product"
18,T072581,2007,0.9995,p16@AES,e:166,h:307,"Q08117,Q14CJ1,Q8WY48",AES,"amino-terminal enhancer of split","gene with protein product"
19,T071704,2007,0.9995,p3@COMP,e:1311,h:2227,,COMP,"cartilage oligomeric matrix protein","gene with protein product"
20,T195972,2004,0.9995,p1@RAB40A,e:142684,h:18283,Q8WXH6,RAB40A,"RAB40A, member RAS oncogene family","gene with protein product"
21,T014931,2004,0.9995,p2@UBQLN3,e:50613,h:12510,,UBQLN3,"ubiquilin 3","gene with protein product"
22,T085362,2006,0.9990,p3@DPT,e:1805,h:3011,,DPT,dermatopontin,"gene with protein product"
23,T047555,2005,0.9990,p5@MFGE8,e:4240,h:7036,,MFGE8,"milk fat globule-EGF factor 8 protein","gene with protein product"
24,T060399,2002,0.9990,p58@COL1A1,e:1277,h:2197,,COL1A1,"collagen type I alpha 1 chain","gene with protein product"
25,T085363,2007,0.9985,p2@DPT,e:1805,h:3011,,DPT,dermatopontin,"gene with protein product"
26,T124223,2006,0.9985,p8@UGP2,e:7360,h:12527,C9JQU9,UGP2,"UDP-glucose pyrophosphorylase 2","gene with protein product"
27,T139183,2005,0.9985,p10@SPON2,e:10417,h:11253,,SPON2,"spondin 2","gene with protein product"
28,T020449,2003,0.9985,p6@APPL2,e:55198,h:18242,,APPL2,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2","gene with protein product"
29,T041444,2002,0.9985,p4@FBLN5,e:10516,h:3602,G3XA98,FBLN5,"fibulin 5","gene with protein product"
30,T073319,2004,0.9980,p8@HSPB6,e:126393,h:26511,,HSPB6,"heat shock protein family B (small) member 6","gene with protein product"
31,T009125,2002,0.9980,p1@PDGFD,e:80310,h:30620,Q9GZP0,PDGFD,"platelet derived growth factor D","gene with protein product"
32,T188476,2005,0.9975,p17@LPAR1,e:1902,h:3166,B1AP63,LPAR1,"lysophosphatidic acid receptor 1","gene with protein product"
33,T071631,2004,0.9970,p2@CRLF1,e:9244,h:2364,O75462,CRLF1,"cytokine receptor like factor 1","gene with protein product"
34,T200213,2000,0.9970,p1@HSPB1P2,,h:5252,,HSPB1P2,"heat shock protein family B (small) member 1 pseudogene 2",pseudogene
35,T154604,2000,0.9965,p2@RNF138P1,e:379013,h:30342,,RNF138P1,"ring finger protein 138 pseudogene 1",pseudogene
36,T140548,1999,0.9965,p4@SH3D19,e:152503,h:30418,,SH3D19,"SH3 domain containing 19","gene with protein product"
37,T031048,2002,0.9960,p9@ITGBL1,e:9358,h:6164,,ITGBL1,"integrin subunit beta like 1","gene with protein product"
38,T141689,1998,0.9960,p6@PALLD,e:23022,h:17068,Q8WX93,PALLD,"palladin, cytoskeletal associated protein","gene with protein product"
39,T152901,1995,0.9950,p6@ADAMTS2,e:9509,h:218,O95450,ADAMTS2,"ADAM metallopeptidase with thrombospondin type 1 motif 2","gene with protein product"
40,T128019,1994,0.9935,p1@MIR198,e:406975,h:31570,,MIR198,"microRNA 198","RNA, micro"
41,T020250,1994,0.9935,p9@GABARAPL1,e:23710,h:4068,,GABARAPL1,"GABA type A receptor associated protein like 1","gene with protein product"
42,T056149,1992,0.9935,p2@MFAP4,e:4239,h:7035,,MFAP4,"microfibrillar associated protein 4","gene with protein product"
43,T148268,1994,0.9925,p15@GRAMD3,e:65983,h:24911,,GRAMD3,"GRAM domain containing 3","gene with protein product"
44,T097244,1992,0.9925,p46@DDAH1,e:23576,h:2715,,DDAH1,"dimethylarginine dimethylaminohydrolase 1","gene with protein product"
45,T178360,1992,0.9920,p7@COL1A2,e:1278,h:2198,,COL1A2,"collagen type I alpha 2 chain","gene with protein product"
46,T129458,1990,0.9915,p5@FBLN2,e:2199,h:3601,,FBLN2,"fibulin 2","gene with protein product"
47,T150821,1988,0.9910,p3@GPX3,,h:4555,,GPX3,"glutathione peroxidase 3","gene with protein product"
48,T141137,1990,0.9905,p16@FAM198B,e:51313,h:25312,"Q6UWH4,Q9NYZ0",FAM198B,"family with sequence similarity 198 member B","gene with protein product"
