Hs-NUP214,2000,1000,T190525-NUP214,"p9@NUP214"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T069952,1981,0.9880,p19@STK11,e:6794,h:11389,Q15831,STK11,"serine/threonine kinase 11","gene with protein product"
2,T057261,1972,0.9840,p3@FNDC8,e:54752,h:25286,Q8TC99,FNDC8,"fibronectin type III domain containing 8","gene with protein product"
3,T073626,1965,0.9776,p2@THEG,e:51298,h:13706,Q9P2T0,THEG,"theg spermatid protein","gene with protein product"
4,T057356,1927,0.9601,p2@C17orf50,e:146853,h:29581,Q8WW18,C17orf50,"chromosome 17 open reading frame 50","gene with protein product"
5,T025748,1870,0.9308,p11@FAIM2,e:23017,h:17067,F8W1L3,FAIM2,"Fas apoptotic inhibitory molecule 2","gene with protein product"
6,T192830,1856,0.9271,p2@FAM205A,e:259308,h:41911,Q6ZU69,FAM205A,"family with sequence similarity 205 member A","gene with protein product"
7,T107767,1861,0.9259,p4@MORC2-AS1,,h:26662,,MORC2-AS1,"MORC2 antisense RNA 1","RNA, long non-coding"
8,T076864,1856,0.9257,p3@TSKS,e:60385,h:30719,Q9UJT2,TSKS,"testis specific serine kinase substrate","gene with protein product"
9,T034146,1844,0.9179,p8@KLF5,e:688,h:6349,A2TJX0,KLF5,"Kruppel like factor 5","gene with protein product"
10,T165133,1843,0.9155,p2@ARMC12,e:221481,h:21099,"Q5T9G4,F8WC51",ARMC12,"armadillo repeat containing 12","gene with protein product"
11,T192869,1814,0.9020,p1@C9orf131,e:138724,h:31418,"E7EMP1,Q5VYM1",C9orf131,"chromosome 9 open reading frame 131","gene with protein product"
12,T004414,1790,0.8928,p22@CREM,e:1390,h:2352,Q03060,CREM,"cAMP responsive element modulator","gene with protein product"
13,T149175,1790,0.8914,p14@KLHL3,e:26249,h:6354,,KLHL3,"kelch like family member 3","gene with protein product"
14,T061211,1789,0.8909,p1@C17orf47,e:284083,h:26844,Q8NEP4,C17orf47,"chromosome 17 open reading frame 47","gene with protein product"
15,T007470,1775,0.8844,p10@DYDC1,e:143241,h:23460,,DYDC1,"DPY30 domain containing 1","gene with protein product"
