Hs-ARF6,2000,1000,T038363-ARF6,"p9@ARF6"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T108807,2005,1.0000,p4@DDX17,e:10521,h:2740,,DDX17,"DEAD-box helicase 17","gene with protein product"
2,T038625,2009,0.9995,p3@C14orf166,e:51637,h:23169,,C14orf166,"chromosome 14 open reading frame 166","gene with protein product"
3,T194017,2004,0.9995,p19@ANXA1,e:301,h:533,"B5BU38,Q5TZZ9",ANXA1,"annexin A1","gene with protein product"
4,T129246,2010,0.9990,p7@CDV3,e:55573,h:26928,,CDV3,"CDV3 homolog","gene with protein product"
5,T016816,2009,0.9990,p2@NEAT1,e:283131,h:30815,,NEAT1,"nuclear paraspeckle assembly transcript 1 (non-protein coding)","RNA, long non-coding"
6,T038364,2009,0.9990,p2@ARF6,e:382,h:659,,ARF6,"ADP ribosylation factor 6","gene with protein product"
7,T148472,2004,0.9990,p5@CDC42SE2,e:56990,h:18547,,CDC42SE2,"CDC42 small effector 2","gene with protein product"
8,T036463,2003,0.9990,p3@HNRNPC,e:3183,h:5035,,HNRNPC,"heterogeneous nuclear ribonucleoprotein C (C1/C2)","gene with protein product"
9,T047422,2005,0.9985,p20@AKAP13,e:11214,h:371,,AKAP13,"A-kinase anchoring protein 13","gene with protein product"
10,T176408,2005,0.9980,p14@ACTB,e:60,h:132,,ACTB,"actin beta","gene with protein product"
11,T010678,2000,0.9980,p4@USP47,e:55031,h:20076,,USP47,"ubiquitin specific peptidase 47","gene with protein product"
12,T176399,2001,0.9970,p5@ACTB,e:60,h:132,,ACTB,"actin beta","gene with protein product"
13,T038365,2000,0.9970,p8@ARF6,e:382,h:659,,ARF6,"ADP ribosylation factor 6","gene with protein product"
14,T118791,2004,0.9965,p46@TNS1,e:7145,h:11973,,TNS1,"tensin 1","gene with protein product"
15,T147793,2000,0.9965,p4@FEM1C,e:56929,h:16933,,FEM1C,"fem-1 homolog C","gene with protein product"
16,T163449,1997,0.9965,p9@HLA-A,e:3105,h:4931,Q29947,HLA-A,"major histocompatibility complex, class I, A","gene with protein product"
17,T015625,2000,0.9960,p1@SDHAF2,e:54949,h:26034,"F8W679,F5GXW4,F5H8E2,Q9NX18",SDHAF2,"succinate dehydrogenase complex assembly factor 2","gene with protein product"
18,T061833,1995,0.9950,p1@MIR3064,e:100616387,h:41652,,MIR3064,"microRNA 3064","RNA, micro"
19,T056312,1995,0.9945,p7@MAP2K3,e:5606,h:6843,,MAP2K3,"mitogen-activated protein kinase kinase 3","gene with protein product"
20,T131140,1993,0.9935,p3@SMC4,e:10051,h:14013,,SMC4,"structural maintenance of chromosomes 4","gene with protein product"
