Hs-FBN2,2000,1000,T148392-FBN2,"p1@FBN2"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T148389,2002,1.0000,p12@FBN2,e:2201,h:3604,P35556,FBN2,"fibrillin 2","gene with protein product"
2,T148388,2013,1.0000,p4@SLC27A6,e:28965,h:11000,D6RAJ2,SLC27A6,"solute carrier family 27 member 6","gene with protein product"
3,T160411,2006,1.0000,p28@SASH1,e:23328,h:19182,,SASH1,"SAM and SH3 domain containing 1","gene with protein product"
4,T148386,2007,1.0000,p3@FBN2,e:2201,h:3604,D6RJI3,FBN2,"fibrillin 2","gene with protein product"
5,T009637,2007,1.0000,p2@LAYN,e:143903,h:29471,E9PK64,LAYN,layilin,"gene with protein product"
6,T056162,2008,1.0000,p3@DPH1,e:1801,h:3003,B4DNK0,DPH1,"diphthamide biosynthesis 1","gene with protein product"
7,T158516,2012,0.9990,p14@SMPDL3A,e:10924,h:17389,Q92484,SMPDL3A,"sphingomyelin phosphodiesterase acid like 3A","gene with protein product"
8,T160414,2011,0.9990,p11@SASH1,e:23328,h:19182,,SASH1,"SAM and SH3 domain containing 1","gene with protein product"
9,T117586,2008,0.9990,p13@PARD3B,e:117583,h:14446,"Q8TEW8,E9PE87",PARD3B,"par-3 family cell polarity regulator beta","gene with protein product"
10,T096684,2008,0.9990,p2@LHX8,e:431707,h:28838,E9PGE3,LHX8,"LIM homeobox 8","gene with protein product"
11,T041440,2008,0.9990,p12@FBLN5,e:10516,h:3602,G3XA98,FBLN5,"fibulin 5","gene with protein product"
12,T188433,2007,0.9990,p5@SVEP1,e:79987,h:15985,"B3KQM1,Q4LDE5",SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1","gene with protein product"
13,T007853,2006,0.9990,p3@STAMBPL1,e:57559,h:24105,Q96FJ0,STAMBPL1,"STAM binding protein like 1","gene with protein product"
14,T127287,2004,0.9990,p1@PVRL3,e:25945,h:17664,Q9NQS3,NECTIN3,"nectin cell adhesion molecule 3","gene with protein product"
15,T126288,2004,0.9990,p3@KCNIP3,e:30818,h:15523,Q9Y2W7,KCNIP3,"potassium voltage-gated channel interacting protein 3","gene with protein product"
16,T041441,2004,0.9990,p7@FBLN5,e:10516,h:3602,G3XA98,FBLN5,"fibulin 5","gene with protein product"
17,T198818,2003,0.9990,p7@SH3KBP1,e:30011,h:13867,B7Z6E8,SH3KBP1,"SH3 domain containing kinase binding protein 1","gene with protein product"
18,T148390,2002,0.9990,p2@FBN2,e:2201,h:3604,E9PHW4,FBN2,"fibrillin 2","gene with protein product"
19,T139356,2008,0.9985,p18@PDE5A,e:8654,h:8784,,PDE5A,"phosphodiesterase 5A","gene with protein product"
20,T060894,2007,0.9985,p12@C17orf67,e:339210,h:27900,Q0P5P2,C17orf67,"chromosome 17 open reading frame 67","gene with protein product"
21,T188436,2007,0.9985,p7@SVEP1,e:79987,h:15985,"B3KQM1,Q4LDE5",SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1","gene with protein product"
22,T038049,2006,0.9985,p4@PAX9,e:5083,h:8623,,PAX9,"paired box 9","gene with protein product"
23,T067760,2004,0.9985,p27@TCF4,e:6925,h:11634,"G0LNV1,P15884",TCF4,"transcription factor 4","gene with protein product"
24,T107407,2003,0.9985,p14@MN1,e:4330,h:7180,Q10571,MN1,"MN1 proto-oncogene, transcriptional regulator","gene with protein product"
25,T148385,2005,0.9980,p19@FBN2,e:2201,h:3604,D6RJI3,FBN2,"fibrillin 2","gene with protein product"
26,T100524,2004,0.9980,p1@ADAM33,e:80332,h:15478,"E7ET13,Q08AM3,Q08AM2",ADAM33,"ADAM metallopeptidase domain 33","gene with protein product"
27,T068031,2000,0.9980,p16@ALPK2,e:115701,h:20565,Q86TB3,ALPK2,"alpha kinase 2","gene with protein product"
28,T159892,2008,0.9975,p8@CITED2,e:10370,h:1987,,CITED2,"Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2","gene with protein product"
29,T097293,2004,0.9975,p48@DDAH1,e:23576,h:2715,"Q5HYC8,B4E3V1",DDAH1,"dimethylarginine dimethylaminohydrolase 1","gene with protein product"
30,T054764,2002,0.9975,p1@FOXF1,e:2294,h:3809,Q12946,FOXF1,"forkhead box F1","gene with protein product"
31,T068137,2002,0.9975,p1@CCBE1,e:147372,h:29426,Q6UXH8,CCBE1,"collagen and calcium binding EGF domains 1","gene with protein product"
