Hs-ABCC1,2000,1000,T049253-ABCC1,"p20@ABCC1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T140063,2009,1.0000,p7@SCOC,e:60592,h:20335,Q9UIL1,SCOC,"short coiled-coil protein","gene with protein product"
2,T109732,2002,1.0000,p5@WNT7B,e:7477,h:12787,,WNT7B,"Wnt family member 7B","gene with protein product"
3,T105899,2009,1.0000,p6@TRPM2,e:7226,h:12339,B4DWB3,TRPM2,"transient receptor potential cation channel subfamily M member 2","gene with protein product"
4,T171638,2009,0.9995,p4@TBXAS1,e:6916,h:11609,"P24557,E7ESB5,Q53F23,Q96CN2",TBXAS1,"thromboxane A synthase 1","gene with protein product"
5,T150905,2013,0.9990,p17@TNIP1,e:10318,h:16903,,TNIP1,"TNFAIP3 interacting protein 1","gene with protein product"
6,T140062,2009,0.9990,p6@SCOC,e:60592,h:20335,Q9UIL1,SCOC,"short coiled-coil protein","gene with protein product"
7,T059660,2008,0.9990,p1@ITGB3,e:3690,h:6156,"P05106,Q2YFE1",ITGB3,"integrin subunit beta 3","gene with protein product"
8,T111383,2007,0.9990,p1@PAX8,e:7849,h:8622,Q06710,PAX8,"paired box 8","gene with protein product"
9,T000226,2007,0.9990,p8@PAX2,e:5076,h:8616,G3V3X9,PAX2,"paired box 2","gene with protein product"
10,T010417,2007,0.9990,p22@PHLDB1,e:23187,h:23697,Q86UU1,PHLDB1,"pleckstrin homology like domain family B member 1","gene with protein product"
11,T082849,2007,0.9990,p4@S100A13,e:6284,h:10490,Q99584,S100A13,"S100 calcium binding protein A13","gene with protein product"
12,T122144,2006,0.9990,p1@GALNT14,e:79623,h:22946,Q96FL9,GALNT14,"polypeptide N-acetylgalactosaminyltransferase 14","gene with protein product"
13,T041669,2004,0.9990,p2@OTUB2,e:78990,h:20351,Q96DC9,OTUB2,"OTU deubiquitinase, ubiquitin aldehyde binding 2","gene with protein product"
14,T103118,2002,0.9990,p1@LRRN4,e:164312,h:16208,"Q8WUT4,Q6ZMD1",LRRN4,"leucine rich repeat neuronal 4","gene with protein product"
15,T008563,2010,0.9985,p1@TLL2,e:7093,h:11844,Q9Y6L7,TLL2,"tolloid like 2","gene with protein product"
16,T100103,2006,0.9985,p3@UQCC,e:55245,h:15891,,UQCC1,"ubiquinol-cytochrome c reductase complex assembly factor 1","gene with protein product"
17,T193430,2004,0.9985,p1@INSL6,e:11172,h:6089,Q9Y581,INSL6,"insulin like 6","gene with protein product"
18,T057582,2007,0.9980,p3@HNF1B,e:6928,h:11630,"E0YMJ9,E0YMJ8",HNF1B,"HNF1 homeobox B","gene with protein product"
19,T008699,2003,0.9980,p5@PI4K2A,e:55361,h:30031,E9PAM4,PI4K2A,"phosphatidylinositol 4-kinase type 2 alpha","gene with protein product"
20,T031457,2009,0.9975,p26@ARHGEF7,e:8874,h:15607,C9JDI6,ARHGEF7,"Rho guanine nucleotide exchange factor 7","gene with protein product"
21,T055948,2004,0.9975,p19@PEMT,e:10400,h:8830,Q9UBM1,PEMT,"phosphatidylethanolamine N-methyltransferase","gene with protein product"
22,T000236,1999,0.9975,p2@PAX2,e:5076,h:8616,Q02962,PAX2,"paired box 2","gene with protein product"
23,T162681,2001,0.9970,p5@DCDC2,e:51473,h:18141,"Q9UHG0,E9PGI5",DCDC2,"doublecortin domain containing 2","gene with protein product"
24,T137178,2000,0.9960,p16@MITF,e:4286,h:7105,C9J845,MITF,"melanogenesis associated transcription factor","gene with protein product"
25,T153018,2000,0.9955,p5@MGAT4B,e:11282,h:7048,Q9UQ53,MGAT4B,"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B","gene with protein product"
26,T110713,1997,0.9955,p6@FHL2,e:2274,h:3703,Q14192,FHL2,"four and a half LIM domains 2","gene with protein product"
27,T057890,1997,0.9955,p4@GRB7,e:2886,h:4567,Q14451,GRB7,"growth factor receptor bound protein 7","gene with protein product"
28,T188773,1995,0.9950,p2@KIF12,e:113220,h:21495,,KIF12,"kinesin family member 12","gene with protein product"
29,T095220,1997,0.9940,p23@TTC39A,e:22996,h:18657,E9PQ33,TTC39A,"tetratricopeptide repeat domain 39A","gene with protein product"
30,T078871,1994,0.9935,p2@CRB3,e:92359,h:20237,Q9BUF7,CRB3,"crumbs 3, cell polarity complex component","gene with protein product"
31,T040201,1992,0.9930,p36@SIPA1L1,e:26037,h:20284,F5GYF8,SIPA1L1,"signal induced proliferation associated 1 like 1","gene with protein product"
32,T000240,1995,0.9911,p14@PAX2,e:5076,h:8616,G3V5M8,PAX2,"paired box 2","gene with protein product"
33,T057583,1987,0.9910,p1@HNF1B,e:6928,h:11630,F5H7Y3,HNF1B,"HNF1 homeobox B","gene with protein product"
34,T082842,1986,0.9910,p26@S100A13,e:6284,h:10490,Q99584,S100A13,"S100 calcium binding protein A13","gene with protein product"
35,T063203,1987,0.9905,p4@C17orf110,e:100130933,h:40032,P0DI80,SMIM6,"small integral membrane protein 6","gene with protein product"
36,T087669,1988,0.9900,p2@IGFN1,e:91156,h:24607,"B7WP51,F8WAI1,Q86VF2",IGFN1,"immunoglobulin-like and fibronectin type III domain containing 1","gene with protein product"
37,T043464,1989,0.9891,p2@GCHFR,e:2644,h:4194,,GCHFR,"GTP cyclohydrolase I feedback regulator","gene with protein product"
38,T144239,1984,0.9890,p2@CYTL1,e:54360,h:24435,Q9NRR1,CYTL1,"cytokine like 1","gene with protein product"
39,T122145,1983,0.9890,p3@GALNT14,e:79623,h:22946,Q96FL9,GALNT14,"polypeptide N-acetylgalactosaminyltransferase 14","gene with protein product"
40,T129080,1981,0.9890,p2@ATP2C1,e:27032,h:13211,"B4E295,P98194",ATP2C1,"ATPase secretory pathway Ca2+ transporting 1","gene with protein product"
41,T047527,1989,0.9886,p13@ISG20,e:3669,h:6130,,ISG20,"interferon stimulated exonuclease gene 20","gene with protein product"
42,T174444,1987,0.9886,p7@HOXA10,e:3206,h:5100,,HOXA10,"homeobox A10","gene with protein product"
43,T082847,1983,0.9885,p14@S100A13,e:6284,h:10490,Q99584,S100A13,"S100 calcium binding protein A13","gene with protein product"
44,T098587,1983,0.9880,p2@SIRPB1,"e:100653194,e:10326",h:15928,,SIRPB1,"signal regulatory protein beta 1","gene with protein product"
45,T000227,1983,0.9875,p4@PAX2,e:5076,h:8616,G3V3X9,PAX2,"paired box 2","gene with protein product"
46,T109733,1985,0.9871,p2@WNT7B,e:7477,h:12787,A8K0G1,WNT7B,"Wnt family member 7B","gene with protein product"
47,T017631,1980,0.9870,p1@CDK2AP2,e:10263,h:30833,E9PQJ3,CDK2AP2,"cyclin dependent kinase 2 associated protein 2","gene with protein product"
48,T045669,1978,0.9870,p4@MEGF11,e:84465,h:29635,A6BM72,MEGF11,"multiple EGF like domains 11","gene with protein product"
49,T082846,1977,0.9865,p17@S100A13,e:6284,h:10490,,S100A13,"S100 calcium binding protein A13","gene with protein product"
50,T130245,1981,0.9861,p2@WWTR1,e:25937,h:24042,,WWTR1,"WW domain containing transcription regulator 1","gene with protein product"
51,T024231,1980,0.9861,p5@SSPN,e:8082,h:11322,F5H381,SSPN,sarcospan,"gene with protein product"
52,T107198,1984,0.9856,"p4@GGT1,p4@GGT2","e:2678,e:728441","h:4250,h:4251",E7ETU4,GGT1,"gamma-glutamyltransferase 1","gene with protein product"
53,T082810,1980,0.9856,p7@S100A2,e:6273,h:10492,P29034,S100A2,"S100 calcium binding protein A2","gene with protein product"
54,T087670,1971,0.9850,p1@IGFN1,e:91156,h:24607,"B7WP51,F8WAI1,Q86VF2",IGFN1,"immunoglobulin-like and fibronectin type III domain containing 1","gene with protein product"
55,T013564,1981,0.9846,p5@WT1-AS,,h:18135,,WT1-AS,"WT1 antisense RNA","RNA, long non-coding"
56,T190246,1979,0.9836,p3@PPP2R4,e:5524,h:9308,B7ZBQ0,PTPA,"protein phosphatase 2 phosphatase activator","gene with protein product"
57,T008564,1975,0.9836,p2@TLL2,e:7093,h:11844,Q9Y6L7,TLL2,"tolloid like 2","gene with protein product"
58,T038533,1975,0.9836,p3@FRMD6,e:122786,h:19839,,FRMD6,"FERM domain containing 6","gene with protein product"
59,T017010,1974,0.9836,p8@SIPA1,e:6494,h:10885,,SIPA1,"signal-induced proliferation-associated 1","gene with protein product"
60,T111369,1982,0.9831,p11@PAX8,e:7849,h:8622,,PAX8,"paired box 8","gene with protein product"
61,T111377,1976,0.9831,p15@PAX8,e:7849,h:8622,G3V463,PAX8,"paired box 8","gene with protein product"
62,T162682,1973,0.9831,p4@DCDC2,e:51473,h:18141,"Q9UHG0,E9PGI5",DCDC2,"doublecortin domain containing 2","gene with protein product"
63,T137185,1972,0.9831,p10@MITF,e:4286,h:7105,"E9PFN0,B4DJL2,O75030",MITF,"melanogenesis associated transcription factor","gene with protein product"
64,T016213,1971,0.9830,p10@PLA2G16,e:11145,h:17825,P53816,PLA2G16,"phospholipase A2 group XVI","gene with protein product"
65,T103119,1970,0.9825,p2@LRRN4,e:164312,h:16208,"Q8WUT4,Q6ZMD1",LRRN4,"leucine rich repeat neuronal 4","gene with protein product"
66,T151304,1973,0.9816,p3@HAVCR1,e:26762,h:17866,"Q96D42,E9PFX0",HAVCR1,"hepatitis A virus cellular receptor 1","gene with protein product"
67,T000237,1970,0.9811,p5@PAX2,e:5076,h:8616,Q02962,PAX2,"paired box 2","gene with protein product"
68,T190502,1968,0.9806,p4@AIF1L,e:83543,h:28904,A6PVM9,AIF1L,"allograft inflammatory factor 1 like","gene with protein product"
69,T067299,1971,0.9801,p1@SIGLEC15,e:284266,h:27596,Q6ZMC9,SIGLEC15,"sialic acid binding Ig like lectin 15","gene with protein product"
70,T057101,1967,0.9801,p3@DOC2B,e:8447,h:2986,,DOC2B,"double C2 domain beta","gene with protein product"
71,T105113,1965,0.9791,p15@KCNJ15,e:3772,h:6261,C9J0W5,KCNJ15,"potassium voltage-gated channel subfamily J member 15","gene with protein product"
72,T103205,1963,0.9791,p21@FERMT1,e:55612,h:15889,"Q9BQL6,F8W9F0,Q49AC8,Q54A15",FERMT1,"fermitin family member 1","gene with protein product"
73,T010229,1963,0.9791,p9@FXYD2,e:486,h:4026,,FXYD2,"FXYD domain containing ion transport regulator 2","gene with protein product"
74,T059658,1965,0.9786,p3@ITGB3,e:3690,h:6156,"P05106,Q2YFE1",ITGB3,"integrin subunit beta 3","gene with protein product"
75,T012053,1957,0.9731,p23@BRSK2,e:9024,h:11405,,BRSK2,"BR serine/threonine kinase 2","gene with protein product"
76,T137183,1954,0.9731,p9@MITF,e:4286,h:7105,"E9PFN0,B4DJL2,O75030",MITF,"melanogenesis associated transcription factor","gene with protein product"
77,T122148,1952,0.9731,p5@GALNT14,e:79623,h:22946,Q96FL9,GALNT14,"polypeptide N-acetylgalactosaminyltransferase 14","gene with protein product"
78,T031010,1947,0.9720,p1@NALCN-AS1,,h:42743,,NALCN-AS1,"NALCN antisense RNA 1","RNA, long non-coding"
79,T114254,1956,0.9717,p3@GRB14,e:2888,h:4565,C9JD37,GRB14,"growth factor receptor bound protein 14","gene with protein product"
80,T045847,1956,0.9712,p3@CLN6,e:54982,h:2077,E7ESV1,CLN6,"ceroid-lipofuscinosis, neuronal 6, late infantile, variant","gene with protein product"
81,T018513,1952,0.9711,p3@GDPD5,e:81544,h:28804,,GDPD5,"glycerophosphodiester phosphodiesterase domain containing 5","gene with protein product"
82,T082848,1947,0.9706,p6@S100A13,e:6284,h:10490,Q99584,S100A13,"S100 calcium binding protein A13","gene with protein product"
83,T176006,1954,0.9692,p13@TNS3,e:64759,h:21616,"E7ERH3,Q68CZ2,F5GXX8",TNS3,"tensin 3","gene with protein product"
84,T020399,1943,0.9676,p13@CHST11,e:50515,h:17422,F8VXK3,CHST11,"carbohydrate sulfotransferase 11","gene with protein product"
85,T103117,1944,0.9672,p6@LRRN4,e:164312,h:16208,"Q8WUT4,Q6ZMD1",LRRN4,"leucine rich repeat neuronal 4","gene with protein product"
86,T100080,1946,0.9667,p1@MMP24,e:10893,h:7172,Q9Y5R2,MMP24,"matrix metallopeptidase 24","gene with protein product"
87,T010416,1935,0.9622,p25@PHLDB1,e:23187,h:23697,Q86UU1,PHLDB1,"pleckstrin homology like domain family B member 1","gene with protein product"
88,T121103,1929,0.9621,p65@HDLBP,e:3069,h:4857,,HDLBP,"high density lipoprotein binding protein","gene with protein product"
89,T162688,1933,0.9617,p6@DCDC2,e:51473,h:18141,"Q9UHG0,E9PGI5",DCDC2,"doublecortin domain containing 2","gene with protein product"
90,T103116,1927,0.9616,p7@LRRN4,e:164312,h:16208,"Q8WUT4,Q6ZMD1",LRRN4,"leucine rich repeat neuronal 4","gene with protein product"
91,T105289,1930,0.9612,p2@B3GALT5,e:10317,h:920,Q9Y2C3,B3GALT5,"beta-1,3-galactosyltransferase 5","gene with protein product"
92,T155082,1927,0.9611,p10@ADAMTS6,e:11174,h:222,,ADAMTS6,"ADAM metallopeptidase with thrombospondin type 1 motif 6","gene with protein product"
93,T103285,1929,0.9602,p21@COL9A3,e:1299,h:2219,,COL9A3,"collagen type IX alpha 3 chain","gene with protein product"
94,T122147,1929,0.9592,p4@GALNT14,e:79623,h:22946,Q96FL9,GALNT14,"polypeptide N-acetylgalactosaminyltransferase 14","gene with protein product"
95,T000234,1926,0.9592,p6@PAX2,e:5076,h:8616,Q02962,PAX2,"paired box 2","gene with protein product"
96,T007081,1924,0.9572,p22@DLG5,e:9231,h:2904,,DLG5,"discs large MAGUK scaffold protein 5","gene with protein product"
97,T190501,1924,0.9572,p7@AIF1L,e:83543,h:28904,A6PVM9,AIF1L,"allograft inflammatory factor 1 like","gene with protein product"
98,T128650,1919,0.9566,p14@MGLL,e:11343,h:17038,E7EWX8,MGLL,"monoglyceride lipase","gene with protein product"
99,T008491,1921,0.9557,p9@ENTPD1,e:953,h:3363,,ENTPD1,"ectonucleoside triphosphate diphosphohydrolase 1","gene with protein product"
100,T050978,1917,0.9556,p2@CLDN6,e:9074,h:2048,P56747,CLDN6,"claudin 6","gene with protein product"
101,T164181,1919,0.9552,p9@VARS,e:7407,h:12651,,VARS,"valyl-tRNA synthetase","gene with protein product"
102,T118642,1918,0.9547,p2@PSMB3P2,,h:30150,,PSMB3P2,"proteasome subunit beta 3 pseudogene 2",pseudogene
103,T174445,1916,0.9532,p6@HOXA10,e:3206,h:5100,,HOXA10,"homeobox A10","gene with protein product"
104,T103115,1913,0.9527,p3@LRRN4,e:164312,h:16208,"Q8WUT4,Q6ZMD1",LRRN4,"leucine rich repeat neuronal 4","gene with protein product"
105,T000233,1916,0.9523,p11@PAX2,e:5076,h:8616,Q02962,PAX2,"paired box 2","gene with protein product"
106,T190503,1909,0.9516,p3@AIF1L,e:83543,h:28904,A6PVM9,AIF1L,"allograft inflammatory factor 1 like","gene with protein product"
107,T000241,1910,0.9502,p3@PAX2,e:5076,h:8616,G3V5U4,PAX2,"paired box 2","gene with protein product"
108,T054774,1906,0.9501,p5@FOXC2,e:2303,h:3801,,FOXC2,"forkhead box C2","gene with protein product"
109,T111342,1909,0.9498,p18@PAX8,e:7849,h:8622,,PAX8,"paired box 8","gene with protein product"
110,T101504,1906,0.9497,p2@CD40,e:958,h:11919,P25942,CD40,"CD40 molecule","gene with protein product"
111,T137182,1906,0.9497,p20@MITF,e:4286,h:7105,"E9PFN0,B4DJL2,O75030",MITF,"melanogenesis associated transcription factor","gene with protein product"
112,T137187,1905,0.9492,p8@MITF,e:4286,h:7105,"E9PFN0,B4DJL2,O75030",MITF,"melanogenesis associated transcription factor","gene with protein product"
113,T151343,1906,0.9478,p11@CYFIP2,e:26999,h:13760,E5RFQ0,CYFIP2,"cytoplasmic FMR1 interacting protein 2","gene with protein product"
114,T122142,1898,0.9476,p2@GALNT14,e:79623,h:22946,Q96FL9,GALNT14,"polypeptide N-acetylgalactosaminyltransferase 14","gene with protein product"
115,T103469,1900,0.9472,p1@TNFRSF6B,e:8771,h:11921,O95407,TNFRSF6B,"TNF receptor superfamily member 6b","gene with protein product"
