Hs-ACAD9,2000,1000,T128831-ACAD9,"p4@ACAD9"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T201651,2009,1.0000,p6@UTY,e:7404,h:12638,Q86UB8,UTY,"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked","gene with protein product"
2,T201699,2014,1.0000,p4@TXLNG2P,e:246126,h:18473,,TXLNGY,"taxilin gamma pseudogene, Y-linked",pseudogene
3,T182795,2009,0.9990,p4@ARHGEF10,e:9639,h:14103,,ARHGEF10,"Rho guanine nucleotide exchange factor 10","gene with protein product"
4,T192779,2007,0.9990,p8@DNAI1,e:27019,h:2954,,DNAI1,"dynein axonemal intermediate chain 1","gene with protein product"
5,T056598,2005,0.9990,p17@SLC46A1,e:113235,h:30521,,SLC46A1,"solute carrier family 46 member 1","gene with protein product"
6,T010568,2012,0.9985,p5@HMBS,e:3145,h:4982,,HMBS,"hydroxymethylbilane synthase","gene with protein product"
7,T124940,2007,0.9980,p16@MPHOSPH10,e:10199,h:7213,O00566,MPHOSPH10,"M-phase phosphoprotein 10","gene with protein product"
8,T020476,2007,0.9980,p9@KLRC1,e:3821,h:6374,,KLRC1,"killer cell lectin like receptor C1","gene with protein product"
9,T060135,2002,0.9980,p9@ZNF652,e:22834,h:29147,D6RF85,ZNF652,"zinc finger protein 652","gene with protein product"
10,T180949,1998,0.9960,p25@DLC1,e:10395,h:2897,,DLC1,"DLC1 Rho GTPase activating protein","gene with protein product"
11,T060759,1998,0.9950,p3@SCIMP,e:388325,h:33504,Q6UWF3,SCIMP,"SLP adaptor and CSK interacting membrane protein","gene with protein product"
12,T009896,1996,0.9940,p3@ZW10,e:9183,h:13194,"A1A528,O43264",ZW10,"zw10 kinetochore protein","gene with protein product"
13,T148744,1992,0.9930,p4@C5orf15,e:56951,h:20656,Q8NC54,C5orf15,"chromosome 5 open reading frame 15","gene with protein product"
14,T164653,1997,0.9925,p1@HLA-DPB2,,h:4941,,HLA-DPB2,"major histocompatibility complex, class II, DP beta 2 (pseudogene)",pseudogene
15,T151565,1991,0.9925,p4@PTTG1,e:9232,h:9690,,PTTG1,"pituitary tumor-transforming 1","gene with protein product"
16,T103125,1994,0.9915,p3@TAF4,e:6874,h:11537,,TAF4,"TATA-box binding protein associated factor 4","gene with protein product"
17,T039799,1993,0.9906,p3@RDH11,e:51109,h:17964,,RDH11,"retinol dehydrogenase 11 (all-trans/9-cis/11-cis)","gene with protein product"
18,T035998,1992,0.9906,p8@IGHM,e:3507,h:5541,,IGHM,"immunoglobulin heavy constant mu","immunoglobulin gene"
19,T015564,1982,0.9871,p20@DDB1,e:1642,h:2717,,DDB1,"damage specific DNA binding protein 1","gene with protein product"
20,T118017,1980,0.9870,p9@CPS1,e:1373,h:2323,P31327,CPS1,"carbamoyl-phosphate synthase 1","gene with protein product"
21,T163735,1983,0.9861,p2@LINC00243,,h:30956,,LINC00243,"long intergenic non-protein coding RNA 243","RNA, long non-coding"
22,T030605,1982,0.9861,p3@LTA4H,e:4048,h:6710,P09960,LTA4H,"leukotriene A4 hydrolase","gene with protein product"
23,T104595,1979,0.9856,p10@C21orf63,e:59271,h:13239,P58658,EVA1C,"eva-1 homolog C","gene with protein product"
24,T161600,1978,0.9856,p3@MYLIP,e:29116,h:21155,,MYLIP,"myosin regulatory light chain interacting protein","gene with protein product"
25,T080035,1978,0.9846,p13@VAV3,e:10451,h:12659,,VAV3,"vav guanine nucleotide exchange factor 3","gene with protein product"
26,T085908,1976,0.9846,p23@RABGAP1L,e:9910,h:24663,B7ZAP0,RABGAP1L,"RAB GTPase activating protein 1 like","gene with protein product"
27,T096935,1980,0.9836,p1@UTS2,e:10911,h:12636,Q5H8X8,UTS2,"urotensin 2","gene with protein product"
28,T187556,1977,0.9826,p5@RPL30,e:6156,h:10333,,RPL30,"ribosomal protein L30","gene with protein product"
29,T194886,1974,0.9826,p14@IARS,e:3376,h:5330,,IARS,"isoleucyl-tRNA synthetase","gene with protein product"
30,T194802,1972,0.9821,p2@SYK,e:6850,h:11491,"A8K4G2,P43405",SYK,"spleen associated tyrosine kinase","gene with protein product"
31,T135106,1970,0.9811,p7@CCR3,e:1232,h:1604,,CCR3,"C-C motif chemokine receptor 3","gene with protein product"
32,T184290,1969,0.9811,p44@NRG1,e:3084,h:7997,,NRG1,"neuregulin 1","gene with protein product"
33,T181532,1965,0.9791,p8@SLA,e:6503,h:10902,Q13239,SLA,"Src like adaptor","gene with protein product"
34,T201758,1969,0.9781,p1@ZFY-AS1,,h:38798,,ZFY-AS1,"ZFY antisense RNA 1","RNA, long non-coding"
35,T087816,1959,0.9780,p12@NAV1,e:89796,h:15989,,NAV1,"neuron navigator 1","gene with protein product"
36,T071780,1959,0.9780,p3@ADAT3,e:113179,h:25151,C9JFC1,ADAT3,"adenosine deaminase, tRNA specific 3","gene with protein product"
37,T102272,1965,0.9776,p35@ATP9A,e:10079,h:13540,,ATP9A,"ATPase phospholipid transporting 9A (putative)","gene with protein product"
38,T174178,1963,0.9771,p30@HNRNPA2B1,e:3181,h:5033,,HNRNPA2B1,"heterogeneous nuclear ribonucleoprotein A2/B1","gene with protein product"
39,T036628,1963,0.9771,p4@TRAV18,,h:12114,,TRAV18,"T cell receptor alpha variable 18","T cell receptor gene"
40,T082390,1964,0.9761,p2@SELENBP1,e:8991,h:10719,Q13228,SELENBP1,"selenium binding protein 1","gene with protein product"
41,T034993,1962,0.9761,p3@GPR18,e:2841,h:4472,Q14330,GPR18,"G protein-coupled receptor 18","gene with protein product"
42,T059150,1966,0.9757,p4@SLC4A1,e:6521,h:11027,B7ZFE0,SLC4A1,"solute carrier family 4 member 1 (Diego blood group)","gene with protein product"
43,T106013,1955,0.9741,p3@LINC00162,e:378825,h:19725,,PICSAR,"P38 inhibited cutaneous squamous cell carcinoma associated lincRNA","RNA, long non-coding"
44,T054691,1956,0.9731,p4@C16orf74,e:404550,h:23362,Q96GX8,C16orf74,"chromosome 16 open reading frame 74","gene with protein product"
45,T177057,1951,0.9721,p2@WBSCR27,e:155368,h:19068,B4DWM3,WBSCR27,"Williams Beuren syndrome chromosome region 27","gene with protein product"
46,T189179,1948,0.9721,p13@CNTRL,e:11064,h:1858,Q5JVD6,CNTRL,centriolin,"gene with protein product"
47,T181632,1954,0.9717,p24@ST3GAL1,e:6482,h:10862,Q11201,ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1","gene with protein product"
48,T158516,1948,0.9706,p14@SMPDL3A,e:10924,h:17389,Q92484,SMPDL3A,"sphingomyelin phosphodiesterase acid like 3A","gene with protein product"
49,T180846,1949,0.9701,p1@MIR1204,e:100302185,h:37059,,MIR1204,"microRNA 1204","RNA, micro"
50,T013126,1953,0.9697,p17@CD81,e:975,h:1701,E9PQV4,CD81,"CD81 molecule","gene with protein product"
51,T003199,1945,0.9691,p4@STAM,e:8027,h:11357,,STAM,"signal transducing adaptor molecule","gene with protein product"
52,T178951,1947,0.9687,p3@C7orf59,e:389541,h:33772,,LAMTOR4,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 4","gene with protein product"
53,T074877,1943,0.9676,p17@SHD,e:56961,h:30633,Q96IW2,SHD,"Src homology 2 domain containing transforming protein D","gene with protein product"
54,T198320,1937,0.9656,p14@IRAK1,e:3654,h:6112,,IRAK1,"interleukin 1 receptor associated kinase 1","gene with protein product"
55,T066848,1935,0.9656,p2@INO80C,e:125476,h:26994,"Q6PI98,E9PCS7",INO80C,"INO80 complex subunit C","gene with protein product"
56,T076835,1941,0.9652,p4@SCAF1,e:58506,h:30403,Q9H7N4,SCAF1,"SR-related CTD associated factor 1","gene with protein product"
57,T135116,1937,0.9651,p5@CCR2,e:729230,h:1603,E9PH76,CCR2,"C-C motif chemokine receptor 2","gene with protein product"
58,T192664,1933,0.9641,p8@AQP3,e:360,h:636,,AQP3,"aquaporin 3 (Gill blood group)","gene with protein product"
59,T000763,1934,0.9622,p5@GSTO2,e:119391,h:23064,"Q9H4Y5,B4DJW6",GSTO2,"glutathione S-transferase omega 2","gene with protein product"
60,T134131,1923,0.9591,p7@OSBPL10,e:114884,h:16395,,OSBPL10,"oxysterol binding protein like 10","gene with protein product"
61,T019361,1930,0.9583,p4@RPL27A,e:6157,h:10329,,RPL27A,"ribosomal protein L27a","gene with protein product"
62,T192665,1917,0.9566,p26@AQP3,e:360,h:636,,AQP3,"aquaporin 3 (Gill blood group)","gene with protein product"
63,T170896,1922,0.9548,p4@CEP41,e:95681,h:12370,C9IZ34,CEP41,"centrosomal protein 41","gene with protein product"
64,T014279,1917,0.9542,p1@ACCS,e:84680,h:23989,,ACCS,"1-aminocyclopropane-1-carboxylate synthase homolog (inactive)","gene with protein product"
65,T116074,1917,0.9528,p23@ITGA4,e:3676,h:6140,,ITGA4,"integrin subunit alpha 4","gene with protein product"
66,T201711,1916,0.9528,p1@EIF1AY,e:9086,h:3252,,EIF1AY,"eukaryotic translation initiation factor 1A, Y-linked","gene with protein product"
67,T164984,1912,0.9522,p7@C6orf106,e:64771,h:21215,Q5TH58,C6orf106,"chromosome 6 open reading frame 106","gene with protein product"
68,T144768,1918,0.9519,p2@S100P,e:6286,h:10504,P25815,S100P,"S100 calcium binding protein P","gene with protein product"
69,T047953,1915,0.9518,p5@RCCD1,e:91433,h:30457,G3V3Q4,RCCD1,"RCC1 domain containing 1","gene with protein product"
70,T080780,1908,0.9511,p13@RSBN1,e:54665,h:25642,Q5VWQ0,RSBN1,"round spermatid basic protein 1","gene with protein product"
71,T117171,1907,0.9506,p13@CLK1,e:1195,h:2068,,CLK1,"CDC like kinase 1","gene with protein product"
72,T106860,1905,0.9497,p1@IGLV10-54,,h:5884,,IGLV10-54,"immunoglobulin lambda variable 10-54","immunoglobulin gene"
73,T139748,1903,0.9487,p15@PCDH10,e:57575,h:13404,,PCDH10,"protocadherin 10","gene with protein product"
74,T123717,1900,0.9462,p9@C2orf63,e:130162,h:26453,,CLHC1,"clathrin heavy chain linker domain containing 1","gene with protein product"
75,T043682,1895,0.9451,p2@CDAN1,e:146059,h:1713,,CDAN1,"codanin 1","gene with protein product"
76,T154767,1891,0.9417,p20@PLK2,e:10769,h:19699,,PLK2,"polo like kinase 2","gene with protein product"
77,T135104,1886,0.9402,p4@CCR3,e:1232,h:1604,"F5GWL6,Q8TDP4,P51677,Q8TDP5,Q8TDP6",CCR3,"C-C motif chemokine receptor 3","gene with protein product"
78,T104414,1891,0.9399,p1@LINC00189,e:193629,h:18461,,LINC00189,"long intergenic non-protein coding RNA 189","RNA, long non-coding"
79,T069641,1882,0.9382,p5@HMHA1,e:23526,h:17102,,ARHGAP45,"Rho GTPase activating protein 45","gene with protein product"
80,T124119,1879,0.9376,p12@CCT4,e:10575,h:1617,,CCT4,"chaperonin containing TCP1 subunit 4","gene with protein product"
81,T078000,1880,0.9367,p4@LILRA2,e:11027,h:6603,,LILRA2,"leukocyte immunoglobulin like receptor A2","gene with protein product"
82,T102570,1880,0.9363,p3@AURKA,e:6790,h:11393,Q5QPD2,AURKA,"aurora kinase A","gene with protein product"
83,T161956,1882,0.9359,p4@CCR6,e:1235,h:1607,P51684,CCR6,"C-C motif chemokine receptor 6","gene with protein product"
