Hs-ADAMTS1,2000,1000,T104316-ADAMTS1,"p1@ADAMTS1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T056036,2007,1.0000,p4@ALKBH5,e:54890,h:25996,,ALKBH5,"alkB homolog 5, RNA demethylase","gene with protein product"
2,T025486,2009,1.0000,p4@CACNB3,e:784,h:1403,,CACNB3,"calcium voltage-gated channel auxiliary subunit beta 3","gene with protein product"
3,T141707,2019,1.0000,p1@SH3RF1,e:57630,h:17650,D6RHX5,SH3RF1,"SH3 domain containing ring finger 1","gene with protein product"
4,T171357,2008,1.0000,p1@FAM180A,e:389558,h:33773,F8WAY2,FAM180A,"family with sequence similarity 180 member A","gene with protein product"
5,T062666,2002,1.0000,p3@ACADVL,e:37,h:92,,ACADVL,"acyl-CoA dehydrogenase, very long chain","gene with protein product"
6,T127484,2010,0.9995,p20@CCDC80,e:151887,h:30649,Q76M96,CCDC80,"coiled-coil domain containing 80","gene with protein product"
7,T129328,2012,0.9990,p3@AMOTL2,e:51421,h:17812,D6RCL7,AMOTL2,"angiomotin like 2","gene with protein product"
8,T180112,2012,0.9990,p3@EXT1,e:2131,h:3512,Q16394,EXT1,"exostosin glycosyltransferase 1","gene with protein product"
9,T144337,2008,0.9990,p5@PDGFRA,e:5156,h:8803,D6RIG5,PDGFRA,"platelet derived growth factor receptor alpha","gene with protein product"
10,T147590,2008,0.9990,p1@TSLP,e:85480,h:30743,Q96AU7,TSLP,"thymic stromal lymphopoietin","gene with protein product"
11,T104308,2007,0.9990,p11@ADAMTS1,e:9510,h:217,,ADAMTS1,"ADAM metallopeptidase with thrombospondin type 1 motif 1","gene with protein product"
12,T193363,2007,0.9990,p1@SLC1A1,e:6505,h:10939,P43005,SLC1A1,"solute carrier family 1 member 1","gene with protein product"
13,T086428,2006,0.9990,p5@LAMC1,e:3915,h:6492,"P11047,Q6NVY8",LAMC1,"laminin subunit gamma 1","gene with protein product"
