Hs-AKAP9,2000,1000,T178057-AKAP9,"p1@AKAP9"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T050031,2006,1.0000,p1@TNRC6A,e:27327,h:11969,Q8NDV7,TNRC6A,"trinucleotide repeat containing 6A","gene with protein product"
2,T167860,2005,1.0000,p3@MYO6,e:4646,h:7605,,MYO6,"myosin VI","gene with protein product"
3,T097468,2011,1.0000,p8@RERE,e:473,h:9965,Q9P2R6,RERE,"arginine-glutamic acid dipeptide repeats","gene with protein product"
4,T156165,2008,1.0000,p1@MSH3,e:4437,h:7326,P20585,MSH3,"mutS homolog 3","gene with protein product"
5,T171561,2007,1.0000,p1@UBN2,e:254048,h:21931,Q6ZU65,UBN2,"ubinuclein 2","gene with protein product"
6,T193781,2004,0.9995,p1@SMC5,e:23137,h:20465,Q8IY18,SMC5,"structural maintenance of chromosomes 5","gene with protein product"
7,T173298,2009,0.9990,p1@WDR60,e:55112,h:21862,Q8WVS4,WDR60,"WD repeat domain 60","gene with protein product"
8,T178056,2008,0.9990,p4@AKAP9,e:10142,h:379,,AKAP9,"A-kinase anchoring protein 9","gene with protein product"
9,T079676,2008,0.9990,p1@AGL,e:178,h:321,P35573,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase","gene with protein product"
10,T134422,2006,0.9990,p2@GOLGA4,e:2803,h:4427,C9JHJ5,GOLGA4,"golgin A4","gene with protein product"
11,T153894,2002,0.9990,p1@WDR70,e:55100,h:25495,Q9NW82,WDR70,"WD repeat domain 70","gene with protein product"
12,T157829,2002,0.9990,p4@REV3L,e:5980,h:9968,O60673,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit","gene with protein product"
13,T178895,2001,0.9990,p1@ZKSCAN1,e:7586,h:13101,"E9PC66,B3KRF7,P17029,Q96FA2",ZKSCAN1,"zinc finger with KRAB and SCAN domains 1","gene with protein product"
14,T165630,2009,0.9985,p1@PRPF4B,e:8899,h:17346,Q13523,PRPF4B,"pre-mRNA processing factor 4B","gene with protein product"
15,T018430,2007,0.9985,p1@XRRA1,e:143570,h:18868,"E9PJ58,E9PIR2",XRRA1,"X-ray radiation resistance associated 1","gene with protein product"
16,T051881,2003,0.9985,p1@BRD7,e:29117,h:14310,Q9NPI1,BRD7,"bromodomain containing 7","gene with protein product"
17,T044341,2003,0.9985,p1@AP4E1,e:23431,h:573,Q9UPM8,AP4E1,"adaptor related protein complex 4 epsilon 1 subunit","gene with protein product"
