Hs-CENPF,2000,1000,T089580-CENPF,"p4@CENPF"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T138567,2009,1.0000,p1@CENPE,e:1062,h:1856,D6RHK2,CENPE,"centromere protein E","gene with protein product"
2,T099402,2006,1.0000,p1@SNORD86,e:692201,h:32745,,SNORD86,"small nucleolar RNA, C/D box 86","RNA, small nucleolar"
3,T034873,2006,1.0000,p36@IPO5,e:3843,h:6402,,IPO5,"importin 5","gene with protein product"
4,T132570,2008,1.0000,p3@TRA2B,e:6434,h:10781,,TRA2B,"transformer 2 beta homolog (Drosophila)","gene with protein product"
5,T120057,2005,1.0000,p18@NCL,e:4691,h:7667,,NCL,nucleolin,"gene with protein product"
6,T149243,2014,1.0000,p4@KIF20A,e:10112,h:9787,,KIF20A,"kinesin family member 20A","gene with protein product"
7,T171098,2002,1.0000,p15@PODXL,e:5420,h:9171,,PODXL,"podocalyxin like","gene with protein product"
8,T091786,2006,1.0000,p7@EXO1,e:9156,h:3511,Q9UQ84,EXO1,"exonuclease 1","gene with protein product"
9,T140495,2004,0.9995,p14@MAB21L2,e:10586,h:6758,Q9Y586,MAB21L2,"mab-21 like 2","gene with protein product"
10,T121920,2002,0.9995,p4@WDR43,e:23160,h:28945,,WDR43,"WD repeat domain 43","gene with protein product"
11,T174205,2014,0.9990,p6@HNRNPA2B1,e:3181,h:5033,,HNRNPA2B1,"heterogeneous nuclear ribonucleoprotein A2/B1","gene with protein product"
12,T174200,2012,0.9990,p38@HNRNPA2B1,e:3181,h:5033,,HNRNPA2B1,"heterogeneous nuclear ribonucleoprotein A2/B1","gene with protein product"
13,T001654,2011,0.9990,p7@EIF3A,e:8661,h:3271,,EIF3A,"eukaryotic translation initiation factor 3 subunit A","gene with protein product"
14,T089576,2011,0.9990,p3@CENPF,e:1063,h:1857,,CENPF,"centromere protein F","gene with protein product"
15,T030784,2010,0.9990,p1@NPM1P5,,h:7925,,NPM1P5,"nucleophosmin 1 pseudogene 5",pseudogene
16,T099963,2009,0.9990,p5@ITCH,e:83737,h:13890,,ITCH,"itchy E3 ubiquitin protein ligase","gene with protein product"
17,T089935,2008,0.9990,p3@EPRS,e:2058,h:3418,,EPRS,"glutamyl-prolyl-tRNA synthetase","gene with protein product"
18,T023917,2007,0.9990,p5@LDHB,e:3945,h:6541,,LDHB,"lactate dehydrogenase B","gene with protein product"
19,T089579,2006,0.9990,p7@CENPF,e:1063,h:1857,P49454,CENPF,"centromere protein F","gene with protein product"
20,T096565,2006,0.9990,p12@SRSF11,e:9295,h:10782,Q6MZM2,SRSF11,"serine and arginine rich splicing factor 11","gene with protein product"
21,T103077,2005,0.9990,p3@MCM8,e:84515,h:16147,,MCM8,"minichromosome maintenance 8 homologous recombination repair factor","gene with protein product"
22,T069420,2005,0.9990,p3@DNMT1,e:1786,h:2976,,DNMT1,"DNA methyltransferase 1","gene with protein product"
23,T015647,2004,0.9990,p8@SYT7,e:9066,h:11514,O43581,SYT7,"synaptotagmin 7","gene with protein product"
24,T094614,2003,0.9990,p6@CDC20,e:991,h:1723,,CDC20,"cell division cycle 20","gene with protein product"
25,T002452,2002,0.9990,p3@MKI67,e:4288,h:7107,,MKI67,"marker of proliferation Ki-67","gene with protein product"
26,T158745,2002,0.9990,p4@CENPW,e:387103,h:21488,Q5EE01,CENPW,"centromere protein W","gene with protein product"
27,T131135,2002,0.9990,p13@SMC4,e:10051,h:14013,,SMC4,"structural maintenance of chromosomes 4","gene with protein product"
28,T124093,2001,0.9990,p10@XPO1,e:7514,h:12825,,XPO1,"exportin 1","gene with protein product"
29,T200963,2007,0.9985,p4@PIN4,e:5303,h:8992,Q9Y237,PIN4,"peptidylprolyl cis/trans isomerase, NIMA-interacting 4","gene with protein product"
30,T152934,2007,0.9985,p66@HNRNPH1,e:3187,h:5041,,HNRNPH1,"heterogeneous nuclear ribonucleoprotein H1","gene with protein product"
31,T003068,2006,0.9985,p7@CUBN,e:8029,h:2548,O60494,CUBN,cubilin,"gene with protein product"
32,T030586,2005,0.9985,p2@SNRPF,e:6636,h:11162,P62306,SNRPF,"small nuclear ribonucleoprotein polypeptide F","gene with protein product"
33,T191885,2005,0.9985,p5@PSIP1,e:11168,h:9527,,PSIP1,"PC4 and SFRS1 interacting protein 1","gene with protein product"
34,T001671,2005,0.9985,p6@EIF3A,e:8661,h:3271,,EIF3A,"eukaryotic translation initiation factor 3 subunit A","gene with protein product"
35,T152938,2004,0.9985,p11@HNRNPH1,e:3187,h:5041,,HNRNPH1,"heterogeneous nuclear ribonucleoprotein H1","gene with protein product"
36,T041903,2004,0.9985,p1@TCL1B,e:9623,h:11649,,TCL1B,"T-cell leukemia/lymphoma 1B","gene with protein product"
37,T145258,2003,0.9985,p3@NPFFR2,e:10886,h:4525,,NPFFR2,"neuropeptide FF receptor 2","gene with protein product"
38,T103724,2002,0.9985,p8@PLCB4,e:5332,h:9059,B1AJW4,PLCB4,"phospholipase C beta 4","gene with protein product"
39,T073663,2001,0.9985,p4@ZNF569,e:148266,h:24737,Q5MCW4,ZNF569,"zinc finger protein 569","gene with protein product"
40,T041202,2000,0.9985,p8@TTC8,e:123016,h:20087,,TTC8,"tetratricopeptide repeat domain 8","gene with protein product"
41,T096417,2003,0.9980,p4@SERBP1,e:26135,h:17860,,SERBP1,"SERPINE1 mRNA binding protein 1","gene with protein product"
42,T141837,2002,0.9980,p4@HMGB2,e:3148,h:5000,"P26583,Q5U071",HMGB2,"high mobility group box 2","gene with protein product"
43,T095997,2001,0.9980,p4@ITGB3BP,e:23421,h:6157,Q13352,ITGB3BP,"integrin subunit beta 3 binding protein","gene with protein product"
44,T131151,2005,0.9975,p10@KPNA4,e:3840,h:6397,,KPNA4,"karyopherin subunit alpha 4","gene with protein product"
45,T091766,2005,0.9975,p1@CHML,e:1122,h:1941,P26374,CHML,"CHM like, Rab escort protein 2","gene with protein product"
46,T152929,2001,0.9970,p6@HNRNPH1,e:3187,h:5041,,HNRNPH1,"heterogeneous nuclear ribonucleoprotein H1","gene with protein product"
47,T024131,2004,0.9965,p22@BCAT1,e:586,h:976,B7Z5L0,BCAT1,"branched chain amino acid transaminase 1","gene with protein product"
48,T002469,2003,0.9965,p8@MKI67,e:4288,h:7107,,MKI67,"marker of proliferation Ki-67","gene with protein product"
49,T047959,2002,0.9965,p8@PRC1,e:9055,h:9341,,PRC1,"protein regulator of cytokinesis 1","gene with protein product"
50,T008214,2002,0.9955,p2@KIF11,e:3832,h:6388,P52732,KIF11,"kinesin family member 11","gene with protein product"
51,T093869,2003,0.9950,p3@CLSPN,e:63967,h:19715,"Q9HAW4,E7ESG2",CLSPN,claspin,"gene with protein product"
52,T146266,2000,0.9950,p5@HNRNPD,e:3184,h:5036,,HNRNPD,"heterogeneous nuclear ribonucleoprotein D","gene with protein product"
53,T020139,1996,0.9950,p1@C12orf48,e:55010,h:26074,"B4DZ31,B4DT40,Q9NWS1",PARPBP,"PARP1 binding protein","gene with protein product"
54,T020821,1995,0.9950,p3@FOXN4,e:121643,h:21399,"Q96NZ1,A6H901",FOXN4,"forkhead box N4","gene with protein product"
55,T001172,1999,0.9945,p32@ACSL5,e:51703,h:16526,A6GV77,ACSL5,"acyl-CoA synthetase long-chain family member 5","gene with protein product"
56,T043451,1996,0.9945,p3@CASC5,e:57082,h:24054,,KNL1,"kinetochore scaffold 1","gene with protein product"
57,T155918,1993,0.9945,p7@SCAMP1,e:9522,h:10563,O15126,SCAMP1,"secretory carrier membrane protein 1","gene with protein product"
58,T095043,1996,0.9940,p7@CYP4X1,e:260293,h:20244,"Q8N118,Q5VVE5",CYP4X1,"cytochrome P450 family 4 subfamily X member 1","gene with protein product"
59,T102623,1993,0.9940,p1@PTMAP6,,h:16573,,PTMAP6,"prothymosin, alpha pseudogene 6",pseudogene
60,T197447,1994,0.9935,p3@MAP7D3,e:79649,h:25742,,MAP7D3,"MAP7 domain containing 3","gene with protein product"
61,T185068,1993,0.9935,p3@PRKDC,e:5591,h:9413,,PRKDC,"protein kinase, DNA-activated, catalytic polypeptide","gene with protein product"
62,T093200,1995,0.9930,p6@SRSF4,e:6429,h:10786,,SRSF4,"serine and arginine rich splicing factor 4","gene with protein product"
63,T138909,1994,0.9930,p3@ELOVL6,e:79071,h:15829,"D6RHI2,D6RBP4",ELOVL6,"ELOVL fatty acid elongase 6","gene with protein product"
64,T066441,1993,0.9925,p1@NDC80,e:10403,h:16909,F5H1J6,NDC80,"NDC80, kinetochore complex component","gene with protein product"
65,T060077,1987,0.9925,p6@IGF2BP1,e:10642,h:28866,,IGF2BP1,"insulin like growth factor 2 mRNA binding protein 1","gene with protein product"
66,T094906,1997,0.9921,p3@NASP,e:4678,h:7644,Q6PJY7,NASP,"nuclear autoantigenic sperm protein","gene with protein product"
67,T123310,1993,0.9915,p8@EPCAM,e:4072,h:11529,,EPCAM,"epithelial cell adhesion molecule","gene with protein product"
68,T090271,1990,0.9915,p15@TP53BP2,e:7159,h:12000,Q13625,TP53BP2,"tumor protein p53 binding protein 2","gene with protein product"
69,T178198,1984,0.9915,p25@CDK6,e:1021,h:1777,"Q00534,A4D1G0",CDK6,"cyclin dependent kinase 6","gene with protein product"
70,T120078,1995,0.9911,p12@NCL,e:4691,h:7667,B3KM80,NCL,nucleolin,"gene with protein product"
71,T126260,1995,0.9901,p7@MRPS5,e:64969,h:14498,P82675,MRPS5,"mitochondrial ribosomal protein S5","gene with protein product"
72,T013603,1984,0.9900,p9@QSER1,e:79832,h:26154,Q2KHR3,QSER1,"glutamine and serine rich 1","gene with protein product"
73,T146271,1983,0.9895,p7@HNRNPD,e:3184,h:5036,Q14103,HNRNPD,"heterogeneous nuclear ribonucleoprotein D","gene with protein product"
74,T089582,1989,0.9891,p6@CENPF,e:1063,h:1857,,CENPF,"centromere protein F","gene with protein product"
75,T131792,1987,0.9890,p1@ECT2,e:1894,h:3155,"C9JDV9,Q9H8V3,C9J0L6,G5E9L8,C9JDB4",ECT2,"epithelial cell transforming 2","gene with protein product"
76,T131134,1987,0.9890,p2@SMC4,e:10051,h:14013,,SMC4,"structural maintenance of chromosomes 4","gene with protein product"
77,T023834,1982,0.9885,p20@CACNA1C,e:775,h:1390,F5H0X0,CACNA1C,"calcium voltage-gated channel subunit alpha1 C","gene with protein product"
78,T013624,1983,0.9880,p6@CSTF3,e:1479,h:2485,,CSTF3,"cleavage stimulation factor subunit 3","gene with protein product"
79,T168758,1982,0.9875,p6@SRRT,e:51593,h:24101,Q9BXP5,SRRT,"serrate, RNA effector molecule","gene with protein product"
80,T165193,1985,0.9871,p1@PNPLA1,e:285848,h:21246,Q8N8W4,PNPLA1,"patatin like phospholipase domain containing 1","gene with protein product"
81,T187278,1984,0.9871,p1@RAD54B,e:25788,h:17228,"F6WBS8,E5RI14,E5RJF7,F5H7U4",RAD54B,"RAD54 homolog B (S. cerevisiae)","gene with protein product"
82,T032619,1982,0.9871,p4@BRCA2,e:675,h:1101,E9PIQ1,BRCA2,"BRCA2, DNA repair associated","gene with protein product"
83,T174227,1979,0.9870,p2@CBX3,e:11335,h:1553,B8ZZ43,CBX3,"chromobox 3","gene with protein product"
84,T201217,1982,0.9866,p1@LDHBP2,,h:6543,,LDHBP2,"lactate dehydrogenase B pseudogene 2",pseudogene
85,T167979,1984,0.9861,p1@TTK,e:7272,h:12401,D6RFY1,TTK,"TTK protein kinase","gene with protein product"
86,T174198,1982,0.9856,p3@HNRNPA2B1,e:3181,h:5033,,HNRNPA2B1,"heterogeneous nuclear ribonucleoprotein A2/B1","gene with protein product"
87,T154276,1980,0.9856,p7@HMGCS1,e:3157,h:5007,,HMGCS1,"3-hydroxy-3-methylglutaryl-CoA synthase 1","gene with protein product"
88,T051182,1980,0.9851,p6@FUS,e:2521,h:4010,,FUS,"FUS RNA binding protein","gene with protein product"
89,T124115,1977,0.9846,p2@FAM161A,e:84140,h:25808,Q3B820,FAM161A,"family with sequence similarity 161 member A","gene with protein product"
90,T162461,1975,0.9836,p13@E2F3,e:1871,h:3115,,E2F3,"E2F transcription factor 3","gene with protein product"
91,T093710,1973,0.9835,p7@C1orf94,e:84970,h:28250,Q6P1W5,C1orf94,"chromosome 1 open reading frame 94","gene with protein product"
92,T146267,1976,0.9831,p6@HNRNPD,e:3184,h:5036,,HNRNPD,"heterogeneous nuclear ribonucleoprotein D","gene with protein product"
93,T171104,1973,0.9831,p13@PODXL,e:5420,h:9171,,PODXL,"podocalyxin like","gene with protein product"
94,T086417,1973,0.9831,p4@DHX9,e:1660,h:2750,,DHX9,"DExH-box helicase 9","gene with protein product"
95,T178477,1979,0.9826,p11@PEG10,e:23089,h:14005,,PEG10,"paternally expressed 10","gene with protein product"
96,T018697,1978,0.9826,p12@PAK1,e:5058,h:8590,,PAK1,"p21 (RAC1) activated kinase 1","gene with protein product"
97,T025175,1973,0.9821,p1@RAD51AP1,e:10635,h:16956,"Q96B01,F5H4V6,F5H031,F5H710,B4DUS5",RAD51AP1,"RAD51 associated protein 1","gene with protein product"
98,T138771,1973,0.9821,p39@LEF1,e:51176,h:6551,E9PDK3,LEF1,"lymphoid enhancer binding factor 1","gene with protein product"
99,T089575,1971,0.9821,p2@CENPF,e:1063,h:1857,,CENPF,"centromere protein F","gene with protein product"
100,T154341,1969,0.9816,p4@MRPS30,e:10884,h:8769,,MRPS30,"mitochondrial ribosomal protein S30","gene with protein product"
101,T097476,1966,0.9805,p6@PKN2,e:5586,h:9406,E7ESL7,PKN2,"protein kinase N2","gene with protein product"
102,T017403,1970,0.9801,p8@SPTBN2,e:6712,h:11276,,SPTBN2,"spectrin beta, non-erythrocytic 2","gene with protein product"
103,T044723,1965,0.9800,p10@PRTG,e:283659,h:26373,Q2VWP7,PRTG,protogenin,"gene with protein product"
104,T138539,1965,0.9800,p47@UBE2D3,e:7323,h:12476,P61077,UBE2D3,"ubiquitin conjugating enzyme E2 D3","gene with protein product"
105,T001653,1971,0.9796,p12@EIF3A,e:8661,h:3271,,EIF3A,"eukaryotic translation initiation factor 3 subunit A","gene with protein product"
106,T155092,1969,0.9796,p1@CENPK,e:64105,h:29479,"Q9BS16,D6RHD3,D6RJF0,D6RBN6,D6RC76",CENPK,"centromere protein K","gene with protein product"
107,T014204,1967,0.9791,p5@RRM1,e:6240,h:10451,,RRM1,"ribonucleotide reductase catalytic subunit M1","gene with protein product"
108,T100154,1967,0.9786,p5@RBM12,e:10137,h:9898,,RBM12,"RNA binding motif protein 12","gene with protein product"
109,T082090,1971,0.9782,p6@ANP32E,e:81611,h:16673,E9PLC4,ANP32E,"acidic nuclear phosphoprotein 32 family member E","gene with protein product"
110,T129521,1961,0.9766,p1@FAIM,e:55179,h:18703,Q9NVQ4,FAIM,"Fas apoptotic inhibitory molecule","gene with protein product"
111,T074877,1960,0.9766,p17@SHD,e:56961,h:30633,Q96IW2,SHD,"Src homology 2 domain containing transforming protein D","gene with protein product"
112,T013304,1961,0.9761,p1@KIF18A,e:81930,h:29441,Q8NI77,KIF18A,"kinesin family member 18A","gene with protein product"
113,T189351,1954,0.9750,p4@STRBP,e:55342,h:16462,Q96SI9,STRBP,"spermatid perinuclear RNA binding protein","gene with protein product"
114,T093772,1959,0.9741,p5@SFPQ,e:6421,h:10774,P23246,SFPQ,"splicing factor proline and glutamine rich","gene with protein product"
115,T028193,1958,0.9741,p1@SCARNA11,e:677780,h:32568,,SCARNA11,"small Cajal body-specific RNA 11","RNA, small nucleolar"
116,T087332,1956,0.9741,p2@ASPM,e:259266,h:19048,"Q8IZT6,B3KWI2,Q4G1H1",ASPM,"abnormal spindle microtubule assembly","gene with protein product"
117,T081870,1953,0.9726,p7@PRKAB2,e:5565,h:9379,O43741,PRKAB2,"protein kinase AMP-activated non-catalytic subunit beta 2","gene with protein product"
118,T067606,1957,0.9722,p4@SKA1,e:220134,h:28109,,SKA1,"spindle and kinetochore associated complex subunit 1","gene with protein product"
119,T069421,1956,0.9722,p5@DNMT1,e:1786,h:2976,,DNMT1,"DNA methyltransferase 1","gene with protein product"
120,T120082,1955,0.9722,p17@NCL,e:4691,h:7667,B3KM80,NCL,nucleolin,"gene with protein product"
121,T148707,1952,0.9707,p4@HSPA4,e:3308,h:5237,B0AZS1,HSPA4,"heat shock protein family A (Hsp70) member 4","gene with protein product"
122,T174220,1942,0.9705,p6@CBX3,e:11335,h:1553,,CBX3,"chromobox 3","gene with protein product"
123,T024550,1953,0.9702,p2@DDX11,e:1663,h:2736,F5GXL6,DDX11,"DEAD/H-box helicase 11","gene with protein product"
124,T038258,1952,0.9697,p5@MIS18BP1,e:55320,h:20190,C9J2Q8,MIS18BP1,"MIS18 binding protein 1","gene with protein product"
125,T176508,1945,0.9691,p3@RNF216,e:54476,h:21698,B2RAT1,RNF216,"ring finger protein 216","gene with protein product"
126,T193845,1945,0.9681,p1@MIR204,e:406987,h:31582,,MIR204,"microRNA 204","RNA, micro"
127,T174203,1942,0.9681,p5@HNRNPA2B1,e:3181,h:5033,,HNRNPA2B1,"heterogeneous nuclear ribonucleoprotein A2/B1","gene with protein product"
128,T107030,1941,0.9676,p2@SMARCB1,e:6598,h:11103,B5MCL5,SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","gene with protein product"
