Hs-CRTC3,2000,1000,T047870-CRTC3,"p7@CRTC3"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T137303,2012,1.0000,p12@FOXP1,e:27086,h:3823,G5E965,FOXP1,"forkhead box P1","gene with protein product"
2,T091602,2005,1.0000,p1@MDS2,e:259283,h:29633,Q8NDY4,MDS2,"myelodysplastic syndrome 2 translocation associated","gene with protein product"
3,T132473,2011,1.0000,p38@SATB1,e:6304,h:10541,Q01826,SATB1,"SATB homeobox 1","gene with protein product"
4,T002880,2007,0.9995,p8@FAM107B,e:83641,h:23726,C9JW51,FAM107B,"family with sequence similarity 107 member B","gene with protein product"
5,T138798,2009,0.9990,p8@LEF1,e:51176,h:6551,Q9UJU2,LEF1,"lymphoid enhancer binding factor 1","gene with protein product"
6,T158229,2008,0.9990,p5@C6orf105,e:84830,h:21214,,ADTRP,"androgen dependent TFPI regulating protein","gene with protein product"
7,T139657,2007,0.9990,p7@PGRMC2,e:10424,h:16089,O15173,PGRMC2,"progesterone receptor membrane component 2","gene with protein product"
8,T018026,2008,0.9985,p3@NADSYN1,e:55191,h:29832,Q6IA69,NADSYN1,"NAD synthetase 1","gene with protein product"
9,T002881,2008,0.9985,p5@FAM107B,e:83641,h:23726,C9JW51,FAM107B,"family with sequence similarity 107 member B","gene with protein product"
10,T185906,2005,0.9985,p12@PDE7A,e:5150,h:8791,E5RG23,PDE7A,"phosphodiesterase 7A","gene with protein product"
11,T018067,2008,0.9980,p15@NUMA1,e:4926,h:8059,,NUMA1,"nuclear mitotic apparatus protein 1","gene with protein product"
12,T012067,2004,0.9980,p8@PDE3B,e:5140,h:8779,,PDE3B,"phosphodiesterase 3B","gene with protein product"
13,T149805,2001,0.9980,p4@NDFIP1,e:80762,h:17592,Q9BT67,NDFIP1,"Nedd4 family interacting protein 1","gene with protein product"
14,T158228,2001,0.9980,p4@C6orf105,e:84830,h:21214,,ADTRP,"androgen dependent TFPI regulating protein","gene with protein product"
15,T167148,2002,0.9975,p33@PTP4A1,e:7803,h:9634,Q93096,PTP4A1,"protein tyrosine phosphatase type IVA, member 1","gene with protein product"
16,T109669,2000,0.9975,p13@FAM118A,e:55007,h:1313,B0QY27,FAM118A,"family with sequence similarity 118 member A","gene with protein product"
17,T125604,1998,0.9975,p2@C2orf89,e:129293,h:27013,Q86V40,TRABD2A,"TraB domain containing 2A","gene with protein product"
18,T078322,2002,0.9970,p2@ZNF784,e:147808,h:33111,Q8NCA9,ZNF784,"zinc finger protein 784","gene with protein product"
19,T110901,1999,0.9960,p1@EDAR,e:10913,h:2895,E9PC98,EDAR,"ectodysplasin A receptor","gene with protein product"
20,T113769,1995,0.9940,p5@CYTIP,e:9595,h:9506,C9JSM2,CYTIP,"cytohesin 1 interacting protein","gene with protein product"
21,T125605,1995,0.9935,p7@C2orf89,e:129293,h:27013,Q86V40,TRABD2A,"TraB domain containing 2A","gene with protein product"
22,T091601,1989,0.9930,p2@MDS2,e:259283,h:29633,Q8NDY4,MDS2,"myelodysplastic syndrome 2 translocation associated","gene with protein product"
23,T137286,1993,0.9910,p31@FOXP1,e:27086,h:3823,Q8NAN6,FOXP1,"forkhead box P1","gene with protein product"
24,T092575,1991,0.9910,p3@LDLRAP1,e:26119,h:18640,,LDLRAP1,"low density lipoprotein receptor adaptor protein 1","gene with protein product"
25,T001076,1991,0.9910,p6@PDCD4,e:27250,h:8763,,PDCD4,"programmed cell death 4","gene with protein product"
26,T109668,1988,0.9910,p6@FAM118A,e:55007,h:1313,B0QY28,FAM118A,"family with sequence similarity 118 member A","gene with protein product"
27,T144158,1995,0.9906,p1@TXK,e:7294,h:12434,P42681,TXK,"TXK tyrosine kinase","gene with protein product"
28,T120314,1990,0.9900,p6@DGKD,e:8527,h:2851,,DGKD,"diacylglycerol kinase delta","gene with protein product"
29,T051586,1989,0.9896,p6@HMOX2,e:3163,h:5014,"P30519,Q6IBP2,Q6FHB5",HMOX2,"heme oxygenase 2","gene with protein product"
30,T125603,1987,0.9890,p3@C2orf89,e:129293,h:27013,Q86V40,TRABD2A,"TraB domain containing 2A","gene with protein product"
31,T041993,1987,0.9876,p1@C14orf64,,h:20111,,LINC01550,"long intergenic non-protein coding RNA 1550","RNA, long non-coding"
32,T009358,1983,0.9875,p10@ATM,e:472,h:795,Q6P7P1,ATM,"ATM serine/threonine kinase","gene with protein product"
33,T198739,1983,0.9871,p6@SCML1,e:6322,h:10580,,SCML1,"sex comb on midleg-like 1 (Drosophila)","gene with protein product"
34,T006637,1980,0.9870,p3@ANAPC16,e:119504,h:26976,"C5H3H2,Q96DE5",ANAPC16,"anaphase promoting complex subunit 16","gene with protein product"
35,T131265,1976,0.9870,p2@OXNAD1,e:92106,h:25128,,OXNAD1,"oxidoreductase NAD binding domain containing 1","gene with protein product"
36,T183225,1978,0.9856,p19@SORBS3,e:10174,h:30907,O60504,SORBS3,"sorbin and SH3 domain containing 3","gene with protein product"
37,T003467,1982,0.9851,p8@COMMD3,e:23412,h:23332,,COMMD3,"COMM domain containing 3","gene with protein product"
38,T181637,1981,0.9846,p21@ST3GAL1,e:6482,h:10862,E5RG72,ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1","gene with protein product"
39,T107874,1978,0.9831,p3@PIK3IP1,e:113791,h:24942,D1MEI0,PIK3IP1,"phosphoinositide-3-kinase interacting protein 1","gene with protein product"
40,T026844,1971,0.9826,p5@KIAA0748,e:9840,h:29109,E9PIT9,TESPA1,"thymocyte expressed, positive selection associated 1","gene with protein product"
41,T136780,1976,0.9821,p2@FHIT,e:2272,h:3701,,FHIT,"fragile histidine triad","gene with protein product"
42,T074754,1975,0.9821,p5@ARHGEF1,e:9138,h:681,,ARHGEF1,"Rho guanine nucleotide exchange factor 1","gene with protein product"
43,T184130,1971,0.9821,p3@LEPROTL1,e:23484,h:6555,E5RIQ0,LEPROTL1,"leptin receptor overlapping transcript-like 1","gene with protein product"
44,T131264,1967,0.9820,p6@OXNAD1,e:92106,h:25128,,OXNAD1,"oxidoreductase NAD binding domain containing 1","gene with protein product"
45,T154661,1969,0.9811,p1@ANKRD55,e:79722,h:25681,,ANKRD55,"ankyrin repeat domain 55","gene with protein product"
46,T137304,1970,0.9801,p22@FOXP1,e:27086,h:3823,G5E965,FOXP1,"forkhead box P1","gene with protein product"
47,T136781,1968,0.9796,p3@FHIT,e:2272,h:3701,,FHIT,"fragile histidine triad","gene with protein product"
48,T131266,1966,0.9796,p5@OXNAD1,e:92106,h:25128,,OXNAD1,"oxidoreductase NAD binding domain containing 1","gene with protein product"
49,T125606,1965,0.9796,p11@C2orf89,e:129293,h:27013,Q86V40,TRABD2A,"TraB domain containing 2A","gene with protein product"
50,T133628,1966,0.9791,p6@KIAA0226,e:9711,h:28991,,RUBCN,"RUN and cysteine rich domain containing beclin 1 interacting protein","gene with protein product"
51,T019840,1966,0.9776,p6@MAML2,e:84441,h:16259,B7ZL21,MAML2,"mastermind like transcriptional coactivator 2","gene with protein product"
52,T125598,1963,0.9776,p2@DNAH6,e:1768,h:2951,,DNAH6,"dynein axonemal heavy chain 6","gene with protein product"
53,T068598,1971,0.9772,p2@GTSCR1,e:220158,h:18406,Q86UQ5,GTSCR1,"Gilles de la Tourette syndrome chromosome region, candidate 1",unknown
54,T158227,1958,0.9761,p6@C6orf105,e:84830,h:21214,,ADTRP,"androgen dependent TFPI regulating protein","gene with protein product"
55,T134060,1958,0.9756,p9@TGFBR2,e:7048,h:11773,"P37173,D2JYI1,A3QNQ0",TGFBR2,"transforming growth factor beta receptor 2","gene with protein product"
56,T185904,1956,0.9736,p17@PDE7A,e:5150,h:8791,E5RG23,PDE7A,"phosphodiesterase 7A","gene with protein product"
57,T131263,1956,0.9731,p4@OXNAD1,e:92106,h:25128,,OXNAD1,"oxidoreductase NAD binding domain containing 1","gene with protein product"
58,T138770,1954,0.9726,p1@LEF1,e:51176,h:6551,D6RIV1,LEF1,"lymphoid enhancer binding factor 1","gene with protein product"
59,T026843,1946,0.9715,p6@KIAA0748,e:9840,h:29109,E9PIT9,TESPA1,"thymocyte expressed, positive selection associated 1","gene with protein product"
60,T006638,1950,0.9711,p4@ANAPC16,e:119504,h:26976,"C5H3H2,Q96DE5",ANAPC16,"anaphase promoting complex subunit 16","gene with protein product"
61,T159004,1950,0.9711,p16@AKAP7,e:9465,h:377,F5H4P9,AKAP7,"A-kinase anchoring protein 7","gene with protein product"
62,T006636,1945,0.9701,p5@ANAPC16,e:119504,h:26976,"C5H3H2,Q96DE5",ANAPC16,"anaphase promoting complex subunit 16","gene with protein product"
63,T192150,1945,0.9691,p7@MLLT3,e:4300,h:7136,,MLLT3,"MLLT3, super elongation complex subunit","gene with protein product"
64,T184131,1942,0.9691,p7@LEPROTL1,e:23484,h:6555,E5RJS9,LEPROTL1,"leptin receptor overlapping transcript-like 1","gene with protein product"
65,T196654,1946,0.9682,p2@MSL3,e:10943,h:7370,,MSL3,"male-specific lethal 3 homolog (Drosophila)","gene with protein product"
66,T002882,1943,0.9681,p9@FAM107B,e:83641,h:23726,,FAM107B,"family with sequence similarity 107 member B","gene with protein product"
67,T034243,1944,0.9676,p9@TBC1D4,e:9882,h:19165,,TBC1D4,"TBC1 domain family member 4","gene with protein product"
