Hs-CSDE1,2000,1000,T080877-CSDE1,"p5@CSDE1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T051671,2011,1.0000,p2@DNAJA2,e:10294,h:14884,O60884,DNAJA2,"DnaJ heat shock protein family (Hsp40) member A2","gene with protein product"
2,T080885,2005,1.0000,p1@CSDE1,e:7812,h:29905,E9PNG3,CSDE1,"cold shock domain containing E1","gene with protein product"
3,T051791,2010,1.0000,p2@GLYR1,e:84656,h:24434,Q49A26,GLYR1,"glyoxylate reductase 1 homolog","gene with protein product"
4,T109248,2013,1.0000,p3@XRCC6,e:2547,h:4055,B1AHC9,XRCC6,"X-ray repair cross complementing 6","gene with protein product"
5,T143703,2003,1.0000,p3@UGDH,e:7358,h:12525,,UGDH,"UDP-glucose 6-dehydrogenase","gene with protein product"
6,T164603,2006,1.0000,p27@BRD2,e:6046,h:1103,,BRD2,"bromodomain containing 2","gene with protein product"
7,T048526,2006,1.0000,p8@EMP2,e:2013,h:3334,P54851,EMP2,"epithelial membrane protein 2","gene with protein product"
8,T023399,2012,1.0000,p2@WBP11,e:51729,h:16461,Q9Y2W2,WBP11,"WW domain binding protein 11","gene with protein product"
9,T035857,2007,1.0000,p6@MTA1,e:9112,h:7410,,MTA1,"metastasis associated 1","gene with protein product"
10,T129241,2007,1.0000,p10@CDV3,e:55573,h:26928,D6R9V8,CDV3,"CDV3 homolog","gene with protein product"
11,T187560,2008,1.0000,p2@RPL30,e:6156,h:10333,,RPL30,"ribosomal protein L30","gene with protein product"
12,T061292,2009,1.0000,p4@CLTC,e:1213,h:2092,,CLTC,"clathrin heavy chain","gene with protein product"
13,T121108,2013,0.9995,p23@HDLBP,e:3069,h:4857,,HDLBP,"high density lipoprotein binding protein","gene with protein product"
14,T016575,2009,0.9995,p5@SF1,e:7536,h:12950,,SF1,"splicing factor 1","gene with protein product"
15,T004761,2007,0.9995,p7@HNRNPF,e:3185,h:5039,Q8NI96,HNRNPF,"heterogeneous nuclear ribonucleoprotein F","gene with protein product"
16,T060631,2005,0.9995,p3@TOB1,e:10140,h:11979,P50616,TOB1,"transducer of ERBB2, 1","gene with protein product"
17,T080881,2004,0.9995,p3@CSDE1,e:7812,h:29905,G5E9Q2,CSDE1,"cold shock domain containing E1","gene with protein product"
18,T102866,2012,0.9990,p11@GNAS,e:2778,h:4392,,GNAS,"GNAS complex locus","gene with protein product"
19,T136904,2012,0.9990,p1@THOC7,e:80145,h:29874,"F8WF22,F8WCA6",THOC7,"THO complex 7","gene with protein product"
20,T031926,2011,0.9990,p4@SAP18,e:10284,h:10530,,SAP18,"Sin3A associated protein 18","gene with protein product"
21,T004760,2010,0.9990,p10@HNRNPF,e:3185,h:5039,Q8NI96,HNRNPF,"heterogeneous nuclear ribonucleoprotein F","gene with protein product"
22,T009379,2007,0.9990,p6@EIF4G2,e:1982,h:3297,,EIF4G2,"eukaryotic translation initiation factor 4 gamma 2","gene with protein product"
23,T171361,2007,0.9990,p1@LUZP6,e:767558,h:33955,Q9H388,LUZP6,"leucine zipper protein 6","gene with protein product"
24,T026500,2007,0.9990,p37@SP1,e:6667,h:11205,C4PGM0,SP1,"Sp1 transcription factor","gene with protein product"
25,T074540,2006,0.9990,p20@HNRNPUL1,e:11100,h:17011,B3KM60,HNRNPUL1,"heterogeneous nuclear ribonucleoprotein U like 1","gene with protein product"
26,T176508,2006,0.9990,p3@RNF216,e:54476,h:21698,B2RAT1,RNF216,"ring finger protein 216","gene with protein product"
27,T177603,2006,0.9990,p13@SEMA3C,e:10512,h:10725,,SEMA3C,"semaphorin 3C","gene with protein product"
28,T080882,2005,0.9990,p4@CSDE1,e:7812,h:29905,G5E9Q2,CSDE1,"cold shock domain containing E1","gene with protein product"
29,T074536,2005,0.9990,p18@HNRNPUL1,e:11100,h:17011,Q9BUJ2,HNRNPUL1,"heterogeneous nuclear ribonucleoprotein U like 1","gene with protein product"
30,T093772,2005,0.9990,p5@SFPQ,e:6421,h:10774,P23246,SFPQ,"splicing factor proline and glutamine rich","gene with protein product"
31,T088498,2005,0.9990,p6@ELK4,e:2005,h:3326,,ELK4,"ELK4, ETS transcription factor","gene with protein product"
32,T180019,2005,0.9990,p2@EIF3H,e:8667,h:3273,,EIF3H,"eukaryotic translation initiation factor 3 subunit H","gene with protein product"
33,T102405,2005,0.9990,p2@ZNF217,e:7764,h:13009,,ZNF217,"zinc finger protein 217","gene with protein product"
34,T136930,2005,0.9990,p5@PSMD6,e:9861,h:9564,,PSMD6,"proteasome 26S subunit, non-ATPase 6","gene with protein product"
35,T176529,2004,0.9990,p3@AIMP2,e:7965,h:20609,Q13155,AIMP2,"aminoacyl tRNA synthetase complex interacting multifunctional protein 2","gene with protein product"
36,T128869,2003,0.9990,p6@CNBP,e:7555,h:13164,Q5U0E9,CNBP,"CCHC-type zinc finger nucleic acid binding protein","gene with protein product"
37,T050292,2001,0.9990,p24@SRRM2,e:23524,h:16639,Q9UQ35,SRRM2,"serine/arginine repetitive matrix 2","gene with protein product"
38,T050293,2014,0.9985,p16@SRRM2,e:23524,h:16639,Q9UQ35,SRRM2,"serine/arginine repetitive matrix 2","gene with protein product"
39,T145849,2008,0.9985,p4@CCNI,e:10983,h:1595,,CCNI,"cyclin I","gene with protein product"
40,T051742,2008,0.9985,p2@LONP2,e:83752,h:20598,Q86WA8,LONP2,"lon peptidase 2, peroxisomal","gene with protein product"
41,T027888,2006,0.9985,p6@XPOT,e:11260,h:12826,F8WDU6,XPOT,"exportin for tRNA","gene with protein product"
42,T151226,2006,0.9985,p15@LARP1,e:23367,h:29531,,LARP1,"La ribonucleoprotein domain family member 1","gene with protein product"
43,T111408,2006,0.9985,p5@SLC35F5,e:80255,h:23617,,SLC35F5,"solute carrier family 35 member F5","gene with protein product"
44,T001826,2006,0.9985,p4@CDC123,e:8872,h:16827,,CDC123,"cell division cycle 123","gene with protein product"
45,T147263,2004,0.9985,p5@CCT5,e:22948,h:1618,,CCT5,"chaperonin containing TCP1 subunit 5","gene with protein product"
46,T179129,2003,0.9985,p5@PABPC1,e:26986,h:8554,,PABPC1,"poly(A) binding protein cytoplasmic 1","gene with protein product"
47,T009368,2007,0.9980,p10@EIF4G2,e:1982,h:3297,,EIF4G2,"eukaryotic translation initiation factor 4 gamma 2","gene with protein product"
48,T189217,2005,0.9980,p6@GSN,e:2934,h:4620,,GSN,gelsolin,"gene with protein product"
49,T048283,2005,0.9980,p44@NR2F2,e:7026,h:7976,,NR2F2,"nuclear receptor subfamily 2 group F member 2","gene with protein product"
50,T066886,2004,0.9980,p8@SLC39A6,e:25800,h:18607,B4DWH6,SLC39A6,"solute carrier family 39 member 6","gene with protein product"
51,T116183,2004,0.9980,p4@NCKAP1,e:10787,h:7666,Q9Y2A7,NCKAP1,"NCK associated protein 1","gene with protein product"
52,T124093,2002,0.9980,p10@XPO1,e:7514,h:12825,,XPO1,"exportin 1","gene with protein product"
53,T146610,2001,0.9980,p16@AFF1,e:4299,h:7135,,AFF1,"AF4/FMR2 family member 1","gene with protein product"
54,T046195,1999,0.9980,p2@PKM2,e:5315,h:9021,,PKM,"pyruvate kinase, muscle","gene with protein product"
55,T009386,2009,0.9975,p4@EIF4G2,e:1982,h:3297,,EIF4G2,"eukaryotic translation initiation factor 4 gamma 2","gene with protein product"
56,T141886,2006,0.9975,p1@RANP6,,h:39861,,RANP6,"RAN, member RAS oncogene family pseudogene 6",pseudogene
57,T061620,2005,0.9975,p2@TANC2,e:26115,h:30212,Q9HCD6,TANC2,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2","gene with protein product"
58,T128868,2004,0.9975,p5@CNBP,e:7555,h:13164,Q6T598,CNBP,"CCHC-type zinc finger nucleic acid binding protein","gene with protein product"
59,T025182,2004,0.9975,p15@SLC38A1,e:81539,h:13447,Q9H2H9,SLC38A1,"solute carrier family 38 member 1","gene with protein product"
