Hs-CWC27,2000,1000,T155069-CWC27,"p4@CWC27"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T194654,2010,0.9995,p20@SPIN1,e:10927,h:11243,,SPIN1,"spindlin 1","gene with protein product"
2,T166935,2010,0.9995,p17@DST,"e:100652766,e:667",h:1090,,DST,dystonin,"gene with protein product"
3,T042338,2010,0.9995,p1@SNORD64,e:347686,h:32725,,SNORD64,"small nucleolar RNA, C/D box 64","RNA, small nucleolar"
4,T183570,2008,0.9990,p19@NEFM,e:4741,h:7734,Q9UK51,NEFM,"neurofilament medium","gene with protein product"
5,T155068,2008,0.9990,p2@CWC27,e:10283,h:10664,,CWC27,"CWC27 spliceosome associated protein homolog","gene with protein product"
6,T033321,2005,0.9990,p19@ZC3H13,e:23091,h:20368,F8W781,ZC3H13,"zinc finger CCCH-type containing 13","gene with protein product"
7,T183567,2005,0.9990,p20@NEFM,e:4741,h:7734,,NEFM,"neurofilament medium","gene with protein product"
8,T121141,2005,0.9990,p10@SEPT2,e:4735,h:7729,,SEPT2,"septin 2","gene with protein product"
9,T121758,2004,0.9990,p3@SLC4A1AP,e:22950,h:13813,,SLC4A1AP,"solute carrier family 4 member 1 adaptor protein","gene with protein product"
10,T188005,2006,0.9985,p5@RNF20,e:56254,h:10062,Q5VTR2,RNF20,"ring finger protein 20","gene with protein product"
11,T168583,2005,0.9985,p12@PNISR,e:25957,h:21222,Q8TF01,PNISR,"PNN interacting serine and arginine rich protein","gene with protein product"
12,T090558,2005,0.9985,p6@CDC42BPA,e:8476,h:1737,Q9NYF6,CDC42BPA,"CDC42 binding protein kinase alpha","gene with protein product"
13,T009855,2004,0.9985,p7@NCAM1,e:4684,h:7656,,NCAM1,"neural cell adhesion molecule 1","gene with protein product"
14,T024815,2001,0.9970,p4@KIF21A,e:55605,h:19349,,KIF21A,"kinesin family member 21A","gene with protein product"
15,T161114,2007,0.9965,p7@ZDHHC14,e:79683,h:20341,,ZDHHC14,"zinc finger DHHC-type containing 14","gene with protein product"
16,T043755,1998,0.9965,p8@MAP1A,e:4130,h:6835,Q9UL09,MAP1A,"microtubule associated protein 1A","gene with protein product"
17,T152958,1999,0.9950,p2@CANX,e:821,h:1473,E7ETH2,CANX,calnexin,"gene with protein product"
18,T105576,2001,0.9945,p5@PDE9A,e:5152,h:8795,Q8NCL3,PDE9A,"phosphodiesterase 9A","gene with protein product"
19,T031807,1994,0.9930,p2@MPHOSPH8,e:54737,h:29810,,MPHOSPH8,"M-phase phosphoprotein 8","gene with protein product"
20,T033334,1997,0.9921,p4@ZC3H13,e:23091,h:20368,Q5T200,ZC3H13,"zinc finger CCCH-type containing 13","gene with protein product"
21,T193508,1991,0.9920,p7@KIAA2026,e:158358,h:23378,,KIAA2026,KIAA2026,"gene with protein product"
22,T156097,1990,0.9920,p4@MTX3,e:345778,h:24812,,MTX3,"metaxin 3","gene with protein product"
23,T188004,1992,0.9915,p4@RNF20,e:56254,h:10062,Q5VTR2,RNF20,"ring finger protein 20","gene with protein product"
24,T119429,1985,0.9890,p4@ACSL3,e:2181,h:3570,,ACSL3,"acyl-CoA synthetase long-chain family member 3","gene with protein product"
25,T033318,1985,0.9876,p41@ZC3H13,e:23091,h:20368,F8W781,ZC3H13,"zinc finger CCCH-type containing 13","gene with protein product"
26,T107955,1984,0.9876,p32@YWHAH,e:7533,h:12853,Q9H4N8,YWHAH,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta","gene with protein product"
27,T155443,1986,0.9861,p68@MAP1B,e:4131,h:6836,Q5H9P1,MAP1B,"microtubule associated protein 1B","gene with protein product"
28,T069271,1977,0.9855,p4@ANKRD12,e:23253,h:29135,,ANKRD12,"ankyrin repeat domain 12","gene with protein product"
29,T195894,1974,0.9855,p2@TCEAL2,e:140597,h:29818,,TCEAL2,"transcription elongation factor A like 2","gene with protein product"
