Hs-DCAKD,2000,1000,T059416-DCAKD,"p6@DCAKD"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T094966,2007,1.0000,p2@POMGNT1,e:55624,h:19139,,POMGNT1,"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)","gene with protein product"
2,T038801,2006,1.0000,p49@SAMD4A,e:23034,h:23023,G3V2R1,SAMD4A,"sterile alpha motif domain containing 4A","gene with protein product"
3,T194169,2010,1.0000,p12@VPS13A,e:23230,h:1908,,VPS13A,"vacuolar protein sorting 13 homolog A","gene with protein product"
4,T106627,2009,0.9995,p1@COMT,e:1312,h:2228,P21964,COMT,catechol-O-methyltransferase,"gene with protein product"
5,T017081,2008,0.9995,p21@CFL1,e:1072,h:1874,G3V1A4,CFL1,"cofilin 1","gene with protein product"
6,T000120,2008,0.9995,p14@SCD,e:6319,h:10571,O00767,SCD,"stearoyl-CoA desaturase","gene with protein product"
7,T121514,2015,0.9990,p9@OTOF,e:9381,h:8515,Q9HC10,OTOF,otoferlin,"gene with protein product"
8,T019693,2010,0.9990,p18@AMOTL1,e:154810,h:17811,"E7ESY6,Q8IY63",AMOTL1,"angiomotin like 1","gene with protein product"
9,T059415,2009,0.9990,p3@DCAKD,e:79877,h:26238,Q8WVC6,DCAKD,"dephospho-CoA kinase domain containing","gene with protein product"
10,T054235,2007,0.9990,p2@C16orf61,e:56942,h:24447,,CMC2,"C-X9-C motif containing 2","gene with protein product"
11,T070869,2006,0.9990,p5@BRD4,e:23476,h:13575,,BRD4,"bromodomain containing 4","gene with protein product"
12,T053007,2006,0.9990,p3@NOL3,e:8996,h:7869,Q5TZN6,NOL3,"nucleolar protein 3","gene with protein product"
13,T059417,2005,0.9990,p2@DCAKD,e:79877,h:26238,Q8WVC6,DCAKD,"dephospho-CoA kinase domain containing","gene with protein product"
14,T104217,2005,0.9990,p2@ATP5J,e:522,h:847,"P18859,Q6IB54,Q6NZ59",ATP5J,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6","gene with protein product"
15,T109778,2003,0.9990,p1@C22orf40,e:150383,h:33710,Q6NVV7,CDPF1,"cysteine rich DPF motif domain containing 1","gene with protein product"
16,T061953,2002,0.9990,p3@FAM57A,e:79850,h:29646,,FAM57A,"family with sequence similarity 57 member A","gene with protein product"
17,T043054,2012,0.9985,p10@SPRED1,e:161742,h:20249,Q7Z699,SPRED1,"sprouty related EVH1 domain containing 1","gene with protein product"
18,T062311,2007,0.9985,p9@ABCA10,e:10349,h:30,,ABCA10,"ATP binding cassette subfamily A member 10","gene with protein product"
19,T097092,2006,0.9985,p3@TTLL7,e:79739,h:26242,,TTLL7,"tubulin tyrosine ligase like 7","gene with protein product"
20,T091152,2004,0.9985,p4@IRF2BP2,e:359948,h:21729,Q7Z5L9,IRF2BP2,"interferon regulatory factor 2 binding protein 2","gene with protein product"
21,T169719,2005,0.9980,p6@IMMP2L,e:83943,h:14598,C9JQE1,IMMP2L,"inner mitochondrial membrane peptidase subunit 2","gene with protein product"
22,T164174,2007,0.9975,p1@SAPCD1,e:401251,h:13938,Q5SSQ6,SAPCD1,"suppressor APC domain containing 1","gene with protein product"
23,T072145,2005,0.9975,p4@PLEKHJ1,e:55111,h:18211,Q9NW61,PLEKHJ1,"pleckstrin homology domain containing J1","gene with protein product"
