Hs-FAR2,2000,1000,T024438-FAR2,"p11@FAR2"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T160842,2013,1.0000,p12@SYNE1,e:23345,h:17089,F5GXQ8,SYNE1,"spectrin repeat containing nuclear envelope protein 1","gene with protein product"
2,T088420,2007,1.0000,p7@DSTYK,e:25778,h:29043,Q6XUX3,DSTYK,"dual serine/threonine and tyrosine protein kinase","gene with protein product"
3,T177749,2015,1.0000,p4@ICA1,e:3382,h:5343,Q05084,ICA1,"islet cell autoantigen 1","gene with protein product"
4,T132603,2007,1.0000,p5@DGKG,e:1608,h:2853,P49619,DGKG,"diacylglycerol kinase gamma","gene with protein product"
5,T131483,2009,1.0000,p2@PLCL2,e:23228,h:9064,Q9UPR0,PLCL2,"phospholipase C like 2","gene with protein product"
6,T160839,2006,0.9995,p7@SYNE1,e:23345,h:17089,Q8NF91,SYNE1,"spectrin repeat containing nuclear envelope protein 1","gene with protein product"
7,T054594,2009,0.9990,p2@KIAA0513,e:9764,h:29058,B4DSS5,KIAA0513,KIAA0513,"gene with protein product"
8,T164946,2006,0.9990,p9@NUDT3,e:11165,h:8050,O95989,NUDT3,"nudix hydrolase 3","gene with protein product"
9,T165862,2010,0.9985,p6@UBR2,e:23304,h:21289,Q8IWV8,UBR2,"ubiquitin protein ligase E3 component n-recognin 2","gene with protein product"
10,T116547,2007,0.9985,p10@INPP1,e:3628,h:6071,E7EUX4,INPP1,"inositol polyphosphate-1-phosphatase","gene with protein product"
11,T135401,2008,0.9980,p4@CAMP,e:820,h:1472,P49913,CAMP,"cathelicidin antimicrobial peptide","gene with protein product"
12,T122624,2008,0.9980,p3@HNRPLL,e:92906,h:25127,"C9IYN3,A8K894,Q8WVV9",HNRNPLL,"heterogeneous nuclear ribonucleoprotein L like","gene with protein product"
13,T021618,2007,0.9980,p4@TESC,e:54997,h:26065,E9PQ58,TESC,tescalcin,"gene with protein product"
14,T012490,2002,0.9980,p5@TSG101,e:7251,h:15971,,TSG101,"tumor susceptibility 101","gene with protein product"
