Hs-FBXL12,2000,1000,T079639-FBXL12,"p5@FBXL12"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T176424,2007,1.0000,p40@ACTB,e:60,h:132,C9JUM1,ACTB,"actin beta","gene with protein product"
2,T017759,2009,0.9990,p8@GAL,e:51083,h:4114,,GAL,"galanin and GMAP prepropeptide","gene with protein product"
3,T142114,2007,0.9990,p3@SPATA4,e:132851,h:17333,Q8NEY3,SPATA4,"spermatogenesis associated 4","gene with protein product"
4,T166484,2006,0.9985,p12@GPR116,e:221395,h:19030,,ADGRF5,"adhesion G protein-coupled receptor F5","gene with protein product"
5,T190517,1997,0.9970,p39@NUP214,e:8021,h:8064,,NUP214,"nucleoporin 214","gene with protein product"
6,T143274,1997,0.9965,p2@TNIP2,e:79155,h:19118,Q8NFZ5,TNIP2,"TNFAIP3 interacting protein 2","gene with protein product"
7,T132213,1994,0.9950,p32@B3GNT5,e:84002,h:15684,C9J368,B3GNT5,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5","gene with protein product"
8,T065917,1999,0.9945,p8@C18orf1,e:753,h:1224,O15165,LDLRAD4,"low density lipoprotein receptor class A domain containing 4","gene with protein product"
9,T003715,1995,0.9940,p16@APBB1IP,e:54518,h:17379,B4E100,APBB1IP,"amyloid beta precursor protein binding family B member 1 interacting protein","gene with protein product"
10,T080294,1999,0.9935,p20@CSF1,e:1435,h:2432,,CSF1,"colony stimulating factor 1","gene with protein product"
11,T072841,1990,0.9915,p7@C19orf77,e:284422,h:37244,O75264,SMIM24,"small integral membrane protein 24","gene with protein product"
12,T143273,1991,0.9905,p6@TNIP2,e:79155,h:19118,,TNIP2,"TNFAIP3 interacting protein 2","gene with protein product"
13,T162746,1990,0.9905,p9@C6orf62,e:81688,h:20998,B4DWX7,C6orf62,"chromosome 6 open reading frame 62","gene with protein product"
14,T108662,1984,0.9885,p4@H1F0,e:3005,h:4714,F5H022,H1F0,"H1 histone family member 0","gene with protein product"
15,T015503,1984,0.9880,p15@SLC15A3,e:51296,h:18068,"Q05CH4,F5H1C8",SLC15A3,"solute carrier family 15 member 3","gene with protein product"
16,T057771,1987,0.9876,p1@ARL5C,e:390790,h:31111,A6NH57,ARL5C,"ADP ribosylation factor like GTPase 5C","gene with protein product"
17,T067583,1981,0.9861,p13@MYO5B,e:4645,h:7603,"Q9ULV0,Q7Z7A5,Q9H6Y6",MYO5B,"myosin VB","gene with protein product"
18,T151008,1983,0.9856,p10@SLC36A1,e:206358,h:18761,E5RI40,SLC36A1,"solute carrier family 36 member 1","gene with protein product"
19,T014078,1975,0.9836,p1@RAG1,e:5896,h:9831,P15918,RAG1,"recombination activating 1","gene with protein product"
20,T187324,1971,0.9826,p5@TP53INP1,e:94241,h:18022,,TP53INP1,"tumor protein p53 inducible nuclear protein 1","gene with protein product"
21,T032901,1970,0.9811,p25@PROSER1,e:80209,h:20291,Q5JS36,PROSER1,"proline and serine rich 1","gene with protein product"
22,T112154,1966,0.9796,p5@MZT2B,e:80097,h:25886,,MZT2B,"mitotic spindle organizing protein 2B","gene with protein product"
23,T034086,1964,0.9786,p21@DACH1,e:1602,h:2663,Q9UI36,DACH1,"dachshund family transcription factor 1","gene with protein product"
24,T134329,1959,0.9766,p42@ARPP21,e:10777,h:16968,C9JQQ6,ARPP21,"cAMP regulated phosphoprotein 21","gene with protein product"
25,T125938,1957,0.9761,p8@RMND5A,e:64795,h:25850,,RMND5A,"required for meiotic nuclear division 5 homolog A","gene with protein product"
26,T127857,1963,0.9756,p9@ARHGAP31,e:57514,h:29216,Q2M1Z3,ARHGAP31,"Rho GTPase activating protein 31","gene with protein product"
27,T163171,1958,0.9756,p8@ZNF165,e:7718,h:12953,,ZNF165,"zinc finger protein 165","gene with protein product"
28,T003717,1954,0.9741,p19@APBB1IP,e:54518,h:17379,B4E100,APBB1IP,"amyloid beta precursor protein binding family B member 1 interacting protein","gene with protein product"
29,T156529,1950,0.9706,p17@MEF2C,e:4208,h:6996,"D7F7N5,D8L7E9",MEF2C,"myocyte enhancer factor 2C","gene with protein product"
30,T135018,1947,0.9701,p3@CCR9,e:10803,h:1610,C9JWC0,CCR9,"C-C motif chemokine receptor 9","gene with protein product"
31,T060897,1949,0.9697,p15@C17orf67,e:339210,h:27900,,C17orf67,"chromosome 17 open reading frame 67","gene with protein product"
32,T021269,1940,0.9661,p3@IQCD,e:115811,h:25168,,IQCD,"IQ motif containing D","gene with protein product"
33,T014074,1941,0.9647,p4@RAG1,e:5896,h:9831,P15918,RAG1,"recombination activating 1","gene with protein product"
34,T084086,1935,0.9646,p1@OR10R3P,,h:14829,,OR10R3P,"olfactory receptor family 10 subfamily R member 3 pseudogene",pseudogene
35,T046344,1933,0.9636,p3@PML,e:5371,h:9113,"P29590,E9PBR7,Q59H09",PML,"promyelocytic leukemia","gene with protein product"
36,T021214,1939,0.9632,p9@OAS1,e:4938,h:8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
37,T166679,1929,0.9597,p11@PAQR8,e:85315,h:15708,"Q8TEZ7,B3KXW6",PAQR8,"progestin and adipoQ receptor family member 8","gene with protein product"
38,T105496,1916,0.9566,p2@TFF3,e:7033,h:11757,"Q07654,E9PBB5",TFF3,"trefoil factor 3","gene with protein product"
39,T060135,1919,0.9562,p9@ZNF652,e:22834,h:29147,D6RF85,ZNF652,"zinc finger protein 652","gene with protein product"
40,T130231,1915,0.9542,p9@TM4SF4,e:7104,h:11856,,TM4SF4,"transmembrane 4 L six family member 4","gene with protein product"
41,T130230,1916,0.9532,p3@TM4SF4,e:7104,h:11856,,TM4SF4,"transmembrane 4 L six family member 4","gene with protein product"
42,T165563,1908,0.9507,p5@KCNK17,e:89822,h:14465,Q96T54,KCNK17,"potassium two pore domain channel subfamily K member 17","gene with protein product"
43,T130228,1901,0.9481,p11@TM4SF4,e:7104,h:11856,,TM4SF4,"transmembrane 4 L six family member 4","gene with protein product"
44,T190518,1899,0.9457,p31@NUP214,e:8021,h:8064,,NUP214,"nucleoporin 214","gene with protein product"
45,T198417,1897,0.9457,p119@FLNA,e:2316,h:3754,"E9KL45,P21333,Q60FE5,Q6NXF2,Q8TES4",FLNA,"filamin A","gene with protein product"
46,T130229,1899,0.9443,p5@TM4SF4,e:7104,h:11856,,TM4SF4,"transmembrane 4 L six family member 4","gene with protein product"
47,T190519,1893,0.9427,p37@NUP214,e:8021,h:8064,,NUP214,"nucleoporin 214","gene with protein product"
48,T046623,1888,0.9426,p7@SIN3A,e:25942,h:19353,Q96ST3,SIN3A,"SIN3 transcription regulator family member A","gene with protein product"
49,T014077,1886,0.9402,p2@RAG1,e:5896,h:9831,P15918,RAG1,"recombination activating 1","gene with protein product"
50,T017325,1885,0.9397,p4@ZDHHC24,e:254359,h:27387,E9PLR9,ZDHHC24,"zinc finger DHHC-type containing 24","gene with protein product"
51,T183999,1875,0.9361,p11@HMBOX1,e:79618,h:26137,E5RGZ2,HMBOX1,"homeobox containing 1","gene with protein product"
52,T163063,1876,0.9357,p3@PRSS16,e:10279,h:9480,"F2Z2N5,B4DZV2",PRSS16,"protease, serine 16","gene with protein product"
53,T124993,1883,0.9354,p33@DYSF,e:8291,h:3097,,DYSF,dysferlin,"gene with protein product"
54,T049691,1871,0.9327,p5@DCUN1D3,e:123879,h:28734,Q8IWE4,DCUN1D3,"defective in cullin neddylation 1 domain containing 3","gene with protein product"
55,T143561,1871,0.9322,p14@TBC1D1,e:23216,h:11578,"B9A6J6,Q7Z6H2,Q86TI0,Q8NC59",TBC1D1,"TBC1 domain family member 1","gene with protein product"
56,T074679,1876,0.9319,p1@CEACAM7,e:1087,h:1819,"Q14002,P40199",CEACAM7,"carcinoembryonic antigen related cell adhesion molecule 7","gene with protein product"
57,T001311,1866,0.9311,p8@VWA2,e:340706,h:24709,Q5GFL6,VWA2,"von Willebrand factor A domain containing 2","gene with protein product"
58,T053104,1869,0.9308,p7@ATP6V0D1,e:9114,h:13724,,ATP6V0D1,"ATPase H+ transporting V0 subunit d1","gene with protein product"
59,T050087,1865,0.9297,p1@AQP8,e:343,h:642,O94778,AQP8,"aquaporin 8","gene with protein product"
60,T074678,1866,0.9293,p2@CEACAM7,e:1087,h:1819,"Q14002,P40199",CEACAM7,"carcinoembryonic antigen related cell adhesion molecule 7","gene with protein product"
61,T135017,1860,0.9268,p1@CCR9,e:10803,h:1610,C9JWC0,CCR9,"C-C motif chemokine receptor 9","gene with protein product"
62,T108513,1852,0.9228,p6@C1QTNF6,e:114904,h:14343,,C1QTNF6,"C1q and tumor necrosis factor related protein 6","gene with protein product"
63,T038928,1849,0.9217,p1@RPL13AP3,,h:23539,,RPL13AP3,"ribosomal protein L13a pseudogene 3",pseudogene
64,T111593,1849,0.9208,p2@INSIG2,e:51141,h:20452,Q9Y5U4,INSIG2,"insulin induced gene 2","gene with protein product"
65,T083990,1839,0.9149,p11@CD1A,e:909,h:1634,P06126,CD1A,"CD1a molecule","gene with protein product"
66,T171930,1831,0.9119,p1@TRBV8-2,,h:12245,,TRBV8-2,"T cell receptor beta variable 8-2 (pseudogene)","T cell receptor pseudogene"
67,T092911,1821,0.9073,p3@WASF2,e:10163,h:12733,Q9Y6W5,WASF2,"WAS protein family member 2","gene with protein product"
68,T146159,1818,0.9036,p13@PRKG2,e:5593,h:9416,E7EPE6,PRKG2,"protein kinase, cGMP-dependent, type II","gene with protein product"
69,T162044,1808,0.9008,p2@FRMD1,e:79981,h:21240,F5GXR0,FRMD1,"FERM domain containing 1","gene with protein product"
70,T045071,1804,0.8993,p7@MYO1E,e:4643,h:7599,,MYO1E,"myosin IE","gene with protein product"
71,T091854,1805,0.8989,p7@CEP170,e:9859,h:28920,"E7ES90,F8W8A3,Q5SW79",CEP170,"centrosomal protein 170","gene with protein product"
72,T124995,1805,0.8980,p19@DYSF,e:8291,h:3097,,DYSF,dysferlin,"gene with protein product"
73,T003713,1806,0.8967,p6@APBB1IP,e:54518,h:17379,B4E100,APBB1IP,"amyloid beta precursor protein binding family B member 1 interacting protein","gene with protein product"
74,T163437,1798,0.8954,p2@HLA-K,,h:4969,,HLA-K,"major histocompatibility complex, class I, K (pseudogene)",pseudogene
75,T125961,1788,0.8900,p3@CD8A,e:925,h:1706,"P01732,B4DT80",CD8A,"CD8a molecule","gene with protein product"
