Hs-GDF15,2000,1000,T071533-GDF15,"p5@GDF15"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T139188,2006,1.0000,p18@SPON2,e:10417,h:11253,"D6RB12,Q9BUD6",SPON2,"spondin 2","gene with protein product"
2,T071531,2011,1.0000,p4@GDF15,e:9518,h:30142,Q99988,GDF15,"growth differentiation factor 15","gene with protein product"
3,T071529,2008,1.0000,p9@GDF15,e:9518,h:30142,Q99988,GDF15,"growth differentiation factor 15","gene with protein product"
4,T089231,2009,0.9995,p2@KIF17,e:57576,h:19167,,KIF17,"kinesin family member 17","gene with protein product"
5,T000102,2007,0.9990,p1@SNORA12,e:677800,h:32600,,SNORA12,"small nucleolar RNA, H/ACA box 12","RNA, small nucleolar"
6,T071528,2005,0.9990,p1@GDF15,e:9518,h:30142,Q99988,GDF15,"growth differentiation factor 15","gene with protein product"
7,T050052,2001,0.9990,p6@ARHGAP17,e:55114,h:18239,,ARHGAP17,"Rho GTPase activating protein 17","gene with protein product"
8,T071532,2007,0.9985,p2@GDF15,e:9518,h:30142,Q99988,GDF15,"growth differentiation factor 15","gene with protein product"
9,T076572,2004,0.9985,p8@BAX,e:581,h:959,,BAX,"BCL2 associated X, apoptosis regulator","gene with protein product"
10,T184773,2004,0.9985,p12@ANK1,e:286,h:492,,ANK1,"ankyrin 1","gene with protein product"
11,T148512,2011,0.9980,p1@CSF2,e:1437,h:2434,P04141,CSF2,"colony stimulating factor 2","gene with protein product"
12,T036947,2000,0.9980,p17@AJUBA,e:84962,h:20250,G3V5F5,AJUBA,"ajuba LIM protein","gene with protein product"
13,T174481,2005,0.9975,p23@GNA12,e:2768,h:4380,,GNA12,"G protein subunit alpha 12","gene with protein product"
14,T045227,2000,0.9970,p1@C2CD4B,e:388125,h:33628,A6NLJ0,C2CD4B,"C2 calcium dependent domain containing 4B","gene with protein product"
15,T071530,1999,0.9970,p3@GDF15,e:9518,h:30142,Q99988,GDF15,"growth differentiation factor 15","gene with protein product"
16,T049701,1999,0.9960,p14@LYRM1,e:57149,h:25074,O43325,LYRM1,"LYR motif containing 1","gene with protein product"
17,T085449,1999,0.9960,p1@SELE,e:6401,h:10718,"Q5TI72,Q5TI75,Q5TI73,Q5TI74,P16581",SELE,"selectin E","gene with protein product"
18,T057960,2000,0.9955,p4@CSF3,e:1440,h:2438,Q8N4W3,CSF3,"colony stimulating factor 3","gene with protein product"
19,T024842,1995,0.9940,p2@C12orf40,e:283461,h:26846,,C12orf40,"chromosome 12 open reading frame 40","gene with protein product"
20,T094635,1996,0.9935,p6@HYI,e:81888,h:26948,,HYI,"hydroxypyruvate isomerase (putative)","gene with protein product"
21,T168155,1992,0.9930,p5@TBX18,e:9096,h:11595,,TBX18,"T-box 18","gene with protein product"
22,T189751,1996,0.9925,p1@RPL12,e:6136,h:10302,P30050,RPL12,"ribosomal protein L12","gene with protein product"
23,T094634,1995,0.9916,p7@HYI,e:81888,h:26948,,HYI,"hydroxypyruvate isomerase (putative)","gene with protein product"
24,T153036,1991,0.9915,p1@SQSTM1,e:8878,h:11280,"C9J6J8,E7ERP8,E3W990",SQSTM1,"sequestosome 1","gene with protein product"
