Hs-GHITM,2000,1000,T007575-GHITM,"p4@GHITM"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T144403,2009,1.0000,p3@SRD5A3,e:79644,h:25812,,SRD5A3,"steroid 5 alpha-reductase 3","gene with protein product"
2,T191172,2012,1.0000,p8@C9orf116,e:138162,h:28435,,C9orf116,"chromosome 9 open reading frame 116","gene with protein product"
3,T149338,2012,1.0000,p30@CTNNA1,e:1495,h:2509,,CTNNA1,"catenin alpha 1","gene with protein product"
4,T116183,2005,1.0000,p4@NCKAP1,e:10787,h:7666,Q9Y2A7,NCKAP1,"NCK associated protein 1","gene with protein product"
5,T171361,2006,1.0000,p1@LUZP6,e:767558,h:33955,Q9H388,LUZP6,"leucine zipper protein 6","gene with protein product"
6,T061292,2007,1.0000,p4@CLTC,e:1213,h:2092,,CLTC,"clathrin heavy chain","gene with protein product"
7,T058374,2008,1.0000,p3@KRT34,e:3885,h:6452,O76011,KRT34,"keratin 34","gene with protein product"
8,T106891,2006,0.9995,p8@PRAME,e:23532,h:9336,P78395,PRAME,"preferentially expressed antigen in melanoma","gene with protein product"
9,T117082,2014,0.9990,p3@C2orf47,e:79568,h:26198,,MAIP1,"matrix AAA peptidase interacting protein 1","gene with protein product"
10,T038248,2014,0.9990,p4@PRPF39,e:55015,h:20314,F5H1P0,PRPF39,"pre-mRNA processing factor 39","gene with protein product"
11,T109251,2012,0.9990,p10@NHP2L1,e:4809,h:7819,"P55769,Q6FHM6",SNU13,"SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)","gene with protein product"
12,T102869,2011,0.9990,p12@GNAS,e:2778,h:4392,,GNAS,"GNAS complex locus","gene with protein product"
13,T167728,2010,0.9990,p15@COL12A1,e:1303,h:2188,,COL12A1,"collagen type XII alpha 1 chain","gene with protein product"
14,T117112,2009,0.9990,p8@SPATS2L,e:26010,h:24574,,SPATS2L,"spermatogenesis associated serine rich 2 like","gene with protein product"
15,T190031,2009,0.9990,p3@GOLGA2,e:2801,h:4425,Q08379,GOLGA2,"golgin A2","gene with protein product"
16,T196850,2009,0.9990,p16@MCTS1,e:28985,h:23357,Q9ULC4,MCTS1,"MCTS1, re-initiation and release factor","gene with protein product"
17,T116681,2008,0.9990,p7@MYO1B,e:4430,h:7596,,MYO1B,"myosin IB","gene with protein product"
18,T020315,2007,0.9990,p3@C12orf73,e:728568,h:34450,F8VQR3,C12orf73,"chromosome 12 open reading frame 73","gene with protein product"
19,T132570,2007,0.9990,p3@TRA2B,e:6434,h:10781,,TRA2B,"transformer 2 beta homolog (Drosophila)","gene with protein product"
20,T178931,2007,0.9990,p3@TAF6,e:6878,h:11540,,TAF6,"TATA-box binding protein associated factor 6","gene with protein product"
21,T146610,2006,0.9990,p16@AFF1,e:4299,h:7135,,AFF1,"AF4/FMR2 family member 1","gene with protein product"
22,T049981,2006,0.9990,p23@PRKCB,e:5579,h:9395,,PRKCB,"protein kinase C beta","gene with protein product"
23,T116527,2006,0.9990,p7@C2orf88,e:84281,h:28191,Q9BSF0,C2orf88,"chromosome 2 open reading frame 88","gene with protein product"
24,T093421,2006,0.9990,p5@PTP4A2,e:8073,h:9635,E9PRR9,PTP4A2,"protein tyrosine phosphatase type IVA, member 2","gene with protein product"
25,T149977,2005,0.9990,p23@NR3C1,e:2908,h:7978,"B6ZGU6,F5ATB7,F5ATB8,F1D8N4",NR3C1,"nuclear receptor subfamily 3 group C member 1","gene with protein product"
26,T161890,2005,0.9990,p5@BRP44L,e:51660,h:21606,Q9Y5U8,MPC1,"mitochondrial pyruvate carrier 1","gene with protein product"
27,T121918,2005,0.9990,p1@SNORD53,e:26796,h:10203,,SNORD53,"small nucleolar RNA, C/D box 53","RNA, small nucleolar"
28,T001826,2005,0.9990,p4@CDC123,e:8872,h:16827,,CDC123,"cell division cycle 123","gene with protein product"
29,T000467,2005,0.9990,p3@ACTR1A,e:10121,h:167,,ACTR1A,"ARP1 actin-related protein 1 homolog A, centractin alpha","gene with protein product"
30,T138371,2005,0.9990,p15@FGFRL1,e:53834,h:3693,Q9NWZ1,FGFRL1,"fibroblast growth factor receptor-like 1","gene with protein product"
31,T117186,2004,0.9990,p4@PPIL3,e:53938,h:9262,Q9H2H8,PPIL3,"peptidylprolyl isomerase like 3","gene with protein product"
32,T064166,2003,0.9990,p9@TIMP2,e:7077,h:11821,,TIMP2,"TIMP metallopeptidase inhibitor 2","gene with protein product"
33,T139426,2003,0.9990,p3@ANXA5,e:308,h:543,,ANXA5,"annexin A5","gene with protein product"
34,T111408,2003,0.9990,p5@SLC35F5,e:80255,h:23617,,SLC35F5,"solute carrier family 35 member F5","gene with protein product"
35,T004219,2003,0.9990,p2@PITRM1,e:10531,h:17663,Q5JRX3,PITRM1,"pitrilysin metallopeptidase 1","gene with protein product"
36,T011687,2002,0.9990,p7@TEAD1,e:7003,h:11714,,TEAD1,"TEA domain transcription factor 1","gene with protein product"
37,T164603,2008,0.9985,p27@BRD2,e:6046,h:1103,,BRD2,"bromodomain containing 2","gene with protein product"
38,T091658,2007,0.9985,p4@FMN2,e:56776,h:14074,B4DP05,FMN2,"formin 2","gene with protein product"
39,T087429,2009,0.9980,p23@NEK7,e:140609,h:13386,,NEK7,"NIMA related kinase 7","gene with protein product"
40,T148146,2006,0.9980,p5@SNX2,e:6643,h:11173,,SNX2,"sorting nexin 2","gene with protein product"
41,T063104,2006,0.9980,p5@MIF4GD,e:57409,h:24030,A9UHW6,MIF4GD,"MIF4G domain containing","gene with protein product"
42,T071865,2004,0.9980,p9@GATAD2A,e:54815,h:29989,,GATAD2A,"GATA zinc finger domain containing 2A","gene with protein product"
43,T157779,2003,0.9980,p2@RPF2,e:84154,h:20870,"Q5VXM9,Q9H7B2",RPF2,"ribosome production factor 2 homolog","gene with protein product"
44,T166752,2002,0.9980,p7@ELOVL5,e:60481,h:21308,,ELOVL5,"ELOVL fatty acid elongase 5","gene with protein product"
45,T026762,2002,0.9980,p13@ITGA5,e:3678,h:6141,,ITGA5,"integrin subunit alpha 5","gene with protein product"
46,T033861,2006,0.9975,p7@CKAP2,e:26586,h:1990,C9J649,CKAP2,"cytoskeleton associated protein 2","gene with protein product"
47,T019059,2006,0.9975,p8@CCDC90B,e:60492,h:28108,,CCDC90B,"coiled-coil domain containing 90B","gene with protein product"
48,T014127,2004,0.9975,p7@PGAP2,e:27315,h:17893,,PGAP2,"post-GPI attachment to proteins 2","gene with protein product"
49,T079738,2003,0.9975,p4@RTCD1,e:8634,h:17981,A6NIC1,RTCA,"RNA 3'-terminal phosphate cyclase","gene with protein product"
50,T127788,2003,0.9975,p35@VGLL4,e:9686,h:28966,"G5E9M7,Q14135",VGLL4,"vestigial like family member 4","gene with protein product"
51,T020979,2002,0.9975,p6@C12orf24,e:29902,h:30180,F8VXY8,FAM216A,"family with sequence similarity 216 member A","gene with protein product"
52,T139421,2001,0.9975,p6@ANXA5,e:308,h:543,,ANXA5,"annexin A5","gene with protein product"
53,T114684,2000,0.9975,p5@GORASP2,e:26003,h:17500,,GORASP2,"golgi reassembly stacking protein 2","gene with protein product"
54,T017322,2008,0.9970,p18@ILK,e:3611,h:6040,,ILK,"integrin linked kinase","gene with protein product"
55,T015198,2004,0.9970,p7@LPXN,e:9404,h:14061,,LPXN,leupaxin,"gene with protein product"
56,T113914,2004,0.9970,p16@MARCH7,e:64844,h:17393,Q9H992,MARCH7,"membrane associated ring-CH-type finger 7","gene with protein product"
57,T025136,2001,0.9970,p21@ANO6,e:196527,h:25240,,ANO6,"anoctamin 6","gene with protein product"
58,T178477,1999,0.9970,p11@PEG10,e:23089,h:14005,,PEG10,"paternally expressed 10","gene with protein product"
59,T174793,2005,0.9965,p5@GARS,e:2617,h:4162,,GARS,"glycyl-tRNA synthetase","gene with protein product"
60,T070233,2004,0.9965,p21@CALR,e:811,h:1455,,CALR,calreticulin,"gene with protein product"
61,T114803,2004,0.9965,p6@PDK1,e:5163,h:8809,E9PD65,PDK1,"pyruvate dehydrogenase kinase 1","gene with protein product"
62,T168666,2002,0.9965,p3@LRCH4,e:4034,h:6691,,LRCH4,"leucine rich repeats and calponin homology domain containing 4","gene with protein product"
63,T135596,2001,0.9965,p3@USP19,e:10869,h:12617,O94966,USP19,"ubiquitin specific peptidase 19","gene with protein product"
64,T124225,2001,0.9965,p10@UGP2,e:7360,h:12527,C9JQU9,UGP2,"UDP-glucose pyrophosphorylase 2","gene with protein product"
65,T168758,2001,0.9965,p6@SRRT,e:51593,h:24101,Q9BXP5,SRRT,"serrate, RNA effector molecule","gene with protein product"
66,T051571,2000,0.9965,p7@NME4,e:4833,h:7852,,NME4,"NME/NM23 nucleoside diphosphate kinase 4","gene with protein product"
67,T078550,1999,0.9965,p1@VN1R1,e:57191,h:13548,Q9GZP7,VN1R1,"vomeronasal 1 receptor 1","gene with protein product"
68,T098699,1998,0.9965,p4@SNX5,e:27131,h:14969,Q5QPE5,SNX5,"sorting nexin 5","gene with protein product"
69,T014759,1998,0.9965,p5@PTPMT1,e:114971,h:26965,E9PQM0,PTPMT1,"protein tyrosine phosphatase, mitochondrial 1","gene with protein product"
70,T169045,2002,0.9960,p9@CUX1,e:1523,h:2557,,CUX1,"cut like homeobox 1","gene with protein product"
71,T191467,1996,0.9960,p8@FBXW5,e:54461,h:13613,Q969U6,FBXW5,"F-box and WD repeat domain containing 5","gene with protein product"
72,T182179,2004,0.9950,p2@ZC3H3,e:23144,h:28972,Q8IXZ2,ZC3H3,"zinc finger CCCH-type containing 3","gene with protein product"
73,T044744,2004,0.9950,p15@NEDD4,e:4734,h:7727,,NEDD4,"neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase","gene with protein product"
74,T008940,2003,0.9950,p7@TMEM123,e:114908,h:30138,,TMEM123,"transmembrane protein 123","gene with protein product"
75,T004503,2002,0.9950,p13@KLF6,e:1316,h:2235,Q7Z3W8,KLF6,"Kruppel like factor 6","gene with protein product"
76,T009388,1997,0.9950,p70@EIF4G2,e:1982,h:3297,,EIF4G2,"eukaryotic translation initiation factor 4 gamma 2","gene with protein product"
77,T154001,1995,0.9950,p12@DAB2,e:1601,h:2662,B4DNN1,DAB2,"DAB2, clathrin adaptor protein","gene with protein product"
78,T163207,2003,0.9945,p7@ZNF323,e:64288,h:14097,"C9J423,Q6P178,Q96LW9,Q96QL1",ZSCAN31,"zinc finger and SCAN domain containing 31","gene with protein product"
79,T017644,1994,0.9945,p12@GSTP1,e:2950,h:4638,,GSTP1,"glutathione S-transferase pi 1","gene with protein product"
80,T022500,1993,0.9940,p3@TMED2,e:10959,h:16996,,TMED2,"transmembrane p24 trafficking protein 2","gene with protein product"
81,T121167,2001,0.9935,p4@BOK,e:666,h:1087,Q9UMX3,BOK,"BOK, BCL2 family apoptosis regulator","gene with protein product"
82,T127973,1995,0.9935,p2@COX17,e:10063,h:2264,,COX17,"COX17, cytochrome c oxidase copper chaperone","gene with protein product"
83,T092179,1994,0.9935,p8@CNST,e:163882,h:26486,Q6PJW8,CNST,"consortin, connexin sorting protein","gene with protein product"
84,T047959,1993,0.9935,p8@PRC1,e:9055,h:9341,,PRC1,"protein regulator of cytokinesis 1","gene with protein product"
85,T011015,2000,0.9930,p4@HSPA8,e:3312,h:5241,E9PS65,HSPA8,"heat shock protein family A (Hsp70) member 8","gene with protein product"
86,T025170,1998,0.9930,p5@SCAF11,e:9169,h:10784,A8MUK0,SCAF11,"SR-related CTD associated factor 11","gene with protein product"
87,T178467,1992,0.9930,p51@PEG10,e:23089,h:14005,,PEG10,"paternally expressed 10","gene with protein product"
88,T018970,1992,0.9930,p8@PNPLA2,e:57104,h:30802,,PNPLA2,"patatin like phospholipase domain containing 2","gene with protein product"
89,T186179,1994,0.9925,p10@SULF1,e:23213,h:20391,Q9NTJ8,SULF1,"sulfatase 1","gene with protein product"
90,T127418,1991,0.9925,p4@ATG3,e:64422,h:20962,C9JNW8,ATG3,"autophagy related 3","gene with protein product"
91,T087425,1993,0.9920,p11@NEK7,e:140609,h:13386,,NEK7,"NIMA related kinase 7","gene with protein product"
92,T107488,2000,0.9916,p6@RHBDD3,e:25807,h:1308,B0QYJ2,RHBDD3,"rhomboid domain containing 3","gene with protein product"
93,T069967,1990,0.9915,p2@ZNF788,e:388507,h:33112,"Q6ZQV5,C9JB32,Q6ZVS3",ZNF788,"zinc finger family member 788","gene with protein product"
94,T014204,1988,0.9910,p5@RRM1,e:6240,h:10451,,RRM1,"ribonucleotide reductase catalytic subunit M1","gene with protein product"
95,T128868,1987,0.9910,p5@CNBP,e:7555,h:13164,Q6T598,CNBP,"CCHC-type zinc finger nucleic acid binding protein","gene with protein product"
96,T080877,1993,0.9906,p5@CSDE1,e:7812,h:29905,,CSDE1,"cold shock domain containing E1","gene with protein product"
97,T120057,1989,0.9905,p18@NCL,e:4691,h:7667,,NCL,nucleolin,"gene with protein product"
98,T084851,1989,0.9905,p4@FCRLA,e:84824,h:18504,"Q7L513,F8W743,A6NL20,A6NC03,F5H720,F6RF20,G3V1J2,Q6MZF2,Q5VXB1",FCRLA,"Fc receptor like A","gene with protein product"
99,T090607,1985,0.9895,p34@ARF1,e:375,h:652,,ARF1,"ADP ribosylation factor 1","gene with protein product"
