Hs-GOLGA7,2000,1000,T184738-GOLGA7,"p5@GOLGA7"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T020543,2010,0.9990,p31@CKAP4,e:10970,h:16991,,CKAP4,"cytoskeleton associated protein 4","gene with protein product"
2,T190071,2005,0.9990,p12@CERCAM,e:51148,h:23723,B7ZBT0,CERCAM,"cerebral endothelial cell adhesion molecule","gene with protein product"
3,T101246,2003,0.9990,p20@DBNDD2,e:55861,h:15881,Q5QPV6,DBNDD2,"dysbindin domain containing 2","gene with protein product"
4,T063939,2002,0.9985,p1@TMEM235,e:283999,h:27563,A6NFC5,TMEM235,"transmembrane protein 235","gene with protein product"
5,T008558,2003,0.9980,p3@OPALIN,e:93377,h:20707,A8MX69,OPALIN,"oligodendrocytic myelin paranodal and inner loop protein","gene with protein product"
6,T088380,2006,0.9965,p5@NFASC,e:23114,h:29866,,NFASC,neurofascin,"gene with protein product"
7,T047276,1999,0.9965,p3@SH3GL3,e:6457,h:10832,Q99963,SH3GL3,"SH3 domain containing GRB2 like 3, endophilin A3","gene with protein product"
8,T112017,2002,0.9960,p1@GPR17,e:2840,h:4471,Q13304,GPR17,"G protein-coupled receptor 17","gene with protein product"
9,T063950,2004,0.9936,p8@TMEM235,e:283999,h:27563,,TMEM235,"transmembrane protein 235","gene with protein product"
10,T077758,1995,0.9935,p38@MYADM,e:91663,h:7544,C9J5M0,MYADM,"myeloid associated differentiation marker","gene with protein product"
11,T088377,1993,0.9930,p3@NFASC,e:23114,h:29866,,NFASC,neurofascin,"gene with protein product"
12,T171786,1991,0.9915,p2@KIAA1147,e:57189,h:29472,A4D1U4,KIAA1147,KIAA1147,"gene with protein product"
13,T104650,1988,0.9905,p4@OLIG1,e:116448,h:16983,Q8TAK6,OLIG1,"oligodendrocyte transcription factor 1","gene with protein product"
14,T020540,1981,0.9875,p4@TCP11L2,e:255394,h:28627,F8VU20,TCP11L2,"t-complex 11 like 2","gene with protein product"
15,T121233,1981,0.9856,p3@NEU4,e:129807,h:21328,"C9JRN9,C9IZG9,C9J2V4,C9J295",NEU4,"neuraminidase 4","gene with protein product"
16,T030495,1973,0.9855,p4@TMCC3,e:57458,h:29199,"G3V207,Q9ULS5",TMCC3,"transmembrane and coiled-coil domain family 3","gene with protein product"
17,T184735,1976,0.9836,p8@GOLGA7,e:51125,h:24876,,GOLGA7,"golgin A7","gene with protein product"
18,T019562,1980,0.9826,p5@DENND5A,e:23258,h:19344,"E9PS91,E9PIS3",DENND5A,"DENN domain containing 5A","gene with protein product"
19,T108882,1977,0.9821,p8@SUN2,e:25777,h:14210,"B4E2A6,Q9UH99",SUN2,"Sad1 and UNC84 domain containing 2","gene with protein product"
20,T008556,1969,0.9816,p4@OPALIN,e:93377,h:20707,A8MX69,OPALIN,"oligodendrocytic myelin paranodal and inner loop protein","gene with protein product"
21,T051856,1968,0.9815,p2@PAPD5,e:64282,h:30758,,PAPD5,"poly(A) RNA polymerase D5, non-canonical","gene with protein product"
22,T008554,1968,0.9806,p5@OPALIN,e:93377,h:20707,A8MX69,OPALIN,"oligodendrocytic myelin paranodal and inner loop protein","gene with protein product"
23,T061196,1968,0.9806,p9@SEPT4,e:5414,h:9165,,SEPT4,"septin 4","gene with protein product"
24,T072996,1969,0.9801,p2@HPN,e:3249,h:5155,B7Z1L4,HPN,hepsin,"gene with protein product"
25,T072997,1971,0.9791,p3@HPN,e:3249,h:5155,,HPN,hepsin,"gene with protein product"
