Hs-GPAA1,2000,1000,T182375-GPAA1,"p2@GPAA1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T182374,2006,1.0000,p1@GPAA1,e:8733,h:4446,"O43292,E9PPZ9,E9PQ31,E9PLV6,E9PM11,E9PM94",GPAA1,"glycosylphosphatidylinositol anchor attachment 1","gene with protein product"
2,T176679,2007,1.0000,p2@KDELR2,e:11014,h:6305,,KDELR2,"KDEL endoplasmic reticulum protein retention receptor 2","gene with protein product"
3,T153007,2010,1.0000,p10@MGAT4B,e:11282,h:7048,,MGAT4B,"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B","gene with protein product"
4,T110137,2011,1.0000,p10@LMF2,e:91289,h:25096,,LMF2,"lipase maturation factor 2","gene with protein product"
5,T016488,2008,1.0000,p7@SMPD1,e:6609,h:11120,P17405,SMPD1,"sphingomyelin phosphodiesterase 1","gene with protein product"
6,T016485,2008,1.0000,p11@SMPD1,e:6609,h:11120,,SMPD1,"sphingomyelin phosphodiesterase 1","gene with protein product"
7,T135515,2016,1.0000,p5@PRKAR2A,e:5576,h:9391,Q9BUB1,PRKAR2A,"protein kinase cAMP-dependent type II regulatory subunit alpha","gene with protein product"
8,T182376,2011,1.0000,p7@GPAA1,e:8733,h:4446,,GPAA1,"glycosylphosphatidylinositol anchor attachment 1","gene with protein product"
9,T166053,2009,1.0000,p8@YIPF3,e:25844,h:21023,,YIPF3,"Yip1 domain family member 3","gene with protein product"
10,T017098,2009,1.0000,p17@EFEMP2,e:30008,h:3219,,EFEMP2,"EGF containing fibulin like extracellular matrix protein 2","gene with protein product"
11,T010193,2008,1.0000,p14@BACE1,e:23621,h:933,,BACE1,"beta-secretase 1","gene with protein product"
12,T071265,2008,1.0000,p2@PGLS,e:25796,h:8903,,PGLS,6-phosphogluconolactonase,"gene with protein product"
13,T137983,2013,1.0000,"p2@ARPC4-TTLL3,p4@TTLL3","e:100526693,e:26140","h:38830,h:24483",,ARPC4-TTLL3,"ARPC4-TTLL3 readthrough",readthrough
14,T173538,2013,0.9995,p5@FAM20C,e:56975,h:22140,Q8IXL6,FAM20C,"FAM20C, golgi associated secretory pathway kinase","gene with protein product"
15,T198073,2011,0.9995,p5@SLC25A6,e:293,h:10992,P12236,SLC25A6,"solute carrier family 25 member 6","gene with protein product"
16,T064934,2008,0.9995,p5@ARHGDIA,e:396,h:678,,ARHGDIA,"Rho GDP dissociation inhibitor alpha","gene with protein product"
17,T100279,2006,0.9995,p21@DLGAP4,e:22839,h:24476,,DLGAP4,"DLG associated protein 4","gene with protein product"
18,T057745,2005,0.9995,p7@LASP1,e:3927,h:6513,,LASP1,"LIM and SH3 protein 1","gene with protein product"
19,T051795,2004,0.9995,p13@UBN1,e:29855,h:12506,Q9NPG3,UBN1,"ubinuclein 1","gene with protein product"
20,T108598,2013,0.9990,p5@CDC42EP1,e:11135,h:17014,,CDC42EP1,"CDC42 effector protein 1","gene with protein product"
21,T021667,2011,0.9990,p4@WSB2,e:55884,h:19222,,WSB2,"WD repeat and SOCS box containing 2","gene with protein product"
22,T080434,2011,0.9990,p4@SRM,e:6723,h:11296,,SRM,"spermidine synthase","gene with protein product"
23,T121114,2010,0.9990,p7@HDLBP,e:3069,h:4857,,HDLBP,"high density lipoprotein binding protein","gene with protein product"
24,T062714,2010,0.9990,p6@CTDNEP1,e:23399,h:19085,O95476,CTDNEP1,"CTD nuclear envelope phosphatase 1","gene with protein product"
25,T064173,2009,0.9990,p2@TIMP2,e:7077,h:11821,,TIMP2,"TIMP metallopeptidase inhibitor 2","gene with protein product"
26,T189940,2009,0.9990,p8@FAM102A,e:399665,h:31419,Q5T9C2,FAM102A,"family with sequence similarity 102 member A","gene with protein product"
27,T043828,2009,0.9990,p2@ACTBP7,,h:140,,ACTBP7,"actin, beta pseudogene 7",pseudogene
28,T198270,2009,0.9990,p4@SSR4,e:6748,h:11326,,SSR4,"signal sequence receptor subunit 4","gene with protein product"
29,T151080,2009,0.9990,p4@SPARC,e:6678,h:11219,,SPARC,"secreted protein acidic and cysteine rich","gene with protein product"
30,T107063,2009,0.9990,p3@MIF,e:4282,h:7097,,MIF,"macrophage migration inhibitory factor (glycosylation-inhibiting factor)","gene with protein product"
31,T016943,2008,0.9990,p5@SCYL1,e:57410,h:14372,,SCYL1,"SCY1 like pseudokinase 1","gene with protein product"
32,T052652,2006,0.9990,p3@CSNK2A2,e:1459,h:2459,P19784,CSNK2A2,"casein kinase 2 alpha 2","gene with protein product"
33,T198321,2006,0.9990,p4@IRAK1,e:3654,h:6112,,IRAK1,"interleukin 1 receptor associated kinase 1","gene with protein product"
34,T094247,2006,0.9990,p5@PABPC4,e:8761,h:8557,Q13310,PABPC4,"poly(A) binding protein cytoplasmic 4","gene with protein product"
35,T000491,2006,0.9990,p4@TRIM8,e:81603,h:15579,Q9BZR9,TRIM8,"tripartite motif containing 8","gene with protein product"
36,T094246,2005,0.9990,p4@PABPC4,e:8761,h:8557,Q4VC03,PABPC4,"poly(A) binding protein cytoplasmic 4","gene with protein product"
37,T022454,2005,0.9990,p9@CDK2AP1,e:8099,h:14002,O14519,CDK2AP1,"cyclin dependent kinase 2 associated protein 1","gene with protein product"
38,T136565,2005,0.9990,p5@ARF4,e:378,h:655,,ARF4,"ADP ribosylation factor 4","gene with protein product"
39,T017099,2005,0.9990,p11@EFEMP2,e:30008,h:3219,,EFEMP2,"EGF containing fibulin like extracellular matrix protein 2","gene with protein product"
40,T047559,2005,0.9990,p7@MFGE8,e:4240,h:7036,,MFGE8,"milk fat globule-EGF factor 8 protein","gene with protein product"
41,T106694,2005,0.9990,p7@SCARF2,e:91179,h:19869,,SCARF2,"scavenger receptor class F member 2","gene with protein product"
42,T007894,2004,0.9990,p14@ACTA2,e:59,h:130,F6UVQ4,ACTA2,"actin, alpha 2, smooth muscle, aorta","gene with protein product"
43,T097445,2004,0.9990,p7@LMO4,e:8543,h:6644,,LMO4,"LIM domain only 4","gene with protein product"
44,T016950,2004,0.9990,p19@LTBP3,e:4054,h:6716,,LTBP3,"latent transforming growth factor beta binding protein 3","gene with protein product"
45,T110135,2004,0.9990,p9@LMF2,e:91289,h:25096,,LMF2,"lipase maturation factor 2","gene with protein product"
46,T090676,2003,0.9990,p3@RNF187,e:149603,h:27146,Q9BVY4,RNF187,"ring finger protein 187","gene with protein product"
47,T059423,2003,0.9990,p5@PLCD3,e:113026,h:9061,,PLCD3,"phospholipase C delta 3","gene with protein product"
48,T098461,2003,0.9990,p5@PSMF1,e:9491,h:9571,,PSMF1,"proteasome inhibitor subunit 1","gene with protein product"
49,T082254,2003,0.9990,p8@CERS2,e:29956,h:14076,,CERS2,"ceramide synthase 2","gene with protein product"
50,T062456,2003,0.9990,p7@C17orf49,e:124944,h:28737,,C17orf49,"chromosome 17 open reading frame 49","gene with protein product"
51,T160106,2003,0.9990,p3@FUCA2,e:2519,h:4008,,FUCA2,"fucosidase, alpha-L- 2, plasma","gene with protein product"
52,T016362,2002,0.9990,p5@VEGFB,e:7423,h:12681,P49765,VEGFB,"vascular endothelial growth factor B","gene with protein product"
53,T019316,2002,0.9990,p5@PRSS23,e:11098,h:14370,O95084,PRSS23,"protease, serine 23","gene with protein product"
54,T152747,2002,0.9990,p8@PRR7,e:80758,h:28130,,PRR7,"proline rich 7, synaptic","gene with protein product"
55,T043801,2001,0.9990,p15@SERF2,e:10169,h:10757,B5MCG1,SERF2,"small EDRK-rich factor 2","gene with protein product"
56,T100659,2001,0.9990,p2@CENPB,e:1059,h:1852,P07199,CENPB,"centromere protein B","gene with protein product"
57,T090316,1999,0.9990,p12@DEGS1,e:8560,h:13709,O15121,DEGS1,"delta 4-desaturase, sphingolipid 1","gene with protein product"
58,T017239,2009,0.9985,p9@YIF1A,e:10897,h:16688,,YIF1A,"Yip1 interacting factor homolog A, membrane trafficking protein","gene with protein product"
59,T065098,2007,0.9985,p5@RFNG,e:5986,h:9974,,RFNG,"RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase","gene with protein product"
60,T063024,2005,0.9985,p6@PLSCR3,e:57048,h:16495,,PLSCR3,"phospholipid scramblase 3","gene with protein product"
