Hs-GPX1,2000,1000,T135637-GPX1,"p6@GPX1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T093356,2011,1.0000,p9@SERINC2,e:347735,h:23231,Q96IM8,SERINC2,"serine incorporator 2","gene with protein product"
2,T026184,2008,1.0000,p8@KRT6A,e:3853,h:6443,P02538,KRT6A,"keratin 6A","gene with protein product"
3,T082811,2009,0.9995,p4@S100A2,e:6273,h:10492,P29034,S100A2,"S100 calcium binding protein A2","gene with protein product"
4,T026225,2007,0.9995,p6@KRT5,e:3852,h:6442,,KRT5,"keratin 5","gene with protein product"
5,T068342,2013,0.9990,p9@SERPINB13,e:5275,h:8944,Q9UIV8,SERPINB13,"serpin family B member 13","gene with protein product"
6,T087746,2007,0.9990,p8@PHLDA3,e:23612,h:8934,,PHLDA3,"pleckstrin homology like domain family A member 3","gene with protein product"
7,T045788,2001,0.9990,p22@SMAD3,e:4088,h:6769,,SMAD3,"SMAD family member 3","gene with protein product"
8,T001431,2008,0.9980,p1@PNLIPRP3,e:119548,h:23492,Q17RR3,PNLIPRP3,"pancreatic lipase related protein 3","gene with protein product"
9,T178842,2006,0.9980,p7@ZNF655,e:79027,h:30899,,ZNF655,"zinc finger protein 655","gene with protein product"
10,T047270,2009,0.9975,p4@BNC1,e:646,h:1081,Q01954,BNC1,"basonuclin 1","gene with protein product"
11,T062774,2004,0.9975,p3@EIF5A,e:1984,h:3300,"P63241,Q6IS14",EIF5A,"eukaryotic translation initiation factor 5A","gene with protein product"
12,T026230,2003,0.9975,p9@KRT5,e:3852,h:6442,,KRT5,"keratin 5","gene with protein product"
13,T026234,2002,0.9965,p7@KRT5,e:3852,h:6442,P13647,KRT5,"keratin 5","gene with protein product"
14,T034155,1996,0.9965,p9@KLF5,e:688,h:6349,,KLF5,"Kruppel like factor 5","gene with protein product"
15,T083163,1999,0.9955,p22@SHC1,e:6464,h:10840,Q5T187,SHC1,"SHC adaptor protein 1","gene with protein product"
16,T167655,2001,0.9935,p8@CD109,e:135228,h:21685,Q6YHK3,CD109,"CD109 molecule","gene with protein product"
17,T118649,1998,0.9935,p4@IGFBP2,e:3485,h:5471,C9JMY1,IGFBP2,"insulin like growth factor binding protein 2","gene with protein product"
18,T135752,1993,0.9925,p3@SEMA3F,e:6405,h:10728,Q13275,SEMA3F,"semaphorin 3F","gene with protein product"
19,T060538,1987,0.9915,p7@EPN3,e:55040,h:18235,"D6RFG3,D6RBR6",EPN3,"epsin 3","gene with protein product"
20,T117506,1989,0.9910,p1@SDC1,e:6382,h:10658,F8WCX9,SDC1,"syndecan 1","gene with protein product"
21,T058533,1987,0.9905,p1@KRT17,e:3872,h:6427,Q04695,KRT17,"keratin 17","gene with protein product"
22,T045789,1986,0.9900,p17@SMAD3,e:4088,h:6769,,SMAD3,"SMAD family member 3","gene with protein product"
23,T008712,1985,0.9890,p3@AVPI1,e:60370,h:30898,Q5T686,AVPI1,"arginine vasopressin induced 1","gene with protein product"
24,T026228,1988,0.9886,p3@KRT5,e:3852,h:6442,,KRT5,"keratin 5","gene with protein product"
25,T036437,1984,0.9885,p3@ZNF219,e:51222,h:13011,Q9P2Y4,ZNF219,"zinc finger protein 219","gene with protein product"
26,T049904,1981,0.9885,p11@RNPS1,e:10921,h:10080,"D3DU92,Q15287",RNPS1,"RNA binding protein with serine rich domain 1","gene with protein product"
27,T163159,1979,0.9875,"p3@HIST1H2AK,p3@HIST1H2AM,p4@HIST1H2AG,p4@HIST1H2AH,p4@HIST1H2AI,p4@HIST1H2AL","e:8329,e:8330,e:8332,e:8336,e:85235,e:8969","h:13671,h:4725,h:4726,h:4730,h:4735,h:4737","P0C0S8,A4FTV9",HIST1H2AH,"histone cluster 1 H2A family member h","gene with protein product"
28,T135428,1980,0.9870,p3@CCDC51,e:79714,h:25714,,CCDC51,"coiled-coil domain containing 51","gene with protein product"
29,T077220,1978,0.9870,p1@KLK5,e:25818,h:6366,"Q9Y337,Q53ZR3",KLK5,"kallikrein related peptidase 5","gene with protein product"
30,T086246,1983,0.9861,p3@ACBD6,e:84320,h:23339,"B2RAA8,Q9BR61",ACBD6,"acyl-CoA binding domain containing 6","gene with protein product"
31,T100148,1985,0.9856,p24@CPNE1,e:8904,h:2314,,CPNE1,"copine 1","gene with protein product"
32,T188736,1983,0.9856,p9@RGS3,e:5998,h:9999,,RGS3,"regulator of G-protein signaling 3","gene with protein product"
33,T047269,1976,0.9850,p3@BNC1,e:646,h:1081,Q01954,BNC1,"basonuclin 1","gene with protein product"
34,T151367,1979,0.9846,p3@NIPAL4,e:348938,h:28018,Q0D2K0,NIPAL4,"NIPA like domain containing 4","gene with protein product"
