Hs-HECTD1,2000,1000,T037630-HECTD1,"p8@HECTD1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T104261,2003,1.0000,p9@APP,e:351,h:620,,APP,"amyloid beta precursor protein","gene with protein product"
2,T095566,2006,1.0000,p4@MTND2P28,,h:42129,,MTND2P28,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 28",pseudogene
3,T136369,2012,1.0000,p4@ACTR8,e:93973,h:14672,,ACTR8,"ARP8 actin-related protein 8 homolog","gene with protein product"
4,T043738,2013,0.9990,p6@TP53BP1,e:7158,h:11999,,TP53BP1,"tumor protein p53 binding protein 1","gene with protein product"
5,T059128,2007,0.9990,p22@UBTF,e:7343,h:12511,,UBTF,"upstream binding transcription factor, RNA polymerase I","gene with protein product"
6,T119558,2007,0.9990,p6@CUL3,e:8452,h:2553,Q13618,CUL3,"cullin 3","gene with protein product"
7,T117412,2006,0.9990,p2@NOP58,e:51602,h:29926,,NOP58,"NOP58 ribonucleoprotein","gene with protein product"
8,T152743,2006,0.9990,p9@PRR7,e:80758,h:28130,D6RFJ4,PRR7,"proline rich 7, synaptic","gene with protein product"
9,T023973,2005,0.9990,p9@KIAA0528,e:9847,h:29062,,C2CD5,"C2 calcium dependent domain containing 5","gene with protein product"
10,T111714,2003,0.9990,p3@EPB41L5,e:57669,h:19819,,EPB41L5,"erythrocyte membrane protein band 4.1 like 5","gene with protein product"
11,T157003,2003,0.9990,p11@LNPEP,e:4012,h:6656,Q9UIQ6,LNPEP,"leucyl and cystinyl aminopeptidase","gene with protein product"
12,T171606,2003,0.9990,p15@HIPK2,e:28996,h:14402,,HIPK2,"homeodomain interacting protein kinase 2","gene with protein product"
13,T032384,2000,0.9990,p7@SLC46A3,e:283537,h:27501,Q7Z3Q1,SLC46A3,"solute carrier family 46 member 3","gene with protein product"
14,T100171,2004,0.9980,p2@RBM39,e:9584,h:15923,,RBM39,"RNA binding motif protein 39","gene with protein product"
15,T143502,2001,0.9980,p14@ARAP2,e:116984,h:16924,Q8WZ64,ARAP2,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2","gene with protein product"
16,T111034,2007,0.9975,p8@ZC3H6,e:376940,h:24762,F5H110,ZC3H6,"zinc finger CCCH-type containing 6","gene with protein product"
17,T085577,2006,0.9975,p10@PRRC2C,e:23215,h:24903,,PRRC2C,"proline rich coiled-coil 2C","gene with protein product"
18,T132215,2000,0.9970,p15@B3GNT5,e:84002,h:15684,Q9BYG0,B3GNT5,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5","gene with protein product"
19,T023399,2000,0.9960,p2@WBP11,e:51729,h:16461,Q9Y2W2,WBP11,"WW domain binding protein 11","gene with protein product"
