Hs-LOX,2000,1000,T148107-LOX,"p1@LOX"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T148106,2005,1.0000,p7@LOX,e:4015,h:6664,B4DQF8,LOX,"lysyl oxidase","gene with protein product"
2,T148109,2009,1.0000,p3@LOX,e:4015,h:6664,P28300,LOX,"lysyl oxidase","gene with protein product"
3,T148108,2015,1.0000,p4@LOX,e:4015,h:6664,P28300,LOX,"lysyl oxidase","gene with protein product"
4,T006736,2008,1.0000,p1@P4HA1,e:5033,h:8546,P13674,P4HA1,"prolyl 4-hydroxylase subunit alpha 1","gene with protein product"
5,T149352,2011,0.9995,p1@SIL1,e:64374,h:24624,"Q9H173,D6RG16,D6RAI3,D6RIU8",SIL1,"SIL1 nucleotide exchange factor","gene with protein product"
6,T127460,2008,0.9990,p9@CCDC80,e:151887,h:30649,,CCDC80,"coiled-coil domain containing 80","gene with protein product"
7,T118314,2004,0.9990,p79@FN1,e:2335,h:3778,,FN1,"fibronectin 1","gene with protein product"
8,T013283,2003,0.9990,p11@BDNF,e:627,h:1033,P23560,BDNF,"brain derived neurotrophic factor","gene with protein product"
9,T020517,2007,0.9985,p4@CKAP4,e:10970,h:16991,Q07065,CKAP4,"cytoskeleton associated protein 4","gene with protein product"
10,T198162,2006,0.9985,p3@HAUS7,e:55559,h:32979,B4DJM4,HAUS7,"HAUS augmin like complex subunit 7","gene with protein product"
11,T125320,2005,0.9985,p2@LOXL3,e:84695,h:13869,E7END4,LOXL3,"lysyl oxidase like 3","gene with protein product"
12,T148528,2005,0.9985,p1@P4HA2,e:8974,h:8547,"O15460,C9JIG4,C9JX45,Q05DA4",P4HA2,"prolyl 4-hydroxylase subunit alpha 2","gene with protein product"
13,T148111,2004,0.9985,p10@LOX,e:4015,h:6664,"D0PNI2,P28300",LOX,"lysyl oxidase","gene with protein product"
14,T122242,2003,0.9985,p6@LTBP1,e:4052,h:6714,,LTBP1,"latent transforming growth factor beta binding protein 1","gene with protein product"
15,T148096,2003,0.9980,p9@LOX,e:4015,h:6664,,LOX,"lysyl oxidase","gene with protein product"
16,T005209,2007,0.9975,p15@PRKG1,e:5592,h:9414,Q13976,PRKG1,"protein kinase, cGMP-dependent, type I","gene with protein product"
17,T127469,1999,0.9975,p13@CCDC80,e:151887,h:30649,,CCDC80,"coiled-coil domain containing 80","gene with protein product"
18,T127466,1997,0.9970,p26@CCDC80,e:151887,h:30649,,CCDC80,"coiled-coil domain containing 80","gene with protein product"
19,T097296,2004,0.9965,p12@DDAH1,e:23576,h:2715,"Q5HYC8,B4E3V1",DDAH1,"dimethylarginine dimethylaminohydrolase 1","gene with protein product"
20,T031032,2001,0.9965,p8@ITGBL1,e:9358,h:6164,B3KTP1,ITGBL1,"integrin subunit beta like 1","gene with protein product"
21,T142177,1996,0.9940,p1@AGA,e:175,h:318,,AGA,aspartylglucosaminidase,"gene with protein product"
22,T127467,1991,0.9935,p27@CCDC80,e:151887,h:30649,,CCDC80,"coiled-coil domain containing 80","gene with protein product"
23,T127456,1994,0.9925,p5@CCDC80,e:151887,h:30649,,CCDC80,"coiled-coil domain containing 80","gene with protein product"
24,T183434,1990,0.9925,p3@LOXL2,e:4017,h:6666,,LOXL2,"lysyl oxidase like 2","gene with protein product"
25,T158960,1990,0.9925,p6@TMEM200A,e:114801,h:21075,A8K2A1,TMEM200A,"transmembrane protein 200A","gene with protein product"
26,T002037,1992,0.9920,p1@CPXM2,e:119587,h:26977,"Q8N436,E7EUK5",CPXM2,"carboxypeptidase X, M14 family member 2","gene with protein product"
27,T129935,1991,0.9915,p1@PLOD2,e:5352,h:9082,O00469,PLOD2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","gene with protein product"
28,T148110,1991,0.9915,p2@LOX,e:4015,h:6664,"D0PNI2,P28300",LOX,"lysyl oxidase","gene with protein product"
29,T158961,1988,0.9910,p2@TMEM200A,e:114801,h:21075,A8K2A1,TMEM200A,"transmembrane protein 200A","gene with protein product"
30,T152385,1986,0.9905,p1@STC2,e:8614,h:11374,,STC2,"stanniocalcin 2","gene with protein product"
