Hs-NIN,2000,1000,T038481-NIN,"p3@NIN"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T000326,2009,1.0000,p3@FBXW4,e:6468,h:10847,,FBXW4,"F-box and WD repeat domain containing 4","gene with protein product"
2,T100171,2011,0.9990,p2@RBM39,e:9584,h:15923,,RBM39,"RNA binding motif protein 39","gene with protein product"
3,T033336,2011,0.9990,p39@ZC3H13,e:23091,h:20368,Q5T200,ZC3H13,"zinc finger CCCH-type containing 13","gene with protein product"
4,T156458,2011,0.9990,p2@TMEM161B,e:153396,h:28483,,TMEM161B,"transmembrane protein 161B","gene with protein product"
5,T151366,2004,0.9990,p12@CYFIP2,e:26999,h:13760,,CYFIP2,"cytoplasmic FMR1 interacting protein 2","gene with protein product"
6,T129877,2003,0.9990,p4@C3orf58,e:205428,h:28490,,C3orf58,"chromosome 3 open reading frame 58","gene with protein product"
7,T096845,2007,0.9985,p12@FUBP1,e:8880,h:4004,Q59FU3,FUBP1,"far upstream element binding protein 1","gene with protein product"
8,T119558,2004,0.9985,p6@CUL3,e:8452,h:2553,Q13618,CUL3,"cullin 3","gene with protein product"
9,T125874,2004,0.9980,p2@PTCD3,e:55037,h:24717,,PTCD3,"pentatricopeptide repeat domain 3","gene with protein product"
10,T108127,2001,0.9980,p2@HMGXB4,e:10042,h:5003,,HMGXB4,"HMG-box containing 4","gene with protein product"
11,T059589,1999,0.9970,p8@KIAA1267,e:284058,h:24565,Q7Z3B3,KANSL1,"KAT8 regulatory NSL complex subunit 1","gene with protein product"
12,T097188,1996,0.9965,p6@SSX2IP,e:117178,h:16509,,SSX2IP,"SSX family member 2 interacting protein","gene with protein product"
13,T108676,2007,0.9960,p5@ANKRD54,e:129138,h:25185,,ANKRD54,"ankyrin repeat domain 54","gene with protein product"
14,T109106,2000,0.9960,p5@TNRC6B,e:23112,h:29190,,TNRC6B,"trinucleotide repeat containing 6B","gene with protein product"
15,T027869,1998,0.9955,p9@SRGAP1,e:57522,h:17382,,SRGAP1,"SLIT-ROBO Rho GTPase activating protein 1","gene with protein product"
16,T033687,1996,0.9950,p7@DLEU2,e:8847,h:13748,,DLEU2,"deleted in lymphocytic leukemia 2 (non-protein coding)","RNA, long non-coding"
17,T001634,1998,0.9945,p3@C10orf46,e:143384,h:23727,,CACUL1,"CDK2 associated cullin domain 1","gene with protein product"
18,T102854,1998,0.9945,p30@GNAS,e:2778,h:4392,,GNAS,"GNAS complex locus","gene with protein product"
19,T117335,1996,0.9945,p6@TMEM237,e:65062,h:14432,,TMEM237,"transmembrane protein 237","gene with protein product"
20,T127686,1997,0.9935,p11@ZBTB20,e:26137,h:13503,Q9HC78,ZBTB20,"zinc finger and BTB domain containing 20","gene with protein product"
21,T146997,1996,0.9935,p4@SMARCAD1,e:56916,h:18398,,SMARCAD1,"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1","gene with protein product"
22,T199596,1991,0.9930,p11@USP9X,e:8239,h:12632,,USP9X,"ubiquitin specific peptidase 9, X-linked","gene with protein product"
23,T152743,1990,0.9930,p9@PRR7,e:80758,h:28130,D6RFJ4,PRR7,"proline rich 7, synaptic","gene with protein product"
24,T137219,1990,0.9915,p9@FOXP1,e:27086,h:3823,,FOXP1,"forkhead box P1","gene with protein product"
25,T140599,1983,0.9875,p7@FBXW7,e:55294,h:16712,,FBXW7,"F-box and WD repeat domain containing 7","gene with protein product"
