Hs-NINL,2000,1000,T099367-NINL,"p8@NINL"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T082433,2010,1.0000,p6@OAZ3,e:51686,h:8097,"Q6GMR0,A2A457,Q9UMX2",OAZ3,"ornithine decarboxylase antizyme 3","gene with protein product"
2,T118237,2009,1.0000,p17@IKZF2,e:22807,h:13177,Q9UKS7,IKZF2,"IKAROS family zinc finger 2","gene with protein product"
3,T057031,2008,1.0000,p9@C17orf79,e:55352,h:28848,,COPRS,"coordinator of PRMT5 and differentiation stimulator","gene with protein product"
4,T167628,2008,1.0000,p34@EEF1A1,e:1915,h:3189,,EEF1A1,"eukaryotic translation elongation factor 1 alpha 1","gene with protein product"
5,T112169,2010,1.0000,p6@IMP4,e:92856,h:30856,,IMP4,"IMP4 homolog, U3 small nucleolar ribonucleoprotein","gene with protein product"
6,T200312,2011,0.9990,p22@MAGED1,e:9500,h:6813,,MAGED1,"MAGE family member D1","gene with protein product"
7,T151925,2011,0.9990,p13@SLIT3,e:6586,h:11087,O75094,SLIT3,"slit guidance ligand 3","gene with protein product"
8,T135605,2010,0.9990,p7@LAMB2,e:3913,h:6487,P55268,LAMB2,"laminin subunit beta 2","gene with protein product"
9,T096041,2008,0.9990,p15@ACOT7,e:11332,h:24157,O00154,ACOT7,"acyl-CoA thioesterase 7","gene with protein product"
10,T045787,2008,0.9990,p18@SMAD3,e:4088,h:6769,F5H383,SMAD3,"SMAD family member 3","gene with protein product"
11,T073529,2008,0.9990,p3@COX7A1,e:1346,h:2287,"P24310,Q6FGI7",COX7A1,"cytochrome c oxidase subunit 7A1","gene with protein product"
12,T187620,2008,0.9990,p8@STK3,e:6788,h:11406,B3KYA7,STK3,"serine/threonine kinase 3","gene with protein product"
13,T152331,2006,0.9990,p23@ERGIC1,e:57222,h:29205,,ERGIC1,"endoplasmic reticulum-golgi intermediate compartment 1","gene with protein product"
