Hs-RAB2A,2000,1000,T185607-RAB2A,"p30@RAB2A"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T099404,2009,1.0000,p1@SNORD57,e:26792,h:10207,,SNORD57,"small nucleolar RNA, C/D box 57","RNA, small nucleolar"
2,T053938,2008,1.0000,p3@ZNRF1,e:84937,h:18452,,ZNRF1,"zinc and ring finger 1","gene with protein product"
3,T120056,2013,1.0000,p2@SNORD20,e:6082,h:10143,,SNORD20,"small nucleolar RNA, C/D box 20","RNA, small nucleolar"
4,T046843,2003,1.0000,p2@CRABP1,e:1381,h:2338,,CRABP1,"cellular retinoic acid binding protein 1","gene with protein product"
5,T034642,2006,1.0000,p1@MIR92A1,e:407048,h:31643,,MIR92A1,"microRNA 92a-1","RNA, micro"
6,T112318,2005,1.0000,p3@GPR39,e:2863,h:4496,O43194,GPR39,"G protein-coupled receptor 39","gene with protein product"
7,T016088,2006,1.0000,p10@SNHG1,,h:32688,,SNHG1,"small nucleolar RNA host gene 1","RNA, long non-coding"
8,T044740,2007,1.0000,p17@NEDD4,e:4734,h:7727,,NEDD4,"neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase","gene with protein product"
9,T022235,2008,1.0000,p13@BCL7A,e:605,h:1004,Q4VC05,BCL7A,"BCL tumor suppressor 7A","gene with protein product"
10,T002799,2011,0.9995,p20@FRMD4A,e:55691,h:25491,,FRMD4A,"FERM domain containing 4A","gene with protein product"
11,T149644,2007,0.9995,p1@PLEKHG4B,e:153478,h:29399,,PLEKHG4B,"pleckstrin homology and RhoGEF domain containing G4B","gene with protein product"
12,T174978,2012,0.9990,p3@NPSR1,e:387129,h:23631,,NPSR1,"neuropeptide S receptor 1","gene with protein product"
13,T040816,2010,0.9990,p9@ISM2,e:145501,h:23176,Q6H9L7,ISM2,"isthmin 2","gene with protein product"
14,T101272,2010,0.9990,p7@WFDC2,e:10406,h:15939,Q14508,WFDC2,"WAP four-disulfide core domain 2","gene with protein product"
15,T054879,2010,0.9990,p10@SLC7A5,e:8140,h:11063,,SLC7A5,"solute carrier family 7 member 5","gene with protein product"
16,T182310,2009,0.9990,p91@PLEC,e:5339,h:9069,Q15149,PLEC,plectin,"gene with protein product"
17,T176171,2008,0.9990,p2@DDC,e:1644,h:2719,"P20711,Q53Y41,Q5W5T9",DDC,"dopa decarboxylase","gene with protein product"
18,T013247,2008,0.9990,p5@CCDC34,e:91057,h:25079,,CCDC34,"coiled-coil domain containing 34","gene with protein product"
19,T090481,2008,0.9990,p2@MIXL1,e:83881,h:13363,B7ZLF9,MIXL1,"Mix paired-like homeobox","gene with protein product"
20,T068786,2008,0.9990,p14@ZNF516,e:9658,h:28990,,ZNF516,"zinc finger protein 516","gene with protein product"
21,T100763,2007,0.9990,p12@PLCG1,e:5335,h:9065,,PLCG1,"phospholipase C gamma 1","gene with protein product"
22,T197560,2007,0.9990,p9@ZIC3,e:7547,h:12874,Q5JY75,ZIC3,"Zic family member 3","gene with protein product"
23,T162447,2007,0.9990,p6@MBOAT1,e:154141,h:21579,Q6ZNC8,MBOAT1,"membrane bound O-acyltransferase domain containing 1","gene with protein product"
24,T120549,2007,0.9990,p3@GBX2,e:2637,h:4186,P52951,GBX2,"gastrulation brain homeobox 2","gene with protein product"
25,T072571,2007,0.9990,p21@AES,e:166,h:307,,AES,"amino-terminal enhancer of split","gene with protein product"
26,T003436,2006,0.9990,p7@MLLT10,e:8028,h:16063,,MLLT10,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10","gene with protein product"
27,T117810,2006,0.9990,p12@FZD5,e:7855,h:4043,,FZD5,"frizzled class receptor 5","gene with protein product"
28,T116798,2006,0.9990,p33@SLC39A10,e:57181,h:20861,,SLC39A10,"solute carrier family 39 member 10","gene with protein product"
29,T198967,2006,0.9990,p5@FAM3C2,,h:34501,,FAM3C2,"family with sequence similarity 3 member C2 (pseudogene)",pseudogene
30,T089579,2005,0.9990,p7@CENPF,e:1063,h:1857,P49454,CENPF,"centromere protein F","gene with protein product"
31,T185905,2005,0.9990,p23@PDE7A,e:5150,h:8791,E5RG23,PDE7A,"phosphodiesterase 7A","gene with protein product"
32,T087637,2005,0.9990,p8@C1orf106,e:55765,h:25599,Q3KP66,C1orf106,"chromosome 1 open reading frame 106","gene with protein product"
33,T019813,2005,0.9990,p16@WEE1,e:7465,h:12761,"P30291,Q86V29",WEE1,"WEE1 G2 checkpoint kinase","gene with protein product"
34,T095895,2004,0.9990,p5@L1TD1,e:54596,h:25595,Q5T7N2,L1TD1,"LINE1 type transposase domain containing 1","gene with protein product"
35,T043846,2004,0.9990,p12@CTDSPL2,e:51496,h:26936,,CTDSPL2,"CTD small phosphatase like 2","gene with protein product"
36,T183678,2004,0.9990,p10@BNIP3L,e:665,h:1085,,BNIP3L,"BCL2 interacting protein 3 like","gene with protein product"
37,T087815,2003,0.9990,p51@NAV1,e:89796,h:15989,,NAV1,"neuron navigator 1","gene with protein product"
38,T076792,2003,0.9990,p22@FCGRT,e:2217,h:3621,,FCGRT,"Fc fragment of IgG receptor and transporter","gene with protein product"
39,T095741,2003,0.9990,p11@FGGY,e:55277,h:25610,,FGGY,"FGGY carbohydrate kinase domain containing","gene with protein product"
40,T076989,2003,0.9990,p6@ZNF473,e:25888,h:23239,F8WEC7,ZNF473,"zinc finger protein 473","gene with protein product"
41,T126813,2002,0.9990,p3@PCNP,e:57092,h:30023,,PCNP,"PEST proteolytic signal containing nuclear protein","gene with protein product"
42,T180060,2002,0.9990,p31@RAD21,e:5885,h:9811,O60216,RAD21,"RAD21 cohesin complex component","gene with protein product"
43,T089582,2001,0.9990,p6@CENPF,e:1063,h:1857,,CENPF,"centromere protein F","gene with protein product"
44,T148217,2001,0.9990,p26@ZNF608,e:57507,h:29238,B3KPE6,ZNF608,"zinc finger protein 608","gene with protein product"
45,T044713,2000,0.9990,p9@PRTG,e:283659,h:26373,,PRTG,protogenin,"gene with protein product"
46,T194164,2000,0.9990,p4@VPS13A,e:23230,h:1908,,VPS13A,"vacuolar protein sorting 13 homolog A","gene with protein product"
