Hs-RAB5C,2000,1000,T058683-RAB5C,"p9@RAB5C"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T055243,2009,1.0000,p9@TCF25,e:22980,h:29181,,TCF25,"transcription factor 25","gene with protein product"
2,T110810,2002,1.0000,p6@SULT1C2,e:6819,h:11456,"B8ZZF7,B4DLP0",SULT1C2,"sulfotransferase family 1C member 2","gene with protein product"
3,T017073,2000,1.0000,p34@CFL1,e:1072,h:1874,G3V1A4,CFL1,"cofilin 1","gene with protein product"
4,T128582,2009,1.0000,p9@CHCHD6,e:84303,h:28184,,CHCHD6,"coiled-coil-helix-coiled-coil-helix domain containing 6","gene with protein product"
5,T081480,2005,1.0000,p17@DHRS3,e:9249,h:17693,Q0QD44,DHRS3,"dehydrogenase/reductase 3","gene with protein product"
6,T157664,2012,1.0000,p25@MICAL1,e:64780,h:20619,,MICAL1,"microtubule associated monooxygenase, calponin and LIM domain containing 1","gene with protein product"
7,T164491,2011,1.0000,p28@HLA-DQA1,e:3117,h:4942,"Q8MH45,Q8MH44,Q8MH43,Q8MH39,Q8MH03,Q8MH02,Q8MH01",HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1","gene with protein product"
8,T012563,2007,0.9995,p3@TMEM86A,e:144110,h:26890,Q8N2M4,TMEM86A,"transmembrane protein 86A","gene with protein product"
9,T138206,2013,0.9990,p8@TBC1D23,e:55773,h:25622,C9IZ32,TBC1D23,"TBC1 domain family member 23","gene with protein product"
10,T063232,2011,0.9990,p22@ITGB4,e:3691,h:6158,P16144,ITGB4,"integrin subunit beta 4","gene with protein product"
11,T032379,2010,0.9990,p8@SLC46A3,e:283537,h:27501,Q7Z3Q1,SLC46A3,"solute carrier family 46 member 3","gene with protein product"
12,T174594,2008,0.9990,p11@CHN2,e:1124,h:1944,C9JQ94,CHN2,"chimerin 2","gene with protein product"
13,T047720,2008,0.9990,p34@ANPEP,e:290,h:500,,ANPEP,"alanyl aminopeptidase, membrane","gene with protein product"
14,T154178,2008,0.9990,p6@SEPP1,,h:10751,,SELENOP,"selenoprotein P","gene with protein product"
15,T023262,2008,0.9990,p11@EMP1,e:2012,h:3333,P54849,EMP1,"epithelial membrane protein 1","gene with protein product"
16,T121320,2007,0.9990,p12@ITSN2,e:50618,h:6184,,ITSN2,"intersectin 2","gene with protein product"
17,T129166,2007,0.9990,p5@ACPP,e:55,h:125,,ACPP,"acid phosphatase, prostate","gene with protein product"
18,T129982,2007,0.9990,p8@PLSCR1,e:5359,h:9092,C9J0H3,PLSCR1,"phospholipid scramblase 1","gene with protein product"
19,T050831,2006,0.9990,p17@CORO1A,e:11151,h:2252,,CORO1A,"coronin 1A","gene with protein product"
20,T164713,2006,0.9990,p7@B3GALT4,e:8705,h:919,"O96024,B3KQP5,Q5STJ7",B3GALT4,"beta-1,3-galactosyltransferase 4","gene with protein product"
21,T088058,2006,0.9990,p21@CHI3L1,e:1116,h:1932,,CHI3L1,"chitinase 3 like 1","gene with protein product"
22,T179703,2006,0.9990,p11@EBAG9,e:9166,h:3123,E9PND3,EBAG9,"estrogen receptor binding site associated, antigen, 9","gene with protein product"
23,T081836,2006,0.9990,p14@RNF115,e:27246,h:18154,Q9Y4L5,RNF115,"ring finger protein 115","gene with protein product"
24,T028618,2005,0.9990,p12@CCT2,e:10576,h:1615,P78371,CCT2,"chaperonin containing TCP1 subunit 2","gene with protein product"
25,T151935,2005,0.9990,p8@CCDC99,e:54908,h:26010,,SPDL1,"spindle apparatus coiled-coil protein 1","gene with protein product"
26,T023045,2005,0.9990,p4@STX2,e:2054,h:3403,P32856,STX2,"syntaxin 2","gene with protein product"
27,T066629,2005,0.9990,p4@RNF125,e:54941,h:21150,Q96EQ8,RNF125,"ring finger protein 125","gene with protein product"
