Hs-RAP1GDS1,2000,1000,T147113-RAP1GDS1,"p3@RAP1GDS1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T135689,2008,1.0000,p5@APEH,e:327,h:586,P13798,APEH,"acylaminoacyl-peptide hydrolase","gene with protein product"
2,T059229,2003,1.0000,p6@GPATCH8,e:23131,h:29066,Q9UKJ3,GPATCH8,"G-patch domain containing 8","gene with protein product"
3,T013785,2009,1.0000,p2@APIP,e:51074,h:17581,,APIP,"APAF1 interacting protein","gene with protein product"
4,T061705,2008,0.9990,p2@STRADA,e:92335,h:30172,Q86YC8,STRADA,"STE20-related kinase adaptor alpha","gene with protein product"
5,T042391,2006,0.9990,p2@UBE3A,e:7337,h:12496,"Q05086,Q9BUI6",UBE3A,"ubiquitin protein ligase E3A","gene with protein product"
6,T147114,2006,0.9990,p1@RAP1GDS1,e:5910,h:9859,"E9PH06,Q499L7,D6RC85,D6RC12,D6RHZ7,P52306,Q4QQI8,B3KNU0,Q9BUX6,Q6U7G8",RAP1GDS1,"Rap1 GTPase-GDP dissociation stimulator 1","gene with protein product"
7,T009466,2004,0.9990,p2@C11orf87,e:399947,h:33788,,C11orf87,"chromosome 11 open reading frame 87","gene with protein product"
8,T049981,2005,0.9985,p23@PRKCB,e:5579,h:9395,,PRKCB,"protein kinase C beta","gene with protein product"
9,T014156,2004,0.9980,p2@STIM1,e:6786,h:11386,Q13586,STIM1,"stromal interaction molecule 1","gene with protein product"
10,T198933,2004,0.9975,p2@SMS,e:6611,h:11123,P52788,SMS,"spermine synthase","gene with protein product"
11,T146822,2002,0.9975,p3@NAP1L5,e:266812,h:19968,F5H3H0,NAP1L5,"nucleosome assembly protein 1 like 5","gene with protein product"
12,T020979,2004,0.9970,p6@C12orf24,e:29902,h:30180,F8VXY8,FAM216A,"family with sequence similarity 216 member A","gene with protein product"
13,T089293,2004,0.9970,p3@HP1BP3,e:50809,h:24973,Q5SSJ5,HP1BP3,"heterochromatin protein 1 binding protein 3","gene with protein product"
14,T112428,2003,0.9970,p3@TMEM163,e:81615,h:25380,Q8TC26,TMEM163,"transmembrane protein 163","gene with protein product"
15,T019941,2006,0.9965,p5@SCYL2,e:55681,h:19286,F8VSC5,SCYL2,"SCY1 like pseudokinase 2","gene with protein product"
16,T135668,2002,0.9960,p16@DAG1,e:1605,h:2666,C9J6Z6,DAG1,"dystroglycan 1","gene with protein product"
17,T156407,2002,0.9960,p7@RASA1,e:5921,h:9871,"P20936,Q68CU6",RASA1,"RAS p21 protein activator 1","gene with protein product"
18,T096211,2001,0.9950,p4@LEPR,e:3953,h:6554,,LEPR,"leptin receptor","gene with protein product"
19,T141000,2001,0.9950,p6@FAM200B,e:285550,h:27740,P0CF97,FAM200B,"family with sequence similarity 200 member B","gene with protein product"
20,T022548,2000,0.9945,p5@CCDC92,e:80212,h:29563,F5GXK2,CCDC92,"coiled-coil domain containing 92","gene with protein product"
21,T117419,1997,0.9940,p2@BMPR2,e:659,h:1078,Q13873,BMPR2,"bone morphogenetic protein receptor type 2","gene with protein product"
22,T071291,1993,0.9935,p5@FCHO1,e:23149,h:29002,"O14526,B4E120",FCHO1,"FCH domain only 1","gene with protein product"
23,T000576,1991,0.9935,p17@INA,e:9118,h:6057,Q16352,INA,"internexin neuronal intermediate filament protein alpha","gene with protein product"
24,T020453,1995,0.9930,p4@APPL2,e:55198,h:18242,Q8NEU8,APPL2,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2","gene with protein product"
25,T075748,1994,0.9930,p2@SIX5,e:147912,h:10891,Q8N196,SIX5,"SIX homeobox 5","gene with protein product"
26,T191467,1993,0.9930,p8@FBXW5,e:54461,h:13613,Q969U6,FBXW5,"F-box and WD repeat domain containing 5","gene with protein product"
27,T172334,1994,0.9925,p3@CUL1,e:8454,h:2551,"Q13616,B3KTW0",CUL1,"cullin 1","gene with protein product"
