Hs-SIGMAR1,2000,1000,T192809-SIGMAR1,"p2@SIGMAR1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T022381,2005,1.0000,p3@ARL6IP4,e:51329,h:18076,,ARL6IP4,"ADP ribosylation factor like GTPase 6 interacting protein 4","gene with protein product"
2,T058806,2006,1.0000,p1@FAM134C,e:162427,h:27258,B3KR75,FAM134C,"family with sequence similarity 134 member C","gene with protein product"
3,T083287,2010,1.0000,p10@FAM189B,e:10712,h:1233,B1AVS5,FAM189B,"family with sequence similarity 189 member B","gene with protein product"
4,T051564,2004,1.0000,p3@NME4,e:4833,h:7852,,NME4,"NME/NM23 nucleoside diphosphate kinase 4","gene with protein product"
5,T152288,2010,0.9990,p2@ERGIC1,e:57222,h:29205,F2Z3A2,ERGIC1,"endoplasmic reticulum-golgi intermediate compartment 1","gene with protein product"
6,T177891,2007,0.9990,p3@C7orf23,e:79161,h:21707,Q9BU79,TMEM243,"transmembrane protein 243","gene with protein product"
7,T192808,2005,0.9990,p1@SIGMAR1,e:10280,h:8157,"Q99720,Q5T1J1,A2A3U5",SIGMAR1,"sigma non-opioid intracellular receptor 1","gene with protein product"
8,T192884,2003,0.9990,p3@STOML2,e:30968,h:14559,,STOML2,"stomatin like 2","gene with protein product"
9,T018021,2003,0.9990,p2@DHCR7,e:1717,h:2860,Q9UBM7,DHCR7,"7-dehydrocholesterol reductase","gene with protein product"
10,T008717,2011,0.9980,p1@MARVELD1,e:83742,h:28674,Q9BSK0,MARVELD1,"MARVEL domain containing 1","gene with protein product"
11,T012368,2007,0.9980,p13@CTSD,e:1509,h:2529,P07339,CTSD,"cathepsin D","gene with protein product"
12,T065594,2005,0.9975,p1@TIMM22,e:29928,h:17317,Q9Y584,TIMM22,"translocase of inner mitochondrial membrane 22","gene with protein product"
13,T018657,2002,0.9975,p1@TSKU,e:25987,h:28850,E7EVE1,TSKU,"tsukushi, small leucine rich proteoglycan","gene with protein product"
14,T077773,1999,0.9975,p30@MYADM,e:91663,h:7544,Q96S97,MYADM,"myeloid associated differentiation marker","gene with protein product"
15,T094982,2000,0.9970,p5@LRRC41,e:10489,h:16917,Q15345,LRRC41,"leucine rich repeat containing 41","gene with protein product"
16,T016227,2003,0.9965,p2@PRKCDBP,e:112464,h:9400,,PRKCDBP,"protein kinase C delta binding protein","gene with protein product"
17,T120135,2001,0.9965,p1@PDE6D,e:5147,h:8788,B8ZZK5,PDE6D,"phosphodiesterase 6D","gene with protein product"
18,T091415,2001,0.9965,p4@NID1,e:4811,h:7821,P14543,NID1,"nidogen 1","gene with protein product"
19,T016743,2000,0.9965,p1@ARFIP2,e:23647,h:17160,"P53365,B4E306,E9PRV8,E9PPY7",ARFIP2,"ADP ribosylation factor interacting protein 2","gene with protein product"
20,T135667,1999,0.9960,p4@DAG1,e:1605,h:2666,C9J6Z6,DAG1,"dystroglycan 1","gene with protein product"
21,T064916,1999,0.9960,p31@P4HB,e:5034,h:8548,,P4HB,"prolyl 4-hydroxylase subunit beta","gene with protein product"
22,T015713,1999,0.9960,p1@FADS2,e:9415,h:3575,,FADS2,"fatty acid desaturase 2","gene with protein product"
23,T034339,1997,0.9950,p9@KCTD12,e:115207,h:14678,Q96CX2,KCTD12,"potassium channel tetramerization domain containing 12","gene with protein product"
24,T092856,2000,0.9945,p2@TRNP1,e:388610,h:34348,,TRNP1,"TMF1-regulated nuclear protein 1","gene with protein product"
25,T175690,1998,0.9930,p1@TMED4,e:222068,h:22301,"C9JUN6,Q7Z7H5",TMED4,"transmembrane p24 trafficking protein 4","gene with protein product"
26,T059931,1996,0.9930,p2@HOXB5,e:3215,h:5116,P09067,HOXB5,"homeobox B5","gene with protein product"
27,T017245,1995,0.9930,p1@YIF1A,e:10897,h:16688,"A6NGW1,F8W9A1,E9PP02,E9PK42",YIF1A,"Yip1 interacting factor homolog A, membrane trafficking protein","gene with protein product"
28,T182060,1994,0.9930,p3@JRK,,h:6199,,JRK,"Jrk helix-turn-helix protein","gene with protein product"
29,T183255,1991,0.9930,p9@SORBS3,e:10174,h:30907,E5RIA0,SORBS3,"sorbin and SH3 domain containing 3","gene with protein product"
30,T178961,1999,0.9926,p1@GAL3ST4,e:79690,h:24145,C9IZ77,GAL3ST4,"galactose-3-O-sulfotransferase 4","gene with protein product"
31,T166217,1986,0.9910,p1@SLC35B2,e:347734,h:16872,"B4DDM2,F5H7Y9",SLC35B2,"solute carrier family 35 member B2","gene with protein product"
32,T017720,2000,0.9906,p2@C11orf24,e:53838,h:1174,Q96F05,C11orf24,"chromosome 11 open reading frame 24","gene with protein product"
33,T046649,1993,0.9906,p2@CSPG4,e:1464,h:2466,Q6UVK1,CSPG4,"chondroitin sulfate proteoglycan 4","gene with protein product"
34,T200165,1986,0.9900,p1@PRAF2,e:11230,h:28911,O60831,PRAF2,"PRA1 domain family member 2","gene with protein product"
35,T157222,1992,0.9896,p14@TFAP2A,e:7020,h:11742,"Q8N1C6,P05549",TFAP2A,"transcription factor AP-2 alpha","gene with protein product"
36,T058929,1990,0.9891,p2@VAT1,e:10493,h:16919,Q99536,VAT1,"vesicle amine transport 1","gene with protein product"
37,T040643,1986,0.9886,p1@C14orf1,e:11161,h:1187,Q9UKR5,C14orf1,"chromosome 14 open reading frame 1","gene with protein product"
38,T107687,1983,0.9885,p2@SEC14L2,e:23541,h:10699,B3KRD8,SEC14L2,"SEC14 like lipid binding 2","gene with protein product"
39,T193066,1985,0.9881,p2@NPR2,e:4882,h:7944,P20594,NPR2,"natriuretic peptide receptor 2","gene with protein product"
40,T194099,1983,0.9880,p3@C9orf123,e:90871,h:30536,Q96GE9,TMEM261,"transmembrane protein 261","gene with protein product"
41,T078814,1983,0.9880,p2@MLLT1,e:4298,h:7134,Q03111,MLLT1,"MLLT1, super elongation complex subunit","gene with protein product"
42,T055166,1983,0.9871,p2@CPNE7,e:27132,h:2320,E9PJ31,CPNE7,"copine 7","gene with protein product"
43,T135876,1982,0.9871,p1@HYAL2,e:8692,h:5321,Q12891,HYAL2,"hyaluronoglucosaminidase 2","gene with protein product"
44,T114681,1981,0.9870,p1@GORASP2,e:26003,h:17500,"F8WBR9,F8WEH9",GORASP2,"golgi reassembly stacking protein 2","gene with protein product"
