Hs-THTPA,2000,1000,T037226-THTPA,"p2@THTPA"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T035663,2006,1.0000,p2@C14orf2,e:9556,h:1188,P56378,C14orf2,"chromosome 14 open reading frame 2","gene with protein product"
2,T053186,2009,1.0000,p1@TSNAXIP1,e:55815,h:18586,,TSNAXIP1,"translin associated factor X interacting protein 1","gene with protein product"
3,T108679,2005,1.0000,p3@ANKRD54,e:129138,h:25185,F8WB76,ANKRD54,"ankyrin repeat domain 54","gene with protein product"
4,T144544,2008,0.9995,p4@NOA1,e:84273,h:28473,Q8NC60,NOA1,"nitric oxide associated 1","gene with protein product"
5,T110219,2009,0.9990,p4@MAPK8IP2,e:23542,h:6883,"Q13387,C9JXW5,F6SWM5",MAPK8IP2,"mitogen-activated protein kinase 8 interacting protein 2","gene with protein product"
6,T136074,2007,0.9990,p2@ABHD14A,e:25864,h:24538,C9IYJ8,ABHD14A,"abhydrolase domain containing 14A","gene with protein product"
7,T016003,2006,0.9990,p3@BSCL2,e:26580,h:15832,"G3XAE4,E9PRU2",BSCL2,"BSCL2, seipin lipid droplet biogenesis associated","gene with protein product"
8,T037225,2006,0.9990,p3@THTPA,e:79178,h:18987,Q9BU02,THTPA,"thiamine triphosphatase","gene with protein product"
9,T037227,2006,0.9990,p4@THTPA,e:79178,h:18987,G3V5B9,THTPA,"thiamine triphosphatase","gene with protein product"
10,T151884,2005,0.9990,p1@FBLL1,,h:35458,A6NHQ2,FBLL1,"fibrillarin-like 1",unknown
11,T046836,2004,0.9985,p3@WDR61,e:80349,h:30300,,WDR61,"WD repeat domain 61","gene with protein product"
12,T104206,2003,0.9985,p12@JAM2,e:58494,h:14686,B4DGT9,JAM2,"junctional adhesion molecule 2","gene with protein product"
13,T072740,2006,0.9980,p1@LRP3,e:4037,h:6695,O75074,LRP3,"LDL receptor related protein 3","gene with protein product"
14,T021692,2007,0.9975,p2@PEBP1,e:5037,h:8630,B4DRT4,PEBP1,"phosphatidylethanolamine binding protein 1","gene with protein product"
15,T018207,2002,0.9975,p4@STARD10,e:10809,h:10666,,STARD10,"StAR related lipid transfer domain containing 10","gene with protein product"
16,T051421,2003,0.9970,p1@ZNF174,e:7727,h:12963,Q15697,ZNF174,"zinc finger protein 174","gene with protein product"
17,T147815,2002,0.9970,p2@CDO1,e:1036,h:1795,,CDO1,"cysteine dioxygenase type 1","gene with protein product"
18,T038437,2004,0.9960,p2@ATP5S,e:27109,h:18799,,ATP5S,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)","gene with protein product"
19,T068214,2004,0.9955,p1@CLUL1,e:27098,h:2096,"Q15846,F5GWQ8",CLUL1,"clusterin like 1","gene with protein product"
20,T069936,2000,0.9955,p1@ZNF491,e:126069,h:23706,"Q8N8L2,C9IYV0,B4DMI8",ZNF491,"zinc finger protein 491","gene with protein product"
21,T043704,1998,0.9950,p4@CCNDBP1,e:23582,h:1587,O95273,CCNDBP1,"cyclin D1 binding protein 1","gene with protein product"
22,T142883,1994,0.9945,p1@NAT8L,e:339983,h:26742,Q8N9F0,NAT8L,"N-acetyltransferase 8 like","gene with protein product"
23,T073483,1994,0.9945,p4@POLR2I,e:5438,h:9196,,POLR2I,"RNA polymerase II subunit I","gene with protein product"
24,T077589,1998,0.9940,p2@ZNF610,e:162963,h:26687,Q8N9Z0,ZNF610,"zinc finger protein 610","gene with protein product"
25,T078648,1996,0.9940,p3@ZNF329,e:79673,h:14209,,ZNF329,"zinc finger protein 329","gene with protein product"
26,T016453,1993,0.9940,p3@TRMT112,e:51504,h:26940,,TRMT112,"tRNA methyltransferase 11-2 homolog (S. cerevisiae)","gene with protein product"
27,T026954,1991,0.9940,p2@WIBG,e:84305,h:30258,Q9BRP8,PYM1,"PYM homolog 1, exon junction complex associated factor","gene with protein product"
28,T103378,2000,0.9935,p1@KCNQ2,e:3785,h:6296,"Q4VXP3,A6ND05,O43526,A6NM44,Q4VXP0,Q4VXP2,Q4VXP6,Q4VXP7,Q53Y30",KCNQ2,"potassium voltage-gated channel subfamily Q member 2","gene with protein product"
29,T106402,1992,0.9935,p1@CECR5-AS1,,h:1842,,CECR5-AS1,"CECR5 antisense RNA 1","RNA, long non-coding"
30,T105259,1998,0.9930,p1@WRB,e:7485,h:12790,B7Z1T1,WRB,"tryptophan rich basic protein","gene with protein product"
31,T110299,1996,0.9930,p2@CHST10,e:9486,h:19650,,CHST10,"carbohydrate sulfotransferase 10","gene with protein product"
32,T076899,1996,0.9930,p7@PTOV1,e:53635,h:9632,Q86YD1,PTOV1,"prostate tumor overexpressed 1","gene with protein product"
33,T054255,1991,0.9925,p1@GCSH,e:2653,h:4208,P23434,GCSH,"glycine cleavage system protein H","gene with protein product"
34,T063894,1987,0.9925,p1@EFNB3,e:1949,h:3228,Q15768,EFNB3,"ephrin B3","gene with protein product"
