Hs-TM2D3,2000,1000,T042215-TM2D3,"p8@TM2D3"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T094811,2006,1.0000,p2@TCTEX1D4,e:343521,h:32315,Q5JR98,TCTEX1D4,"Tctex1 domain containing 4","gene with protein product"
2,T074038,2004,1.0000,p2@MED29,e:55588,h:23074,,MED29,"mediator complex subunit 29","gene with protein product"
3,T180584,2003,1.0000,p15@TRIB1,e:10221,h:16891,,TRIB1,"tribbles pseudokinase 1","gene with protein product"
4,T042216,2006,0.9990,p4@TM2D3,e:80213,h:24128,,TM2D3,"TM2 domain containing 3","gene with protein product"
5,T042218,2004,0.9990,p2@TM2D3,e:80213,h:24128,,TM2D3,"TM2 domain containing 3","gene with protein product"
6,T055696,2002,0.9990,p2@SCARF1,e:8578,h:16820,,SCARF1,"scavenger receptor class F member 1","gene with protein product"
7,T079718,2009,0.9985,p5@RBP7,e:116362,h:30316,Q96R05,RBP7,"retinol binding protein 7","gene with protein product"
8,T077898,2002,0.9985,p8@RPS9,e:6203,h:10442,,RPS9,"ribosomal protein S9","gene with protein product"
9,T058092,2001,0.9985,p8@RARA,e:5914,h:9864,B3KUX3,RARA,"retinoic acid receptor alpha","gene with protein product"
10,T074037,2004,0.9980,p4@MED29,e:55588,h:23074,,MED29,"mediator complex subunit 29","gene with protein product"
11,T159101,2001,0.9980,p1@PHACTR1,e:221692,h:20990,Q4VY13,PHACTR1,"phosphatase and actin regulator 1","gene with protein product"
12,T062185,2002,0.9975,p5@SLC16A6,e:9120,h:10927,O15403,SLC16A6,"solute carrier family 16 member 6","gene with protein product"
13,T134546,1994,0.9960,p3@CSRNP1,e:64651,h:14300,Q96S65,CSRNP1,"cysteine and serine rich nuclear protein 1","gene with protein product"
14,T174348,1993,0.9950,p2@HOTAIRM1,e:100506311,h:37117,,HOTAIRM1,"HOXA transcript antisense RNA, myeloid-specific 1","RNA, long non-coding"
15,T107635,1996,0.9940,p3@OSM,e:5008,h:8506,B5MCX1,OSM,"oncostatin M","gene with protein product"
16,T104810,1992,0.9935,p2@KCNE1,e:3753,h:6240,P15382,KCNE1,"potassium voltage-gated channel subfamily E regulatory subunit 1","gene with protein product"
