Hs-TRIM59,2000,1000,T131147-TRIM59,"p8@TRIM59"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T002888,2013,0.9995,p22@FAM107B,e:83641,h:23726,C9J6Y8,FAM107B,"family with sequence similarity 107 member B","gene with protein product"
2,T125229,2008,0.9990,p20@RTKN,e:6242,h:10466,,RTKN,rhotekin,"gene with protein product"
3,T029321,2007,0.9990,p41@NAV3,e:89795,h:15998,,NAV3,"neuron navigator 3","gene with protein product"
4,T060049,2006,0.9990,p8@UBE2Z,e:65264,h:25847,,UBE2Z,"ubiquitin conjugating enzyme E2 Z","gene with protein product"
5,T029319,2006,0.9990,p32@NAV3,e:89795,h:15998,,NAV3,"neuron navigator 3","gene with protein product"
6,T160626,2006,0.9990,p13@PLEKHG1,e:57480,h:20884,F5H346,PLEKHG1,"pleckstrin homology and RhoGEF domain containing G1","gene with protein product"
7,T155411,2004,0.9990,p69@MAP1B,e:4131,h:6836,D6RA40,MAP1B,"microtubule associated protein 1B","gene with protein product"
8,T125230,2003,0.9990,p3@RTKN,e:6242,h:10466,,RTKN,rhotekin,"gene with protein product"
9,T039721,2005,0.9985,p6@GPHN,e:10243,h:15465,,GPHN,gephyrin,"gene with protein product"
10,T170438,2005,0.9985,p12@GPR37,e:2861,h:4494,"O15354,A4D0Y6",GPR37,"G protein-coupled receptor 37","gene with protein product"
11,T190120,2005,0.9985,p6@MPDZ,e:8777,h:7208,,MPDZ,"multiple PDZ domain crumbs cell polarity complex component","gene with protein product"
12,T188730,2003,0.9985,p33@RGS3,e:5998,h:9999,,RGS3,"regulator of G-protein signaling 3","gene with protein product"
13,T188729,2001,0.9985,p29@RGS3,e:5998,h:9999,,RGS3,"regulator of G-protein signaling 3","gene with protein product"
14,T119593,2004,0.9975,p8@DOCK10,e:55619,h:23479,,DOCK10,"dedicator of cytokinesis 10","gene with protein product"
15,T039572,2002,0.9975,p10@PLEKHG3,e:26030,h:20364,G3V2V2,PLEKHG3,"pleckstrin homology and RhoGEF domain containing G3","gene with protein product"
16,T124877,2007,0.9965,p2@RNF144A,e:9781,h:20457,,RNF144A,"ring finger protein 144A","gene with protein product"
17,T090437,2000,0.9965,p8@TMEM63A,e:9725,h:29118,,TMEM63A,"transmembrane protein 63A","gene with protein product"
18,T196029,1998,0.9965,p22@PLP1,e:5354,h:9086,,PLP1,"proteolipid protein 1","gene with protein product"
19,T116552,1994,0.9955,p19@INPP1,e:3628,h:6071,,INPP1,"inositol polyphosphate-1-phosphatase","gene with protein product"
20,T001935,1999,0.9950,p1@BTBD16,e:118663,h:26340,,BTBD16,"BTB domain containing 16","gene with protein product"
21,T199251,1999,0.9950,p1@CXorf28,e:100129464,h:27336,A6NGU7,LINC01546,"long intergenic non-protein coding RNA 1546","RNA, long non-coding"
22,T083687,1997,0.9950,p4@HAPLN2,e:60484,h:17410,,HAPLN2,"hyaluronan and proteoglycan link protein 2","gene with protein product"
