Hs-ZC3H7A,2000,1000,T048742-ZC3H7A,"p19@ZC3H7A"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T104968,2010,0.9990,p12@CLDN14,e:23562,h:2035,O95500,CLDN14,"claudin 14","gene with protein product"
2,T133639,2003,0.9990,p13@LRCH3,e:84859,h:28637,F8WFB5,LRCH3,"leucine rich repeats and calponin homology domain containing 3","gene with protein product"
3,T025824,2004,0.9985,p29@LIMA1,e:51474,h:24636,Q9UHB6,LIMA1,"LIM domain and actin binding 1","gene with protein product"
4,T054347,2005,0.9980,p6@PLCG2,e:5336,h:9066,,PLCG2,"phospholipase C gamma 2","gene with protein product"
5,T131579,2002,0.9970,p24@SKIL,e:6498,h:10897,,SKIL,"SKI like proto-oncogene","gene with protein product"
6,T002114,1995,0.9940,p8@LHPP,e:64077,h:30042,,LHPP,"phospholysine phosphohistidine inorganic pyrophosphate phosphatase","gene with protein product"
7,T036166,1999,0.9935,p1@IGHV4-34,,h:5650,,IGHV4-34,"immunoglobulin heavy variable 4-34","immunoglobulin gene"
8,T178131,1995,0.9935,p5@PEX1,e:5189,h:8850,B4DEY5,PEX1,"peroxisomal biogenesis factor 1","gene with protein product"
9,T034993,1992,0.9930,p3@GPR18,e:2841,h:4472,Q14330,GPR18,"G protein-coupled receptor 18","gene with protein product"
10,T193184,1989,0.9925,p1@PAX5,e:5079,h:8619,"E3W992,Q02548,Q5SFM2,Q6S731,Q6S730,Q6S729,Q6S728",PAX5,"paired box 5","gene with protein product"
11,T198648,1988,0.9920,p3@P2RY8,e:286530,h:15524,,P2RY8,"purinergic receptor P2Y8","gene with protein product"
12,T048741,1991,0.9910,p7@ZC3H7A,e:29066,h:30959,Q8IWR0,ZC3H7A,"zinc finger CCCH-type containing 7A","gene with protein product"
13,T104972,1988,0.9900,p4@CLDN14,e:23562,h:2035,,CLDN14,"claudin 14","gene with protein product"
14,T198649,1986,0.9895,p5@P2RY8,e:286530,h:15524,,P2RY8,"purinergic receptor P2Y8","gene with protein product"
15,T044790,1983,0.9875,p2@TEX9,e:374618,h:29585,,TEX9,"testis expressed 9","gene with protein product"
16,T134124,1983,0.9871,p9@OSBPL10,e:114884,h:16395,Q9NX98,OSBPL10,"oxysterol binding protein like 10","gene with protein product"
17,T123517,1974,0.9836,p6@CHAC2,e:494143,h:32363,,CHAC2,"ChaC cation transport regulator homolog 2","gene with protein product"
18,T148859,1971,0.9811,p23@PHF15,e:23338,h:22984,,JADE2,"jade family PHD finger 2","gene with protein product"
19,T101584,1966,0.9801,p32@ZMYND8,e:23613,h:9397,Q9ULU4,ZMYND8,"zinc finger MYND-type containing 8","gene with protein product"
20,T054348,1971,0.9791,p4@PLCG2,e:5336,h:9066,,PLCG2,"phospholipase C gamma 2","gene with protein product"
21,T036771,1964,0.9786,p2@TRAJ47,,h:12078,,TRAJ47,"T cell receptor alpha joining 47","T cell receptor gene"
22,T198663,1962,0.9786,p2@P2RY8,e:286530,h:15524,Q86VZ1,P2RY8,"purinergic receptor P2Y8","gene with protein product"
23,T131306,1960,0.9776,p15@RFTN1,e:23180,h:30278,,RFTN1,"raftlin, lipid raft linker 1","gene with protein product"
24,T104970,1960,0.9776,p2@CLDN14,e:23562,h:2035,,CLDN14,"claudin 14","gene with protein product"
25,T184914,1963,0.9771,p8@THAP1,e:55145,h:20856,E9PIS9,THAP1,"THAP domain containing 1","gene with protein product"
26,T104969,1961,0.9771,p9@CLDN14,e:23562,h:2035,,CLDN14,"claudin 14","gene with protein product"
27,T134125,1954,0.9746,p10@OSBPL10,e:114884,h:16395,Q9NX98,OSBPL10,"oxysterol binding protein like 10","gene with protein product"
28,T179770,1951,0.9726,p4@C8orf12,e:83656,h:15548,,FAM167A-AS1,"FAM167A antisense RNA 1","RNA, long non-coding"
29,T134123,1951,0.9706,p13@OSBPL10,e:114884,h:16395,Q9NX98,OSBPL10,"oxysterol binding protein like 10","gene with protein product"
30,T002117,1950,0.9701,p10@LHPP,e:64077,h:30042,,LHPP,"phospholysine phosphohistidine inorganic pyrophosphate phosphatase","gene with protein product"
31,T024150,1944,0.9691,p9@LRMP,e:4033,h:6690,Q12912,LRMP,"lymphoid restricted membrane protein","gene with protein product"
32,T047141,1942,0.9676,p6@IL16,e:3603,h:5980,Q14005,IL16,"interleukin 16","gene with protein product"
33,T193182,1945,0.9672,p6@PAX5,e:5079,h:8619,Q02548,PAX5,"paired box 5","gene with protein product"
34,T057559,1941,0.9666,p15@P2RX5,e:5026,h:8536,,P2RX5,"purinergic receptor P2X 5","gene with protein product"
35,T191379,1930,0.9621,p11@LCN8,e:138307,h:27038,,LCN8,"lipocalin 8","gene with protein product"
36,T127755,1929,0.9621,p3@LSAMP,e:4045,h:6705,,LSAMP,"limbic system-associated membrane protein","gene with protein product"
37,T179769,1931,0.9612,p1@C8orf12,e:83656,h:15548,,FAM167A-AS1,"FAM167A antisense RNA 1","RNA, long non-coding"
