Hs-FAM134C,2000,1000,T058806-FAM134C,"p1@FAM134C"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T079210,2007,1.0000,p2@PNPLA6,e:10908,h:16268,Q8IY17,PNPLA6,"patatin like phospholipase domain containing 6","gene with protein product"
2,T164712,2006,0.9995,p1@B3GALT4,e:8705,h:919,"O96024,B3KQP5,Q5STJ7",B3GALT4,"beta-1,3-galactosyltransferase 4","gene with protein product"
3,T119116,2011,0.9990,p1@ATG9A,e:79065,h:22408,"F2Z3I6,C9JKV7,C9JD65,C9JXG2,C9JX27,C9JDK4,Q7Z3C6",ATG9A,"autophagy related 9A","gene with protein product"
4,T033881,2008,0.9990,p1@SUGT1,e:10910,h:16987,"Q9Y2Z0,F5H5A9",SUGT1,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone","gene with protein product"
5,T109988,2007,0.9990,p1@ALG12,e:79087,h:19358,Q9BV10,ALG12,"ALG12, alpha-1,6-mannosyltransferase","gene with protein product"
6,T026452,2005,0.9990,p2@MFSD5,e:84975,h:28156,Q6N075,MFSD5,"major facilitator superfamily domain containing 5","gene with protein product"
7,T058800,2005,0.9990,p1@MLX,e:6945,h:11645,Q9UH92,MLX,"MLX, MAX dimerization protein","gene with protein product"
8,T072584,2003,0.9990,p1@AES,e:166,h:307,"Q08117,Q14CJ1,Q8WY48",AES,"amino-terminal enhancer of split","gene with protein product"
9,T071169,2002,0.9990,p1@OCEL1,e:79629,h:26221,Q9H607,OCEL1,"occludin/ELL domain containing 1","gene with protein product"
10,T109009,2002,0.9990,p2@TAB1,e:10454,h:18157,"A8K6K3,Q15750",TAB1,"TGF-beta activated kinase 1 (MAP3K7) binding protein 1","gene with protein product"
11,T058805,2007,0.9985,p2@FAM134C,e:162427,h:27258,B3KR75,FAM134C,"family with sequence similarity 134 member C","gene with protein product"
12,T192809,2005,0.9985,p2@SIGMAR1,e:10280,h:8157,,SIGMAR1,"sigma non-opioid intracellular receptor 1","gene with protein product"
13,T194375,2003,0.9985,p1@HNRNPK,e:3190,h:5044,Q5T6W2,HNRNPK,"heterogeneous nuclear ribonucleoprotein K","gene with protein product"
14,T074300,2003,0.9980,p1@AKT2,e:208,h:392,Q05BV0,AKT2,"AKT serine/threonine kinase 2","gene with protein product"
15,T060454,2002,0.9980,p2@SLC25A11,e:8402,h:10981,"Q02978,Q6IBH0",SLC25A11,"solute carrier family 25 member 11","gene with protein product"
16,T060233,2002,0.9980,p4@ITGA3,e:3675,h:6139,"P26006,B4E0H8",ITGA3,"integrin subunit alpha 3","gene with protein product"
17,T037401,2009,0.9975,p1@RABGGTA,e:5875,h:9795,Q92696,RABGGTA,"Rab geranylgeranyltransferase alpha subunit","gene with protein product"
