"V1","V2"
"DAND5","9.88853"
"IL1A","9.56416"
"UNQ6494","9.538"
"DDX55","9.30276"
"TECTB","8.88843"
"CXCL10","8.78063"
"LYAR","8.64764"
"PARP12","8.47991"
"SMARCA5","8.45631"
"LIX1","8.23061"
"C3ORF62","8.02582"
"PCNP","7.95439"
"FGF18","7.76306"
"CCDC11","7.70955"
"SPRR1A","7.32535"
"IFI6","7.11405"
"UCHL3","6.60387"
"MX2","6.34163"
"ZNF668","6.27006"
"ZFP1","6.2699"
"CNTN3","6.09481"
"ZNF154","6.0094"
"NTN5","5.98788"
"SYNPO2","5.82617"
"ZNF280C","5.77855"
"IL18","5.75518"
"SPDYE5","5.62445"
"XAF1","5.5938"
"PRKACB","5.40296"
"GNL2","5.39113"
"PCDHAC1","5.34473"
"IFIT5","5.29668"
"DCLRE1C","5.21744"
"IFI16","5.19554"
"GHRLOS","5.17347"
"HIC1","5.17244"
"OAS1","5.1177"
"SELV","4.95317"
"RRN3P1","4.90726"
"TESPA1","4.84896"
"SP110","4.81767"
"TMPRSS11B","4.66551"
"IFI35","4.65397"
"CNST","4.64841"
"C18ORF49","4.59487"
"NOG","4.58625"
"IFIT3","4.57123"
"C22ORF24","4.54154"
"GPR161","4.48288"
"SPACA7","4.46009"
"ESRP2","4.40177"
"PRPH","4.317"
"ADAMTS18","4.31634"
"MYO1G","4.27226"
"DEFB123","4.25969"
"GABRQ","4.2524"
"LAMP3","4.22565"
"TRA2A","4.19334"
"SESN3","4.17654"
"POTEC","4.1747"
"SAMD9","4.12662"
"TTTY5","4.06943"
"CH25H","4.06839"
"SP140L","4.00615"
"ACTA1","33.0756"
"FAM120AOS","3.99816"
"F13B","3.97589"
"LOC286382","3.96497"
"TULP2","3.95396"
"TUBB3","3.94692"
"C2","3.93949"
"GTF2IRD1","3.86946"
"PMP2","3.83555"
"MYLK2","3.81673"
"LILRB5","3.70629"
"PGR","3.70426"
"LSM3","3.64783"
"C19ORF66","3.64261"
"AMPD1","3.61823"
"TIMM22","3.60183"
"SLC9A5","3.59223"
"STOML3","3.58728"
"FLJ34503","3.5157"
"AZI2","3.48746"
"RRAD","3.47942"
"ZBP1","3.47908"
"TMC2","3.45463"
"KIAA1661","3.39906"
"ARMC5","3.38534"
"MT2A","3.38105"
"LDHAL6B","3.32124"
"LYG2","3.29183"
"ETS1","3.29169"
"LRRC55","3.26233"
"C11ORF44","3.21142"
"AKNA","3.20333"
"SGK1","3.20322"
"ALDH3B2","3.17842"
"ZNF143","3.17693"
"LRRC8B","3.17171"
"CARD16","3.17049"
"RBM26-AS1","3.15801"
"USP37","3.14561"
"TNF","3.12898"
"SECISBP2","3.12167"
"GBP5","3.11701"
"EIF2AK2","3.08614"
"SPDYE7P","3.07765"
"GLB1","3.0753"
"AGPAT9","3.0725"
"LGALS9C","3.0525"
"TRIM38","3.04949"
"IFNB1","3.03282"
"TMEM251","3.03003"
"RNF6","3.02233"
"BANF2","29.1413"
"TNFAIP6","23.6847"
"GBP4","21.9428"
"MAS1","21.8566"
"FOXD4","2.99713"
"DNAH12","2.99188"
"PROSER1","2.97097"
"RERE","2.96101"
"LOC100505878","2.94184"
"FASTKD5","2.94063"
"KIAA0907","2.94022"
"C17ORF98","2.92651"
"COMMD6","2.91837"
"RPL12","2.91524"
"SLC26A3","2.91309"
"TRIM14","2.90672"
"TNFAIP3","2.9014"
"HYAL4","2.89933"
"FAM20A","2.89667"
"PRO1804","2.88686"
"SLC17A8","2.87194"
"RPA4","2.86682"
"LOC100133131","2.86072"
"OLFM4","2.85052"
"SECTM1","2.84772"
"APBA2","2.84171"
"FUNDC2","2.81629"
"RASSF10","2.77855"
"ZIC1","2.75142"
"CSAG2","2.74395"
"IFITM4P","2.74308"
"PAIP2","2.72129"
"METTL2A","2.66256"
"NDN","2.65213"
"CCDC67","2.62398"
"KIRREL2","2.61573"
"CXCR4","2.61018"
"IRF4","2.60229"
"GINS1","2.59712"
"LINC00467","2.56508"
"WWC2-AS2","2.56239"
