"V1","V2"
"ACTA1",33.0756
"BANF2",29.1413
"TNFAIP6",23.6847
"GBP4",21.9428
"MAS1",21.8566
"PIKFYVE",17.6506
"LOC100996579",14.7109
"TRPC5OS",14.2203
"OCIAD2",13.9774
"GTF2I",12.8699
"KCNK10",12.6741
"SERPINA10",11.6483
"TMEM17",11.6387
"SNPH",11.53
"CAHM",11.4731
"RTN1",11.4729
"TSC22D1",11.1125
"ELSPBP1",10.8707
"MYH11",10.3952
"ATP6V0D2",10.0115
"DAND5",9.88853
"IL1A",9.56416
"ZNF282",9.5477
"UNQ6494",9.538
"DDX55",9.30276
"TECTB",8.88843
"CXCL10",8.78063
"LYAR",8.64764
"PARP12",8.47991
"SMARCA5",8.45631
"FANCL",8.37552
"ABCF3",8.37209
"LIX1",8.23061
"C3ORF62",8.02582
"LRRC31",7.99129
"PCNP",7.95439
"SAGE1",7.92714
"FGF18",7.76306
"LY6K",7.71768
"SUGT1P3",7.71067
"CCDC11",7.70955
"NFIL3",7.70224
"AIF1L",7.61427
"MRGPRX3",7.36622
"SPRR1A",7.32535
"SEPHS1",7.27323
"RABGAP1L",7.1898
"IFI6",7.11405
"MFI2",6.9717
"SORBS1",6.7576
"PLTP",6.7423
"UCHL3",6.60387
"KCNJ9",6.58714
"PGPEP1",6.49762
"IL23A",6.46587
"MX2",6.34163
"ZNF668",6.27006
"ZFP1",6.2699
"ARHGEF11",6.12716
"CNTN3",6.09481
"MAMDC4",6.03826
"ZNF154",6.0094
"NTN5",5.98788
"SUFU",5.98134
"ASCL3",5.96669
"CYP3A4",5.90673
"MXD3",5.87749
"SYNPO2",5.82617
"HOXC5",5.81974
"ZNF280C",5.77855
"RTF1",5.77519
"IL18",5.75518
"GABRB1",5.65514
"SPDYE5",5.62445
"XAF1",5.5938
"GNAQ",5.59157
"SMEK2",5.49374
"GPR161",5.4925
"PRKACB",5.40296
"GNL2",5.39113
"TRIML2",5.37565
"PCDHAC1",5.34473
"IFIT5",5.29668
"DCLRE1C",5.21744
"RAD9A",5.21736
"IFI16",5.19554
"GHRLOS",5.17347
"HIC1",5.17244
"PLXDC2",5.16089
"MRAP2",5.13369
"LRRC58",5.13095
"KCP",5.12455
"OAS1",5.1177
"CUX1",5.10318
"LILRB2",5.05829
"CCK",5.04896
"RNF144B",5.00808
"PRMT7",4.9905
"SELV",4.95317
"RRN3P1",4.90726
